filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-15,1995-02-09,1995-08-11,0.123498200522,0.352263043148,0.468053416824,0.421414351783,0.386515630735,0.526925172268,0.775785794157,0.55665738378,206,76,128,81,77,386,206,265,175,248,838,497,197,504,208,14783,8492,13576,8490,6220
1995-08-11,1995-05-15,1995-12-19,0.31904836695,0.303167253273,0.341888198683,0.396825110105,0.50439896432,0.585369556924,0.512410146478,0.662352216985,76,128,81,77,197,206,265,175,248,459,497,197,504,208,771,8492,13576,8490,6220,13529
1995-12-19,1995-08-11,1996-02-12,0.760429959132,0.339555451324,0.492711388728,0.327213292543,0.94827383157,0.528906574096,0.790511586482,0.59806256027,128,81,77,197,162,265,175,248,459,235,197,504,208,771,170,13576,8490,6220,13529,13743
1996-02-12,1995-12-19,1996-05-13,0.351543260473,0.509342962256,0.568885907052,0.413156103338,0.505826995147,0.675681995907,0.759612177486,0.607701246197,81,77,197,162,290,175,248,459,235,872,504,208,771,170,1139,8490,6220,13529,13743,21741
1996-05-13,1996-02-12,1996-08-12,0.418825085099,0.654774583828,0.315269209521,0.545646095338,0.702253136967,0.816162162958,0.559178309448,0.77534698227,77,197,162,290,436,248,459,235,872,1341,208,771,170,1139,2014,6220,13529,13743,21741,28718
1996-08-12,1996-05-13,1996-12-19,0.693371451496,0.327838866522,0.528225194169,0.729570209215,0.81746070094,0.589774746344,0.77461768068,0.897805617633,197,162,290,436,316,459,235,872,1341,1061,771,170,1139,2014,1161,13529,13743,21741,28718,25120
1996-12-19,1996-08-12,1997-02-10,0.6749729162,0.554930351715,0.515988079169,0.494997765453,0.882145247406,0.726494930672,0.691571010023,0.687714231888,162,290,436,316,249,235,872,1341,1061,577,170,1139,2014,1161,599,13743,21741,28718,25120,19903
1997-02-10,1996-12-19,1997-05-12,0.353753371473,0.430578066726,0.361735594683,0.499318669515,0.621221201404,0.690833465631,0.635745130436,0.785770194389,290,436,316,249,287,872,1341,1061,577,765,1139,2014,1161,599,819,21741,28718,25120,19903,18027
1997-05-12,1997-02-10,1997-08-11,0.45512692314,0.381232001542,0.553818681997,0.407946980477,0.635960199227,0.583382281893,0.737787702274,0.662846063466,436,316,249,287,197,1341,1061,577,765,435,2014,1161,599,819,882,28718,25120,19903,18027,16970
1997-08-11,1997-05-12,1997-10-07,0.618830059365,0.619096017642,0.483417660012,0.541446591014,0.752319724985,0.830360774143,0.780238902686,0.713343689096,316,249,287,197,153,1061,577,765,435,398,1161,599,819,882,367,25120,19903,18027,16970,10396
