filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-12-24,2002-08-14,2003-02-13,0.489458974104,0.382727586667,0.414965949718,0.320427769005,0.711736288215,0.578204508845,0.616079672094,0.497881835405,480,65,121,55,783,938,182,331,178,1760,2614,267,522,129,3595,46391,6897,12756,7241,66719
2003-02-13,2002-12-24,2003-05-12,0.359889855152,0.230507764128,0.119608131123,0.38306971031,0.458414416663,0.385153866726,0.230453421492,0.542601618177,65,121,55,783,420,182,331,178,1760,1399,267,522,129,3595,3632,6897,12756,7241,66719,47287
2003-05-12,2003-02-13,2003-08-13,0.782366164472,0.469564270061,0.411541116515,0.216551535477,0.90292468836,0.690740324797,0.60726564027,0.346221341786,121,55,783,420,131,331,178,1760,1399,264,522,129,3595,3632,339,12756,7241,66719,47287,12667
2003-08-13,2003-05-12,2003-12-19,0.679066395512,0.348246842653,0.150945092026,0.655201242587,0.876584706813,0.531278283095,0.258588499498,0.789159647375,55,783,420,131,84,178,1760,1399,264,166,129,3595,3632,339,86,7241,66719,47287,12667,9259
2003-12-19,2003-08-13,2004-02-12,0.517821495252,0.544323195004,0.422505001285,0.336055881562,0.717737902728,0.709287436267,0.587807581722,0.483650824371,783,420,131,84,854,1760,1399,264,166,2547,3595,3632,339,86,4545,66719,47287,12667,9259,74770
2004-02-12,2003-12-19,2004-05-12,0.153772171433,0.569845414336,0.660137533996,0.340383696779,0.260826045811,0.741185783337,0.823589566969,0.481120717955,420,131,84,854,66,1399,264,166,2547,140,3632,339,86,4545,87,47287,12667,9259,74770,7297
2004-05-12,2004-02-12,2004-08-13,0.651421565103,0.581615867053,0.541036100547,0.668970939032,0.797976966774,0.755744905231,0.681540239486,0.778204240406,131,84,854,66,145,264,166,2547,140,387,339,86,4545,87,423,12667,9259,74770,7297,12224
2004-08-13,2004-05-12,2004-12-10,0.803413009168,0.339081308897,0.684009920626,0.646266619623,0.936208688389,0.490757891179,0.823078149845,0.781499803373,84,854,66,145,114,166,2547,140,387,250,86,4545,87,423,252,9259,74770,7297,12224,9997
2004-12-10,2004-08-13,2005-02-07,0.539775122733,0.576416019187,0.568192155431,0.568641342872,0.674517203313,0.708303133638,0.70076604566,0.698366491499,854,66,145,114,455,2547,140,387,250,827,4545,87,423,252,946,74770,7297,12224,9997,32134
2005-02-07,2004-12-10,2005-05-09,0.776330331192,0.590777235055,0.636190422431,0.633070173135,0.926375910595,0.745370468253,0.799780841528,0.745680801668,66,145,114,455,106,140,387,250,827,253,87,423,252,946,167,7297,12224,9997,32134,9494
2005-05-09,2005-02-07,2005-08-05,0.565338042708,0.497702419768,0.480401091669,0.570723812651,0.785310698478,0.736592335131,0.683755465923,0.759589421343,145,114,455,106,216,387,250,827,253,624,423,252,946,167,693,12224,9997,32134,9494,18282
2005-08-05,2005-05-09,2005-12-09,0.830573615604,0.547647829583,0.717263781094,0.547829109512,0.940516711684,0.692042817745,0.832837793924,0.754947729688,114,455,106,216,142,250,827,253,624,309,252,946,167,693,192,9997,32134,9494,18282,11752
2005-12-09,2005-08-05,2006-02-09,0.496790400638,0.340449146601,0.520863950635,0.308538181409,0.656452328014,0.503175764685,0.65415475065,0.465335310477,455,106,216,142,1344,827,253,624,309,3430,946,167,693,192,6593,32134,9494,18282,11752,119626
2006-02-09,2005-12-09,2006-05-08,0.805397048943,0.509193243785,0.66878867222,0.329031898223,0.938160140867,0.740231266836,0.822353873016,0.484882389522,106,216,142,1344,75,253,624,309,3430,178,167,693,192,6593,120,9494,18282,11752,119626,8992
2006-05-08,2006-02-09,2006-08-08,0.585449894898,0.485886625909,0.460850123762,0.553040086893,0.837176445713,0.723751815264,0.648525929138,0.739848089347,216,142,1344,75,160,624,309,3430,178,515,693,192,6593,120,620,18282,11752,119626,8992,19339
2006-08-08,2006-05-08,2006-12-08,0.764083888143,0.360940374183,0.662306641819,0.525362689131,0.902720231087,0.535822476663,0.806762688409,0.748302507509,142,1344,75,160,151,309,3430,178,515,356,192,6593,120,620,385,11752,119626,8992,19339,14837
2006-12-08,2006-08-08,2007-02-07,0.544390269972,0.311335895527,0.393536904332,0.344079549054,0.806208122212,0.52688853638,0.664885876619,0.579380189229,1344,75,160,151,1014,3430,178,515,356,2408,6593,120,620,385,4350,119626,8992,19339,14837,88577
2007-02-07,2006-12-08,2007-05-08,0.768502804042,0.480661696979,0.601808384735,0.329741902911,0.918063170723,0.711006691798,0.778286932674,0.544928865782,75,160,151,1014,106,178,515,356,2408,179,120,620,385,4350,173,8992,19339,14837,88577,10126
2007-05-08,2007-02-07,2007-08-08,0.597137413016,0.597165100061,0.299435507118,0.745798334024,0.816407167436,0.790930380842,0.512004035674,0.834546304349,160,151,1014,106,144,515,356,2408,179,264,620,385,4350,173,223,19339,14837,88577,10126,12538
2007-08-08,2007-05-08,2007-11-28,0.76081937366,0.306329644224,0.687843364039,0.709482514385,0.906651632182,0.530525096928,0.824985831544,0.85090984704,151,1014,106,144,132,356,2408,179,264,271,385,4350,173,223,269,14837,88577,10126,12538,12601
2007-11-28,2007-08-08,2008-02-08,0.421353404427,0.659325445723,0.62685331385,0.631290164315,0.650133686768,0.782420397738,0.757151949137,0.763890878524,1014,106,144,132,427,2408,179,264,271,855,4350,173,223,269,573,88577,10126,12538,12601,30952
2008-02-08,2007-11-28,2008-05-07,0.718298053305,0.604473333782,0.607197662662,0.636222856609,0.90656399902,0.801231222189,0.810067419264,0.792643534722,106,144,132,427,121,179,264,271,855,295,173,223,269,573,270,10126,12538,12601,30952,11050
2008-05-07,2008-02-08,2008-08-06,0.802221752606,0.637298367062,0.635296452182,0.718763091051,0.937376095666,0.826995625379,0.76989609526,0.856283847709,144,132,427,121,119,264,271,855,295,263,223,269,573,270,222,12538,12601,30952,11050,11116
2008-08-06,2008-05-07,2008-11-25,0.798865817382,0.628452935559,0.690097465406,0.758579828548,0.926971923255,0.768841064181,0.842178044973,0.871173982092,132,427,121,119,138,271,855,295,263,327,269,573,270,222,254,12601,30952,11050,11116,11408
2008-11-25,2008-08-06,2009-02-05,0.671327203482,0.560700368111,0.475215515452,0.491961505976,0.788788279558,0.712627242562,0.619328311242,0.632787894515,427,121,119,138,856,855,295,263,327,1877,573,270,222,254,2399,30952,11050,11116,11408,51221
2009-02-05,2008-11-25,2009-05-08,0.438137108636,0.312470745456,0.322517963839,0.62007517432,0.568667659353,0.449389327425,0.458678801455,0.735990879418,121,119,138,856,487,295,263,327,1877,1397,270,222,254,2399,2004,11050,11116,11408,51221,32976
2009-05-08,2009-02-05,2009-08-06,0.795903745138,0.6851324907,0.466668989003,0.343447918581,0.928138089351,0.855578826764,0.619801954369,0.466315101052,119,138,856,487,109,263,327,1877,1397,252,222,254,2399,2004,198,11116,11408,51221,32976,9830
2009-08-06,2009-05-08,2009-11-25,0.203312561192,0.125757480401,0.0874855906515,0.201705752448,0.326447363641,0.22907133233,0.164862200915,0.311785795919,138,856,487,109,242,327,1877,1397,252,3529,254,2399,2004,198,561,11408,51221,32976,9830,28742
