filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-10-12,1995-07-17,1996-02-22,0.234103369165,0.7548056411,0.0697392206169,0.420405373549,0.543873545753,0.922473635665,0.134276270736,0.728011725129,297,38,24,85,36,760,68,76,195,68,1264,35,337,283,37,26778,3940,4006,7396,4281
1996-02-22,1995-10-12,1996-04-10,0.466382790366,0.538183148813,0.286531841608,0.476983338923,0.727801114252,0.528356645983,0.629006164306,0.735000696067,38,24,85,36,174,68,76,195,68,411,35,337,283,37,528,3940,4006,7396,4281,18999
1996-04-10,1996-02-22,1996-07-12,0.0582378793624,0.324323436081,0.645183466906,0.524162839035,0.117711588179,0.661376420611,0.875736366681,0.744436730623,24,85,36,174,23,76,195,68,411,94,337,283,37,528,48,4006,7396,4281,18999,4010
1996-07-12,1996-04-10,1996-10-10,0.222281819668,0.284458311483,0.489626576668,0.29726323288,0.491402342524,0.489888242477,0.643320144865,0.455661516767,85,36,174,23,204,195,68,411,94,518,283,37,528,48,1563,7396,4281,18999,4010,25254
1996-10-10,1996-07-12,1997-02-21,0.146814796959,0.179459128432,0.171125968777,0.207560576711,0.394765313294,0.438803352147,0.405941208923,0.46318239871,36,174,23,204,217,68,411,94,518,653,37,528,48,1563,968,4281,18999,4010,25254,17280
1997-02-21,1996-10-10,1997-04-14,0.704547848159,0.575112221877,0.295976595436,0.145593013901,0.879855470448,0.813921663506,0.48277262246,0.378070596133,174,23,204,217,121,411,94,518,653,196,528,48,1563,968,83,18999,4010,25254,17280,11499
1997-04-14,1997-02-21,1997-07-14,0.68998907231,0.266251663233,0.15716689478,0.576482135647,0.892654895741,0.451134520107,0.408608102036,0.817918839617,23,204,217,121,40,94,518,653,196,89,48,1563,968,83,40,4010,25254,17280,11499,4660
1997-07-14,1997-04-14,1997-10-10,0.515084870586,0.206029022605,0.270981571989,0.299907918506,0.679759510067,0.460456273172,0.439968717596,0.45237496103,204,217,121,40,188,518,653,196,89,462,1563,968,83,40,1246,25254,17280,11499,4660,18326
1997-10-10,1997-07-14,1998-02-17,0.167162175298,0.56110889854,0.727914880738,0.32300690299,0.420281444299,0.811635100906,0.910564937412,0.455047327919,217,121,40,188,53,653,196,89,462,95,968,83,40,1246,57,17280,11499,4660,18326,5261
1998-02-17,1997-10-10,1998-04-09,0.462360089543,0.354934908714,0.763909272702,0.360572668675,0.663014003117,0.59511141352,0.86155504684,0.594391838096,121,40,188,53,386,196,89,462,95,1015,83,40,1246,57,1763,11499,4660,18326,5261,33452
1998-04-09,1998-02-17,1998-04-13,0.570643112753,0.233501776638,0.566205366058,0.35564864645,0.865185028301,0.407378490189,0.861100053816,0.58734151666,40,188,53,386,40,89,462,95,1015,96,40,1246,57,1763,38,4660,18326,5261,33452,4368
1998-04-13,1998-04-09,1998-07-09,0.234329587095,0.56842979552,0.356767987677,0.993487989653,0.408121704427,0.862743727833,0.588740487422,0.999097991539,188,53,386,40,40,462,95,1015,96,96,1246,57,1763,38,38,18326,5261,33452,4368,4369
1998-07-09,1998-04-13,1998-10-13,0.493136709801,0.438595854126,0.641771452082,0.643417138059,0.776228525695,0.668124031481,0.824994690606,0.826417611877,53,386,40,40,67,95,1015,96,96,136,57,1763,38,38,169,5261,33452,4368,4369,6400
1998-10-13,1998-07-09,1999-02-17,0.623033982715,0.379839045919,0.380689623228,0.413046254543,0.791427809178,0.60665149943,0.607492079861,0.625372324352,386,40,40,67,133,1015,96,96,136,574,1763,38,38,169,669,33452,4368,4369,6400,13485
1999-02-17,1998-10-13,1999-04-08,0.57724987208,0.579631073249,0.534226571035,0.410844252728,0.808798877747,0.811572950472,0.757596254966,0.63332124233,40,40,67,133,194,96,96,136,574,402,38,38,169,669,197,4368,4369,6400,13485,16547
1999-04-08,1999-02-17,1999-07-15,0.625663953969,0.548095573779,0.496930062119,0.644616138538,0.875638311446,0.789167995828,0.695132701322,0.853949867866,40,67,133,194,62,96,136,574,402,263,38,169,669,197,146,4369,6400,13485,16547,6235
1999-07-15,1999-04-08,1999-10-15,0.564821144877,0.50123619631,0.61003683377,0.75674763656,0.790624518181,0.717575555388,0.840057127555,0.92243383577,67,133,194,62,95,136,574,402,263,306,169,669,197,146,161,6400,13485,16547,6235,7127
1999-10-15,1999-07-15,2000-02-16,0.209943939615,0.144313932208,0.147313348209,0.150168173623,0.431128908394,0.312560119022,0.319406621175,0.319364848474,133,194,62,95,794,574,402,263,306,2410,669,197,146,161,4454,13485,16547,6235,7127,76328
2000-02-16,1999-10-15,2000-04-18,0.714294882412,0.513122313256,0.53440942005,0.180698074909,0.890032964211,0.761322121197,0.774103230397,0.357318515961,194,62,95,794,247,402,263,306,2410,582,197,146,161,4454,332,16547,6235,7127,76328,20282
2000-04-18,2000-02-16,2000-07-17,0.184837238226,0.176576930753,0.216626546101,0.255947500306,0.325174876295,0.32126414081,0.41444040383,0.452595112732,62,95,794,247,382,263,306,2410,582,1979,146,161,4454,332,2969,6235,7127,76328,20282,48060
2000-07-17,2000-04-18,2000-10-16,0.543797565554,0.109954775337,0.502497875109,0.156757321081,0.758006333933,0.266592174812,0.744710993633,0.288445714481,95,794,247,382,67,306,2410,582,1979,186,161,4454,332,2969,64,7127,76328,20282,48060,5911
2000-10-16,2000-07-17,2001-02-26,0.551158068677,0.212951260104,0.207239890831,0.181002813721,0.757938318477,0.368766387166,0.377383712738,0.337369301977,794,247,382,67,291,2410,582,1979,186,699,4454,332,2969,64,1598,76328,20282,48060,5911,29423
