filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-13,1995-01-24,1995-06-13,0.443585737809,0.129355144754,0.451796470882,0.159446711541,0.825938429569,0.388758599619,0.829724229691,0.3550256239,27,81,39,311,29,11,350,30,1064,41,14,579,40,1787,31,1547,8406,1990,29115,1534
1995-06-13,1995-03-13,1995-09-12,0.114102164681,0.130838214759,0.208427531208,0.149762849519,0.328548612061,0.324516254535,0.414359261729,0.327053461698,81,39,311,29,110,350,30,1064,41,210,579,40,1787,31,732,8406,1990,29115,1534,10744
1995-09-12,1995-06-13,1996-01-26,0.163750921775,0.208780519451,0.185239469344,0.122952550719,0.419887056676,0.474859456418,0.433554047768,0.286474784718,39,311,29,110,77,30,1064,41,210,358,40,1787,31,732,338,1990,29115,1534,10744,9040
1996-01-26,1995-09-12,1996-03-19,0.788668106778,0.147607890949,0.207602221484,0.199562431008,0.907420295408,0.34553278221,0.423965520427,0.451294757292,311,29,110,77,373,1064,41,210,358,1287,1787,31,732,338,2125,29115,1534,10744,9040,37922
1996-03-19,1996-01-26,1996-06-18,0.1104335312,0.130752505344,0.290358024081,0.3046207639,0.274605980195,0.301974148087,0.457093919283,0.565093302609,29,110,77,373,106,41,210,358,1287,642,31,732,338,2125,875,1534,10744,9040,37922,13130
1996-06-18,1996-03-19,1996-07-11,0.147873245368,0.172808505998,0.453889075378,0.200053061671,0.36945508718,0.464735283465,0.586546351273,0.440127311484,110,77,373,106,76,210,358,1287,642,161,732,338,2125,875,200,10744,9040,37922,13130,5281
1996-07-11,1996-06-18,1996-09-17,0.48952239728,0.197974854781,0.458917849151,0.0943901417758,0.579809827823,0.387116887027,0.594468452603,0.232559194545,77,373,106,76,22,358,1287,642,161,215,338,2125,875,200,259,9040,37922,13130,5281,3582
1996-09-17,1996-07-11,1997-01-29,0.224032125672,0.128798324345,0.480608945015,0.0592665892348,0.463300706556,0.301787591535,0.788000157522,0.151683371924,373,106,76,22,44,1287,642,161,215,166,2125,875,200,259,99,37922,13130,5281,3582,4090
1997-01-29,1996-09-17,1997-03-17,0.251448349032,0.505276544198,0.148603975567,0.137543759027,0.55904600644,0.610778692023,0.369144487128,0.368751036806,106,76,22,44,432,642,161,215,166,1651,875,200,259,99,2553,13130,5281,3582,4090,42363
1997-03-17,1997-01-29,1997-06-17,0.234819204012,0.155053675892,0.287188861191,0.292038197559,0.474466259164,0.276381986646,0.480035474167,0.572295498292,76,22,44,432,64,161,215,166,1651,168,200,259,99,2553,382,5281,3582,4090,42363,7104
1997-06-17,1997-03-17,1997-09-11,0.126208798044,0.469937903308,0.253417956517,0.75986449446,0.244666979265,0.741793652418,0.537338514094,0.858688911546,22,44,432,64,49,215,166,1651,168,115,259,99,2553,382,157,3582,4090,42363,7104,4971
1997-09-11,1997-06-17,1998-01-28,0.585073559334,0.135417533155,0.339418097462,0.611079634096,0.861575511518,0.370238718755,0.501345216673,0.782258694044,44,432,64,49,25,166,1651,168,115,57,99,2553,382,157,30,4090,42363,7104,4971,2794
