filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-22,1994-11-14,1995-02-13,0.19459199651,0.602852639044,0.148717832735,0.217034135039,0.384148388368,0.879263487659,0.321116825029,0.393927198497,9,2,40,18,2,7,0,35,11,0,9,2,204,17,8,1044,184,7322,1222,226
1995-02-13,1994-12-22,1995-05-12,0.232649026921,0.262223185822,0.719362289912,0.194872670541,0.362182913267,0.538019302108,0.895048497576,0.355148193024,2,40,18,2,20,0,35,11,0,15,2,204,17,8,18,184,7322,1222,226,1417
1995-05-12,1995-02-13,1995-08-17,0.259230643173,0.713233968187,0.188150089037,0.859877437735,0.536279480184,0.894694989801,0.345951060073,0.949265368209,40,18,2,20,21,35,11,0,15,14,204,17,8,18,18,7322,1222,226,1417,1414
1995-08-17,1995-05-12,1995-08-22,0.292064799665,0.13795486772,0.301163011583,0.300725948272,0.549299311961,0.299303331366,0.537830018101,0.537713977102,18,2,20,21,59,11,0,15,14,149,17,8,18,18,334,1222,226,1417,1414,8447
1995-08-22,1995-08-17,1995-11-14,0.325574918446,0.12958421341,0.122511785445,0.238719988856,0.668880564618,0.289508313146,0.278939137758,0.382087357814,2,20,21,59,3,0,15,14,149,2,8,18,18,334,18,226,1417,1414,8447,427
1995-11-14,1995-08-22,1996-02-13,0.290670890027,0.291533446493,0.325473751709,0.0989810502264,0.499609562095,0.504246808869,0.540796067313,0.242000671187,20,21,59,3,27,15,14,149,2,218,18,18,334,18,190,1417,1414,8447,427,2532
1996-02-13,1995-11-14,1996-05-15,0.303279802943,0.303518105173,0.0920376619677,0.863322595957,0.526122058363,0.518281141051,0.216647511208,0.945233283722,21,59,3,27,33,14,149,2,218,258,18,334,18,190,228,1414,8447,427,2532,3186
1996-05-15,1996-02-13,1996-09-30,0.271589149562,0.0765550278881,0.856334605021,0.917022520886,0.461637626597,0.18525837938,0.934008764072,0.960856833298,59,3,27,33,40,149,2,218,258,316,334,18,190,228,310,8447,427,2532,3186,3677
1996-09-30,1996-05-15,1996-11-14,0.203638668607,0.604347308916,0.618055752726,0.635978276318,0.342456850557,0.779229338541,0.769140511462,0.754086038714,3,27,33,40,85,2,218,258,316,411,18,190,228,310,589,427,2532,3186,3677,10200
1996-11-14,1996-09-30,1997-02-13,0.77325325893,0.785705666164,0.851642444779,0.640977801024,0.905896115078,0.902632469758,0.939665801759,0.760435201746,27,33,40,85,46,218,258,316,411,413,190,228,310,589,440,2532,3186,3677,10200,4427
