filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-10,1994-11-09,1995-05-11,0.659848033145,0.581476714399,0.334365622476,0.778739233644,0.90855136854,0.851180168943,0.584449863383,0.914469507276,13,14,113,15,15,3,3,112,3,5,8,8,98,6,6,852,856,8267,807,881
1995-05-11,1995-02-10,1995-09-21,0.619192016123,0.322067608048,0.700295442806,0.796729515874,0.897833645162,0.574443038059,0.895126843223,0.921668574567,14,113,15,15,16,3,112,3,5,5,8,98,6,6,6,856,8267,807,881,881
1995-09-21,1995-05-11,1995-11-14,0.676434319517,0.307718073994,0.310013500421,0.298145630985,0.927406053253,0.554148507077,0.567010336746,0.558026467853,113,15,15,16,150,112,3,5,5,106,98,6,6,6,174,8267,807,881,881,9442
1995-11-14,1995-09-21,1996-02-13,0.474993004589,0.447682458439,0.425657496317,0.245630963987,0.821060619814,0.792632155153,0.782369057353,0.582920710258,15,15,16,150,16,3,5,5,106,3,6,6,6,174,6,807,881,881,9442,932
1996-02-13,1995-11-14,1996-05-10,0.489520538787,0.400686638611,0.232373316608,0.515312786951,0.820142405184,0.755042067088,0.557002736692,0.832594363013,15,16,150,16,14,5,5,106,3,6,6,6,174,6,6,881,881,9442,932,992
1996-05-10,1996-02-13,1996-09-23,0.452046475957,0.228725164149,0.453517224399,0.706089929234,0.810192021105,0.543824953301,0.798353336955,0.879751919296,16,150,16,14,18,5,106,3,6,7,6,174,6,6,7,881,9442,932,992,995
1996-09-23,1996-05-10,1996-11-13,0.668994651454,0.24828687288,0.270339574474,0.268398581962,0.921015953878,0.586986511902,0.578251709089,0.563673960379,150,16,14,18,169,106,3,6,7,145,174,6,6,7,124,9442,932,992,995,9935
1996-11-13,1996-09-23,1997-02-14,0.556546218609,0.508331602614,0.533316912229,0.259837955482,0.878634089185,0.815836545375,0.818171558921,0.525485683628,16,14,18,169,9,3,6,7,145,3,6,6,7,124,6,932,992,995,9935,727
1997-02-14,1996-11-13,1997-05-14,0.526941237499,0.460186967056,0.248187895455,0.706273596867,0.856367381791,0.795783165453,0.5346981283,0.88430042992,14,18,169,9,9,6,7,145,3,4,6,7,124,6,9,992,995,9935,727,856
1997-05-14,1997-02-14,1997-09-18,0.0904238472559,0.11908701133,0.109187541781,0.121629792966,0.173819727384,0.218192718191,0.178934711766,0.207081499784,18,169,9,9,37,7,145,3,4,123,7,124,6,9,462,995,9935,727,856,5732
1997-09-18,1997-05-14,1997-11-12,0.672033805843,0.252540330268,0.258795954362,0.109923606053,0.928259756147,0.523098949881,0.539392957558,0.208540018326,169,9,9,37,180,145,3,4,123,135,124,6,9,462,147,9935,727,856,5732,9625
1997-11-12,1997-09-18,1998-02-11,0.770239487402,0.586934480826,0.100151944605,0.262376960207,0.948105991069,0.854290483489,0.179009939105,0.529823877032,9,9,37,180,10,3,4,123,135,3,6,9,462,147,6,727,856,5732,9625,725
1998-02-11,1997-11-12,1998-05-13,0.686457626563,0.103630381249,0.255675451609,0.647903237741,0.903097387656,0.194134214778,0.542701215078,0.855927497636,9,37,180,10,12,4,123,135,3,4,9,462,147,6,6,856,5732,9625,725,894
1998-05-13,1998-02-11,1998-09-23,0.105251023033,0.254124054231,0.647666794077,0.741735448411,0.184919761489,0.534675217496,0.859539527168,0.90368026569,37,180,10,12,11,123,135,3,4,3,462,147,6,6,6,5732,9625,725,894,820
1998-09-23,1998-05-13,1998-11-12,0.67468770407,0.233540737878,0.244856256026,0.242715591916,0.929377606927,0.500161289468,0.525672923821,0.516301679214,180,10,12,11,185,135,3,4,3,154,147,6,6,6,126,9625,725,894,820,10782
1998-11-12,1998-09-23,1999-02-10,0.660930749154,0.541759431238,0.566430744154,0.245796974618,0.884575200508,0.822869245054,0.827778360916,0.528621789977,10,12,11,185,13,3,4,3,154,8,6,6,6,126,6,725,894,820,10782,934
1999-02-10,1998-11-12,1999-05-11,0.382013453275,0.297648222666,0.186638615283,0.345351504837,0.666488256374,0.608337988144,0.491163260547,0.623602388518,12,11,185,13,22,4,3,154,8,40,6,6,126,6,98,894,820,10782,934,2133
1999-05-11,1999-02-10,1999-09-21,0.567127441401,0.231387690866,0.549356174714,0.347840816877,0.831831523007,0.530407258362,0.788259150995,0.631851748962,11,185,13,22,20,3,154,8,40,12,6,126,6,98,8,820,10782,934,2133,1237
1999-09-21,1999-05-11,1999-11-05,0.608156934872,0.261567488106,0.220095103125,0.286553450623,0.900469065575,0.525696301223,0.528257525699,0.558999429761,185,13,22,20,226,154,8,40,12,212,126,6,98,8,241,10782,934,2133,1237,12797
1999-11-05,1999-09-21,2000-02-08,0.732152199524,0.325004800292,0.532416532258,0.295725855873,0.89953975016,0.598690807669,0.781608642478,0.572343846183,13,22,20,226,12,8,40,12,212,11,6,98,8,241,6,934,2133,1237,12797,1050
2000-02-08,1999-11-05,2000-05-08,0.359803472308,0.515395980989,0.284650020047,0.600759937249,0.646864844087,0.806350223584,0.582889779019,0.850714393818,22,20,226,12,17,40,12,212,11,13,98,8,241,6,6,2133,1237,12797,1050,1234
