filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-08-09,2002-05-14,2002-11-12,0.268626055518,0.215239879289,0.20969220401,0.221535815852,0.402784628686,0.36914693578,0.433256354044,0.390794423751,58,62,958,190,244,155,104,1598,145,613,115,76,1472,108,1443,4263,4597,50631,5943,24897
2002-11-12,2002-08-09,2003-03-12,0.142387650824,0.167149846848,0.169120375389,0.332884447465,0.235310887897,0.349314757976,0.325346779289,0.514941659803,62,958,190,244,857,104,1598,145,613,3459,76,1472,108,1443,5210,4597,50631,5943,24897,85919
2003-03-12,2002-11-12,2003-05-14,0.527569158172,0.419010620649,0.288817325642,0.282376951003,0.692973003065,0.663290682303,0.485322127935,0.460324263607,958,190,244,857,598,1598,145,613,3459,743,1472,108,1443,5210,711,50631,5943,24897,85919,28500
2003-05-14,2003-03-12,2003-08-08,0.183218790767,0.229327896112,0.186884458843,0.441966547872,0.42226845075,0.445824353238,0.342395756289,0.585730806653,190,244,857,598,277,145,613,3459,743,548,108,1443,5210,711,1028,5943,24897,85919,28500,14907
2003-08-08,2003-05-14,2003-11-12,0.239320600715,0.163720468177,0.47665994035,0.668866816544,0.454516103188,0.313854057008,0.595203998302,0.812822160106,244,857,598,277,187,613,3459,743,548,456,1443,5210,711,1028,771,24897,85919,28500,14907,14744
2003-11-12,2003-08-08,2004-03-05,0.165793958015,0.385853671782,0.239803209589,0.281044557742,0.261980511177,0.633642480273,0.438762630764,0.488986677742,857,598,277,187,100,3459,743,548,456,102,5210,711,1028,771,72,85919,28500,14907,14744,6492
2004-03-05,2003-11-12,2004-05-07,0.687364490117,0.282011292448,0.232019340815,0.519537511789,0.902090170251,0.476652844822,0.438351050993,0.691386309654,598,277,187,100,523,743,548,456,102,568,711,1028,771,72,578,28500,14907,14744,6492,24999
2004-05-07,2004-03-05,2004-08-06,0.271333524986,0.22291151031,0.492300571128,0.515107406583,0.514320312824,0.471191654684,0.746137469732,0.731596892148,277,187,100,523,163,548,456,102,568,117,1028,771,72,578,171,14907,14744,6492,24999,6876
2004-08-06,2004-05-07,2004-11-05,0.288761257214,0.568340906686,0.565707213649,0.577245106838,0.479062203802,0.781339407656,0.742521733294,0.774520211645,187,100,523,163,91,456,102,568,117,98,771,72,578,171,96,14744,6492,24999,6876,6386
2004-11-05,2004-08-06,2005-03-04,0.637403339339,0.503325603402,0.582667152656,0.616396524156,0.829756452293,0.717348199699,0.801609163144,0.803822146772,100,523,163,91,133,102,568,117,98,129,72,578,171,96,323,6492,24999,6876,6386,8713
2005-03-04,2004-11-05,2005-05-06,0.462083148565,0.297245377585,0.310429929589,0.325023986144,0.710019852246,0.561374350663,0.543621237903,0.571354634287,523,163,91,133,733,568,117,98,129,1549,578,171,96,323,2189,24999,6876,6386,8713,50349
2005-05-06,2005-03-04,2005-08-08,0.647574270789,0.323758904481,0.307037351079,0.207732441025,0.853472649926,0.614564154618,0.620362567178,0.501633972708,163,91,133,733,351,117,98,129,1549,157,171,96,323,2189,128,6876,6386,8713,50349,9607
2005-08-08,2005-05-06,2005-11-08,0.798393212174,0.557427262862,0.321930303953,0.401044545245,0.908294321764,0.785316310517,0.55920302694,0.692046973135,91,133,733,351,109,98,129,1549,157,103,96,323,2189,128,99,6386,8713,50349,9607,7166
2005-11-08,2005-08-08,2006-03-03,0.687143096279,0.323077151915,0.38649007101,0.772024675091,0.861017704354,0.563415605822,0.682035844938,0.901796876703,133,733,351,109,117,129,1549,157,103,93,323,2189,128,99,111,8713,50349,9607,7166,7436
2006-03-03,2005-11-08,2006-03-07,0.848167145961,0.149652037277,0.132311163653,0.134884685922,0.864661772195,0.3041217473,0.279654591047,0.283462646427,733,351,109,117,1650,1549,157,103,93,3600,2189,128,99,111,5400,50349,9607,7166,7436,105051
2006-03-07,2006-03-03,2006-05-05,0.362714728248,0.650784473317,0.656867613627,0.197488555532,0.641568724065,0.789599458286,0.789167416796,0.350013839519,351,109,117,1650,544,157,103,93,3600,534,128,99,111,5400,450,9607,7166,7436,105051,27443
2006-05-05,2006-03-07,2006-08-07,0.642355516981,0.636285247114,0.142693019218,0.640357629116,0.847458052673,0.839925238106,0.305227035314,0.801315923423,109,117,1650,544,110,103,93,3600,534,103,99,111,5400,450,193,7166,7436,105051,27443,7426
2006-08-07,2006-05-05,2006-11-06,0.660890121255,0.131448870604,0.630523142911,0.717721034951,0.866375719988,0.283622215696,0.785696743956,0.870892221208,117,1650,544,110,137,93,3600,534,103,106,111,5400,450,193,115,7436,105051,27443,7426,8736
2006-11-06,2006-08-07,2007-02-26,0.133784329862,0.636106592969,0.689517448874,0.771418810885,0.288405843727,0.794797325278,0.853367410709,0.895825406709,1650,544,110,137,163,3600,534,103,106,138,5400,450,193,115,111,105051,27443,7426,8736,9969
