filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-06-12,1995-05-01,1995-09-14,0.683129255065,0.581019008731,0.596284671605,0.260626267597,0.919614519614,0.850583660274,0.857166308848,0.503473475506,27,38,40,253,25,49,52,45,330,19,25,29,32,1165,9,1731,2209,2178,19448,1397
1995-09-14,1995-06-12,1995-12-15,0.689889502278,0.599150283712,0.245022122181,0.656855536996,0.9304077563,0.87248747637,0.500425901455,0.882000042083,38,40,253,25,30,52,45,330,19,28,29,32,1165,9,20,2209,2178,19448,1397,1844
1995-12-15,1995-09-14,1996-04-30,0.662263073358,0.238074459821,0.638855989716,0.728619683725,0.924845767354,0.487942653011,0.885720100816,0.912377157015,40,253,25,30,28,45,330,19,28,29,32,1165,9,20,18,2178,19448,1397,1844,1827
1996-04-30,1995-12-15,1996-06-14,0.540043047972,0.282393172935,0.277151407998,0.273415233638,0.777820294641,0.506261695136,0.506849723881,0.49635992205,253,25,30,28,261,330,19,28,29,357,1165,9,20,18,642,19448,1397,1844,1827,21186
1996-06-14,1996-04-30,1996-09-16,0.626031494605,0.506645010823,0.532138722266,0.353316855748,0.863286192481,0.809129926051,0.826905458974,0.562471619477,25,30,28,261,29,19,28,29,357,52,9,20,18,642,18,1397,1844,1827,21186,2058
1996-09-16,1996-06-14,1996-12-16,0.593043415136,0.527163022608,0.357199910917,0.734888594699,0.866246333872,0.830693014996,0.579625636273,0.905431554914,30,28,261,29,37,28,29,357,52,67,20,18,642,18,40,1844,1827,21186,2058,3055
1996-12-16,1996-09-16,1997-03-03,0.563335215706,0.352467379152,0.725945170048,0.797001826479,0.858180233127,0.583382307747,0.914371540433,0.94414751192,28,261,29,37,39,29,357,52,67,85,18,642,18,40,39,1827,21186,2058,3055,3225
1997-03-03,1996-12-16,1997-05-01,0.351096546168,0.706194764626,0.778382974351,0.959240180173,0.581540451637,0.907143115743,0.939240903306,0.991231087642,261,29,37,39,39,357,52,67,85,89,642,18,40,39,41,21186,2058,3055,3225,3397
1997-05-01,1997-03-03,1997-06-16,0.455535911929,0.466507695428,0.479563996734,0.490871298049,0.727556466471,0.738848599099,0.751083216051,0.755407006066,29,37,39,39,189,52,67,85,89,264,18,40,39,41,196,2058,3055,3225,3397,14822
1997-06-16,1997-05-01,1997-09-15,0.614895007616,0.634042375356,0.643124112929,0.498349624881,0.864506972498,0.880023414107,0.88406479763,0.76111182861,37,39,39,189,36,67,85,89,264,100,40,39,41,196,29,3055,3225,3397,14822,2795
