filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-02-25,2001-11-07,2002-04-29,0.824022831958,0.406118213294,0.602660339671,0.578024269781,0.949624449384,0.670984622574,0.763973190975,0.740066641216,514,277,222,205,739,1404,1149,792,779,1757,1395,1579,497,483,2142,36136,26351,14808,14456,50282
2002-04-29,2002-02-25,2002-08-02,0.397093996693,0.578148201578,0.594989949672,0.633640821004,0.658588192898,0.74599418257,0.744847445086,0.809774985189,277,222,205,739,214,1149,792,779,1757,865,1579,497,483,2142,839,26351,14808,14456,50282,16744
2002-08-02,2002-04-29,2002-10-31,0.79516547279,0.687750824518,0.585588498372,0.654850914556,0.938115538391,0.860884214953,0.753509711692,0.782438605726,222,205,739,214,238,792,779,1757,865,884,497,483,2142,839,602,14808,14456,50282,16744,15535
2002-10-31,2002-08-02,2003-02-28,0.791325332073,0.560480521425,0.606009766414,0.74786317996,0.932776967028,0.756412080777,0.773479928479,0.878814708409,205,739,214,238,231,779,1757,865,884,794,483,2142,839,602,502,14456,50282,16744,15535,16368
2003-02-28,2002-10-31,2003-04-24,0.615213776406,0.455092108673,0.42698355017,0.426059320701,0.824268352212,0.698742953529,0.643163528831,0.655427009203,739,214,238,231,820,1757,865,884,794,2178,2142,839,602,502,2829,50282,16744,15535,16368,65382
2003-04-24,2003-02-28,2003-07-31,0.635866097126,0.669024179538,0.657072474132,0.457862477886,0.795874623228,0.84905747054,0.84876392948,0.663865221742,214,238,231,820,175,865,884,794,2178,515,839,602,502,2829,283,16744,15535,16368,65382,10629
2003-07-31,2003-04-24,2003-10-30,0.645923998205,0.526750561454,0.408716195426,0.645655469935,0.838405141538,0.769448204259,0.652034836066,0.807532380153,238,231,820,175,269,884,794,2178,515,669,602,502,2829,283,687,15535,16368,65382,10629,17253
2003-10-30,2003-07-31,2004-02-27,0.75308818517,0.455695201066,0.74158112404,0.645505282215,0.898772855426,0.670673371232,0.8679136381,0.826827233005,231,820,175,269,251,794,2178,515,669,577,502,2829,283,687,484,16368,65382,10629,17253,14710
2004-02-27,2003-10-30,2004-04-29,0.830156923893,0.561823437963,0.505984223617,0.57817026423,0.917242498651,0.744557104628,0.724409767695,0.754453703459,820,175,269,251,770,2178,515,669,577,1718,2829,283,687,484,2167,65382,10629,17253,14710,53546
2004-04-29,2004-02-27,2004-07-29,0.820409026488,0.590643024706,0.702554621722,0.573713502749,0.938815394816,0.785953964958,0.844745285118,0.739632922962,175,269,251,770,185,515,669,577,1718,392,283,687,484,2167,247,10629,17253,14710,53546,9984
