filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-10,1995-05-10,0.830042000753,0.302646228582,0.305711479843,0.347736034036,0.897341711276,0.554621089286,0.514284938559,0.558313041382,437,49,54,58,389,610,16,19,24,503,1002,10,9,11,744,23356,2247,2595,2776,21692
1995-05-10,1995-03-28,1995-08-10,0.51507020443,0.465034135107,0.525761431148,0.423165376835,0.823055467206,0.754006528652,0.803738484587,0.644502130621,49,54,58,389,79,16,19,24,503,43,10,9,11,744,27,2247,2595,2776,21692,2992
1995-08-10,1995-05-10,1995-11-09,0.532102544863,0.485243926016,0.386231605736,0.690632335968,0.808667013549,0.774783395661,0.598184943627,0.849290814417,54,58,389,79,76,19,24,503,43,69,9,11,744,27,46,2595,2776,21692,2992,3346
1995-11-09,1995-08-10,1996-03-26,0.264748137435,0.551935498072,0.305342823596,0.320434474689,0.459140914389,0.70346867377,0.478030853058,0.485318154097,58,389,79,76,168,24,503,43,69,281,11,744,27,46,564,2776,21692,2992,3346,9792
1996-03-26,1995-11-09,1996-05-10,0.723114939821,0.514124725482,0.474743493241,0.307641716267,0.868203441736,0.754734125291,0.698964798295,0.50393296906,389,79,76,168,241,503,43,69,281,254,744,27,46,564,249,21692,2992,3346,9792,15433
1996-05-10,1996-03-26,1996-08-06,0.38221793482,0.309031707632,0.416412532648,0.345227281806,0.555283703244,0.486751451788,0.604286440232,0.525876321661,79,76,168,241,108,43,69,281,254,176,27,46,564,249,376,2992,3346,9792,15433,7918
1996-08-06,1996-05-10,1996-11-08,0.393503413992,0.420650128406,0.337782145021,0.934748678592,0.561490135621,0.610752315182,0.525843885221,0.972153301171,76,168,241,108,122,69,281,254,176,174,46,564,249,376,394,3346,9792,15433,7918,8192
1996-11-08,1996-08-06,1997-03-26,0.341690876024,0.537332489588,0.373580050381,0.424916386952,0.531139641526,0.772256864154,0.53707076522,0.56825548476,168,241,108,122,80,281,254,176,174,103,564,249,376,394,46,9792,15433,7918,8192,4228
1997-03-26,1996-11-08,1997-05-12,0.875169353268,0.322022211428,0.328075887723,0.553582169257,0.973897920084,0.51500166933,0.518444282432,0.78294921337,241,108,122,80,265,254,176,174,103,273,249,376,394,46,274,15433,7918,8192,4228,16204
1997-05-12,1997-03-26,1997-08-08,0.43950388805,0.42522468894,0.335021020237,0.339499057836,0.660519893023,0.64706344086,0.576798447709,0.569605380833,108,122,80,265,127,176,174,103,273,166,376,394,46,274,409,7918,8192,4228,16204,8276
1997-08-08,1997-05-12,1997-11-03,0.38531120753,0.616202292393,0.552024039768,0.367942549056,0.565005757312,0.872947522525,0.778101564906,0.575639171046,122,80,265,127,116,174,103,273,166,98,394,46,274,409,52,8192,4228,16204,8276,4846
1997-11-03,1997-08-08,1998-03-26,0.711948936933,0.552804490186,0.368164049061,0.821779929853,0.933873805091,0.781077908984,0.580631160827,0.921197223535,80,265,127,116,110,103,273,166,98,99,46,274,409,52,54,4228,16204,8276,4846,4834
1998-03-26,1997-11-03,1998-05-12,0.814381452887,0.338994547384,0.543628331184,0.552196385454,0.951032131182,0.58016980305,0.782403360198,0.78769168298,265,127,116,110,359,273,166,98,99,473,274,409,52,54,517,16204,8276,4846,4834,21299
1998-05-12,1998-03-26,1998-08-12,0.370330136923,0.618808074917,0.626807038111,0.594709254624,0.598890925933,0.859481011961,0.862065943599,0.830183542503,127,116,110,359,101,166,98,99,473,105,409,52,54,517,54,8276,4846,4834,21299,5567
1998-08-12,1998-05-12,1998-11-09,0.704987090521,0.602296447565,0.557580336539,0.793996832216,0.920674332762,0.852119712677,0.797132805501,0.919484556329,116,110,359,101,107,98,99,473,105,114,52,54,517,54,54,4846,4834,21299,5567,5919
1998-11-09,1998-08-12,1999-03-26,0.694813132612,0.557651850271,0.749059912051,0.766511901431,0.91653376145,0.808243906662,0.912474544965,0.913222911578,110,359,101,107,108,99,473,105,114,135,54,517,54,54,54,4834,21299,5567,5919,6050
1999-03-26,1998-11-09,1999-05-12,0.705855266718,0.534109749179,0.513519851376,0.541928309605,0.899579990627,0.77954760643,0.752024598262,0.765468659827,359,101,107,108,456,473,105,114,135,548,517,54,54,54,560,21299,5567,5919,6050,23051
1999-05-12,1999-03-26,1999-08-11,0.699588312185,0.624517145446,0.66317789443,0.597683238652,0.897426788182,0.834594545884,0.845669548804,0.801030820823,101,107,108,456,94,105,114,135,548,129,54,54,54,560,54,5567,5919,6050,23051,5800
1999-08-11,1999-05-12,1999-11-10,0.711891743361,0.63852089414,0.560186137531,0.795358936268,0.903139394494,0.845170279046,0.775979528778,0.91766221271,107,108,456,94,95,114,135,548,129,138,54,54,560,54,57,5919,6050,23051,5800,6154
1999-11-10,1999-08-11,2000-03-27,0.726300460999,0.554488276581,0.780612619151,0.82431571843,0.898567628795,0.76978353027,0.914712996463,0.920406069004,108,456,94,95,94,135,548,129,138,124,54,560,54,57,54,6050,23051,5800,6154,6093
2000-03-27,1999-11-10,2000-05-10,0.809706724174,0.622502071893,0.596721980872,0.597445191038,0.93680113127,0.839638378661,0.812847019412,0.809701107629,456,94,95,94,322,548,129,138,124,359,560,54,57,54,329,23051,5800,6154,6093,18143
2000-05-10,2000-03-27,2000-08-09,0.797504799697,0.693069092958,0.704419669491,0.63734028551,0.953306779227,0.886902186918,0.891983359588,0.835666771943,94,95,94,322,92,129,138,124,359,106,54,57,54,329,58,5800,6154,6093,18143,5106
2000-08-09,2000-05-10,2000-11-09,0.428898086394,0.378736216057,0.356373968518,0.444262435861,0.658578375612,0.618862120112,0.596287765432,0.655992531355,95,94,322,92,135,138,124,359,106,191,57,54,329,58,433,6154,6093,18143,5106,9372
2000-11-09,2000-08-09,2001-03-28,0.750305949363,0.574147422049,0.739571815853,0.435422920652,0.941012999775,0.799430242996,0.89904059358,0.643235740345,94,322,92,135,104,124,359,106,191,130,54,329,58,433,64,6093,18143,5106,9372,5714
2001-03-28,2000-11-09,2001-05-09,0.699712320054,0.492211296066,0.420981603687,0.476029632669,0.850647538784,0.717058982796,0.660479680982,0.693021032536,322,92,135,104,510,359,106,191,130,707,329,58,433,64,1083,18143,5106,9372,5714,28722
2001-05-09,2001-03-28,2001-08-09,0.448872701469,0.439203234815,0.384052774341,0.67178881415,0.649665172206,0.678408569646,0.595020411222,0.799571446292,92,135,104,510,161,106,191,130,707,229,58,433,64,1083,449,5106,9372,5714,28722,10921
2001-08-09,2001-05-09,2001-11-14,0.427987249857,0.649168874816,0.470900948135,0.45923736032,0.654356115176,0.863459747672,0.677708329922,0.622272426783,135,104,510,161,103,191,130,707,229,161,433,64,1083,449,66,9372,5714,28722,10921,6750
2001-11-14,2001-08-09,2002-03-27,0.749740952447,0.470652421904,0.446540488714,0.830284198938,0.932287385186,0.68021638227,0.622283676203,0.925950231909,104,510,161,103,112,130,707,229,161,169,64,1083,449,66,67,5714,28722,10921,6750,6925
2002-03-27,2001-11-14,2002-05-13,0.678456953122,0.412204259536,0.64852239788,0.661599483611,0.833608554278,0.608928589572,0.831432875601,0.837090988302,510,161,103,112,316,707,229,161,169,465,1083,449,66,67,301,28722,10921,6750,6925,19687
2002-05-13,2002-03-27,2002-08-13,0.449397529495,0.6719492976,0.675103690894,0.665247194913,0.645980973753,0.871021003627,0.873374574247,0.838175842184,161,103,112,316,99,229,161,169,465,157,449,66,67,301,54,10921,6750,6925,19687,6671
2002-08-13,2002-05-13,2002-11-12,0.764175447297,0.642790041124,0.615453879106,0.759111245537,0.929510258501,0.853465211506,0.79482481708,0.894969972965,103,112,316,99,113,161,169,465,157,165,66,67,301,54,62,6750,6925,19687,6671,7042
2002-11-12,2002-08-13,2003-03-27,0.73178832477,0.600787751578,0.726347249625,0.757764032677,0.911570501339,0.790531955439,0.882403516547,0.883611443482,112,316,99,113,121,169,465,157,165,180,67,301,54,62,65,6925,19687,6671,7042,7854
2003-03-27,2002-11-12,2003-05-12,0.75162095018,0.561024946379,0.53601296517,0.546972187763,0.921054254772,0.792818542083,0.759018417193,0.769569020804,316,99,113,121,361,465,157,165,180,633,301,54,62,65,588,19687,6671,7042,7854,24689
2003-05-12,2003-03-27,2003-08-12,0.769230767701,0.684236266139,0.730867146828,0.601274974633,0.934971460157,0.860989787861,0.886931486296,0.81487031995,99,113,121,361,122,157,165,180,633,202,54,62,65,588,77,6671,7042,7854,24689,8407
2003-08-12,2003-05-12,2003-11-12,0.833611144294,0.684215464611,0.549466285391,0.769503702612,0.949254263479,0.870394173825,0.766285963862,0.892744306745,113,121,361,122,130,165,180,633,202,175,62,65,588,77,67,7042,7854,24689,8407,8263
2003-11-12,2003-08-12,2004-03-11,0.819208924758,0.544571188,0.752594597369,0.779459920114,0.958267174358,0.766194513526,0.893319848501,0.897747650474,121,361,122,130,130,180,633,202,175,180,65,588,77,67,64,7854,24689,8407,8263,8574
2004-03-11,2003-11-12,2004-05-06,0.740515596631,0.519036383767,0.486164122462,0.487686489325,0.881869969072,0.723913350233,0.68101450407,0.685001272134,361,122,130,130,562,633,202,175,180,992,588,77,67,64,1207,24689,8407,8263,8574,35188
2004-05-06,2004-03-11,2004-08-06,0.816690595976,0.727651397953,0.729528040895,0.561531129876,0.951038252816,0.879128991286,0.88164725644,0.746414733331,122,130,130,562,138,202,175,180,992,191,77,67,64,1207,63,8407,8263,8574,35188,8761
2004-08-06,2004-05-06,2004-11-08,0.834977658524,0.697001180766,0.52845811491,0.826882478151,0.953528221751,0.869509585214,0.72241524445,0.920370951197,130,130,562,138,145,175,180,992,191,217,67,64,1207,63,64,8263,8574,35188,8761,9554
2004-11-08,2004-08-06,2005-03-10,0.813112316316,0.530699300124,0.81738822768,0.812554513739,0.949603289054,0.728278458242,0.922612767578,0.915952129916,130,562,138,145,160,180,992,191,217,255,64,1207,63,64,75,8574,35188,8761,9554,10191
2005-03-10,2004-11-08,2005-05-06,0.771078666924,0.670728274545,0.64005522954,0.653072889617,0.902056557296,0.82045061041,0.796369204587,0.80835626052,562,138,145,160,400,992,191,217,255,706,1207,63,64,75,559,35188,8761,9554,10191,26781
2005-05-06,2005-03-10,2005-08-05,0.840767993404,0.750921496472,0.75760798053,0.693062207961,0.957507263175,0.894777719993,0.902000397944,0.834439792113,138,145,160,400,154,191,217,255,706,233,63,64,75,559,68,8761,9554,10191,26781,10301
2005-08-05,2005-05-06,2005-11-08,0.856426352615,0.746203812396,0.6610761597,0.848155834805,0.961546107924,0.895555308089,0.803902448599,0.925346950022,145,160,400,154,155,217,255,706,233,235,64,75,559,68,65,9554,10191,26781,10301,10323
2005-11-08,2005-08-05,2006-02-28,0.847266202635,0.662275334038,0.840436092238,0.84334466055,0.962099556718,0.805370862864,0.925007913316,0.925733791446,160,400,154,155,161,255,706,233,235,234,75,559,68,65,67,10191,26781,10301,10323,10590
2006-02-28,2005-11-08,2006-05-08,0.88482386544,0.735319134575,0.709040624005,0.717965151943,0.957001607472,0.86036969021,0.835620116228,0.838187353075,400,154,155,161,364,706,233,235,234,617,559,68,65,67,373,26781,10301,10323,10590,25367
2006-05-08,2006-02-28,2006-08-07,0.866518974129,0.775030314234,0.776847899325,0.777713850523,0.956331373842,0.890263918688,0.890422967598,0.892156575009,154,155,161,364,154,233,235,234,617,213,68,65,67,373,90,10301,10323,10590,25367,10396
2006-08-07,2006-05-08,2006-11-08,0.876939763041,0.767313609344,0.749131882422,0.855332465042,0.95908281134,0.891863394618,0.870031675208,0.931864312872,155,161,364,154,160,235,234,617,213,225,65,67,373,90,81,10323,10590,25367,10396,10725
2006-11-08,2006-08-07,2007-02-28,0.700819363339,0.612140828613,0.682229153608,0.678342693074,0.838536910079,0.769961749372,0.819726743517,0.810920755549,161,364,154,160,198,234,617,213,225,331,67,373,90,81,430,10590,25367,10396,10725,15618
2007-02-28,2006-11-08,2007-05-09,0.924383981931,0.770486251616,0.746906516061,0.626207536428,0.982610184126,0.887353964931,0.866970382785,0.773473356943,364,154,160,198,414,617,213,225,331,692,373,90,81,430,392,25367,10396,10725,15618,26707
2007-05-09,2007-02-28,2007-08-08,0.871727201805,0.78630974411,0.655587888234,0.758777368385,0.97152984411,0.910314430386,0.812977868903,0.884098939248,154,160,198,414,170,213,225,331,692,234,90,81,430,392,119,10396,10725,15618,26707,10811
2007-08-08,2007-05-09,2007-11-08,0.894163729246,0.648109245866,0.739455127747,0.820114169643,0.976639267635,0.807103692766,0.863196639155,0.918047497599,160,198,414,170,160,225,331,692,234,232,81,430,392,119,103,10725,15618,26707,10811,11375
2007-11-08,2007-08-08,2008-02-29,0.735814395884,0.745472672847,0.8184213355,0.835296061519,0.860432185141,0.865426443581,0.918361158076,0.922824262701,198,414,170,160,169,331,692,234,232,240,430,392,119,103,90,15618,26707,10811,11375,11244
2008-02-29,2007-11-08,2008-05-08,0.932540708603,0.746034994469,0.732585296853,0.745527605247,0.986970473152,0.875168310991,0.856067741254,0.859578547937,414,170,160,169,447,692,234,232,240,738,392,119,103,90,436,26707,10811,11375,11244,27788
2008-05-08,2008-02-29,2008-08-11,0.870082941831,0.78693963466,0.797138455747,0.748941068025,0.966473037195,0.903286736292,0.90736537137,0.870796014906,170,160,169,447,149,234,232,240,738,248,119,103,90,436,111,10811,11375,11244,27788,11545
2008-08-11,2008-05-08,2008-11-07,0.6640527871,0.598482529195,0.564097874984,0.665874343421,0.842260536019,0.793091369344,0.75823232026,0.826978078363,160,169,447,149,205,232,240,738,248,344,103,90,436,111,503,11375,11244,27788,11545,16232
2008-11-07,2008-08-11,2009-02-20,0.817370544647,0.69195761002,0.813035576323,0.632391498489,0.939521594294,0.844201750872,0.918604025708,0.815896966903,169,447,149,205,174,240,738,248,344,370,90,436,111,503,161,11244,27788,11545,16232,13904
2009-02-20,2008-11-07,2009-05-08,0.521105247334,0.432119578146,0.466701438481,0.443944453791,0.687594079187,0.617277651472,0.675315685723,0.633645326574,447,149,205,174,1160,738,248,344,370,2540,436,111,503,161,3251,27788,11545,16232,13904,77262
2009-05-08,2009-02-20,2009-08-07,0.726222021708,0.517267802822,0.683210612972,0.459900170657,0.87414016415,0.725895890625,0.852993719568,0.630549055977,149,205,174,1160,315,248,344,370,2540,795,111,503,161,3251,169,11545,16232,13904,77262,22389
