filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-31,1994-11-14,1995-04-07,0.842509715408,0.630765065605,0.648088536871,0.651043518213,0.941047972979,0.814886453609,0.823051598375,0.827334797176,233,69,83,90,295,573,196,218,223,814,384,105,132,135,920,21019,5619,6677,6934,28934
1995-04-07,1995-03-31,1995-05-15,0.129454043538,0.135616140694,0.13613762577,0.257995341832,0.252187839624,0.255641991535,0.263957660943,0.389454475383,69,83,90,295,3,196,218,223,814,3,105,132,135,920,18,5619,6677,6934,28934,687
1995-05-15,1995-04-07,1995-08-11,0.725628413632,0.722855803449,0.688680013734,0.129433644031,0.890822978028,0.892684580516,0.821197983936,0.237946079669,83,90,295,3,86,218,223,814,3,284,132,135,920,18,192,6677,6934,28934,687,7856
1995-08-11,1995-05-15,1995-11-14,0.705107386902,0.679321046688,0.135326225953,0.913284241254,0.885240948085,0.8211928636,0.244610841446,0.96060270156,90,295,3,86,82,223,814,3,284,284,135,920,18,192,189,6934,28934,687,7856,8053
1995-11-14,1995-08-11,1996-03-29,0.679496933601,0.130770698029,0.906871279143,0.917777809325,0.823267788872,0.246481114724,0.961762932509,0.963419242218,295,3,86,82,83,814,3,284,284,277,920,18,192,189,188,28934,687,7856,8053,7979
1996-03-29,1995-11-14,1996-04-01,0.270034589052,0.735962830649,0.729771522203,0.742297801037,0.384328902037,0.856996512146,0.853456388752,0.860265817162,3,86,82,83,239,3,284,284,277,673,18,192,189,188,500,687,7856,8053,7979,24157
1996-04-01,1996-03-29,1996-05-15,0.736175772726,0.729825020401,0.742206224746,0.999457051019,0.857134343969,0.853508068026,0.860186473673,0.999756226799,86,82,83,239,241,284,284,277,673,675,192,189,188,500,501,7856,8053,7979,24157,24303
1996-05-15,1996-04-01,1996-08-13,0.868265632397,0.872315692313,0.766762188106,0.766516102726,0.952859607241,0.954788368905,0.858762758806,0.858547845901,82,83,239,241,81,284,277,673,675,271,189,188,500,501,194,8053,7979,24157,24303,7821
1996-08-13,1996-05-15,1996-11-13,0.861871280692,0.760030293112,0.759725616147,0.940399469747,0.952345516512,0.85811444688,0.857830290222,0.970618568058,83,239,241,81,81,277,673,675,271,273,188,500,501,194,193,7979,24157,24303,7821,8028
1996-11-13,1996-08-13,1997-03-28,0.763889093512,0.763661723899,0.941022107585,0.941492085287,0.857926241328,0.857660815128,0.971050643225,0.970247270526,239,241,81,81,82,673,675,271,273,269,500,501,194,193,193,24157,24303,7821,8028,7804
