filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-10,1996-11-21,1997-03-31,0.0880530012886,0.429507719511,0.303718985917,0.15635151958,0.231397100098,0.680970475148,0.516407072106,0.325339958942,18,315,331,27,129,21,1076,1391,57,840,24,2226,2979,200,1670,3626,28131,42531,3854,16333
1997-03-31,1997-03-10,1997-05-15,0.517251199524,0.466513313153,0.268961305035,0.351587095144,0.714404640559,0.627463098509,0.408251009151,0.59814500653,315,331,27,129,1400,1076,1391,57,840,5545,2226,2979,200,1670,12590,28131,42531,3854,16333,163645
1997-05-15,1997-03-31,1997-08-14,0.756105211671,0.213263187575,0.320281877707,0.568055057142,0.850968049717,0.378661014774,0.560045557881,0.747887369423,331,27,129,1400,861,1391,57,840,5545,3836,2979,200,1670,12590,7933,42531,3854,16333,163645,105689
1997-08-14,1997-05-15,1997-08-19,0.301107532156,0.375108664778,0.60207246437,0.443793615662,0.527418947626,0.57429735403,0.712055028885,0.559258645625,27,129,1400,861,882,57,840,5545,3836,2777,200,1670,12590,7933,6473,3854,16333,163645,105689,87545
1997-08-19,1997-08-14,1997-10-06,0.130556603966,0.213471296633,0.236011788529,0.257683748163,0.26378894694,0.355117366137,0.376898372384,0.394629182518,129,1400,861,882,29,840,5545,3836,2777,107,1670,12590,7933,6473,82,16333,163645,105689,87545,7228
1997-10-06,1997-08-19,1997-11-14,0.215291666368,0.235845681281,0.25724902497,0.993073999359,0.35908099881,0.377752870702,0.394839290568,0.998595146779,1400,861,882,29,29,5545,3836,2777,107,110,12590,7933,6473,82,88,163645,105689,87545,7228,7299
1997-11-14,1997-10-06,1998-03-24,0.49059624309,0.782084657667,0.396155044624,0.397281047198,0.62571047611,0.870310478978,0.548780455335,0.549620953664,861,882,29,29,494,3836,2777,107,110,1499,7933,6473,82,88,3542,105689,87545,7228,7299,53200
1998-03-24,1997-11-14,1998-04-13,0.673936548451,0.459967592114,0.457892581109,0.717132594511,0.78092854559,0.618647602582,0.616579230948,0.82001437184,882,29,29,494,537,2777,107,110,1499,966,6473,82,88,3542,1953,87545,7228,7299,53200,51848
1998-04-13,1998-03-24,1998-05-15,0.45988475529,0.457810208015,0.717136496722,0.999975648105,0.618526035909,0.616458107609,0.820012568811,0.999997550819,29,29,494,537,537,107,110,1499,966,966,82,88,3542,1953,1953,7228,7299,53200,51848,51843
1998-05-15,1998-04-13,1998-06-23,0.212386811716,0.539392453208,0.335184730878,0.335175730741,0.350095676151,0.695264682283,0.426465329855,0.426443356868,29,494,537,537,553,110,1499,966,966,2086,88,3542,1953,1953,3766,7299,53200,51848,51843,65087
1998-06-23,1998-05-15,1998-07-02,0.340064629598,0.459118248876,0.459029396464,0.278143597404,0.503869411675,0.590723301018,0.590562382981,0.400648068021,494,537,537,553,42,1499,966,966,2086,154,3542,1953,1953,3766,132,53200,51848,51843,65087,6902
1998-07-02,1998-06-23,1998-08-14,0.458723389571,0.458634475234,0.278134209794,0.999867498087,0.590122748845,0.589961710149,0.400670209338,0.999977974524,537,537,553,42,42,966,966,2086,154,154,1953,1953,3766,132,132,51848,51843,65087,6902,6900
1998-08-14,1998-07-02,1998-11-16,0.879240545391,0.440425350255,0.3494795811,0.349091149547,0.939389729431,0.498340586488,0.459809375785,0.459203733429,537,553,42,42,731,966,2086,154,154,1735,1953,3766,132,132,3885,51843,65087,6902,6900,66236
1998-11-16,1998-08-14,1999-03-31,0.404550649437,0.298219131262,0.297848236715,0.92176434912,0.464871477198,0.40778152801,0.407225711171,0.946772319359,553,42,42,731,981,2086,154,154,1735,2200,3766,132,132,3885,5504,65087,6902,6900,66236,91867
1999-03-31,1998-11-16,1999-05-17,0.332541999209,0.332110462532,0.926236213825,0.898114573469,0.461322339625,0.460675983103,0.973999953495,0.931502368441,42,42,731,981,1200,154,154,1735,2200,2408,132,132,3885,5504,5985,6902,6900,66236,91867,113830
1999-05-17,1999-03-31,1999-06-24,0.338487072638,0.529285555862,0.657178202652,0.535111196796,0.507098221617,0.671984784756,0.782613146319,0.667076781612,42,731,981,1200,125,154,1735,2200,2408,414,132,3885,5504,5985,834,6900,66236,91867,113830,18309
1999-06-24,1999-05-17,1999-08-16,0.341632189049,0.339459330355,0.377794914574,0.487718572425,0.44701583175,0.428784253099,0.476942719182,0.543926296811,731,981,1200,125,21,1735,2200,2408,414,75,3885,5504,5985,834,301,66236,91867,113830,18309,4266
1999-08-16,1999-06-24,1999-11-15,0.904290156371,0.934842978464,0.479862803827,0.330540748919,0.918593003813,0.960538227527,0.5903758239,0.420099876085,981,1200,125,21,1189,2200,2408,414,75,1932,5504,5985,834,301,4761,91867,113830,18309,4266,84997
1999-11-15,1999-08-16,2000-03-15,0.924205790007,0.474269317342,0.314684552425,0.991448499648,0.952567119555,0.585718999221,0.402399065587,0.994366515267,1200,125,21,1189,947,2408,414,75,1932,1519,5985,834,301,4761,3814,113830,18309,4266,84997,68567
2000-03-15,1999-11-15,2000-05-15,0.597572697742,0.364955959834,0.967416939489,0.971778897918,0.699859167946,0.442407311291,0.976847062428,0.980185942236,125,21,1189,947,1264,414,75,1932,1519,2106,834,301,4761,3814,5470,18309,4266,84997,68567,108688
2000-05-15,2000-03-15,2000-08-11,0.146490914402,0.274501576574,0.264872351887,0.323387151953,0.235404147818,0.379077437552,0.36788691884,0.444589160614,21,1189,947,1264,44,75,1932,1519,2106,134,301,4761,3814,5470,254,4266,84997,68567,108688,7306
2000-08-11,2000-05-15,2000-11-14,0.341242710018,0.33494129731,0.408078253824,0.339914175667,0.45451573155,0.449191944118,0.542051504748,0.561013160277,1189,947,1264,44,199,1932,1519,2106,134,949,4761,3814,5470,254,1725,84997,68567,108688,7306,29345
2000-11-14,2000-08-11,2001-03-12,0.994720194248,0.965647984987,0.264802987054,0.32988934773,0.996774661945,0.973689852333,0.361196686699,0.43748006848,947,1264,44,199,1288,1519,2106,134,949,1910,3814,5470,254,1725,5226,68567,108688,7306,29345,94262
2001-03-12,2000-11-14,2001-03-30,0.364607922039,0.630915036957,0.303505348742,0.352634901153,0.505782369405,0.788097286276,0.481488500345,0.463688410881,1264,44,199,1288,37,2106,134,949,1910,115,5470,254,1725,5226,81,108688,7306,29345,94262,7199
2001-03-30,2001-03-12,2001-04-30,0.298350336437,0.367067833628,0.983504268009,0.365677739608,0.411793630044,0.491297316417,0.988366295252,0.497220341233,44,199,1288,37,1634,134,949,1910,115,2494,254,1725,5226,81,6592,7306,29345,94262,7199,132109
2001-04-30,2001-03-30,2001-05-15,0.367243663594,0.982926692436,0.368542831712,0.999641762745,0.491874573852,0.987951774713,0.501190565037,0.999883090058,199,1288,37,1634,1658,949,1910,115,2494,2519,1725,5226,81,6592,6607,29345,94262,7199,132109,134316
2001-05-15,2001-04-30,2001-08-14,0.379302529949,0.486555132419,0.402995096619,0.405583182918,0.475375962513,0.657934952845,0.507241705329,0.5099625024,1288,37,1634,1658,57,1910,115,2494,2519,164,5226,81,6592,6607,350,94262,7199,132109,134316,9643
2001-08-14,2001-05-15,2001-11-14,0.338046587972,0.985685884915,0.985147568865,0.390992517543,0.465322811445,0.992091640239,0.991671050098,0.487150454708,37,1634,1658,57,1675,115,2494,2519,164,2511,81,6592,6607,350,7065,7199,132109,134316,9643,125388
2001-11-14,2001-08-14,2002-03-20,0.241507461673,0.243811287809,0.490697803029,0.229683080914,0.343855864179,0.346588283395,0.653219465445,0.319281861305,1634,1658,57,1675,63,2494,2519,164,2511,175,6592,6607,350,7065,226,132109,134316,9643,125388,9441
2002-03-20,2001-11-14,2002-05-14,0.937618161447,0.424376977358,0.928489822886,0.367974036535,0.963659000203,0.547882208398,0.95806780084,0.436952172924,1658,57,1675,63,2233,2519,164,2511,175,4785,6607,350,7065,226,10442,134316,9643,125388,9441,200649
2002-05-14,2002-03-20,2002-08-14,0.396799607767,0.989714219477,0.221697523374,0.932476592604,0.498553201603,0.993405297697,0.315654124103,0.962036651083,57,1675,63,2233,1831,164,2511,175,4785,3142,350,7065,226,10442,7749,9643,125388,9441,200649,133413
2002-08-14,2002-05-14,2002-11-05,0.292686036697,0.510994102749,0.357383843575,0.270991918594,0.357223024558,0.735007903355,0.440633666229,0.341337720468,1675,63,2233,1831,159,2511,175,4785,3142,405,7065,226,10442,7749,613,125388,9441,200649,133413,17170
2002-11-05,2002-08-14,2003-03-07,0.605941906998,0.216711374249,0.17402337029,0.63461327035,0.823005229439,0.311229210656,0.244562940147,0.775014833889,63,2233,1831,159,116,175,4785,3142,405,352,226,10442,7749,613,161,9441,200649,133413,17170,13065
2003-03-07,2002-11-05,2003-05-08,0.383183802195,0.245299576368,0.486749783316,0.447431764526,0.472567219775,0.342784988159,0.678202530704,0.630849619298,2233,1831,159,116,448,4785,3142,405,352,903,10442,7749,613,161,986,200649,133413,17170,13065,46982
2003-05-08,2003-03-07,2003-08-07,0.998454372108,0.283774164413,0.182965633405,0.257315019536,0.999121721251,0.355977424834,0.255642173385,0.357822786428,1831,159,116,448,1994,3142,405,352,903,3484,7749,613,161,986,8414,133413,17170,13065,46982,146792
2003-08-07,2003-05-08,2003-11-12,0.290693335862,0.191248108431,0.259248743281,0.99864914354,0.363065152783,0.265350812365,0.36001777062,0.999252480336,159,116,448,1994,2076,405,352,903,3484,3632,613,161,986,8414,8671,17170,13065,46982,146792,153377
2003-11-12,2003-08-07,2004-03-11,0.511626226496,0.421115488455,0.285571696608,0.291000791299,0.725600658348,0.626390504993,0.392915892491,0.398027401665,116,448,1994,2076,287,352,903,3484,3632,747,161,986,8414,8671,1678,13065,46982,146792,153377,29556
2004-03-11,2003-11-12,2004-05-10,0.757883080911,0.301214633473,0.30038760465,0.382507179442,0.853618456874,0.39015914666,0.38913921736,0.607175701328,448,1994,2076,287,601,903,3484,3632,747,1864,986,8414,8671,1678,2685,46982,146792,153377,29556,67447
2004-05-10,2004-03-11,2004-08-09,0.998798999751,0.998493248715,0.273407682435,0.290751366567,0.999363355718,0.999174649124,0.379665215601,0.376207577976,1994,2076,287,601,2122,3484,3632,747,1864,3703,8414,8671,1678,2685,8938,146792,153377,29556,67447,154572
2004-08-09,2004-05-10,2004-11-08,0.305443886826,0.428454434882,0.39745646443,0.28646368713,0.376267396012,0.663473518231,0.590484582082,0.353373292571,2076,287,601,2122,119,3632,747,1864,3703,335,8671,1678,2685,8938,288,153377,29556,67447,154572,12574
2004-11-08,2004-08-09,2005-03-14,0.327800715431,0.30962077744,0.988779503043,0.297297508847,0.432537336489,0.400927266626,0.993754818173,0.369175710609,287,601,2122,119,2371,747,1864,3703,335,4507,1678,2685,8938,288,10675,29556,67447,154572,12574,182103
2005-03-14,2004-11-08,2005-05-06,0.375434322052,0.989195563324,0.30748461306,0.978716985662,0.448133797226,0.992620189009,0.385301748377,0.986742121755,601,2122,119,2371,2742,1864,3703,335,4507,4634,2685,8938,288,10675,10843,67447,154572,12574,182103,209250
2005-05-06,2005-03-14,2005-08-05,0.199514285598,0.657680488495,0.208855039509,0.224354949704,0.262323006173,0.815563549408,0.277616747922,0.293804577516,2122,119,2371,2742,63,3703,335,4507,4634,258,8938,288,10675,10843,118,154572,12574,182103,209250,9029
2005-08-05,2005-05-06,2005-11-03,0.773724406948,0.184092374711,0.198155056694,0.817177894801,0.90202711058,0.247563770248,0.263055910836,0.893913803514,119,2371,2742,63,72,335,4507,4634,258,286,288,10675,10843,118,145,12574,182103,209250,9029,10311
2005-11-03,2005-08-05,2006-03-08,0.186476305812,0.191253036386,0.798263308449,0.799141882414,0.246399817439,0.256169711885,0.890553410978,0.890760941281,2371,2742,63,72,86,4507,4634,258,286,284,10675,10843,118,145,130,182103,209250,9029,10311,10458
2006-03-08,2005-11-03,2006-05-05,0.272394152008,0.417922919153,0.409543135725,0.397787269463,0.310141652751,0.549739742217,0.545039615635,0.53246595145,2742,63,72,86,294,4634,258,286,284,743,10843,118,145,130,519,209250,9029,10311,10458,36763
2006-05-05,2006-03-08,2006-08-04,0.879463650289,0.733723093963,0.72779466036,0.409785912856,0.971061148991,0.871146810806,0.869467426764,0.54810642594,63,72,86,294,79,258,286,284,743,276,118,145,130,519,127,9029,10311,10458,36763,9860
2006-08-04,2006-05-05,2006-11-07,0.173900918741,0.161768785757,0.135245668177,0.193820346054,0.229826659512,0.219867589323,0.193329599507,0.253074260397,72,86,294,79,2590,286,284,743,276,4340,145,130,519,127,10870,10311,10458,36763,9860,188841
2006-11-07,2006-08-04,2007-03-01,0.86579517493,0.372908822748,0.76639759512,0.186344782788,0.959955761029,0.516179433116,0.872512999034,0.24857423385,86,294,79,2590,95,284,743,276,4340,316,130,519,127,10870,132,10458,36763,9860,188841,11356
2007-03-01,2006-11-07,2007-05-07,0.500672740742,0.280387592342,0.382393857506,0.25812059497,0.589542070372,0.368275730907,0.420256279891,0.345751649703,294,79,2590,95,781,743,276,4340,316,2320,519,127,10870,132,4222,36763,9860,188841,11356,98438
2007-05-07,2007-03-01,2007-08-06,0.886663220285,0.160486215125,0.717171184426,0.25820504158,0.969307055992,0.21202804444,0.855792798332,0.34100643148,79,2590,95,781,103,276,4340,316,2320,252,127,10870,132,4222,115,9860,188841,11356,98438,9324
2007-08-06,2007-05-07,2007-11-05,0.297952197521,0.551450223486,0.280004399219,0.625473640816,0.363625021707,0.724946687649,0.365383430605,0.753415620411,2590,95,781,103,155,4340,316,2320,252,359,10870,132,4222,115,474,188841,11356,98438,9324,15950
2007-11-05,2007-08-06,2008-02-29,0.841021652719,0.232699763561,0.705180634092,0.558636876854,0.949346340225,0.325428136354,0.853103771139,0.721532302229,95,781,103,155,128,316,2320,252,359,273,132,4222,115,474,116,11356,98438,9324,15950,11603
2008-02-29,2007-11-05,2008-05-02,0.481024996293,0.511934343791,0.408024643002,0.480591592206,0.564334590309,0.688542365743,0.59087116643,0.664834303123,781,103,155,128,330,2320,252,359,273,724,4222,115,474,116,300,98438,9324,15950,11603,36761
