filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-02-12,2000-11-14,2001-05-15,0.929309501416,0.14119177885,0.178320998698,0.16825806252,0.95290544645,0.352534592193,0.429488700321,0.376521317775,350,107,137,89,377,1434,288,402,263,1547,1846,84,472,69,1862,36697,5886,9834,6622,38299
2001-05-15,2001-02-12,2001-07-24,0.495614624395,0.380788571184,0.529273792083,0.142911784552,0.814721046457,0.701093231809,0.812290211059,0.359893889335,107,137,89,377,93,288,402,263,1547,419,84,472,69,1862,117,5886,9834,6622,38299,6731
2001-07-24,2001-05-15,2001-07-25,0.433201498535,0.509097703685,0.166306480723,0.704426658565,0.767496411927,0.7986653239,0.40229692964,0.882990029261,137,89,377,93,109,402,263,1547,419,521,472,69,1862,117,260,9834,6622,38299,6731,8555
2001-07-25,2001-07-24,2001-10-22,0.104860129451,0.0350054720247,0.111111802325,0.130101554462,0.225907630581,0.117974365429,0.244588989839,0.273858092799,89,377,93,109,3,263,1547,419,521,2,69,1862,117,260,6,6622,38299,6731,8555,252
2001-10-22,2001-07-25,2002-02-27,0.141499766397,0.705858829043,0.728237207519,0.107589630888,0.353977614467,0.892152815242,0.893391126785,0.237539577668,377,93,109,3,103,1547,419,521,2,467,1862,117,260,6,127,38299,6731,8555,252,7719
2002-02-27,2001-10-22,2002-05-14,0.535939966277,0.560159269707,0.113824430383,0.578753117092,0.760989175383,0.796361671248,0.232435092091,0.78019223282,93,109,3,103,251,419,521,2,467,840,117,260,6,127,427,6731,8555,252,7719,20939
2002-05-14,2002-02-27,2002-08-13,0.516666457655,0.0970986804509,0.558919946135,0.511788528123,0.787563441011,0.212247419611,0.805502544086,0.726208986687,109,3,103,251,110,521,2,467,840,618,260,6,127,427,261,8555,252,7719,20939,9486
2002-08-13,2002-05-14,2002-11-14,0.0527379034919,0.217719043855,0.247097719335,0.303645120473,0.185827494887,0.549985463403,0.584702074266,0.64842114894,3,103,251,110,181,2,467,840,618,845,6,127,427,261,813,252,7719,20939,9486,18008
2002-11-14,2002-08-13,2003-03-28,0.228544610194,0.259956931854,0.308475897103,0.266507888243,0.471960503067,0.511648164223,0.541103308003,0.618358942869,103,251,110,181,330,467,840,618,845,1407,127,427,261,813,1596,7719,20939,9486,18008,30340
2003-03-28,2002-11-14,2003-05-15,0.654159983797,0.467116480361,0.27121867074,0.285527214237,0.873265908551,0.727069401664,0.645424471297,0.560645786386,251,110,181,330,281,840,618,845,1407,1314,427,261,813,1596,1054,20939,9486,18008,30340,28670
2003-05-15,2003-03-28,2003-08-14,0.498935696618,0.240256724115,0.463307183271,0.455303261186,0.814482918532,0.611788129736,0.620792946442,0.718564986581,110,181,330,281,102,618,845,1407,1314,478,261,813,1596,1054,345,9486,18008,30340,28670,9722
2003-08-14,2003-05-15,2003-11-13,0.306904171709,0.255250240294,0.548654675692,0.536732486501,0.680475634632,0.520787991772,0.765973787201,0.77907527867,181,330,281,102,84,845,1407,1314,478,495,813,1596,1054,345,277,18008,30340,28670,9722,10114
2003-11-13,2003-08-14,2004-03-10,0.266550855777,0.579326596357,0.508326236183,0.6177803396,0.549042557561,0.799532467802,0.79932250689,0.822403618875,330,281,102,84,120,1407,1314,478,495,560,1596,1054,345,277,348,30340,28670,9722,10114,11755
2004-03-10,2003-11-13,2004-05-10,0.705613156504,0.463512685364,0.549336524093,0.565914413725,0.883077332005,0.718629549603,0.75292058755,0.775218919136,281,102,84,120,303,1314,478,495,560,1112,1054,345,277,348,464,28670,9722,10114,11755,24605
2004-05-10,2004-03-10,2004-08-09,0.512531821346,0.505450966214,0.515911413572,0.598463205873,0.809302727695,0.749733671988,0.780596654445,0.788762879007,102,84,120,303,104,478,495,560,1112,480,345,277,348,464,286,9722,10114,11755,24605,9838
2004-08-09,2004-05-10,2004-11-09,0.637246718559,0.511293248503,0.588429081375,0.644796912646,0.84698173398,0.765096595274,0.776682651827,0.818131225591,84,120,303,104,128,495,560,1112,480,531,277,348,464,286,345,10114,11755,24605,9838,11170
2004-11-09,2004-08-09,2005-03-16,0.620468099688,0.491971250373,0.541642667791,0.544245375032,0.856191047916,0.730499425325,0.798631351352,0.778417855378,120,303,104,128,137,560,1112,480,531,569,348,464,286,345,229,11755,24605,9838,11170,12544
2005-03-16,2004-11-09,2005-05-10,0.830709814036,0.587142351953,0.610311184804,0.521587748895,0.948281103113,0.785875780051,0.788712104845,0.74733988549,303,104,128,137,335,1112,480,531,569,979,464,286,345,229,538,24605,9838,11170,12544,25340
2005-05-10,2005-03-16,2005-08-09,0.73576201871,0.623107905875,0.551721815671,0.642682729001,0.916095696027,0.79667439843,0.792761027018,0.77535983279,104,128,137,335,88,480,531,569,979,391,286,345,229,538,160,9838,11170,12544,25340,9101
2005-08-09,2005-05-10,2005-11-09,0.741964818222,0.522195081788,0.596287296602,0.741131363822,0.888511298274,0.766101679932,0.737474902499,0.844104335027,128,137,335,88,82,531,569,979,391,356,345,229,538,160,147,11170,12544,25340,9101,10347
2005-11-09,2005-08-09,2006-03-16,0.668500139822,0.567589208957,0.6757299595,0.696794369196,0.875834306829,0.744901087452,0.832291949671,0.841420947811,137,335,88,82,108,569,979,391,356,371,229,538,160,147,148,12544,25340,9101,10347,11020
2006-03-16,2005-11-09,2006-05-10,0.861877970424,0.598088821141,0.586092201527,0.578179938104,0.963989381778,0.768105165259,0.744150621365,0.755929776084,335,88,82,108,332,979,391,356,371,968,538,160,147,148,778,25340,9101,10347,11020,28266
