filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-04-09,1997-03-17,1997-06-16,0.0691886557473,0.660059459736,0.076383361545,0.0754987781545,0.219471167076,0.62737124988,0.226761608208,0.228521403008,40,251,34,38,59,26,362,27,28,132,25,418,24,27,325,2241,14247,2072,2323,4174
1997-06-16,1997-04-09,1997-06-19,0.386227508354,0.75607454677,0.774998176927,0.0753971535645,0.694839663998,0.903740965343,0.906824797207,0.228789764391,251,34,38,59,39,362,27,28,132,28,418,24,27,325,30,14247,2072,2323,4174,2509
1997-06-19,1997-06-16,1997-10-28,0.381571481819,0.584108958144,0.0531976591513,0.443189796622,0.659481661339,0.797087241549,0.182449053529,0.698239257555,34,38,59,39,11,27,28,132,28,9,24,27,325,30,20,2072,2323,4174,2509,1050
1997-10-28,1997-06-19,1997-11-20,0.388703058365,0.22035410722,0.388467618045,0.222699597004,0.661802846101,0.436379234936,0.669238037094,0.474856663457,38,59,39,11,377,28,132,28,9,946,27,325,30,20,1380,2323,4174,2509,1050,27483
1997-11-20,1997-10-28,1997-12-11,0.096279865763,0.482860923689,0.249707191687,0.567875961825,0.253704294316,0.731206310211,0.492611898907,0.757163341939,59,39,11,377,75,132,28,9,946,81,325,30,20,1380,38,4174,2509,1050,27483,4947
1997-12-11,1997-11-20,1998-03-13,0.647764961525,0.323882290301,0.412049487558,0.519411695387,0.859710061005,0.629269027291,0.692492755463,0.757819814369,39,11,377,75,42,28,9,946,81,24,30,20,1380,38,24,2509,1050,27483,4947,2309
1998-03-13,1997-12-11,1998-06-08,0.519580547068,0.426654148658,0.50860825981,0.737509302134,0.751889633702,0.716241477082,0.770402425428,0.889881681336,11,377,75,42,45,9,946,81,24,36,20,1380,38,24,28,1050,27483,4947,2309,2737
1998-06-08,1998-03-13,1998-10-27,0.408817318106,0.497088830219,0.729561906903,0.754857863618,0.702650838313,0.756269326672,0.896649266193,0.900867132917,377,75,42,45,44,946,81,24,36,40,1380,38,24,28,25,27483,4947,2309,2737,2587
1998-10-27,1998-06-08,1998-12-15,0.6102855114,0.469531141969,0.480016945159,0.475200387311,0.808735696788,0.752822345724,0.760441528772,0.762925889956,75,42,45,44,273,81,24,36,40,381,38,24,28,25,206,4947,2309,2737,2587,15196
1998-12-15,1998-10-27,1999-03-15,0.661534398135,0.54248033862,0.571993116562,0.510949349262,0.899018690026,0.818845613755,0.843352464604,0.756766729178,42,45,44,273,36,24,36,40,381,53,24,28,25,206,21,2309,2737,2587,15196,2354
1999-03-15,1998-12-15,1999-06-14,0.619095310503,0.52000636078,0.457089165086,0.65622059577,0.883072143552,0.834710831295,0.747740444938,0.878329694657,45,44,273,36,45,36,40,381,53,45,28,25,206,21,24,2737,2587,15196,2354,2690
1999-06-14,1999-03-15,1999-10-20,0.614088994887,0.457386109233,0.604184630532,0.642547291462,0.887531283177,0.758719300903,0.868905972041,0.881882957654,44,273,36,45,41,40,381,53,45,55,25,206,21,24,31,2587,15196,2354,2690,2951
1999-10-20,1999-06-14,1999-11-19,0.388370044929,0.219671068887,0.231527210754,0.238677752683,0.573903559282,0.448913788264,0.472505622506,0.471396404085,273,36,45,41,502,381,53,45,55,1198,206,21,24,31,1522,15196,2354,2690,2951,30072
1999-11-19,1999-10-20,1999-11-29,0.110869524426,0.12500569384,0.120982345712,0.894122600791,0.272043216157,0.299615669326,0.291091410881,0.913165834964,36,45,41,502,322,53,45,55,1198,712,21,24,31,1522,1430,2354,2690,2951,30072,19275
1999-11-29,1999-11-19,1999-12-13,0.187479036349,0.191612320399,0.18852992283,0.143463327367,0.474930291885,0.480360023236,0.395860090966,0.314155499112,45,41,502,322,35,45,55,1198,712,19,24,31,1522,1430,38,2690,2951,30072,19275,2184
1999-12-13,1999-11-29,2000-03-15,0.478056251247,0.272838025494,0.12548501847,0.129332795951,0.760742667504,0.5108502905,0.320786871434,0.34249717329,41,502,322,35,30,55,1198,712,19,69,31,1522,1430,38,29,2951,30072,19275,2184,2484
2000-03-15,1999-12-13,2000-06-13,0.319085400797,0.244306351677,0.133172608777,0.408533658791,0.647657282573,0.531348867105,0.364912608323,0.716092334745,502,322,35,30,62,1198,712,19,69,119,1522,1430,38,29,120,30072,19275,2184,2484,4141
2000-06-13,2000-03-15,2000-10-06,0.265855981891,0.250236523064,0.380766102303,0.414338146042,0.46883402481,0.557202341743,0.644746333279,0.695724580953,322,35,30,62,52,712,19,69,119,155,1430,38,29,120,249,19275,2184,2484,4141,4996
2000-10-06,2000-06-13,2000-12-15,0.302809189543,0.33799538605,0.321412331571,0.447860641427,0.575972713289,0.629692390465,0.616498418118,0.687250101764,35,30,62,52,239,19,69,119,155,538,38,29,120,249,378,2184,2484,4141,4996,17162
2000-12-15,2000-10-06,2001-03-15,0.558614391434,0.380719972123,0.423553573017,0.434843986155,0.824576862268,0.680327236352,0.679779704936,0.701428162042,30,62,52,239,42,69,119,155,538,54,29,120,249,378,34,2484,4141,4996,17162,3705
2001-03-15,2000-12-15,2001-06-13,0.473781677885,0.384046826426,0.387785277482,0.696754341341,0.742937716722,0.641741914207,0.646704700008,0.868849997426,62,52,239,42,44,119,155,538,54,67,120,249,378,34,37,4141,4996,17162,3705,4024
2001-06-13,2001-03-15,2001-10-29,0.469807969152,0.350986564927,0.618023317701,0.667332274526,0.664507702746,0.607230376872,0.833926065796,0.858635673874,52,239,42,44,52,155,538,54,67,91,249,378,34,37,43,4996,17162,3705,4024,4566
2001-10-29,2001-06-13,2001-12-07,0.793885376077,0.483369149895,0.454140809059,0.470402065196,0.919240076035,0.738012890763,0.700065992986,0.695641538686,239,42,44,52,255,538,54,67,91,514,378,34,37,43,172,17162,3705,4024,4566,17083
2001-12-07,2001-10-29,2002-03-18,0.665759790599,0.551458900981,0.593288934383,0.498628330265,0.875430097932,0.813343943582,0.838525142881,0.730651275949,42,44,52,255,41,54,67,91,514,85,34,37,43,172,23,3705,4024,4566,17083,3208
2002-03-18,2001-12-07,2002-06-14,0.11943498524,0.0967929502211,0.0985928750344,0.10828258048,0.273701874017,0.254062320398,0.250478022197,0.257321063818,44,52,255,41,272,67,91,514,85,755,37,43,172,23,1176,4024,4566,17083,3208,19919
