filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-04,1994-08-01,1995-03-07,0.381611711478,0.407642285394,0.254680610293,0.420527832749,0.591828132743,0.59023763443,0.430794964226,0.604762373952,543,24,209,26,205,1951,325,891,346,1234,3558,354,1682,385,2020,56570,4798,23255,5388,28146
1995-03-07,1994-11-04,1995-04-25,0.201990580114,0.548115719819,0.209823855788,0.576209307261,0.415019670309,0.694165206253,0.422703103204,0.782579473246,24,209,26,205,569,325,891,346,1234,2409,354,1682,385,2020,4146,4798,23255,5388,28146,66598
1995-04-25,1995-03-07,1995-07-24,0.0872006175672,0.364356233755,0.273419273332,0.240324624097,0.186256825045,0.704357929482,0.512859280143,0.441155604388,209,26,205,569,22,891,346,1234,2409,63,1682,385,2020,4146,55,23255,5388,28146,66598,2749
1995-07-24,1995-04-25,1995-08-07,0.212847910372,0.190852282422,0.219010258471,0.380256877138,0.491585729222,0.417920004567,0.465405306234,0.655256713048,26,205,569,22,33,346,1234,2409,63,76,385,2020,4146,55,171,5388,28146,66598,2749,4236
1995-08-07,1995-07-24,1995-11-02,0.0977369031046,0.514662346542,0.0604382545235,0.0727742087875,0.196985281381,0.543207599284,0.15220073438,0.201691500918,205,569,22,33,39,1234,2409,63,76,384,2020,4146,55,171,364,28146,66598,2749,4236,7744
1995-11-02,1995-08-07,1996-03-21,0.575924214915,0.167937013767,0.221878001243,0.13319964399,0.778547332692,0.31694282845,0.451021058624,0.273565196989,569,22,33,39,544,2409,63,76,384,1487,4146,55,171,364,3306,66598,2749,4236,7744,41710
1996-03-21,1995-11-02,1996-05-15,0.220511497134,0.233252613216,0.528955418986,0.448969879035,0.425344862665,0.522772784535,0.599366201814,0.661974053642,22,33,39,544,289,63,76,384,1487,950,55,171,364,3306,2125,2749,4236,7744,41710,34799
1996-05-15,1996-03-21,1996-08-05,0.247638426037,0.151636618085,0.175666120458,0.247719932142,0.575075504503,0.296201999009,0.361322442291,0.480307304614,33,39,544,289,22,76,384,1487,950,97,171,364,3306,2125,57,4236,7744,41710,34799,3719
1996-08-05,1996-05-15,1996-08-08,0.371650589413,0.371782194236,0.583653279432,0.0799087107802,0.459503043439,0.532130939145,0.686657000248,0.190775793532,39,544,289,22,41,384,1487,950,97,90,364,3306,2125,57,447,7744,41710,34799,3719,5980
1996-08-08,1996-08-05,1996-11-08,0.302735944436,0.310779172675,0.340148936447,0.168522902821,0.510159737324,0.541793253762,0.646688637557,0.287773141228,544,289,22,41,119,1487,950,97,90,306,3306,2125,57,447,291,41710,34799,3719,5980,9564
1996-11-08,1996-08-08,1997-02-18,0.335550335645,0.192799281836,0.212309403194,0.387330132596,0.587585960666,0.427121914285,0.359920979128,0.626412736379,289,22,41,119,385,950,97,90,306,853,2125,57,447,291,1382,34799,3719,5980,9564,24315
1997-02-18,1996-11-08,1997-03-20,0.0957403979171,0.157305758047,0.14681535482,0.785328420737,0.229926130484,0.287448851192,0.305712071646,0.807093262261,22,41,119,385,198,97,90,306,853,401,57,447,291,1382,580,3719,5980,9564,24315,11356
1997-03-20,1997-02-18,1997-05-14,0.202693120476,0.426230893652,0.322946304796,0.160925745936,0.339509597552,0.701937075578,0.606201386754,0.33513856915,41,119,385,198,467,90,306,853,401,1861,447,291,1382,580,2759,5980,9564,24315,11356,51805
1997-05-14,1997-03-20,1997-08-13,0.263441965334,0.346166258382,0.224720165907,0.287993475038,0.427402152584,0.597748483996,0.441057144844,0.465307736101,119,385,198,467,744,306,853,401,1861,2910,291,1382,580,2759,5149,9564,24315,11356,51805,80995
1997-08-13,1997-05-14,1997-09-30,0.261662811881,0.0792754243183,0.303429526466,0.163554302336,0.466751943486,0.184973480048,0.549145125867,0.260904671825,385,198,467,744,76,853,401,1861,2910,180,1382,580,2759,5149,31,24315,11356,51805,80995,4929
1997-09-30,1997-08-13,1997-11-12,0.11730999284,0.25385009209,0.097065851276,0.177692411124,0.206462335072,0.399144104553,0.182779816142,0.338341227768,198,467,744,76,12,401,1861,2910,180,33,580,2759,5149,31,100,11356,51805,80995,4929,3711
1997-11-12,1997-09-30,1998-03-03,0.318058878215,0.245187000358,0.728816952126,0.201770621219,0.581494827699,0.384093674568,0.887324406175,0.369423429244,467,744,76,12,90,1861,2910,180,33,191,2759,5149,31,100,154,51805,80995,4929,3711,6058
1998-03-03,1997-11-12,1998-04-17,0.489500326466,0.420872023655,0.473214276636,0.535799204589,0.60897075477,0.659419397482,0.606792724003,0.769704437043,744,76,12,90,405,2910,180,33,191,880,5149,31,100,154,1494,80995,4929,3711,6058,34151
1998-04-17,1998-03-03,1998-04-23,0.528510332891,0.604296525118,0.545176190204,0.818754769487,0.759836687607,0.685952133815,0.788212588883,0.91296708212,76,12,90,405,321,180,33,191,880,669,31,100,154,1494,496,4929,3711,6058,34151,25066
1998-04-23,1998-04-17,1998-08-12,0.15036947191,0.47256909828,0.447494958297,0.512606292591,0.292583913928,0.70709434104,0.673999254371,0.701239670578,12,90,405,321,173,33,191,880,669,373,100,154,1494,496,411,3711,6058,34151,25066,10739
1998-08-12,1998-04-23,1998-09-24,0.587417308089,0.478339581231,0.603751357015,0.603466311407,0.845096401892,0.707619712815,0.810299212175,0.758426090855,90,405,321,173,155,191,880,669,373,322,154,1494,496,411,53,6058,34151,25066,10739,8143
1998-09-24,1998-08-12,1998-11-12,0.50061505281,0.618011668344,0.148596414856,0.189430986939,0.62656766523,0.689085570926,0.291260680933,0.352581520689,405,321,173,155,13,880,669,373,322,35,1494,496,411,53,132,34151,25066,10739,8143,4357
1998-11-12,1998-09-24,1999-03-29,0.590568585594,0.578157912718,0.850383538092,0.184282047853,0.801632241068,0.751579486693,0.960437180643,0.341147853148,321,173,155,13,155,669,373,322,35,327,496,411,53,132,47,25066,10739,8143,4357,7985
1999-03-29,1998-11-12,1999-05-12,0.264976245823,0.226971160786,0.183883856682,0.232682162593,0.529458930746,0.431824186606,0.36124741863,0.432999608523,173,155,13,155,708,373,322,35,327,1943,411,53,132,47,2158,10739,8143,4357,7985,52150
1999-05-12,1999-03-29,1999-08-06,0.486676278136,0.171660873588,0.500488285609,0.290125641479,0.711956538056,0.323822790193,0.715690530911,0.568764996087,155,13,155,708,140,322,35,327,1943,441,53,132,47,2158,317,8143,4357,7985,52150,10540
1999-08-06,1999-05-12,1999-09-23,0.127364259283,0.207376385396,0.291532662679,0.367886500241,0.21922232146,0.321354335315,0.566692328649,0.527518730103,13,155,708,140,528,35,327,1943,441,1560,132,47,2158,317,2923,4357,7985,52150,10540,44778
1999-09-23,1999-08-06,1999-11-01,0.136310340235,0.237367651031,0.185164882471,0.154065027042,0.222940946162,0.401463686831,0.308668181665,0.239300381238,155,708,140,528,13,327,1943,441,1560,29,47,2158,317,2923,70,7985,52150,10540,44778,3761
