filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-08-10,2001-05-10,2001-11-09,0.557703758119,0.528999242014,0.31053941019,0.40384024525,0.833508525889,0.815019073087,0.536755380397,0.692432478171,59,48,324,24,35,31,28,387,23,26,77,68,747,97,18,2866,2731,19149,2228,2345
2001-11-09,2001-08-10,2002-03-14,0.147188140812,0.272439719858,0.173348689574,0.105514540182,0.286761768586,0.419041317888,0.319562207773,0.217238109553,48,324,24,35,308,28,387,23,26,734,68,747,97,18,1653,2731,19149,2228,2345,27547
2002-03-14,2001-11-09,2002-05-10,0.707060915394,0.430763348174,0.377069312014,0.200321364783,0.879978712183,0.650926403213,0.630839411793,0.340332678134,324,24,35,308,257,387,23,26,734,239,747,97,18,1653,404,19149,2228,2345,27547,16111
2002-05-10,2002-03-14,2002-08-09,0.513899143457,0.464391041061,0.0889420805385,0.352624346217,0.800162201242,0.762489618414,0.193981034817,0.590469672944,24,35,308,257,14,23,26,734,239,12,97,18,1653,404,6,2228,2345,27547,16111,1605
2002-08-09,2002-05-10,2002-11-12,0.387016897716,0.213976884049,0.389645928304,0.335832057542,0.674766798154,0.387377781633,0.608498553045,0.585105816519,35,308,257,14,49,26,734,239,12,60,18,1653,404,6,258,2345,27547,16111,1605,4630
2002-11-12,2002-08-09,2003-03-17,0.125375411543,0.292854686499,0.397899255662,0.315409898377,0.288103305179,0.592232754859,0.694884771009,0.626441913474,308,257,14,49,40,734,239,12,60,90,1653,404,6,258,102,27547,16111,1605,4630,3804
2003-03-17,2002-11-12,2003-05-09,0.816010676914,0.403915588287,0.404702182979,0.349825631189,0.952515658791,0.625488897272,0.611303744815,0.63403636404,257,14,49,40,274,239,12,60,90,261,404,6,258,102,333,16111,1605,4630,3804,17074
2003-05-09,2003-03-17,2003-08-08,0.0870576233109,0.133484749014,0.164584253312,0.17063945992,0.161876694293,0.272525872313,0.336526952118,0.303606056949,14,49,40,274,455,12,60,90,261,582,6,258,102,333,1514,1605,4630,3804,17074,25568
2003-08-08,2003-05-09,2003-11-07,0.342060710219,0.291561385172,0.355108543641,0.186224070575,0.666210226777,0.673812810095,0.636675252207,0.335606345988,49,40,274,455,56,60,90,261,582,52,258,102,333,1514,159,4630,3804,17074,25568,5755
2003-11-07,2003-08-08,2004-03-12,0.440910309328,0.466086899341,0.115417627416,0.521229205915,0.787123331734,0.702510110613,0.21122471018,0.784332785668,40,274,455,56,47,90,261,582,52,44,102,333,1514,159,24,3804,17074,25568,5755,4012
2004-03-12,2003-11-07,2004-05-07,0.473498218892,0.704092903009,0.271997519401,0.264270329933,0.681341736208,0.812396933968,0.532532476523,0.470403598569,274,455,56,47,536,261,582,52,44,541,333,1514,159,24,1232,17074,25568,5755,4012,31538
2004-05-07,2004-03-12,2004-08-09,0.149516741149,0.4801580413,0.561092550539,0.28851990465,0.263864204611,0.765012214727,0.816512952946,0.500251619791,455,56,47,536,37,582,52,44,541,36,1514,159,24,1232,73,25568,5755,4012,31538,3300
2004-08-09,2004-05-07,2004-10-29,0.422521973839,0.484501864196,0.294550990516,0.482736470542,0.7462428013,0.765277275918,0.564217515872,0.744620298328,56,47,536,37,61,52,44,541,36,85,159,24,1232,73,207,5755,4012,31538,3300,5610
2004-10-29,2004-08-09,2005-03-08,0.551741749878,0.339393502483,0.505379508612,0.525134606033,0.789684198762,0.583918702579,0.750892184321,0.778570992585,47,536,37,61,101,44,541,36,85,170,24,1232,73,207,227,4012,31538,3300,5610,6388
2005-03-08,2004-10-29,2005-05-06,0.490121655603,0.515600629116,0.475008846758,0.501690709448,0.691084726682,0.709772982068,0.729475568812,0.734567976948,536,37,61,101,323,541,36,85,170,247,1232,73,207,227,353,31538,3300,5610,6388,18842
2005-05-06,2005-03-08,2005-07-01,0.585290263061,0.446990526681,0.54931809157,0.466749660821,0.844768827863,0.747734462041,0.830471218742,0.715808919844,37,61,101,323,41,36,85,170,247,64,73,207,227,353,127,3300,5610,6388,18842,3996
2005-07-01,2005-05-06,2005-08-05,0.291418112087,0.288114750806,0.298425348417,0.390144135184,0.448278839343,0.430784029668,0.386119022715,0.575989718617,61,101,323,41,4,85,170,247,64,18,207,227,353,127,20,5610,6388,18842,3996,1168
2005-08-05,2005-07-01,2005-11-08,0.247445152756,0.216983611431,0.203845678235,0.106496143195,0.433710935015,0.358946170254,0.383689094978,0.214579405327,101,323,41,4,340,170,247,64,18,815,227,353,127,20,1734,6388,18842,3996,1168,29399
2005-11-08,2005-08-05,2006-03-06,0.391354879915,0.409217266487,0.227944685549,0.214758080939,0.657211520508,0.695040650774,0.372368071323,0.400051509518,323,41,4,340,175,247,64,18,815,142,353,127,20,1734,258,18842,3996,1168,29399,7579
2006-03-06,2005-11-08,2006-05-04,0.475983085484,0.303799490864,0.183253715846,0.410801324851,0.724065802454,0.38732176974,0.328368966455,0.66287179058,41,4,340,175,317,64,18,815,142,313,127,20,1734,258,296,3996,1168,29399,7579,19269
2006-05-04,2006-03-06,2006-08-08,0.404802966827,0.1426967257,0.386249328368,0.530960298102,0.543568955065,0.297320125579,0.646872162749,0.740530231039,4,340,175,317,29,18,815,142,313,43,20,1734,258,296,14,1168,29399,7579,19269,3953
2006-08-08,2006-05-04,2006-11-03,0.163294677261,0.404761061611,0.5308609146,0.727656253599,0.311179444256,0.659968368021,0.730083357375,0.87840031738,340,175,317,29,42,815,142,313,43,47,1734,258,296,14,14,29399,7579,19269,3953,4596
2006-11-03,2006-08-08,2007-02-28,0.281350190371,0.27110422727,0.218176936228,0.222658206811,0.500067703098,0.461925007705,0.391942302805,0.384686281534,175,317,29,42,336,142,313,43,47,843,258,296,14,14,1784,7579,19269,3953,4596,30806
2007-02-28,2006-11-03,2007-05-04,0.90507711354,0.549792523803,0.558708698565,0.266297914708,0.980330119645,0.745978760382,0.739501588797,0.45513995955,317,29,42,336,341,313,43,47,843,305,296,14,14,1784,283,19269,3953,4596,30806,20906
2007-05-04,2007-02-28,2007-08-03,0.408152256195,0.335115813937,0.309173174967,0.342543574801,0.622751503021,0.555859722036,0.517327245339,0.543908945646,29,42,336,341,66,43,47,843,305,153,14,14,1784,283,497,3953,4596,30806,20906,9405
2007-08-03,2007-05-04,2007-11-02,0.207443817324,0.329492047266,0.197913144953,0.224894917255,0.400204493512,0.551064277977,0.376726405508,0.422808201363,42,336,341,66,130,47,843,305,153,346,14,1784,283,497,918,4596,30806,20906,9405,15466
2007-11-02,2007-08-03,2008-02-27,0.327729958443,0.264011161978,0.349584544307,0.179310074814,0.537313860907,0.443255491039,0.547067685146,0.347184142068,336,341,66,130,849,843,305,153,346,988,1784,283,497,918,2209,30806,20906,9405,15466,34987
2008-02-27,2007-11-02,2008-05-02,0.89286953583,0.323312252413,0.175139025528,0.261580535303,0.968755433953,0.518979229538,0.351090734006,0.430908512267,341,66,130,849,354,305,153,346,988,319,283,497,918,2209,241,20906,9405,15466,34987,21042
2008-05-02,2008-02-27,2008-08-01,0.412044865319,0.176130517093,0.196127407866,0.589939252845,0.624159292728,0.369054290719,0.339736425627,0.763062312756,66,130,849,354,37,153,346,988,319,37,497,918,2209,241,15,9405,15466,34987,21042,4114
2008-08-01,2008-05-02,2008-11-05,0.940562299006,0.172022265337,0.173933338603,0.18689428753,0.964265033844,0.337797646439,0.348550958171,0.368656560153,130,849,354,37,167,346,988,319,37,503,918,2209,241,15,972,15466,34987,21042,4114,20173
2008-11-05,2008-08-01,2009-02-26,0.209522845835,0.631416949867,0.725410932093,0.200023263812,0.350577065595,0.802929725476,0.861600710379,0.37770305616,849,354,37,167,60,988,319,37,503,61,2209,241,15,972,40,34987,21042,4114,20173,6045
2009-02-26,2008-11-05,2009-05-06,0.905147840186,0.598308047358,0.181106684027,0.69416865789,0.971709158089,0.758650821702,0.351417491061,0.829562032438,354,37,167,60,392,319,37,503,61,453,241,15,972,40,256,21042,4114,20173,6045,23310
2009-05-06,2009-02-26,2009-08-05,0.724481247485,0.155498335358,0.585327563029,0.569868117123,0.904652090137,0.350012266927,0.795257761516,0.748566825491,37,167,60,392,49,37,503,61,453,87,15,972,40,256,24,4114,20173,6045,23310,4380
2009-08-05,2009-05-06,2009-11-05,0.0297935728089,0.0957692433475,0.101399719603,0.124568231355,0.0931737731011,0.198302202241,0.19837788107,0.214098732089,167,60,392,49,126,503,61,453,87,2537,972,40,256,24,59,20173,6045,23310,4380,16763
2009-11-05,2009-08-05,2010-02-25,0.688856291685,0.597939019606,0.665899370733,0.191412089528,0.848467626059,0.781573605711,0.81188459967,0.280739113422,60,392,49,126,127,61,453,87,2537,262,40,256,24,59,55,6045,23310,4380,16763,12423
2010-02-25,2009-11-05,2010-05-05,0.883562793836,0.588834330294,0.138668203901,0.712183308637,0.954032272329,0.737392307944,0.22976622392,0.830642115586,392,49,126,127,636,453,87,2537,262,858,256,24,59,55,454,23310,4380,16763,12423,43027
2010-05-05,2010-02-25,2010-08-05,0.298578841674,0.0910011866615,0.269386376025,0.303931792166,0.546902284159,0.185277125899,0.51849248545,0.552611425755,49,126,127,636,189,87,2537,262,858,463,24,59,55,454,1153,4380,16763,12423,43027,19870
2010-08-05,2010-05-05,2010-11-04,0.20506835692,0.643443924196,0.603548749778,0.294772094826,0.29286164049,0.822577362233,0.751576588447,0.50492659339,126,127,636,189,146,2537,262,858,463,268,59,55,454,1153,59,16763,12423,43027,19870,13885
2010-11-04,2010-08-05,2011-02-24,0.711816578557,0.649310195529,0.306340122367,0.854620716795,0.87423334676,0.802234585043,0.53612039015,0.917168398184,127,636,189,146,151,262,858,463,268,350,55,454,1153,59,148,12423,43027,19870,13885,16025
