filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-15,1995-03-30,1995-05-16,0.783955712805,0.723608327021,0.685365251248,0.627036759497,0.922065473225,0.873463023202,0.853407115671,0.802794631538,24,24,40,91,27,70,80,96,278,167,146,156,267,307,209,3976,4353,5276,11232,4075
1995-05-16,1995-05-15,1995-08-11,0.723608327021,0.685365251248,0.627036759497,1.0,0.873463023202,0.853407115671,0.802794631538,1.0,24,40,91,27,27,80,96,278,167,167,156,267,307,209,209,4353,5276,11232,4075,4075
1995-08-11,1995-05-16,1995-11-13,0.326035858191,0.226042836883,0.255602064516,0.255602064516,0.482431514666,0.407634280879,0.409980267332,0.409980267332,40,91,27,27,224,96,278,167,167,716,267,307,209,209,1332,5276,11232,4075,4075,21271
1995-11-13,1995-08-11,1996-03-29,0.330873152948,0.353074472899,0.353074472899,0.265741500901,0.507114933333,0.481333352715,0.481333352715,0.406219904048,91,27,27,224,104,278,167,167,716,320,307,209,209,1332,830,11232,4075,4075,21271,12722
1996-03-29,1995-11-13,1996-05-15,0.422755593932,0.422755593932,0.275669644553,0.464962954242,0.637966725335,0.637966725335,0.483903627077,0.664859301153,27,27,224,104,160,167,167,716,320,368,209,209,1332,830,624,4075,4075,21271,12722,16189
1996-05-15,1996-03-29,1996-08-12,0.703715793647,0.246185370441,0.37142209921,0.473399629468,0.89083338875,0.407195376926,0.497563936948,0.681896306821,27,224,104,160,35,167,716,320,368,124,209,1332,830,624,130,4075,21271,12722,16189,4153
1996-08-12,1996-05-15,1996-11-05,0.262545474513,0.561400302006,0.471017612557,0.278353102611,0.460289508586,0.731797820732,0.688073331096,0.409986812609,224,104,160,35,281,716,320,368,124,754,1332,830,624,130,1481,21271,12722,16189,4153,26498
1996-11-05,1996-08-12,1997-03-24,0.931880701147,0.531287329637,0.408991667045,0.586247591841,0.978537426448,0.712469612727,0.517566690511,0.763332576794,104,160,35,281,146,320,368,124,754,398,830,624,130,1481,980,12722,16189,4153,26498,15911
1997-03-24,1996-11-05,1997-05-14,0.656258566547,0.510051762776,0.498399227904,0.745740940804,0.848750266447,0.687261580227,0.704909755941,0.871127372198,160,35,281,146,228,368,124,754,398,614,624,130,1481,980,995,16189,4153,26498,15911,21472
1997-05-14,1997-03-24,1997-08-12,0.505022743515,0.315604709363,0.413133292318,0.497443636229,0.707050344202,0.542452500808,0.630753246768,0.731603042942,35,281,146,228,82,124,754,398,614,346,130,1481,980,995,524,4153,26498,15911,21472,9419
1997-08-12,1997-05-14,1997-11-12,0.528441356971,0.361318346226,0.417395882024,0.426887263402,0.69432880017,0.5556857096,0.650347023207,0.685824143144,281,146,228,82,119,754,398,614,346,519,1481,980,995,524,887,26498,15911,21472,9419,12866
1997-11-12,1997-08-12,1998-03-24,0.39355984648,0.519144842671,0.492960843673,0.452835017413,0.524613964297,0.704387310587,0.689243427658,0.610305174602,146,228,82,119,60,398,614,346,519,250,980,995,524,887,271,15911,21472,9419,12866,5969
1998-03-24,1997-11-12,1998-05-08,0.714821723229,0.460486544057,0.686882309112,0.467417761574,0.889358849509,0.73520991582,0.838513726111,0.650889170823,228,82,119,60,226,614,346,519,250,771,995,524,887,271,1281,21472,9419,12866,5969,25058
1998-05-08,1998-03-24,1998-05-13,0.281783218807,0.232995457358,0.413834187226,0.249923301043,0.480887213124,0.422775535686,0.614320429449,0.400108132694,82,119,60,226,9,346,519,250,771,31,524,887,271,1281,87,9419,12866,5969,25058,1306
1998-05-13,1998-05-08,1998-08-14,0.410364838265,0.334165103796,0.356015086066,0.201549393302,0.606916694038,0.588517646262,0.623124288593,0.393441530901,119,60,226,9,159,519,250,771,31,497,887,271,1281,87,854,12866,5969,25058,1306,16844
1998-08-14,1998-05-13,1998-08-18,0.273372074487,0.48379292073,0.16681440833,0.270115475887,0.443338798298,0.652960121407,0.305060178072,0.518952789823,60,226,9,159,357,250,771,31,497,1073,271,1281,87,854,2093,5969,25058,1306,16844,32115
1998-08-18,1998-08-14,1998-11-16,0.358472589396,0.161209299874,0.269960449247,0.237193126812,0.54531606352,0.292320700779,0.460982627477,0.383623775109,226,9,159,357,23,771,31,497,1073,54,1281,87,854,2093,87,25058,1306,16844,32115,2105
1998-11-16,1998-08-18,1999-03-16,0.259573008912,0.357174431308,0.479583597004,0.403908609413,0.389839060968,0.582577617453,0.648198034259,0.522966750634,9,159,357,23,140,31,497,1073,54,427,87,854,2093,87,928,1306,16844,32115,2105,15049
1999-03-16,1998-11-16,1999-05-05,0.384272938841,0.367285141486,0.460223193211,0.683963359201,0.650123677285,0.557098841369,0.638616032063,0.805359550415,159,357,23,140,238,497,1073,54,427,841,854,2093,87,928,1114,16844,32115,2105,15049,23704
1999-05-05,1999-03-16,1999-08-03,0.272361516529,0.4897301168,0.530361144084,0.620083114706,0.439584228954,0.694821952718,0.629453610312,0.775043670684,357,23,140,238,66,1073,54,427,841,160,2093,87,928,1114,208,32115,2105,15049,23704,5956
1999-08-03,1999-05-05,1999-11-10,0.310840069427,0.897490757621,0.648355864526,0.492061065184,0.460753644307,0.965685972084,0.785561319318,0.584647232739,23,140,238,66,181,54,427,841,160,382,87,928,1114,208,989,2105,15049,23704,5956,16245
1999-11-10,1999-08-03,2000-03-07,0.502000913663,0.574464597482,0.801111330462,0.465126168733,0.637871339208,0.772773165432,0.945342041666,0.5864416325,140,238,66,181,69,427,841,160,382,178,928,1114,208,989,185,15049,23704,5956,16245,6434
2000-03-07,1999-11-10,2000-04-27,0.726612761995,0.543989218945,0.461962220304,0.538354636731,0.884302422204,0.777824625694,0.65630272025,0.779332822988,238,66,181,69,247,841,160,382,178,758,1114,208,989,185,852,23704,5956,16245,6434,22243
2000-04-27,2000-03-07,2000-08-01,0.569150709523,0.404880694896,0.524297414342,0.659431761736,0.804767747247,0.602194658904,0.774526589417,0.837098953912,66,181,69,247,110,160,382,178,758,297,208,989,185,852,405,5956,16245,6434,22243,8297
2000-08-01,2000-04-27,2000-11-14,0.351950502032,0.214875185946,0.331136254537,0.343515596831,0.553122980336,0.392429600549,0.565295742849,0.579243331987,181,69,247,110,434,382,178,758,297,1181,989,185,852,405,2676,16245,6434,22243,8297,33754
2000-11-14,2000-08-01,2001-03-07,0.481552412434,0.437739714823,0.442334926485,0.315963733255,0.634057075394,0.630548849782,0.625870475567,0.508087080254,69,247,110,434,118,178,758,297,1181,237,185,852,405,2676,609,6434,22243,8297,33754,10065
2001-03-07,2000-11-14,2001-05-14,0.496761995614,0.382483407995,0.576741079069,0.483005029755,0.712170653956,0.633181591407,0.782294080634,0.672394832817,247,110,434,118,796,758,297,1181,237,2206,852,405,2676,609,4621,22243,8297,33754,10065,68915
2001-05-14,2001-03-07,2001-07-27,0.40606327071,0.233477970331,0.328292069735,0.320729190968,0.747392903618,0.495406293681,0.559672108691,0.584638888399,110,434,118,796,111,297,1181,237,2206,252,405,2676,609,4621,264,8297,33754,10065,68915,9102
2001-07-27,2001-05-14,2001-10-26,0.247731866767,0.379860794427,0.337691596414,0.763814960331,0.482021347175,0.590727330539,0.569960795539,0.897643899302,434,118,796,111,106,1181,237,2206,252,223,2676,609,4621,264,232,33754,10065,68915,9102,8207
2001-10-26,2001-07-27,2002-02-26,0.442221678376,0.619553305023,0.41640307526,0.473022479311,0.613504017151,0.822827120299,0.661656403916,0.663468410054,118,796,111,106,206,237,2206,252,223,630,609,4621,264,232,1060,10065,68915,9102,8207,18263
2002-02-26,2001-10-26,2002-04-29,0.699973651656,0.42563604198,0.432625356786,0.71566914247,0.864113884411,0.650067459181,0.632449904783,0.873588979852,796,111,106,206,442,2206,252,223,630,1116,4621,264,232,1060,1985,68915,9102,8207,18263,37777
