filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2006-11-06,2006-08-08,2007-02-27,0.746935165285,0.488340754016,0.723760306816,0.754234119467,0.904074583411,0.648562868875,0.870037874994,0.892942817959,123,1128,101,141,190,276,2393,236,289,312,197,3917,177,203,223,12179,87892,9931,12084,14214
2007-02-27,2006-11-06,2007-05-09,0.732570661886,0.632743442082,0.601392046351,0.643522426737,0.860887798655,0.776011307632,0.748273429492,0.775090324272,1128,101,141,190,916,2393,236,289,312,1415,3917,177,203,223,1516,87892,9931,12084,14214,61017
2007-05-09,2007-02-27,2007-08-06,0.80634198522,0.651938148197,0.679000396743,0.652503936802,0.931778318145,0.832791407356,0.840339156977,0.786335887329,101,141,190,916,91,236,289,312,1415,189,177,203,223,1516,172,9931,12084,14214,61017,9463
2007-08-06,2007-05-09,2007-11-07,0.811238172467,0.641651770322,0.587753925501,0.725663789743,0.930895630828,0.839262343701,0.74966140643,0.868785253827,141,190,916,91,130,289,312,1415,189,236,203,223,1516,172,192,12084,14214,61017,9463,11707
2007-11-07,2007-08-06,2008-02-29,0.794715929289,0.598830098357,0.709471452334,0.717072431372,0.92243972586,0.747159516514,0.848480246625,0.868148028194,190,916,91,130,161,312,1415,189,236,259,223,1516,172,192,227,14214,61017,9463,11707,12490
2008-02-29,2007-11-07,2008-05-06,0.872495340381,0.640891889089,0.586036580521,0.601528760798,0.948488577486,0.775258634877,0.744364066203,0.741334193579,916,91,130,161,890,1415,189,236,259,1454,1516,172,192,227,1427,61017,9463,11707,12490,63552
2008-05-06,2008-02-29,2008-08-04,0.567076800519,0.442598973774,0.450985993434,0.661334225567,0.723253113801,0.642600782795,0.637282788036,0.800138352376,91,130,161,890,156,189,236,259,1454,441,172,192,227,1427,696,9463,11707,12490,63552,17646
2008-08-04,2008-05-06,2008-11-05,0.783392323492,0.59358997574,0.614847817871,0.506001738948,0.886572023449,0.78898158879,0.764319905869,0.679547331087,130,161,890,156,160,236,259,1454,441,404,192,227,1427,696,237,11707,12490,63552,17646,14364
2008-11-05,2008-08-04,2009-03-02,0.759397543613,0.685274261978,0.498906213764,0.711732121605,0.869370699107,0.813402550306,0.671407309989,0.868994065608,161,890,156,160,276,259,1454,441,404,749,227,1427,696,237,447,12490,63552,17646,14364,21002
2009-03-02,2008-11-05,2009-05-06,0.864952808,0.738557548082,0.548572748358,0.625294002372,0.931881008194,0.867741187523,0.690453997146,0.745247062191,890,156,160,276,810,1454,441,404,749,2131,1427,696,237,447,2552,63552,17646,14364,21002,71245
