filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-03-19,1998-11-16,1999-05-17,0.414920029091,0.401769432807,0.686438889056,0.395930454666,0.663194289112,0.690559583058,0.810128998508,0.628737310667,39,71,114,376,308,96,78,276,1568,693,31,55,641,2465,1443,5502,5431,12158,34936,31073
1999-05-17,1999-03-19,1999-08-16,0.317637622353,0.247413029413,0.184315505822,0.331058761067,0.65250528573,0.520422097465,0.378418938415,0.57004046804,71,114,376,308,38,78,276,1568,693,108,55,641,2465,1443,155,5431,12158,34936,31073,6048
1999-08-16,1999-05-17,1999-11-15,0.360500506112,0.473338057249,0.508165375,0.300905433511,0.636985389694,0.733585008316,0.760535460078,0.528010632338,114,376,308,38,340,276,1568,693,108,1516,641,2465,1443,155,2239,12158,34936,31073,6048,33397
1999-11-15,1999-08-16,2000-03-29,0.223207327839,0.28491220365,0.538612993918,0.283179246525,0.407065746377,0.472421361113,0.73949780399,0.458667269492,376,308,38,340,102,1568,693,108,1516,253,2465,1443,155,2239,711,34936,31073,6048,33397,13840
2000-03-29,1999-11-15,2000-05-15,0.614117149603,0.337781063974,0.476238407052,0.280448016159,0.824698442022,0.597280874814,0.69848196391,0.45396940194,308,38,340,102,269,693,108,1516,253,525,1443,155,2239,711,852,31073,6048,33397,13840,26956
2000-05-15,2000-03-29,2000-08-14,0.462640486758,0.280651667058,0.285029354862,0.446700180929,0.740279276716,0.445426836926,0.473050955891,0.615482450383,38,340,102,269,36,108,1516,253,525,68,155,2239,711,852,42,6048,33397,13840,26956,4234
2000-08-14,2000-05-15,2000-11-13,0.320648420145,0.259443990011,0.419621925477,0.685795940524,0.487465109457,0.449607027235,0.605850013036,0.827214625595,340,102,269,36,47,1516,253,525,68,83,2239,711,852,42,38,33397,13840,26956,4234,5631
2000-11-13,2000-08-14,2001-04-02,0.429716481989,0.219847630366,0.331051521932,0.339319008837,0.646411668109,0.390570860841,0.512126426796,0.50878611209,102,269,36,47,70,253,525,68,83,114,711,852,42,38,213,13840,26956,4234,5631,10507
2001-04-02,2000-11-13,2001-05-15,0.448060688436,0.256496231377,0.242537366344,0.167100872877,0.609310664507,0.402327212312,0.386637620577,0.312935262496,269,36,47,70,1175,525,68,83,114,3966,852,42,38,213,6714,26956,4234,5631,10507,111952
2001-05-15,2001-04-02,2001-08-14,0.602482495305,0.438446355442,0.229720352518,0.266849578432,0.820966686127,0.673570418657,0.43922465972,0.404612953593,36,47,70,1175,58,68,83,114,3966,229,42,38,213,6714,92,4234,5631,10507,111952,6793
2001-08-14,2001-05-15,2001-11-14,0.430187065585,0.196607155776,0.435074983832,0.425214788637,0.662444012253,0.407090163984,0.662185318805,0.603740220151,47,70,1175,58,146,83,114,3966,229,552,38,213,6714,92,947,5631,10507,111952,6793,18045
2001-11-14,2001-08-14,2002-04-01,0.287079708701,0.415148727904,0.437080748802,0.823160159602,0.503092385996,0.640645155551,0.643223724513,0.860546951534,70,1175,58,146,138,114,3966,229,552,541,213,6714,92,947,943,10507,111952,6793,18045,18720
2002-04-01,2001-11-14,2002-05-15,0.535899817796,0.460790781902,0.465734414223,0.465809559318,0.704060572306,0.665233346721,0.714873263508,0.718690692957,1175,58,146,138,295,3966,229,552,541,1040,6714,92,947,943,1438,111952,6793,18045,18720,33499
2002-05-15,2002-04-01,2002-08-14,0.659826456375,0.340317717358,0.358096168032,0.487861524763,0.872923397382,0.552487425933,0.584528790245,0.658732031873,58,146,138,295,72,229,552,541,1040,295,92,947,943,1438,64,6793,18045,18720,33499,7866
2002-08-14,2002-05-15,2002-11-14,0.444322603432,0.339381360202,0.443399626048,0.67385021646,0.641584283643,0.559492465146,0.612489059134,0.81368787487,146,138,295,72,83,552,541,1040,295,423,947,943,1438,64,72,18045,18720,33499,7866,10378
2002-11-14,2002-08-14,2003-03-24,0.450150754089,0.425551727794,0.618309862678,0.661743100879,0.651096492314,0.614843052549,0.797603061213,0.81356635079,138,295,72,83,111,541,1040,295,423,488,943,1438,64,72,97,18720,33499,7866,10378,12024
2003-03-24,2002-11-14,2003-05-12,0.537659489527,0.323879027185,0.306061612999,0.314985141419,0.742826203845,0.49399752617,0.45997909305,0.475433917491,295,72,83,111,967,1040,295,423,488,2251,1438,64,72,97,4419,33499,7866,10378,12024,85078
2003-05-12,2003-03-24,2003-08-14,0.709595257361,0.579438798266,0.605773844809,0.414428195593,0.895891857168,0.777347285466,0.801282541131,0.567208826703,72,83,111,967,109,295,423,488,2251,386,64,72,97,4419,102,7866,10378,12024,85078,11539
2003-08-14,2003-05-12,2003-11-14,0.758019189485,0.583805428458,0.369770326349,0.757258107547,0.910601177334,0.796946569072,0.517783936394,0.873258825358,83,111,967,109,109,423,488,2251,386,475,72,97,4419,102,118,10378,12024,85078,11539,13923
2003-11-14,2003-08-14,2004-03-12,0.774939460806,0.369358254346,0.715129753423,0.743832226074,0.916909119528,0.524950900713,0.865492955457,0.878105422291,111,967,109,109,146,488,2251,386,475,534,97,4419,102,118,126,12024,85078,11539,13923,14480
2004-03-12,2003-11-14,2004-05-10,0.752122641929,0.409807314438,0.380727800439,0.393284752912,0.900130663639,0.58375863161,0.540359032233,0.557811438444,967,109,109,146,868,2251,386,475,534,2184,4419,102,118,126,4418,85078,11539,13923,14480,84505
2004-05-10,2004-03-12,2004-08-09,0.77325310797,0.639165238743,0.6494207923,0.425646109935,0.923220305595,0.810325518641,0.823977495478,0.597467282959,109,109,146,868,64,386,475,534,2184,330,102,118,126,4418,107,11539,13923,14480,84505,9071
2004-08-09,2004-05-10,2004-11-09,0.545626825419,0.453675717451,0.498040509989,0.524242429504,0.701769067486,0.63908149722,0.70809471041,0.680443589811,109,146,868,64,196,475,534,2184,330,839,118,126,4418,107,1065,13923,14480,84505,9071,23513
2004-11-09,2004-08-09,2005-03-30,0.558583291363,0.376645227086,0.500356501792,0.462698037708,0.755405918682,0.610454266593,0.709679728946,0.692768388121,146,868,64,196,184,534,2184,330,839,1048,126,4418,107,1065,710,14480,84505,9071,23513,21712
2005-03-30,2004-11-09,2005-05-10,0.529532212065,0.667970134889,0.480713472589,0.460285490132,0.674159636025,0.816995380437,0.65003281731,0.67277916059,868,64,196,184,250,2184,330,839,1048,1042,4418,107,1065,710,329,84505,9071,23513,21712,29536
2005-05-10,2005-03-30,2005-08-08,0.805500951622,0.48999870431,0.487443499366,0.640766106545,0.939395805278,0.662416330551,0.709102351191,0.799859837061,64,196,184,250,71,330,839,1048,1042,321,107,1065,710,329,114,9071,23513,21712,29536,8296
2005-08-08,2005-05-10,2005-11-09,0.485642946736,0.391428785311,0.475498800828,0.543046105711,0.717018207278,0.6733448808,0.699168047456,0.75457189062,196,184,250,71,125,839,1048,1042,321,598,1065,710,329,114,562,23513,21712,29536,8296,17771
2005-11-09,2005-08-08,2006-03-15,0.561118595867,0.612144252586,0.677768074946,0.54199893669,0.766793880486,0.790814107229,0.840155927081,0.763956262348,184,250,71,125,110,1048,1042,321,598,556,710,329,114,562,225,21712,29536,8296,17771,14605
2006-03-15,2005-11-09,2006-05-10,0.830856948449,0.648242466194,0.509785176101,0.715378936775,0.942125745736,0.790430826021,0.714901450428,0.835433061486,250,71,125,110,283,1042,321,598,556,1081,329,114,562,225,544,29536,8296,17771,14605,36007
2006-05-10,2006-03-15,2006-11-29,0.774291391459,0.491033359809,0.712830673938,0.732242300276,0.907722088834,0.718564049198,0.861632821826,0.834090706342,71,125,110,283,64,321,598,556,1081,384,114,562,225,544,137,8296,17771,14605,36007,11559
2006-11-29,2006-05-10,2007-02-23,0.492290447498,0.694649673958,0.949926030553,0.730522897536,0.697557772195,0.820894028712,0.980144889154,0.838032838822,125,110,283,64,284,598,556,1081,384,1343,562,225,544,137,496,17771,14605,36007,11559,39898
2007-02-23,2006-11-29,2007-02-28,0.664657919553,0.891038462234,0.690327267949,0.944087078661,0.795590778519,0.93898658743,0.804339729132,0.966462803941,110,283,64,284,182,556,1081,384,1343,1075,225,544,137,496,304,14605,36007,11559,39898,29348
2007-02-28,2007-02-23,2007-05-08,0.925241787153,0.721947956109,0.926365621732,0.880277581362,0.977377378135,0.832024527966,0.980287987362,0.945645522481,283,64,284,182,295,1081,384,1343,1075,1094,544,137,496,304,553,36007,11559,39898,29348,38936
2007-05-08,2007-02-28,2007-08-07,0.78523892365,0.689616026825,0.651788315632,0.734740937398,0.925834611961,0.849325635077,0.814625466129,0.865206239472,64,284,182,295,126,384,1343,1075,1094,471,137,496,304,553,380,11559,39898,29348,38936,15425
2007-08-07,2007-05-08,2007-11-09,0.244608676693,0.220081719788,0.247716880144,0.28084197644,0.336149488683,0.306898542163,0.335717319098,0.393239379521,284,182,295,126,934,1343,1075,1094,471,3802,496,304,553,380,6762,39898,29348,38936,15425,106666
