filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-28,1994-11-14,1995-03-17,0.287008772494,0.135421582716,0.781658895721,0.910857777421,0.439716334148,0.273713815904,0.882040064357,0.950602098514,354,484,46,48,31,994,2059,240,231,92,2481,4534,357,390,141,41815,63558,6652,7123,3542
1995-03-17,1994-11-28,1995-05-15,0.287193427804,0.432799766774,0.463721398843,0.424673577607,0.513297953276,0.597350129154,0.625307747907,0.580804914602,484,46,48,31,524,2059,240,231,92,1479,4534,357,390,141,2267,63558,6652,7123,3542,46579
1995-05-15,1995-03-17,1995-08-14,0.74524515842,0.800741842757,0.725641520592,0.45494014333,0.860276125246,0.893969864937,0.852444650506,0.604980444868,46,48,31,524,33,240,231,92,1479,177,357,390,141,2267,338,6652,7123,3542,46579,5378
1995-08-14,1995-05-15,1995-11-14,0.595806500592,0.536522414849,0.557208023141,0.664608922013,0.76211540066,0.72651818153,0.71153753691,0.795416926255,48,31,524,33,90,231,92,1479,177,388,390,141,2267,338,631,7123,3542,46579,5378,11441
1995-11-14,1995-08-14,1996-03-22,0.548763607794,0.561302311549,0.610524514173,0.584893482889,0.70781663582,0.757477257412,0.724690923601,0.733533612125,31,524,33,90,117,92,1479,177,388,334,141,2267,338,631,977,3542,46579,5378,11441,13647
1996-03-22,1995-11-14,1996-05-15,0.732864071976,0.611630271717,0.53592503466,0.56853951031,0.853366757194,0.777125913501,0.729380532303,0.728885258759,524,33,90,117,225,1479,177,388,334,585,2267,338,631,977,854,46579,5378,11441,13647,24172
1996-05-15,1996-03-22,1996-08-14,0.705136323714,0.56357203171,0.572600400369,0.578607436092,0.885302132077,0.768817295228,0.764602341262,0.772144777405,33,90,117,225,56,177,388,334,585,278,338,631,977,854,560,5378,11441,13647,24172,7472
1996-08-14,1996-05-15,1996-11-14,0.197779294645,0.266149983816,0.195031916682,0.167375131849,0.416080301346,0.495245635202,0.367215232561,0.344354775601,90,117,225,56,521,388,334,585,278,2161,631,977,854,560,4992,11441,13647,24172,7472,70269
1996-11-14,1996-08-14,1997-03-24,0.498106437354,0.579252475877,0.569408794826,0.146887572955,0.707373949414,0.791892804675,0.804849375952,0.30035171578,117,225,56,521,64,334,585,278,2161,108,977,854,560,4992,185,13647,24172,7472,70269,5883
1997-03-24,1996-11-14,1997-05-15,0.732073149873,0.429701198262,0.308013957461,0.46786633562,0.875520166576,0.686914895618,0.517197297171,0.680000570572,225,56,521,64,380,585,278,2161,108,1008,854,560,4992,185,1996,24172,7472,70269,5883,36879
1997-05-15,1997-03-24,1997-08-14,0.317759898218,0.13336463025,0.396760571315,0.435380218714,0.623704729804,0.314287298067,0.684572204684,0.695583428084,56,521,64,380,104,278,2161,108,1008,137,560,4992,185,1996,189,7472,70269,5883,36879,6617
1997-08-14,1997-05-15,1997-11-14,0.127960043717,0.584330274951,0.458537470779,0.513140506422,0.278188481323,0.866430062478,0.667811985593,0.741618442385,521,64,380,104,53,2161,108,1008,137,63,4992,185,1996,189,101,70269,5883,36879,6617,5497
1997-11-14,1997-08-14,1998-03-30,0.389443352338,0.435360857545,0.327936886759,0.484298740635,0.696029338833,0.705486014713,0.605529883795,0.709237892855,64,380,104,53,124,108,1008,137,63,139,185,1996,189,101,497,5883,36879,6617,5497,10147
1998-03-30,1997-11-14,1998-04-30,0.766206246146,0.413085798457,0.52932490173,0.427928540999,0.902851037808,0.67084877101,0.740581691128,0.698775343463,380,104,53,124,344,1008,137,63,139,624,1996,189,101,497,876,36879,6617,5497,10147,28630
1998-04-30,1998-03-30,1998-05-15,0.280086304299,0.169991638653,0.16114627113,0.359260866671,0.549789482191,0.351984632485,0.37601885149,0.578319381439,104,53,124,344,50,137,63,139,624,82,189,101,497,876,119,6617,5497,10147,28630,4751
1998-05-15,1998-04-30,1998-08-14,0.237697583111,0.247076628502,0.33813190423,0.166801014243,0.499929774202,0.57495851981,0.642500607861,0.414968462771,53,124,344,50,200,63,139,624,82,782,101,497,876,119,1258,5497,10147,28630,4751,18137
1998-08-14,1998-05-15,1998-11-16,0.353482844389,0.484778074311,0.177745388832,0.262527041883,0.661109075108,0.725659656769,0.379483075244,0.52960784441,124,344,50,200,82,139,624,82,782,121,497,876,119,1258,85,10147,28630,4751,18137,7463
1998-11-16,1998-08-14,1999-03-30,0.488844923118,0.327282505943,0.316621383153,0.524345524811,0.726338441983,0.626075601502,0.631228805598,0.704639445653,344,50,200,82,202,624,82,782,121,342,876,119,1258,85,555,28630,4751,18137,7463,15195
1999-03-30,1998-11-16,1999-05-17,0.515706609897,0.338043300603,0.525591327611,0.546191289556,0.682810283217,0.641462423971,0.735867490844,0.773264113941,50,200,82,202,441,82,782,121,342,869,119,1258,85,555,1059,4751,18137,7463,15195,37219
