filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-11,1997-04-23,1997-11-12,0.400695240364,0.701119771618,0.556046019316,0.755635228972,0.587007720748,0.901934185484,0.764709566796,0.893310060584,85,42,110,34,34,231,85,167,65,74,372,23,102,21,27,9293,3748,9867,2830,3599
1997-11-12,1997-08-11,1998-03-23,0.720434174845,0.542761004458,0.734271640568,0.821955741169,0.916845939508,0.761640531747,0.894678173251,0.939340467868,42,110,34,34,36,85,167,65,74,59,23,102,21,27,32,3748,9867,2830,3599,3729
1998-03-23,1997-11-12,1998-04-27,0.783226313242,0.531758568835,0.517416583836,0.539468298356,0.924626041745,0.741424988123,0.717402420738,0.727670388814,110,34,34,36,155,167,65,74,59,275,102,21,27,32,366,9867,2830,3599,3729,13982
1998-04-27,1998-03-23,1998-08-14,0.761346751911,0.670098509032,0.711994029507,0.539410265705,0.93581155684,0.86811416969,0.89247219557,0.745644784433,34,34,36,155,34,65,74,59,275,66,21,27,32,366,23,2830,3599,3729,13982,3264
1998-08-14,1998-04-27,1998-11-09,0.60640023713,0.603731639295,0.644128479572,0.653583618157,0.821034229528,0.807809328192,0.85233868917,0.811842044831,34,36,155,34,57,74,59,275,66,116,27,32,366,23,136,3599,3729,13982,3264,5561
1998-11-09,1998-08-14,1999-03-24,0.731857221512,0.491443973838,0.706254414907,0.620657355796,0.922651032357,0.732632334891,0.905287575383,0.8279809839,36,155,34,57,37,59,275,66,116,98,32,366,23,136,29,3729,13982,3264,5561,4332
1999-03-24,1998-11-09,1999-05-04,0.784626353619,0.602761846591,0.551617485946,0.630779343778,0.92216664292,0.814869336455,0.79465360255,0.818039694118,155,34,57,37,111,275,66,116,98,192,366,23,136,29,128,13982,3264,5561,4332,11428
1999-05-04,1999-03-24,1999-08-09,0.612910785895,0.440716390129,0.678656468705,0.553189863264,0.877836585187,0.727693197679,0.850868395182,0.763776436876,34,57,37,111,19,66,116,98,192,44,23,136,29,128,21,3264,5561,4332,11428,2831
1999-08-09,1999-05-04,1999-11-12,0.577495861391,0.769853841923,0.640345068793,0.804385703529,0.819154140899,0.929573626869,0.829262211794,0.887692703634,57,37,111,19,44,116,98,192,44,109,136,29,128,21,36,5561,4332,11428,2831,4711
1999-11-12,1999-08-09,2000-03-28,0.796127339102,0.634124775193,0.777284643394,0.920498061082,0.94754661924,0.828420444406,0.882787125657,0.975789677084,37,111,19,44,43,98,192,44,109,106,29,128,21,36,35,4332,11428,2831,4711,4613
2000-03-28,1999-11-12,2000-05-09,0.891738117842,0.486509806185,0.609270567681,0.607955076152,0.979337823427,0.743618843412,0.815706489947,0.81540414591,111,19,44,43,109,192,44,109,106,157,128,21,36,35,121,11428,2831,4711,4613,10013
2000-05-09,2000-03-28,2000-08-09,0.668939646029,0.745931168967,0.752321107655,0.643756775481,0.88084423273,0.914178597228,0.918051546068,0.820920673728,19,44,43,109,38,44,109,106,157,69,21,36,35,121,32,2831,4711,4613,10013,3340
2000-08-09,2000-05-09,2000-11-09,0.784297764008,0.753266113801,0.607294929136,0.857178277174,0.945132839692,0.928151002246,0.801392180432,0.94188779669,44,43,109,38,45,109,106,157,69,66,36,35,121,32,38,4711,4613,10013,3340,3912
