filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-22,1994-11-07,1995-05-12,0.829925181602,0.182080901033,0.174030586277,0.338984441907,0.967443988186,0.416609210965,0.413645029337,0.654531257418,149,62,77,43,122,237,148,122,36,244,214,379,381,22,228,10007,5344,4921,1919,9590
1995-05-12,1995-03-22,1995-08-14,0.217272325384,0.216873458365,0.223462393734,0.273217437373,0.367131678395,0.409687407861,0.450281434051,0.535305758679,62,77,43,122,45,148,122,36,244,94,379,381,22,228,248,5344,4921,1919,9590,4779
1995-08-14,1995-05-12,1995-11-13,0.460285833933,0.159631161634,0.151576116523,0.188378148947,0.684437674604,0.431776157886,0.395108978297,0.394269496643,77,43,122,45,105,122,36,244,94,76,381,22,228,248,253,4921,1919,9590,4779,4872
1995-11-13,1995-08-14,1996-03-26,0.487169676865,0.334473631163,0.226928583013,0.1696319239,0.877301592087,0.657882092603,0.448969168448,0.425308215967,43,122,45,105,27,36,244,94,76,34,22,228,248,253,28,1919,9590,4779,4872,1735
1996-03-26,1995-11-13,1996-05-14,0.714534550147,0.697564368526,0.19196075881,0.314168819131,0.877768804558,0.824508504479,0.423476122175,0.586602755678,122,45,105,27,141,244,94,76,34,283,228,248,253,28,455,9590,4779,4872,1735,12648
1996-05-14,1996-03-26,1996-08-09,0.263086216814,0.146777944402,0.415220470347,0.349047602314,0.483855166947,0.413341504942,0.813161838412,0.610098811904,45,105,27,141,30,94,76,34,283,54,248,253,28,455,47,4779,4872,1735,12648,1863
1996-08-09,1996-05-14,1996-11-14,0.509040373898,0.290153211084,0.293542973155,0.353974523331,0.702785606464,0.66485611326,0.573485319957,0.681959159614,105,27,141,30,42,76,34,283,54,71,253,28,455,47,172,4872,1735,12648,1863,3053
1996-11-14,1996-08-09,1997-03-27,0.519867750793,0.303718324866,0.473226634495,0.3444766283,0.890841541655,0.552512863519,0.838031082125,0.67856042852,27,141,30,42,25,34,283,54,71,40,28,455,47,172,36,1735,12648,1863,3053,1671
1997-03-27,1996-11-14,1997-05-13,0.612227138991,0.334566794365,0.249603058284,0.308247333869,0.813505683322,0.673259848894,0.579012323011,0.625004391913,141,30,42,25,89,283,54,71,40,140,455,47,172,36,129,12648,1863,3053,1671,7944
1997-05-13,1997-03-27,1997-08-13,0.361572343694,0.222625934977,0.336394276625,0.412982293922,0.782552065674,0.598248333655,0.746353491262,0.732044770314,30,42,25,89,23,54,71,40,140,45,47,172,36,129,19,1863,3053,1671,7944,1852
1997-08-13,1997-05-13,1997-11-13,0.328188885103,0.323500509932,0.399473768,0.486705965353,0.683471058569,0.708339574558,0.711856319351,0.814783216861,42,25,89,23,26,71,40,140,45,45,172,36,129,19,16,3053,1671,7944,1852,2043
1997-11-13,1997-08-13,1998-03-23,0.168158748542,0.227996612452,0.193541836603,0.231984488902,0.395060445907,0.470397366649,0.434738283443,0.45001612398,25,89,23,26,44,40,140,45,45,158,36,129,19,16,427,1671,7944,1852,2043,5285
1998-03-23,1997-11-13,1998-05-14,0.780240644814,0.398105232013,0.397774667283,0.209640231423,0.917243457938,0.701708757385,0.704569406981,0.420899622119,89,23,26,44,90,140,45,45,158,151,129,19,16,427,102,7944,1852,2043,5285,7454
1998-05-14,1998-03-23,1998-08-14,0.474209516117,0.443025717364,0.182655903105,0.428137805389,0.796379342563,0.755317978903,0.3518537359,0.700474544514,23,26,44,90,17,45,45,158,151,31,19,16,427,102,13,1852,2043,5285,7454,1568
1998-08-14,1998-05-14,1998-11-13,0.517550457985,0.178971029128,0.420883117802,0.580267911308,0.821162842966,0.363162629078,0.716357076711,0.830649719125,26,44,90,17,20,45,158,151,31,33,16,427,102,13,13,2043,5285,7454,1568,2014
1998-11-13,1998-08-14,1999-03-24,0.176769826717,0.410439504712,0.5456841229,0.599715145135,0.36680906996,0.725360248855,0.850435997146,0.865168609332,44,90,17,20,25,158,151,31,33,43,427,102,13,13,14,5285,7454,1568,2014,2227
1999-03-24,1998-11-13,1999-05-14,0.775041518333,0.406384893104,0.434363653123,0.447067307713,0.922547053119,0.677964942046,0.728436671285,0.743477399701,90,17,20,25,73,151,31,33,43,150,102,13,13,14,120,7454,1568,2014,2227,7962
1999-05-14,1999-03-24,1999-08-16,0.522039968165,0.42289299886,0.459818920797,0.423138288912,0.86493542781,0.779502918982,0.824896283596,0.722001859501,17,20,25,73,12,31,33,43,150,56,13,13,14,120,17,1568,2014,2227,7962,2117
1999-08-16,1999-05-14,1999-11-15,0.567965789634,0.453796298072,0.408141183824,0.482255767224,0.881662763495,0.809301666006,0.706487793497,0.801477597144,20,25,73,12,19,33,43,150,56,49,13,14,120,17,22,2014,2227,7962,2117,2298
1999-11-15,1999-08-16,2000-03-03,0.484204897323,0.379679098349,0.45897401237,0.504766868436,0.835954105067,0.691735641265,0.812971192346,0.799920117151,25,73,12,19,11,43,150,56,49,90,14,120,17,22,76,2227,7962,2117,2298,2495
2000-03-03,1999-11-15,2000-04-20,0.784794097492,0.389111877075,0.372032243518,0.469711363081,0.948200734153,0.708971915485,0.678596400543,0.719511645601,73,12,19,11,74,150,56,49,90,236,120,17,22,76,242,7962,2117,2298,2495,8561
2000-04-20,2000-03-03,2000-07-21,0.494940944169,0.467934004605,0.450296559164,0.43843965698,0.826926875549,0.781585774884,0.787392282131,0.692615886831,12,19,11,74,13,56,49,90,236,37,17,22,76,242,16,2117,2298,2495,8561,1714
2000-07-21,2000-04-20,2000-10-26,0.560540354846,0.441572541439,0.427704963547,0.590456730796,0.87643383279,0.785167879319,0.708557721031,0.835004587794,19,11,74,13,13,49,90,236,37,65,22,76,242,16,38,2298,2495,8561,1714,2444
2000-10-26,2000-07-21,2001-02-22,0.500123191947,0.406715978741,0.639576286014,0.590078978098,0.837570578969,0.674508126122,0.879635798955,0.84800061149,11,74,13,13,18,90,236,37,65,56,76,242,16,38,10,2495,8561,1714,2444,2028
2001-02-22,2000-10-26,2001-04-24,0.276405933019,0.145672858775,0.154108995762,0.143327514162,0.541438143229,0.347874003052,0.383675231318,0.35278720225,74,13,13,18,284,236,37,65,56,1087,242,16,38,10,1958,8561,1714,2444,2028,33792
2001-04-24,2001-02-22,2001-07-26,0.665280575876,0.491155113329,0.570791090131,0.151464712937,0.900754742465,0.790322841478,0.843004183482,0.367509607297,13,13,18,284,20,37,65,56,1087,51,16,38,10,1958,22,1714,2444,2028,33792,1984
2001-07-26,2001-04-24,2001-10-24,0.595520686824,0.523577752318,0.151200554643,0.652784440689,0.883138342848,0.82391525648,0.371585298439,0.873241092967,13,18,284,20,31,65,56,1087,51,67,38,10,1958,22,35,2444,2028,33792,1984,2485
2001-10-24,2001-07-26,2002-02-21,0.573959811389,0.142782758084,0.607088046696,0.608472479086,0.875055775067,0.368501351004,0.868736052906,0.867301125932,18,284,20,31,29,56,1087,51,67,66,10,1958,22,35,38,2028,33792,1984,2485,2570
2002-02-21,2001-10-24,2002-04-19,0.325369871829,0.381119782198,0.374661940108,0.397354353437,0.588435713584,0.662481697001,0.667347913441,0.678931931121,284,20,31,29,109,1087,51,67,66,265,1958,22,35,38,375,33792,1984,2485,2570,10595
2002-04-19,2002-02-21,2002-07-24,0.517132738192,0.434411503005,0.450202658182,0.364167983169,0.833904329903,0.766828651975,0.80251409703,0.655137791645,20,31,29,109,27,51,67,66,265,57,22,35,38,375,36,1984,2485,2570,10595,2751
2002-07-24,2002-04-19,2002-11-06,0.602031207289,0.463824001568,0.376982899618,0.619550295055,0.867497088293,0.795862159871,0.65939871634,0.845501580497,31,29,109,27,36,67,66,265,57,57,35,38,375,36,29,2485,2570,10595,2751,2972
2002-11-06,2002-07-24,2003-02-20,0.501659594377,0.365155777149,0.524684843748,0.624877413803,0.819231497045,0.6646257144,0.800511621572,0.821185600409,29,109,27,36,39,66,265,57,57,77,38,375,36,29,30,2570,10595,2751,2972,3396
2003-02-20,2002-11-06,2003-05-01,0.691602409994,0.464609900051,0.479006564597,0.533058605709,0.891721304382,0.739257916886,0.740372210008,0.775331810623,109,27,36,39,110,265,57,57,77,224,375,36,29,30,153,10595,2751,2972,3396,10249
2003-05-01,2003-02-20,2003-07-31,0.476776712661,0.460415205386,0.648520167373,0.533785396749,0.773847933854,0.733145353314,0.87392683347,0.760625704118,27,36,39,110,24,57,57,77,224,60,36,29,30,153,21,2751,2972,3396,10249,2838
2003-07-31,2003-05-01,2003-10-30,0.5901564012,0.620897831184,0.498116758622,0.706953207313,0.830548822764,0.856168453857,0.743415224047,0.892906002159,36,39,110,24,33,57,77,224,60,62,29,30,153,21,21,2972,3396,10249,2838,3268
2003-10-30,2003-07-31,2003-12-12,0.661033093064,0.506645820632,0.657057353748,0.669247320998,0.896207655359,0.746181107106,0.885473226409,0.875016661325,39,110,24,33,20,77,224,60,62,57,30,153,21,21,18,3396,10249,2838,3268,2994
2003-12-12,2003-10-30,2004-02-23,0.495145816022,0.62420933805,0.635209329212,0.929703585062,0.753147431576,0.876168473636,0.866576110736,0.984034266489,110,24,33,20,21,224,60,62,57,57,153,21,21,18,23,10249,2838,3268,2994,3156
2004-02-23,2003-12-12,2004-05-03,0.476367255546,0.469429503294,0.525374072491,0.51722430496,0.742405881591,0.732579485972,0.75693039841,0.766000200028,24,33,20,21,100,60,62,57,57,204,21,21,18,23,176,2838,3268,2994,3156,10742
2004-05-03,2004-02-23,2004-08-02,0.561645683475,0.663242723516,0.635913045751,0.512186936212,0.840541362731,0.896280934617,0.888267500988,0.755397776467,33,20,21,100,18,62,57,57,204,58,21,18,23,176,24,3268,2994,3156,10742,2942
2004-08-02,2004-05-03,2004-11-01,0.164930982438,0.162666727407,0.182036079379,0.169663227581,0.372306901372,0.378758140848,0.40573062692,0.379229993635,20,21,100,18,172,57,57,204,58,641,18,23,176,24,1246,2994,3156,10742,2942,20017
2004-11-01,2004-08-02,2005-02-18,0.726012557287,0.477182363646,0.667619905844,0.166808817729,0.937417024971,0.729560567211,0.893258943448,0.370226967453,21,100,18,172,19,57,204,58,641,54,23,176,24,1246,18,3156,10742,2942,20017,2868
2005-02-18,2004-11-01,2005-05-03,0.830692668245,0.51400512436,0.201647105612,0.487003547046,0.949073739209,0.762279884107,0.420984833615,0.738948284362,100,18,172,19,105,204,58,641,54,244,176,24,1246,18,230,10742,2942,20017,2868,11946
2005-05-03,2005-02-18,2005-08-02,0.666744039671,0.151725766801,0.610731338082,0.48168749698,0.929566404232,0.363851200077,0.875571046299,0.749282771043,18,172,19,105,23,58,641,54,244,66,24,1246,18,230,26,2942,20017,2868,11946,2996
2005-08-02,2005-05-03,2005-11-03,0.215708073226,0.527313602653,0.534213493924,0.566422159453,0.438944178201,0.820660534502,0.787068606296,0.84690881298,172,19,105,23,42,641,54,244,66,126,1246,18,230,26,91,20017,2868,11946,2996,4274
2005-11-03,2005-08-02,2006-02-24,0.707822266834,0.496580656311,0.653196210647,0.640733713943,0.91943560677,0.747490593869,0.893576979263,0.871849095446,19,105,23,42,32,54,244,66,126,79,18,230,26,91,20,2868,11946,2996,4274,3267
2006-02-24,2005-11-03,2006-05-03,0.700394744258,0.409164338987,0.445686137485,0.431157653232,0.877570650534,0.675293054834,0.724673159228,0.67872507825,105,23,42,32,181,244,66,126,79,397,230,26,91,20,586,11946,2996,4274,3267,16638
2006-05-03,2006-02-24,2006-05-08,0.656803947072,0.539336263949,0.644926443086,0.460010831855,0.895568141991,0.818233295883,0.872416450446,0.70686138212,23,42,32,181,33,66,126,79,397,64,26,91,20,586,15,2996,4274,3267,16638,3600
2006-05-08,2006-05-03,2006-08-03,0.539810212628,0.636522402421,0.453919822015,0.973167297059,0.823534245203,0.87277683969,0.70590679927,0.993090067258,42,32,181,33,33,126,79,397,64,65,91,20,586,15,20,4274,3267,16638,3600,3657
2006-08-03,2006-05-08,2006-10-31,0.301064041373,0.707425369661,0.344825811984,0.343456918191,0.498013880765,0.795642651676,0.542241011867,0.544317321897,32,181,33,33,92,79,397,64,65,297,20,586,15,20,663,3267,16638,3600,3657,12006
2006-10-31,2006-08-03,2007-02-16,0.451134643087,0.68101775381,0.678334569729,0.385178164975,0.710775904563,0.87902892823,0.881230206521,0.546718722111,181,33,33,92,43,397,64,65,297,101,586,15,20,663,26,16638,3600,3657,12006,4872
2007-02-16,2006-10-31,2007-05-04,0.562118901527,0.559549625389,0.345875220624,0.633681250785,0.781571080528,0.783784242096,0.548227496112,0.835715932059,33,33,92,43,177,64,65,297,101,335,15,20,663,26,170,3600,3657,12006,4872,14067
2007-05-04,2007-02-16,2007-08-01,0.724223491827,0.326984924178,0.656832537634,0.587329822171,0.924533215402,0.532271807095,0.869811441835,0.791425074442,33,92,43,177,23,65,297,101,335,71,20,663,26,170,21,3657,12006,4872,14067,3545
2007-08-01,2007-05-04,2007-10-31,0.366175021986,0.627526669365,0.563609165308,0.732133493741,0.571037271739,0.847830305458,0.772857975656,0.881961559437,92,43,177,23,28,297,101,335,71,63,663,26,170,21,20,12006,4872,14067,3545,4167
2007-10-31,2007-08-01,2008-02-20,0.671795738158,0.53840876576,0.674399299139,0.740395386408,0.900708168835,0.7820423539,0.880991078748,0.908998831505,43,177,23,28,43,101,335,71,63,109,26,170,21,20,50,4872,14067,3545,4167,4590
2008-02-20,2007-10-31,2008-05-02,0.838973920413,0.548196157948,0.552339247665,0.533608273979,0.963326189601,0.77410427113,0.773947258345,0.783626415002,177,23,28,43,206,335,71,63,109,405,170,21,20,50,285,14067,3545,4167,4590,16237
2008-05-02,2008-02-20,2008-08-06,0.678183072151,0.60529527335,0.570889772076,0.522243878544,0.902817001247,0.840419703062,0.837026453642,0.777748265686,23,28,43,206,45,71,63,109,405,82,21,20,50,285,60,3545,4167,4590,16237,4516
2008-08-06,2008-05-02,2008-10-30,0.763034768943,0.625533440669,0.527928293813,0.688115694712,0.938253373799,0.869205112983,0.761495781664,0.881227717073,28,43,206,45,48,63,109,405,82,83,20,50,285,60,30,4167,4590,16237,4516,4395
2008-10-30,2008-08-06,2009-02-25,0.725811138891,0.525335813629,0.685639130413,0.801532057957,0.9293437976,0.756871389228,0.882618553979,0.923100112767,43,206,45,48,52,109,405,82,83,86,50,285,60,30,24,4590,16237,4516,4395,4235
2009-02-25,2008-10-30,2009-05-05,0.59378410482,0.434690557877,0.38780440382,0.373979250583,0.830671180693,0.697864551656,0.641221096968,0.623311422289,206,45,48,52,325,405,82,83,86,642,285,60,30,24,792,16237,4516,4395,4235,24445
2009-05-05,2009-02-25,2009-05-14,0.682475812095,0.67182484341,0.691804015538,0.39231494971,0.899272959697,0.86459572582,0.875716011073,0.648282996349,45,48,52,325,47,82,83,86,642,113,60,30,24,792,58,4516,4395,4235,24445,4674
2009-05-14,2009-05-05,2009-08-04,0.440132341355,0.452538095869,0.205934165998,0.468455823594,0.556615194339,0.56277610404,0.337260708432,0.570503090648,48,52,325,47,3,83,86,642,113,17,30,24,792,58,8,4395,4235,24445,4674,1023
2009-08-04,2009-05-14,2009-11-03,0.373269428025,0.453781425352,0.430045328585,0.238277979489,0.624281894213,0.755853531909,0.676986030341,0.395875771944,52,325,47,3,184,86,642,113,17,398,24,792,58,8,511,4235,24445,4674,1023,11781
2009-11-03,2009-08-04,2010-02-26,0.383649615549,0.742447484059,0.399058026514,0.455430947751,0.653226540199,0.906416958791,0.502932551453,0.695898512146,325,47,3,184,76,642,113,17,398,152,792,58,8,511,67,24445,4674,1023,11781,5844
2010-02-26,2009-11-03,2010-05-05,0.615433613322,0.311667488537,0.40851755447,0.650815756314,0.811139985861,0.407204987244,0.680114345619,0.828486657984,47,3,184,76,205,113,17,398,152,435,58,8,511,67,186,4674,1023,11781,5844,16273
2010-05-05,2010-02-26,2010-08-04,0.450506928315,0.43333917958,0.775900116756,0.64753341882,0.551490087846,0.688909036617,0.917550620339,0.81983967232,3,184,76,205,49,17,398,152,435,112,8,511,67,186,64,1023,11781,5844,16273,5040
2010-08-04,2010-05-05,2010-11-04,0.0520512316503,0.0809210904115,0.0743250072463,0.085789710355,0.137521314447,0.171584093546,0.166762336995,0.172354485507,184,76,205,49,168,398,152,435,112,3767,511,67,186,64,291,11781,5844,16273,5040,23097
