filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-08,1994-08-12,1995-02-13,0.448270250674,0.115566468867,0.430151437133,0.450881650909,0.704794923417,0.292772590667,0.683351891761,0.671527326408,48,2,58,76,277,19,0,39,61,204,15,16,21,56,232,1947,285,2466,2743,15051
1995-02-13,1994-12-08,1995-05-15,0.0910969042384,0.564557930328,0.573985809114,0.448557965685,0.264506290748,0.842246229612,0.830641779169,0.690739142726,2,58,76,277,38,0,39,61,204,14,16,21,56,232,10,285,2466,2743,15051,1640
1995-05-15,1995-02-13,1995-08-14,0.629917264217,0.544651229251,0.405967376424,0.636174597461,0.901951952599,0.845971176413,0.674642872303,0.862391538227,58,76,277,38,60,39,61,204,14,72,21,56,232,10,24,2466,2743,15051,1640,2677
1995-08-14,1995-05-15,1995-12-12,0.679369562323,0.426809197162,0.63259854818,0.731695692965,0.923601538012,0.673696772558,0.858626266815,0.904976250179,76,277,38,60,69,61,204,14,72,75,56,232,10,24,34,2743,15051,1640,2677,2748
1995-12-12,1995-08-14,1996-02-14,0.857648690931,0.421470404362,0.399967692608,0.418679002281,0.952151181346,0.656991667585,0.640763841485,0.633311634487,277,38,60,69,351,204,14,72,75,303,232,10,24,34,514,15051,1640,2677,2748,19665
1996-02-14,1995-12-12,1996-05-14,0.640785114889,0.524373464797,0.542300532141,0.414490526697,0.900307744571,0.824596073497,0.82260546547,0.65511502799,38,60,69,351,25,14,72,75,303,25,10,24,34,514,20,1640,2677,2748,19665,1563
1996-05-14,1996-02-14,1996-08-12,0.563791225945,0.507161751093,0.389789197104,0.661912984607,0.872563011504,0.826311546584,0.646427560097,0.871362836337,60,69,351,25,49,72,75,303,25,42,24,34,514,20,43,2677,2748,19665,1563,2524
1996-08-12,1996-05-14,1996-12-12,0.596676428898,0.406914340535,0.646070327093,0.77824267659,0.88207844572,0.641667832148,0.874745132799,0.92128663477,69,351,25,49,56,75,303,25,42,42,34,514,20,43,29,2748,19665,1563,2524,2495
1996-12-12,1996-08-12,1997-02-12,0.790757471364,0.367341563208,0.351324560014,0.362798411528,0.899329281751,0.578416583344,0.575141428381,0.567342234799,351,25,49,56,301,303,25,42,42,401,514,20,43,29,696,19665,1563,2524,2495,22808
1997-02-12,1996-12-12,1997-05-13,0.621957380884,0.492860556879,0.549632624421,0.370666173298,0.895143157932,0.811167336087,0.843148025237,0.589103714414,25,49,56,301,34,25,42,42,401,27,20,43,29,696,17,1563,2524,2495,22808,1991
1997-05-13,1997-02-12,1997-08-12,0.58336196127,0.565322968345,0.366743774415,0.640292818063,0.887640841572,0.866571485663,0.569417425988,0.859708368252,49,56,301,34,52,42,42,401,27,46,43,29,696,17,33,2524,2495,22808,1991,2787
1997-08-12,1997-05-13,1997-12-11,0.607259846172,0.373981757015,0.660192652169,0.7925084021,0.900625431264,0.576189664355,0.873487508403,0.945072551518,56,301,34,52,46,42,401,27,46,43,29,696,17,33,28,2495,22808,1991,2787,2633
1997-12-11,1997-08-12,1998-02-12,0.799498663278,0.445414201239,0.460248264732,0.469946203188,0.919893338266,0.67294037657,0.671776936757,0.678342224627,301,34,52,46,241,401,27,46,43,283,696,17,33,28,514,22808,1991,2787,2633,18453
1998-02-12,1997-12-11,1998-05-14,0.603036289102,0.510261205191,0.538238163646,0.429160684733,0.87636143051,0.813712142634,0.834230820852,0.692196258989,34,52,46,241,53,27,46,43,283,55,17,33,28,514,26,1991,2787,2633,18453,2630
1998-05-14,1998-02-12,1998-08-13,0.560181620229,0.537408098503,0.44598580489,0.580192827084,0.860973052519,0.85105875223,0.716751176383,0.8620813603,52,46,241,53,68,46,43,283,55,61,33,28,514,26,28,2787,2633,18453,2630,3365
1998-08-13,1998-05-14,1998-12-16,0.610798406277,0.446383827727,0.581073934918,0.643877137687,0.893321528504,0.683415041535,0.859857356124,0.893138097504,46,241,53,68,66,43,283,55,61,68,28,514,26,28,30,2633,18453,2630,3365,2927
1998-12-16,1998-08-13,1999-02-08,0.85917302698,0.417678075699,0.455934548967,0.450333013942,0.958983356039,0.664215725397,0.698023175081,0.656208667499,241,53,68,66,317,283,55,61,68,326,514,26,28,30,602,18453,2630,3365,2927,21524
1999-02-08,1998-12-16,1999-05-12,0.599225145858,0.511323421125,0.548370071053,0.433825869745,0.8828318248,0.819975739719,0.833688848477,0.660434553198,53,68,66,317,56,55,61,68,326,63,26,28,30,602,24,2630,3365,2927,21524,3119
1999-05-12,1999-02-08,1999-08-12,0.563229197125,0.548365907317,0.416673856455,0.708056293675,0.866895851051,0.840092044399,0.634207780266,0.887116585524,68,66,317,56,63,61,68,326,63,95,28,30,602,24,37,3365,2927,21524,3119,3764
1999-08-12,1999-05-12,1999-12-16,0.594919511329,0.414693116119,0.658699482378,0.762751577937,0.866630466847,0.619831286902,0.86269101527,0.912767158904,66,317,56,63,74,68,326,63,95,109,30,602,24,37,40,2927,21524,3119,3764,4443
1999-12-16,1999-08-12,2000-02-11,0.535225107848,0.220185216118,0.213473729126,0.222375180517,0.718294905055,0.401361114463,0.382525293866,0.379960239934,317,56,63,74,852,326,63,95,109,1772,602,24,37,40,4031,21524,3119,3764,4443,70008
2000-02-11,1999-12-16,2000-05-12,0.520729033561,0.463621579266,0.488606746628,0.33735869514,0.837256314226,0.788938999397,0.792217373149,0.555091421165,56,63,74,852,81,63,95,109,1772,59,24,37,40,4031,114,3119,3764,4443,70008,4029
2000-05-12,2000-02-11,2000-08-11,0.525528547391,0.482506454367,0.378410782576,0.487663793006,0.78142782916,0.747079439852,0.583210910061,0.772147259533,63,74,852,81,139,95,109,1772,59,119,37,40,4031,114,188,3764,4443,70008,4029,6880
2000-08-11,2000-05-12,2000-09-21,0.638073181789,0.199107193448,0.48499635559,0.545161357815,0.900308712147,0.356628061401,0.77987955237,0.751558239922,74,852,81,139,94,109,1772,59,119,96,40,4031,114,188,32,4443,70008,4029,6880,4866
2000-09-21,2000-08-11,2000-12-18,0.090908656872,0.137312209861,0.11229879715,0.131827487578,0.210808113452,0.302275407492,0.233924942111,0.240799715613,852,81,139,94,2,1772,59,119,96,2,4031,114,188,32,11,70008,4029,6880,4866,356
2000-12-18,2000-09-21,2001-02-13,0.56699881946,0.526056300593,0.499571270499,0.134315217503,0.803159333892,0.761215289364,0.694620384749,0.264722022557,81,139,94,2,319,59,119,96,2,287,114,188,32,11,443,4029,6880,4866,356,19250
2001-02-13,2000-12-18,2001-05-11,0.392478085249,0.445868811376,0.125422284287,0.437341881609,0.642938824169,0.699997581641,0.275919121314,0.679362603043,139,94,2,319,40,119,96,2,287,57,188,32,11,443,30,6880,4866,356,19250,3022
2001-05-11,2001-02-13,2001-05-30,0.351764670302,0.0947230611388,0.408719063457,0.352314151644,0.610011403074,0.235685112765,0.691123997895,0.578782984654,94,2,319,40,121,96,2,287,57,298,32,11,443,30,279,4866,356,19250,3022,7297
2001-05-30,2001-05-11,2001-08-10,0.423479343511,0.113832271802,0.0904477730994,0.152059125528,0.707307435876,0.241922001354,0.227531431426,0.269872524549,2,319,40,121,2,2,287,57,298,0,11,443,30,279,11,356,19250,3022,7297,358
2001-08-10,2001-05-30,2001-12-14,0.417752047792,0.500210379191,0.460464140015,0.0764035004628,0.636577013615,0.717544516976,0.641347509467,0.192728263277,319,40,121,2,44,287,57,298,0,136,443,30,279,11,24,19250,3022,7297,358,3365
2001-12-14,2001-08-10,2002-02-13,0.457442034855,0.343720244955,0.117277551233,0.346869114055,0.679329817818,0.600531498877,0.253424773226,0.528569390497,40,121,2,44,221,57,298,0,136,240,30,279,11,24,218,3022,7297,358,3365,14689
2002-02-13,2001-12-14,2002-05-03,0.270685985624,0.11456769653,0.363330565531,0.412942434287,0.541193684721,0.311793340741,0.616996076662,0.694547952181,121,2,44,221,26,298,0,136,240,54,279,11,24,218,22,7297,358,3365,14689,2274
2002-05-03,2002-02-13,2002-08-13,0.109276416287,0.182622914899,0.309624710054,0.243684034667,0.229420105014,0.303382355498,0.47802722932,0.390245623314,2,44,221,26,159,0,136,240,54,266,11,24,218,22,579,358,3365,14689,2274,12875
2002-08-13,2002-05-03,2002-12-13,0.244068211707,0.356954679696,0.301121554761,0.366770492544,0.392990106579,0.5982150755,0.51677338406,0.53583746276,44,221,26,159,171,136,240,54,266,354,24,218,22,579,555,3365,14689,2274,12875,10137
2002-12-13,2002-08-13,2003-02-13,0.717416309863,0.360671369884,0.538181428073,0.45072830784,0.869013257245,0.619887542217,0.697793564907,0.694466576536,221,26,159,171,328,240,54,266,354,580,218,22,579,555,846,14689,2274,12875,10137,28579
2003-02-13,2002-12-13,2003-05-14,0.438580324324,0.293384501747,0.304431533136,0.453701652181,0.751505498876,0.464976449973,0.552846987191,0.703889938933,26,159,171,328,56,54,266,354,580,70,22,579,555,846,59,2274,12875,10137,28579,4721
2003-05-14,2003-02-13,2003-08-13,0.735652325143,0.375618719592,0.662315821858,0.377381463405,0.867923074188,0.574959613055,0.773282261119,0.534057114314,159,171,328,56,251,266,354,580,70,360,579,555,846,59,823,12875,10137,28579,4721,16343
2003-08-13,2003-05-14,2003-12-12,0.310192514083,0.415384249348,0.560801030429,0.350948002374,0.530095586569,0.6493952414,0.790613198741,0.487120751191,171,328,56,251,79,354,580,70,360,110,555,846,59,823,45,10137,28579,4721,16343,5867
2003-12-12,2003-08-13,2004-02-12,0.685825040702,0.416065199225,0.452519278739,0.445648826737,0.871691352858,0.663135298258,0.62852198538,0.646340104753,328,56,251,79,495,580,70,360,110,1177,846,59,823,45,1459,28579,4721,16343,5867,38286
2004-02-12,2003-12-12,2004-05-13,0.254169791648,0.58003086869,0.234972455296,0.364093958132,0.432751326621,0.774319666627,0.410319187378,0.558333007612,56,251,79,495,311,70,360,110,1177,383,59,823,45,1459,848,4721,16343,5867,38286,19798
2004-05-13,2004-02-12,2004-07-28,0.280395437834,0.530508725654,0.376736178546,0.254181215133,0.430661236521,0.79787535446,0.579568700958,0.385358580546,251,79,495,311,152,360,110,1177,383,119,823,45,1459,848,53,16343,5867,38286,19798,6253
2004-07-28,2004-05-13,2004-12-13,0.637457179769,0.399886500617,0.245796422703,0.76569996883,0.872038572814,0.59468295451,0.392658025516,0.909102085299,79,495,311,152,145,110,1177,383,119,137,45,1459,848,53,57,5867,38286,19798,6253,6509
2004-12-13,2004-07-28,2005-02-08,0.715853970697,0.389167876465,0.492934105839,0.527321521516,0.873507301998,0.559113710839,0.678123387504,0.694039287471,495,311,152,145,405,1177,383,119,137,567,1459,848,53,57,604,38286,19798,6253,6509,31245
2005-02-08,2004-12-13,2005-04-27,0.325227387976,0.539899782525,0.546316907501,0.558321452443,0.508180991937,0.781540186889,0.775509698772,0.790946043392,311,152,145,405,100,383,119,137,567,125,848,53,57,604,95,19798,6253,6509,31245,6919
2005-04-27,2005-02-08,2005-08-03,0.673752309559,0.625194080029,0.49007673468,0.682475845136,0.909073725995,0.859584819975,0.690974403157,0.841354279709,152,145,405,100,144,119,137,567,125,140,53,57,604,95,56,6253,6509,31245,6919,6742
