filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-14,1998-05-15,1998-08-18,0.338862126499,0.428016521122,0.394862252397,0.471945239244,0.50718281066,0.679108941861,0.580147356584,0.702266196948,183,79,596,27,61,467,193,1569,30,107,1188,282,3204,19,229,22148,7080,50277,2564,6472
1998-08-18,1998-08-14,1998-11-13,0.492587077232,0.515799684413,0.27801997653,0.403767547486,0.744538609568,0.737527987255,0.51097652833,0.641874632127,79,596,27,61,169,193,1569,30,107,375,282,3204,19,229,747,7080,50277,2564,6472,11885
1998-11-13,1998-08-18,1999-03-15,0.709549676423,0.160176688419,0.21953539097,0.214755100323,0.785693138896,0.316106787183,0.393977889404,0.436878958826,596,27,61,169,326,1569,30,107,375,906,3204,19,229,747,1706,50277,2564,6472,11885,30860
1999-03-15,1998-11-13,1999-05-17,0.270730361561,0.335210246028,0.324411737839,0.329179805828,0.479893709287,0.567364742052,0.58363647506,0.523569157343,27,61,169,326,282,30,107,375,906,959,19,229,747,1706,824,2564,6472,11885,30860,23543
1999-05-17,1999-03-15,1999-08-13,0.295697562392,0.448973972923,0.258452648505,0.31427427439,0.573554458547,0.690608492005,0.486972880511,0.578127377481,61,169,326,282,152,107,375,906,959,649,229,747,1706,824,1352,6472,11885,30860,23543,17922
1999-08-13,1999-05-17,1999-11-15,0.216371365299,0.150576015496,0.314022480978,0.226269768688,0.38438766148,0.263507274627,0.512056515977,0.38204817973,169,326,282,152,35,375,906,959,649,150,747,1706,824,1352,130,11885,30860,23543,17922,6803
1999-11-15,1999-08-13,2000-03-29,0.198057594594,0.364150108425,0.271851145455,0.44495333264,0.400194927228,0.642249120015,0.51323986779,0.625585770035,326,282,152,35,49,906,959,649,150,141,1706,824,1352,130,158,30860,23543,17922,6803,6175
2000-03-29,1999-11-15,2000-05-15,0.425127874991,0.281687881313,0.212250349636,0.248093510898,0.637417292652,0.510699177153,0.374951864696,0.490347049266,282,152,35,49,489,959,649,150,141,1194,824,1352,130,158,2076,23543,17922,6803,6175,44431
2000-05-15,2000-03-29,2000-08-11,0.284452459499,0.360198159602,0.462848311745,0.2855462165,0.485420503197,0.529874937316,0.726257523531,0.500062683057,152,35,49,489,39,649,150,141,1194,87,1352,130,158,2076,187,17922,6803,6175,44431,4401
2000-08-11,2000-05-15,2000-11-14,0.46495091604,0.500993420124,0.21018406369,0.558228611829,0.606574973307,0.75841413916,0.383041218062,0.721154838288,35,49,489,39,21,150,141,1194,87,22,130,158,2076,187,25,6803,6175,44431,4401,3377
