filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-07-08,1996-02-15,1996-08-14,0.720969104936,0.322239101706,0.38265291907,0.406281551865,0.912718316268,0.599464294463,0.632131387442,0.661234064479,125,8,6,8,165,251,23,19,12,298,72,7,9,8,80,11475,1663,1975,1828,12019
1996-08-14,1996-07-08,1996-11-14,0.586679779339,0.546649620839,0.595512511914,0.435274542762,0.879352756007,0.777515017636,0.809392618089,0.653073436688,8,6,8,165,13,23,19,12,298,17,7,9,8,80,7,1663,1975,1828,12019,1743
1996-11-14,1996-08-14,1997-02-14,0.706246896902,0.577721904053,0.422870325538,0.693823267784,0.91275896076,0.803655848095,0.657798637016,0.82399884458,6,8,165,13,13,19,12,298,17,25,9,8,80,7,16,1975,1828,12019,1743,2129
1997-02-14,1996-11-14,1997-06-16,0.0430568323861,0.0512021919223,0.0436835804838,0.0454233009839,0.170892814314,0.184826170644,0.167201717376,0.165816125169,8,165,13,13,372,12,298,17,25,1133,8,80,7,16,1712,1828,12019,1743,2129,27291
1997-06-16,1997-02-14,1997-08-14,0.823370153469,0.424649894167,0.421177251645,0.0528776169372,0.953552965332,0.66993902404,0.663786196875,0.188745792659,165,13,13,372,161,298,17,25,1133,236,80,7,16,1712,91,12019,1743,2129,27291,11452
1997-08-14,1997-06-16,1997-11-14,0.596447258247,0.483700857338,0.0579979733762,0.62598320734,0.785721422086,0.693927295142,0.190540753843,0.820023966249,13,13,372,161,47,17,25,1133,236,131,7,16,1712,91,27,1743,2129,27291,11452,3634
1997-11-14,1997-08-14,1998-02-17,0.565034962925,0.0569762206416,0.610240397245,0.793212196668,0.779471741655,0.193990373434,0.813676119418,0.921007189986,13,372,161,47,60,25,1133,236,131,144,16,1712,91,27,37,2129,27291,11452,3634,4421
1998-02-17,1997-11-14,1998-06-15,0.0561750628146,0.611663670706,0.718225855226,0.810404130649,0.19412954189,0.826380817865,0.87070685119,0.919413534564,372,161,47,60,67,1133,236,131,144,155,1712,91,27,37,39,27291,11452,3634,4421,5295
1998-06-15,1998-02-17,1998-08-14,0.80295092995,0.597196634826,0.632720073173,0.699596465921,0.953855642678,0.796245468652,0.815969589781,0.86003702843,161,47,60,67,162,236,131,144,155,261,91,27,37,39,83,11452,3634,4421,5295,13316
1998-08-14,1998-06-15,1998-11-13,0.484076817583,0.488102262151,0.510778612495,0.509929107128,0.738302183829,0.740150016357,0.745419072923,0.700732956195,47,60,67,162,17,131,144,155,261,41,27,37,39,83,15,3634,4421,5295,13316,2616
1998-11-13,1998-08-14,1999-02-16,0.556481599482,0.497048317849,0.471955113707,0.602614874777,0.79656189333,0.750719082597,0.697957488329,0.812396328252,60,67,162,17,21,144,155,261,41,52,37,39,83,15,21,4421,5295,13316,2616,3390
1999-02-16,1998-11-13,1999-06-29,0.575786490905,0.478560734294,0.570362739486,0.765531027558,0.812640103449,0.706790927111,0.795412361098,0.879988322845,67,162,17,21,25,155,261,41,52,36,39,83,15,21,23,5295,13316,2616,3390,3797
1999-06-29,1999-02-16,1999-08-16,0.362757136111,0.212032945036,0.234282949643,0.235375797991,0.548979599332,0.384195171268,0.396807394286,0.398123449069,162,17,21,25,689,261,41,52,36,1941,83,15,21,23,3425,13316,2616,3390,3797,60549
1999-08-16,1999-06-29,1999-11-15,0.49211418071,0.467119438393,0.466821787033,0.496196563699,0.694786249602,0.645766535912,0.641537622186,0.689356492117,17,21,25,689,55,41,52,36,1941,164,15,21,23,3425,194,2616,3390,3797,60549,6851
1999-11-15,1999-08-16,2000-02-14,0.732321153654,0.594700214071,0.264885968213,0.542803070646,0.909541136911,0.802412088044,0.431156581989,0.680327495349,21,25,689,55,30,52,36,1941,164,85,21,23,3425,194,35,3390,3797,60549,6851,5202
2000-02-14,1999-11-15,2000-06-29,0.69817871036,0.226650303296,0.466288133608,0.694243482199,0.893351747485,0.387261971901,0.621483923425,0.847606365583,25,689,55,30,18,36,1941,164,85,43,23,3425,194,35,21,3797,60549,6851,5202,4344
2000-06-29,2000-02-14,2000-08-14,0.586855813421,0.51175443298,0.442600202092,0.422983339544,0.740843148622,0.693096938938,0.626040010734,0.601247957041,689,55,30,18,329,1941,164,85,43,639,3425,194,35,21,885,60549,6851,5202,4344,27670
2000-08-14,2000-06-29,2000-11-14,0.715952409749,0.444200189108,0.425147271739,0.613169276037,0.879326910934,0.659486415381,0.63329990516,0.767736369488,55,30,18,329,67,164,85,43,639,200,194,35,21,885,277,6851,5202,4344,27670,7889
2000-11-14,2000-08-14,2001-02-14,0.369576173561,0.295848975688,0.536889772738,0.462114152677,0.539571689116,0.473911576001,0.755849397607,0.669937085527,30,18,329,67,230,85,43,639,200,466,35,21,885,277,838,5202,4344,27670,7889,17088
2001-02-14,2000-11-14,2001-06-27,0.685976099431,0.521557981228,0.541057427406,0.421229160025,0.891783853107,0.706687708399,0.699311867688,0.578432072465,18,329,67,230,38,43,639,200,466,49,21,885,277,838,42,4344,27670,7889,17088,5625
2001-06-27,2001-02-14,2001-08-14,0.555707528041,0.351363769024,0.353835452758,0.301437722914,0.756278799325,0.615556510485,0.619526253038,0.525512116779,329,67,230,38,435,639,200,466,49,1220,885,277,838,42,2061,27670,7889,17088,5625,42941
2001-08-14,2001-06-27,2001-11-13,0.468108459922,0.246181572081,0.519202672729,0.231543969529,0.664370451156,0.376227871379,0.710546900742,0.423026771897,67,230,38,435,28,200,466,49,1220,83,277,838,42,2061,45,7889,17088,5625,42941,4655
2001-11-13,2001-08-14,2002-02-13,0.456130783256,0.253791292752,0.32251131104,0.215740397927,0.640937279604,0.403028589903,0.535751454706,0.295594719177,230,38,435,28,245,466,49,1220,83,733,838,42,2061,45,1664,17088,5625,42941,4655,29346
2002-02-13,2001-11-13,2002-06-28,0.677868459089,0.222118394169,0.670080643505,0.222022520112,0.840648066457,0.410809736842,0.808723801068,0.307724246443,38,435,28,245,41,49,1220,83,733,64,42,2061,45,1664,78,5625,42941,4655,29346,5684
2002-06-28,2002-02-13,2002-08-14,0.434956265213,0.291166412412,0.886009287971,0.306574673892,0.66270502072,0.43074644851,0.921335689967,0.436962646968,435,28,245,41,466,1220,83,733,64,1224,2061,45,1664,78,1870,42941,4655,29346,5684,44146
2002-08-14,2002-06-28,2002-11-01,0.217247984324,0.958252287665,0.198293317091,0.882143914793,0.320224187421,0.977324188942,0.303192912444,0.923612062047,28,245,41,466,250,83,733,64,1224,745,45,1664,78,1870,1570,4655,29346,5684,44146,28008
2002-11-01,2002-08-14,2003-01-31,0.240405694963,0.501392584022,0.319918280971,0.235586940144,0.337977094957,0.731592103175,0.460672264279,0.338928492626,245,41,466,250,63,733,64,1224,745,119,1664,78,1870,1570,116,29346,5684,44146,28008,8381
2003-01-31,2002-11-01,2003-06-19,0.58019818528,0.693756607749,0.668597034651,0.556521385878,0.728227136344,0.809578188277,0.757147336575,0.703274284168,41,466,250,63,148,64,1224,745,119,333,78,1870,1570,116,527,5684,44146,28008,8381,14908
2003-06-19,2003-01-31,2003-07-29,0.529629402009,0.280504550007,0.536332820331,0.526177874145,0.648417933406,0.40243185364,0.70194863887,0.669794421635,466,250,63,148,286,1224,745,119,333,377,1870,1570,116,527,235,44146,28008,8381,14908,21861
2003-07-29,2003-06-19,2003-08-04,0.2541127541,0.19617278316,0.272060186503,0.280621941421,0.480763423743,0.322119033225,0.474522555971,0.458298899774,250,63,148,286,70,745,119,333,377,78,1570,116,527,235,78,28008,8381,14908,21861,5666
2003-08-04,2003-07-29,2003-11-14,0.340762426506,0.707904275785,0.421834957466,0.275178342044,0.497580761406,0.824390823441,0.565829013871,0.509431650091,63,148,286,70,180,119,333,377,78,424,116,527,235,78,779,8381,14908,21861,5666,18543
2003-11-14,2003-08-04,2004-02-12,0.47431141929,0.547294018483,0.169928113968,0.384778527063,0.659040662002,0.723268662072,0.312012382563,0.508419567407,148,286,70,180,88,333,377,78,424,219,527,235,78,779,107,14908,21861,5666,18543,9319
2004-02-12,2003-11-14,2004-06-10,0.538016404773,0.221893351663,0.433827214833,0.640327027312,0.725487199611,0.39688433558,0.578748849326,0.797863030011,286,70,180,88,129,377,78,424,219,320,235,78,779,107,312,21861,5666,18543,9319,12056
2004-06-10,2004-02-12,2004-08-03,0.238897588537,0.394175198702,0.576802156909,0.574624222653,0.42036184308,0.536608927412,0.742867255415,0.737616393353,70,180,88,129,331,78,424,219,320,515,78,779,107,312,305,5666,18543,9319,12056,25739
2004-08-03,2004-06-10,2004-11-05,0.433579129286,0.600620684542,0.599347066053,0.659398592164,0.569547460784,0.783567092686,0.778736145017,0.788040957406,180,88,129,331,101,424,219,320,515,227,779,107,312,305,151,18543,9319,12056,25739,11015
