filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-14,1997-05-15,1997-11-13,0.595436809839,0.563153207342,0.516655009337,0.489286418559,0.832173780491,0.803559110032,0.768867600308,0.715085269061,41,45,165,106,73,57,56,205,333,99,31,67,137,539,114,4114,4542,13961,10689,7001
1997-11-13,1997-08-14,1998-03-31,0.534645019995,0.50893783505,0.443371093298,0.633208979331,0.797051600771,0.779191056433,0.707115964831,0.847952839898,45,165,106,73,87,56,205,333,99,220,67,137,539,114,231,4542,13961,10689,7001,9015
1998-03-31,1997-11-13,1998-04-16,0.806084088087,0.432294317755,0.542659580517,0.564406037738,0.930320961979,0.710088119862,0.774873639565,0.800384064259,165,106,73,87,210,205,333,99,220,209,137,539,114,231,121,13961,10689,7001,9015,19363
1998-04-16,1998-03-31,1998-05-15,0.17692874216,0.218989329819,0.280252040935,0.55368571835,0.374023971219,0.423116134272,0.497535922176,0.63775194954,106,73,87,210,5,333,99,220,209,5,539,114,231,121,20,10689,7001,9015,19363,1367
1998-05-15,1998-04-16,1998-08-14,0.318989200568,0.340972873793,0.405383728283,0.168956262733,0.513631680202,0.556697145454,0.600022543561,0.29635072928,73,87,210,5,402,99,220,209,5,1494,114,231,121,20,2324,7001,9015,19363,1367,34996
1998-08-14,1998-05-15,1998-11-16,0.223519843067,0.285160404486,0.106564778415,0.67127180666,0.414584583232,0.447810271284,0.196960491731,0.760296424207,87,210,5,402,779,220,209,5,1494,2342,231,121,20,2324,4498,9015,19363,1367,34996,74485
1998-11-16,1998-08-14,1999-03-31,0.434691494843,0.15607170299,0.421950400525,0.392661367925,0.719205821779,0.314518138307,0.633979609149,0.568568903549,210,5,402,779,159,209,5,1494,2342,212,121,20,2324,4498,254,19363,1367,34996,74485,12564
1999-03-31,1998-11-16,1999-05-14,0.145750788511,0.225362742657,0.172567333149,0.312774770468,0.311915344374,0.422401555547,0.309407399531,0.539462668353,5,402,779,159,293,5,1494,2342,212,323,20,2324,4498,254,689,1367,34996,74485,12564,24872
1999-05-14,1999-03-31,1999-08-16,0.315534671633,0.216694845319,0.609708329603,0.381523952252,0.499664083562,0.321310484704,0.766986888914,0.599071364061,402,779,159,293,158,1494,2342,212,323,119,2324,4498,254,689,39,34996,74485,12564,24872,9436
1999-08-16,1999-05-14,1999-11-12,0.355591534255,0.529686764826,0.300895002519,0.629511341723,0.522319138573,0.769737765622,0.546266061415,0.807285079352,779,159,293,158,230,2342,212,323,119,540,4498,254,689,39,544,74485,12564,24872,9436,16648
1999-11-12,1999-08-16,2000-03-10,0.599436967804,0.297288062898,0.731193791386,0.596196771254,0.717332651067,0.498785279696,0.84625451323,0.73858489119,159,293,158,230,188,212,323,119,540,140,254,689,39,544,33,12564,24872,9436,16648,10349
2000-03-10,1999-11-12,2000-05-15,0.86530827634,0.367330902099,0.347390055326,0.355995020888,0.944732862491,0.572705584959,0.541752564608,0.546557147591,293,158,230,188,328,323,119,540,140,399,689,39,544,33,356,24872,9436,16648,10349,24548
2000-05-15,2000-03-10,2000-08-14,0.574657436983,0.647144712492,0.485575695184,0.352601658684,0.818256954516,0.873335938584,0.694524868611,0.543199187294,158,230,188,328,216,119,540,140,399,355,39,544,33,356,487,9436,16648,10349,24548,14813
2000-08-14,2000-05-15,2000-11-14,0.591059432696,0.661421668908,0.385001154311,0.574167313877,0.775815955163,0.862098905304,0.567485009867,0.744123623243,230,188,328,216,164,540,140,399,355,103,544,33,356,487,44,16648,10349,24548,14813,9352
2000-11-14,2000-08-14,2001-03-29,0.739215230232,0.367534033472,0.535440092184,0.790004426902,0.922691689926,0.560137787384,0.730082495737,0.917464015903,188,328,216,164,159,140,399,355,103,120,33,356,487,44,43,10349,24548,14813,9352,9247
2001-03-29,2000-11-14,2001-05-15,0.809506342935,0.400882032964,0.326481836712,0.327401587866,0.860884038767,0.635467134845,0.500196882754,0.49624371757,328,216,164,159,433,399,355,103,120,914,356,487,44,43,1200,24548,14813,9352,9247,34916
2001-05-15,2001-03-29,2001-08-14,0.603886263707,0.741676668904,0.747884139852,0.362173066566,0.792135148911,0.896875982621,0.899441358595,0.534012650983,216,164,159,433,139,355,103,120,914,101,487,44,43,1200,47,14813,9352,9247,34916,8232
2001-08-14,2001-05-15,2001-11-14,0.290642760751,0.259494357706,0.216589535065,0.299729466621,0.440498367321,0.419644689732,0.390108114328,0.439728768431,164,159,433,139,300,103,120,914,101,633,44,43,1200,47,1263,9352,9247,34916,8232,26643
2001-11-14,2001-08-14,2002-03-26,0.579038935654,0.526958849009,0.584726140721,0.304657577439,0.735349457254,0.710543653384,0.732238258283,0.477920551807,159,433,139,300,214,120,914,101,633,429,43,1200,47,1263,448,9247,34916,8232,26643,15392
2002-03-26,2001-11-14,2002-05-15,0.904274649042,0.366559477436,0.187795746975,0.501727735267,0.950008870999,0.539342352904,0.33764537795,0.635154423206,433,139,300,214,334,914,101,633,429,610,1200,47,1263,448,644,34916,8232,26643,15392,27781
2002-05-15,2002-03-26,2002-08-14,0.810396067865,0.288225460995,0.570162804123,0.393148297696,0.947513844822,0.448545997317,0.738020483603,0.556112675644,139,300,214,334,138,101,633,429,610,153,47,1263,448,644,52,8232,26643,15392,27781,8881
2002-08-14,2002-05-15,2002-11-14,0.303405114675,0.548357505818,0.372538735679,0.831986535868,0.458696967799,0.730983579536,0.543856631874,0.933002994323,300,214,334,138,153,633,429,610,153,198,1263,448,644,52,72,26643,15392,27781,8881,10520
2002-11-14,2002-08-14,2003-03-11,0.615084438734,0.363350561226,0.773660668952,0.784912312237,0.774475806141,0.538524607422,0.905182318957,0.91156152462,214,334,138,153,152,429,610,153,198,232,448,644,52,72,64,15392,27781,8881,10520,11313
2003-03-11,2002-11-14,2003-05-14,0.654728698998,0.267860360634,0.269277712379,0.279354550502,0.75164120191,0.441926888756,0.439692620776,0.454032415648,334,138,153,152,585,610,153,198,232,1430,644,52,72,64,2956,27781,8881,10520,11313,61138
2003-05-14,2003-03-11,2003-07-23,0.650999918939,0.606723896813,0.657830123909,0.329816834091,0.82314981154,0.794756932983,0.823257046295,0.534753115558,138,153,152,585,184,153,198,232,1430,374,52,72,64,2956,268,8881,10520,11313,61138,15428
2003-07-23,2003-05-14,2003-08-08,0.295382975359,0.300729289314,0.63981771649,0.272024992749,0.508281731645,0.510520990254,0.657575006487,0.480693303337,153,152,585,184,319,198,232,1430,374,459,72,64,2956,268,182,10520,11313,61138,15428,24242
2003-08-08,2003-07-23,2003-11-07,0.748151140707,0.281747404967,0.685943589007,0.308564632651,0.896582680199,0.449564944851,0.826979668842,0.515033323162,152,585,184,319,180,232,1430,374,459,287,64,2956,268,182,108,11313,61138,15428,24242,13693
2003-11-07,2003-08-08,2004-03-05,0.271725939934,0.672701409336,0.304028212592,0.835052355594,0.438423132247,0.823791999414,0.512189969071,0.923977624507,585,184,319,180,186,1430,374,459,287,275,2956,268,182,108,72,61138,15428,24242,13693,13691
2004-03-05,2003-11-07,2004-05-07,0.280084701044,0.848162461867,0.309178430913,0.307887977724,0.526411922024,0.868913505162,0.540040097801,0.535355874639,184,319,180,186,443,374,459,287,275,929,268,182,108,72,1314,15428,24242,13693,13691,41608
2004-05-07,2004-03-05,2004-08-06,0.291202549734,0.765662932093,0.772141923952,0.307095182153,0.506501012984,0.900163562517,0.903619261901,0.538653947511,319,180,186,443,181,459,287,275,929,278,182,108,72,1314,82,24242,13693,13691,41608,13410
2004-08-06,2004-05-07,2004-11-04,0.374264380687,0.329537167193,0.212048290418,0.354249475701,0.52778908248,0.492787194105,0.432571829559,0.508141013372,180,186,443,181,379,287,275,929,278,863,108,72,1314,82,1494,13693,13691,41608,13410,34749
2004-11-04,2004-08-06,2005-03-15,0.691525616191,0.294360186587,0.636507384433,0.366989446354,0.841160672802,0.56208089666,0.797220296438,0.563609751487,186,443,181,379,249,275,929,278,863,499,72,1314,82,1494,503,13691,41608,13410,34749,20341
2005-03-15,2004-11-04,2005-05-06,0.858912174176,0.294511464436,0.13558140229,0.251920056103,0.876317094859,0.53108129901,0.303150990092,0.485846796772,443,181,379,249,399,929,278,863,499,467,1314,82,1494,503,198,41608,13410,34749,20341,26256
2005-05-06,2005-03-15,2005-08-08,0.458781431404,0.325894127159,0.463394891003,0.175388506127,0.596954750492,0.51226862655,0.65332023019,0.352766964001,181,379,249,399,390,278,863,499,467,1061,82,1494,503,198,1712,13410,34749,20341,26256,35335
2005-08-08,2005-05-06,2005-11-09,0.376372848123,0.621069559944,0.294980440267,0.4579114716,0.523318483568,0.787205899986,0.527315224895,0.59238605612,379,249,399,390,218,863,499,467,1061,269,1494,503,198,1712,114,34749,20341,26256,35335,14299
2005-11-09,2005-08-08,2006-03-14,0.644057932002,0.255938106433,0.459210489887,0.72543053202,0.860206809301,0.515019583274,0.659040651464,0.895088087727,249,399,390,218,245,499,467,1061,269,376,503,198,1712,114,648,20341,26256,35335,14299,16890
2006-03-14,2005-11-09,2006-05-09,0.984793592187,0.196092225833,0.313063705029,0.276559911444,0.991869167289,0.387601860433,0.550907636472,0.541796872949,399,390,218,245,428,467,1061,269,376,553,198,1712,114,648,291,26256,35335,14299,16890,29061
2006-05-09,2006-03-14,2006-08-09,0.473764644686,0.785780732367,0.681845995642,0.315997870539,0.611592165206,0.912036453561,0.881465279861,0.55847865984,390,218,245,428,196,1061,269,376,553,244,1712,114,648,291,136,35335,14299,16890,29061,13703
2006-08-09,2006-05-09,2006-11-09,0.877882824453,0.655508046249,0.303348518531,0.804230299942,0.967355698311,0.867867251833,0.545518036345,0.906079988863,218,245,428,196,189,269,376,553,244,266,114,648,291,136,154,14299,16890,29061,13703,14946
2006-11-09,2006-08-09,2007-03-01,0.750972011271,0.298176592999,0.783554819036,0.798465824249,0.930894215259,0.543544686511,0.904661395421,0.90811386922,245,428,196,189,209,376,553,244,266,247,648,291,136,154,131,16890,29061,13703,14946,15128
2007-03-01,2006-11-09,2007-05-10,0.618199191543,0.293523339687,0.301667564982,0.299341406282,0.603924697412,0.436008090497,0.453426455919,0.44885567576,428,196,189,209,829,553,244,266,247,2113,291,136,154,131,2941,29061,13703,14946,15128,74737
2007-05-10,2007-03-01,2007-08-09,0.307329194581,0.299265336608,0.301822671385,0.617952135138,0.554089771357,0.543949468113,0.545344224583,0.599367581145,196,189,209,829,415,244,266,247,2113,670,136,154,131,2941,269,13703,14946,15128,74737,30024
2007-08-09,2007-05-10,2007-11-09,0.866058330004,0.747557469866,0.314800140673,0.315312252369,0.966468569484,0.892829611612,0.466185608039,0.555050797976,189,209,829,415,165,266,247,2113,670,290,154,131,2941,269,98,14946,15128,74737,30024,14899
2007-11-09,2007-08-09,2008-02-29,0.81454961507,0.372321947126,0.298963497129,0.787037597812,0.937085279038,0.556841945979,0.546930415698,0.893754456,209,829,415,165,179,247,2113,670,290,365,131,2941,269,98,295,15128,74737,30024,14899,17315
2008-02-29,2007-11-09,2008-05-09,0.386174280701,0.382112299148,0.760198412526,0.735493106078,0.531027300797,0.6232535343,0.876878996903,0.869093920992,829,415,165,179,378,2113,670,290,365,575,2941,269,98,295,246,74737,30024,14899,17315,27830
2008-05-09,2008-02-29,2008-08-11,0.305340477661,0.7787180882,0.740635733523,0.770406382701,0.552037675923,0.900111066313,0.878371056885,0.881040622887,415,165,179,378,166,670,290,365,575,257,269,98,295,246,96,30024,14899,17315,27830,14118
2008-08-11,2008-05-09,2008-11-10,0.877197261284,0.723813530552,0.741130149086,0.823772441068,0.971393852013,0.875794873495,0.867941741688,0.911193356008,165,179,378,166,179,290,365,575,257,285,98,295,246,96,111,14899,17315,27830,14118,15458
2008-11-10,2008-08-11,2009-03-02,0.807496119954,0.71999459826,0.779970465604,0.801134404288,0.937604281973,0.863873367547,0.900341228676,0.909362055747,179,378,166,179,181,365,575,257,285,325,295,246,96,111,115,17315,27830,14118,15458,16167
2009-03-02,2008-11-10,2009-05-11,0.559251586005,0.478366971764,0.479684560414,0.47417526218,0.699161365507,0.634856158272,0.636356524631,0.632529859529,378,166,179,181,850,575,257,285,325,2196,246,96,111,115,3393,27830,14118,15458,16167,78195
2009-05-11,2009-03-02,2009-08-10,0.865502038683,0.765797752048,0.760209481207,0.48834981335,0.969881676635,0.897539557982,0.893003843232,0.648150686125,166,179,181,850,168,257,285,325,2196,340,96,111,115,3393,125,14118,15458,16167,78195,15079
2009-08-10,2009-05-11,2009-11-09,0.218354468448,0.193009259901,0.152651262456,0.214608295467,0.411228393455,0.383326069879,0.330850482215,0.397109504952,179,181,850,168,384,285,325,2196,340,3813,111,115,3393,125,1064,15458,16167,78195,15079,47624
2009-11-09,2009-08-10,2010-03-01,0.165417460452,0.0973437474303,0.155555825781,0.968602300658,0.324433101098,0.223713556739,0.309400466973,0.965428126183,181,850,168,384,254,325,2196,340,3813,3357,115,3393,125,1064,244,16167,78195,15079,47624,30999
2010-03-01,2009-11-09,2010-05-05,0.186410393191,0.206414652515,0.961694129577,0.977681331381,0.37595302338,0.402556739711,0.962993324045,0.966607836862,850,168,384,254,685,2196,340,3813,3357,5406,3393,125,1064,244,998,78195,15079,47624,30999,68442
2010-05-05,2010-03-01,2010-08-06,0.124851701957,0.929455805828,0.949753156038,0.930403790157,0.243698035618,0.931774176716,0.959605025874,0.927256632831,168,384,254,685,257,340,3813,3357,5406,4446,125,1064,244,998,320,15079,47624,30999,68442,34511
2010-08-06,2010-05-05,2010-11-04,0.924228621146,0.941405337052,0.923430911435,0.990970464362,0.93361154149,0.95518564391,0.923326311714,0.992498073548,384,254,685,257,299,3813,3357,5406,4446,5094,1064,244,998,320,627,47624,30999,68442,34511,39147
2010-11-04,2010-08-06,2011-02-23,0.946246979356,0.923581917121,0.992116147935,0.994002364565,0.961880310776,0.920978277564,0.993070449621,0.99332281272,254,685,257,299,244,3357,5406,4446,5094,5121,244,998,320,627,308,30999,68442,34511,39147,37162
2011-02-23,2010-11-04,2011-05-06,0.173373590779,0.160972079117,0.153103135176,0.154022497937,0.266441819058,0.214245735551,0.204063958468,0.202199140457,685,257,299,244,2597,5406,4446,5094,5121,3110,998,320,627,308,7414,68442,34511,39147,37162,203912
2011-05-06,2011-02-23,2011-08-01,0.240113360246,0.224315407237,0.225921555599,0.693825106401,0.299983736219,0.276896676133,0.27634678443,0.788381189781,257,299,244,2597,362,4446,5094,5121,3110,988,320,627,308,7414,629,34511,39147,37162,203912,58098
2011-08-01,2011-05-06,2011-11-07,0.106550072457,0.10506162233,0.316917020054,0.356181148135,0.19396409666,0.190258392462,0.470763957097,0.569935659015,299,244,2597,362,570,5094,5121,3110,988,878,627,308,7414,629,1743,39147,37162,203912,58098,62247
2011-11-07,2011-08-01,2012-02-27,0.101359729317,0.289222503781,0.325413330242,0.919235340019,0.185829296027,0.442492991457,0.526385900141,0.905789973836,244,2597,362,570,929,5121,3110,988,878,2104,308,7414,629,1743,4486,37162,203912,58098,62247,96837
2012-02-27,2011-11-07,2012-05-04,0.336010135872,0.354611376893,0.970883635254,0.904969799997,0.509230031846,0.584544841221,0.967564946383,0.894441713731,2597,362,570,929,1274,3110,988,878,2104,1934,7414,629,1743,4486,2775,203912,58098,62247,96837,113896
2012-05-04,2012-02-27,2012-08-03,0.329325995871,0.976423633454,0.90515178643,0.968076074219,0.5509056632,0.977986669787,0.891556190515,0.96563254923,362,570,929,1274,561,988,878,2104,1934,787,629,1743,4486,2775,1644,58098,62247,96837,113896,55968
2012-08-03,2012-05-04,2012-11-02,0.980992242256,0.905069991205,0.968633894468,0.99380461645,0.986520869679,0.892209176809,0.966006211422,0.991486428559,570,929,1274,561,596,878,2104,1934,787,823,1743,4486,2775,1644,1677,62247,96837,113896,55968,58516
2012-11-02,2012-08-03,2013-02-22,0.909432922273,0.963367393618,0.985950162505,0.987554360206,0.905557363478,0.9593688901,0.981184284705,0.983058036279,929,1274,561,596,682,2104,1934,787,823,1133,4486,2775,1644,1677,2279,96837,113896,55968,58516,67720
2013-02-22,2012-11-02,2013-05-10,0.936476189412,0.930260575251,0.931846576463,0.928514050032,0.954316485373,0.927570168191,0.928757717881,0.925938272352,1274,561,596,682,2127,1934,787,823,1133,2210,2775,1644,1677,2279,3104,113896,55968,58516,67720,123394
2013-05-10,2013-02-22,2013-08-02,0.975721579887,0.973786985507,0.968956050402,0.939533417123,0.971902589895,0.967813324476,0.964016866495,0.948416473557,561,596,682,2127,818,787,823,1133,2210,1347,1644,1677,2279,3104,2235,55968,58516,67720,123394,84460
2013-08-02,2013-05-10,2013-11-05,0.946510825347,0.935368542822,0.879245159451,0.928391617491,0.954785851885,0.940471641163,0.883992363685,0.928530733165,596,682,2127,818,1408,823,1133,2210,1347,1638,1677,2279,3104,2235,4965,58516,67720,123394,84460,125885
2013-11-05,2013-08-02,2014-03-03,0.978663336319,0.936432613741,0.987688973457,0.940038775824,0.977248391251,0.941765620454,0.986264817628,0.94465991428,682,2127,818,1408,817,1133,2210,1347,1638,1253,2279,3104,2235,4965,2041,67720,123394,84460,125885,79160
2014-03-03,2013-11-05,2014-05-02,0.821990693408,0.700484018564,0.566287638452,0.675751051127,0.90813416934,0.819298724138,0.675353862545,0.793652723565,2127,818,1408,817,2023,2210,1347,1638,1253,2156,3104,2235,4965,2041,1988,123394,84460,125885,79160,119061
2014-05-02,2014-03-03,2014-08-08,0.790481900277,0.652664981072,0.760133398722,0.870629646965,0.89526924791,0.756464200465,0.866166234391,0.901967364495,818,1408,817,2023,380,1347,1638,1253,2156,1022,2235,4965,2041,1988,1115,84460,125885,79160,119061,60433
2014-08-08,2014-05-02,2014-11-04,0.592835893419,0.678038905843,0.766057486201,0.866951372431,0.741678887181,0.83275408573,0.852260017464,0.935539525446,1408,817,2023,380,415,1638,1253,2156,1022,1010,4965,2041,1988,1115,1175,125885,79160,119061,60433,58150
2014-11-04,2014-08-08,2015-02-19,0.683903872963,0.76393684582,0.863588656331,0.987542318789,0.845445566326,0.851623026161,0.934373274173,0.985039765007,817,2023,380,415,450,1253,2156,1022,1010,1121,2041,1988,1115,1175,1290,79160,119061,60433,58150,59548
2015-02-19,2014-11-04,2015-05-04,0.700469267473,0.643282027259,0.820797980618,0.823046428576,0.901154938435,0.836068740866,0.881724626483,0.882183427613,2023,380,415,450,2333,2156,1022,1010,1121,2434,1988,1115,1175,1290,2825,119061,60433,58150,59548,128192
2015-05-04,2015-02-19,2015-08-06,0.898782622187,0.970433944436,0.969754352967,0.809990509902,0.950473399914,0.973954609983,0.97405020636,0.881320938743,380,415,450,2333,372,1022,1010,1121,2434,1178,1115,1175,1290,2825,1363,60433,58150,59548,128192,57897
2015-08-06,2015-05-04,2015-11-03,0.859904718042,0.850022058139,0.623994737229,0.902235728813,0.941972994887,0.930507877465,0.812668430685,0.954069640872,415,450,2333,372,474,1010,1121,2434,1178,1259,1175,1290,2825,1363,1420,58150,59548,128192,57897,59569
2015-11-03,2015-08-06,2016-02-26,0.858090267871,0.622848618072,0.899033206912,0.98696725987,0.942184669378,0.813169815598,0.952456867809,0.987549589152,450,2333,372,474,511,1121,2434,1178,1259,1273,1290,2825,1363,1420,1351,59548,128192,57897,59569,58313
2016-02-26,2015-11-03,2016-05-03,0.691149522707,0.787170139291,0.86721695041,0.866819917089,0.885051425028,0.866182433323,0.896869165491,0.896740891338,2333,372,474,511,2781,2434,1178,1259,1273,2783,2825,1363,1420,1351,2977,128192,57897,59569,58313,139446
2016-05-03,2016-02-26,2016-08-05,0.897206661969,0.976403203677,0.975154292854,0.870554758785,0.954733048593,0.978861324618,0.978553475077,0.899039907495,372,474,511,2781,435,1178,1259,1273,2783,1138,1363,1420,1351,2977,1200,57897,59569,58313,139446,57023
2016-08-05,2016-05-03,2016-11-04,0.979813039781,0.970796208411,0.863021681596,0.98372344132,0.98636415087,0.976465824056,0.892273396943,0.985382687737,474,511,2781,435,494,1259,1273,2783,1138,1242,1420,1351,2977,1200,1340,59569,58313,139446,57023,60087
2016-11-04,2016-08-05,2017-02-24,0.979809931664,0.862535227656,0.978453793474,0.985198362545,0.988059115636,0.893405786399,0.98243987364,0.986544313609,511,2781,435,494,561,1273,2783,1138,1242,1366,1351,2977,1200,1340,1491,58313,139446,57023,60087,63088
2017-02-24,2016-11-04,2017-05-02,0.956677621965,0.837609264344,0.836517888778,0.837859764973,0.978477743406,0.877819509297,0.875083490721,0.87810741727,2781,435,494,561,2798,2783,1138,1242,1366,2735,2977,1200,1340,1491,2532,139446,57023,60087,63088,129679
2017-05-02,2017-02-24,2017-08-04,0.982561085261,0.979534994183,0.979530493791,0.833451090331,0.990016031478,0.98365828266,0.983854640368,0.877185327372,435,494,561,2798,494,1138,1242,1366,2735,1356,1200,1340,1491,2532,1610,57023,60087,63088,129679,62905
2017-08-04,2017-05-02,2017-11-03,0.981036214948,0.972662531861,0.835105314201,0.979734972795,0.988677728368,0.979596315104,0.875948156073,0.983750185906,494,561,2798,494,566,1242,1366,2735,1356,1575,1340,1491,2532,1610,1781,60087,63088,129679,62905,69201
