filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2010-06-03,2010-03-04,2010-09-02,0.670379466319,0.652241157398,0.328988482575,0.750674877455,0.83914340962,0.790701723024,0.493992780804,0.875471041008,234,499,177,169,224,862,1495,265,795,898,298,735,244,290,543,19159,39227,15538,16167,20334
2010-09-02,2010-06-03,2010-12-15,0.658281280162,0.279778936064,0.774682270789,0.727198848909,0.784331431611,0.417627577189,0.888963648668,0.86033097431,499,177,169,224,178,1495,265,795,898,864,735,244,290,543,320,39227,15538,16167,20334,17281
2010-12-15,2010-09-02,2011-03-10,0.280205269826,0.482538716018,0.499047780688,0.454507928905,0.500637403391,0.718742653914,0.756848025341,0.691890880059,177,169,224,178,608,265,795,898,864,2129,244,290,543,320,1797,15538,16167,20334,17281,53359
2011-03-10,2010-12-15,2011-06-09,0.800701699985,0.695990836661,0.71369165706,0.467495172662,0.905930559558,0.829285882108,0.827890095602,0.699832821489,169,224,178,608,230,795,898,864,2129,1142,290,543,320,1797,533,16167,20334,17281,53359,25932
2011-06-09,2011-03-10,2011-09-08,0.522175465671,0.472989538674,0.393609167464,0.526949460889,0.700727903393,0.631984131715,0.645997313214,0.671124016217,224,178,608,230,597,898,864,2129,1142,2109,543,320,1797,533,2326,20334,17281,53359,25932,58498
2011-09-08,2011-06-09,2011-12-16,0.307328216121,0.193880869688,0.32748270026,0.430515536639,0.400352768964,0.338646526237,0.427513160709,0.558964298335,178,608,230,597,627,864,2129,1142,2109,1660,320,1797,533,2326,2146,17281,53359,25932,58498,65658
2011-12-16,2011-09-08,2012-03-08,0.217137429179,0.28076381446,0.388178545522,0.960235106447,0.368705290252,0.383205135766,0.514874198887,0.964375974423,608,230,597,627,2073,2129,1142,2109,1660,3047,1797,533,2326,2146,4445,53359,25932,58498,65658,141515
2012-03-08,2011-12-16,2012-06-08,0.339309373466,0.409102104107,0.965342052459,0.964292583212,0.443599683477,0.541850365118,0.975341282051,0.96637966672,230,597,627,2073,663,1142,2109,1660,3047,1387,533,2326,2146,4445,1925,25932,58498,65658,141515,58538
2012-06-08,2012-03-08,2012-08-30,0.412864347507,0.957026727958,0.955085211091,0.97122554289,0.548066511318,0.970111718976,0.959509444135,0.979372301301,597,627,2073,663,714,2109,1660,3047,1387,1366,2326,2146,4445,1925,1821,58498,65658,141515,58538,61347
2012-08-30,2012-06-08,2012-12-17,0.959332344935,0.946195621353,0.959282224542,0.967163753605,0.976208385641,0.955424088774,0.972502405778,0.982060260333,627,2073,663,714,514,1660,3047,1387,1366,1347,2146,4445,1925,1821,1834,65658,141515,58538,61347,59932
2012-12-17,2012-08-30,2013-03-14,0.991284572058,0.95873951799,0.95062880408,0.946959307433,0.994671205502,0.961192439211,0.955665645466,0.954396217723,2073,663,714,514,2027,3047,1387,1366,1347,2420,4445,1925,1821,1834,3932,141515,58538,61347,59932,131507
2013-03-14,2012-12-17,2013-06-07,0.97210270896,0.965571271994,0.965035666489,0.956484827459,0.981082641713,0.977210581355,0.978650061911,0.957852802758,663,714,514,2027,464,1387,1366,1347,2420,1225,1925,1821,1834,3932,1665,58538,61347,59932,131507,53552
2013-06-07,2013-03-14,2013-09-13,0.981631405424,0.970527280185,0.956207780546,0.98052935416,0.988016187097,0.984014042383,0.958307671491,0.988171000674,714,514,2027,464,560,1366,1347,2420,1225,1390,1821,1834,3932,1665,2029,61347,59932,131507,53552,63277
2013-09-13,2013-06-07,2013-12-20,0.895160682962,0.894929164105,0.90170945431,0.909979656127,0.935218134365,0.924747108607,0.936856241846,0.944969321876,514,2027,464,560,1353,1347,2420,1225,1390,2785,1834,3932,1665,2029,6827,59932,131507,53552,63277,139738
2013-12-20,2013-09-13,2014-03-13,0.989103291702,0.95866074499,0.960798917289,0.901638456141,0.991949761021,0.961157688131,0.963907918068,0.931462450445,2027,464,560,1353,2287,2420,1225,1390,2785,2633,3932,1665,2029,6827,4455,131507,53552,63277,139738,149128
2014-03-13,2013-12-20,2014-06-10,0.778684570337,0.761789154932,0.630689552779,0.726697650644,0.86131030758,0.850947370449,0.743784273789,0.818759319002,464,560,1353,2287,704,1225,1390,2785,2633,2237,1665,2029,6827,4455,2522,53552,63277,139738,149128,72736
2014-06-10,2014-03-13,2014-09-12,0.786929938065,0.640814536581,0.744119682539,0.941315366857,0.867719351828,0.747108263586,0.831032587504,0.964723295177,560,1353,2287,704,560,1390,2785,2633,2237,1892,2029,6827,4455,2522,1739,63277,139738,149128,72736,72331
