filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-10,1995-05-12,0.44009672411,0.100061322182,0.103931577064,0.0999977638867,0.68284729427,0.233331532615,0.2436351313,0.2308473311,248,28,59,69,1194,406,12,26,23,894,664,6,8,6,1712,18604,1229,1833,1776,38849
1995-05-12,1995-03-30,1995-08-11,0.202426340924,0.172321067886,0.167970334355,0.273722090304,0.349245702638,0.315296847738,0.298375851327,0.450657297098,28,59,69,1194,54,12,26,23,894,98,6,8,6,1712,350,1229,1833,1776,38849,5885
1995-08-11,1995-05-12,1995-11-14,0.593337765932,0.512522475294,0.0994547008999,0.207775861092,0.87138411609,0.806796076127,0.23168875051,0.320787675063,59,69,1194,54,48,26,23,894,98,12,8,6,1712,350,6,1833,1776,38849,5885,1761
1995-11-14,1995-08-11,1996-03-29,0.504372785649,0.105222626696,0.184530367121,0.631385239411,0.83232907068,0.251150505991,0.316203577824,0.869282430233,69,1194,54,48,54,23,894,98,12,13,6,1712,350,6,6,1776,38849,5885,1761,1800
1996-03-29,1995-11-14,1996-05-13,0.607489446204,0.222635907273,0.230547842,0.250235767715,0.765879345194,0.379738483368,0.427115762603,0.460905900032,1194,54,48,54,424,894,98,12,13,422,1712,350,6,6,527,38849,5885,1761,1800,18460
1996-05-13,1996-03-29,1996-08-12,0.887907345886,0.178998929671,0.184357161665,0.241647243409,0.97128864324,0.30042567605,0.311062062918,0.395627550807,54,48,54,424,48,98,12,13,422,85,350,6,6,527,332,5885,1761,1800,18460,5719
1996-08-12,1996-05-13,1996-11-12,0.55537474757,0.508389341086,0.249515693176,0.227495095349,0.841267153989,0.839336340921,0.484725736005,0.328983137734,48,54,424,48,37,12,13,422,85,26,6,6,527,332,11,1761,1800,18460,5719,1818
1996-11-12,1996-08-12,1997-03-28,0.497735731315,0.262249629022,0.210088480996,0.668406143235,0.816083560135,0.516125066389,0.326751070825,0.876777854922,54,424,48,37,52,13,422,85,26,65,6,527,332,11,18,1800,18460,5719,1818,2352
1997-03-28,1996-11-12,1997-05-12,0.710282474246,0.528005376066,0.285559853178,0.316262386985,0.83717907936,0.641318543158,0.493129439204,0.530249301842,424,48,37,52,445,422,85,26,65,664,527,332,11,18,1063,18460,5719,1818,2352,27147
1997-05-12,1997-03-28,1997-05-19,0.252817986818,0.478524805372,0.4506007172,0.323433958836,0.381880467694,0.763945227338,0.7446346057,0.53512812275,48,37,52,445,22,85,26,65,664,13,332,11,18,1063,19,5719,1818,2352,27147,1854
1997-05-19,1997-05-12,1997-08-11,0.150963862508,0.136902977663,0.177042683136,0.377605762062,0.312534627409,0.298496342935,0.339991176769,0.456390722215,37,52,445,22,2,26,65,664,13,0,11,18,1063,19,13,1818,2352,27147,1854,339
1997-08-11,1997-05-19,1997-11-10,0.451318110546,0.292905889116,0.642432886306,0.142001836812,0.7655338482,0.498668227407,0.846135676225,0.299319199982,52,445,22,2,40,65,664,13,0,21,18,1063,19,13,19,2352,27147,1854,339,2297
1997-11-10,1997-08-11,1998-03-26,0.314049552061,0.593492482047,0.138454484199,0.7219164517,0.522227228801,0.835498872426,0.296567729293,0.903036144317,445,22,2,40,51,664,13,0,21,50,1063,19,13,19,22,27147,1854,339,2297,2694
1998-03-26,1997-11-10,1998-05-08,0.259166055676,0.138393438038,0.253730402903,0.266033014083,0.456948056016,0.275793661347,0.44551023247,0.459366050672,22,2,40,51,502,13,0,21,50,861,19,13,19,22,1471,1854,339,2297,2694,29137
1998-05-08,1998-03-26,1998-08-10,0.1816369765,0.627112931021,0.611228501949,0.289177638639,0.332485117016,0.854265723826,0.848270443435,0.473432762477,2,40,51,502,33,0,21,50,861,14,13,19,22,1471,23,339,2297,2694,29137,2037
1998-08-10,1998-05-08,1998-11-06,0.357343522236,0.308833247773,0.342021863694,0.371963841016,0.493093022233,0.473840594861,0.522110947053,0.492932884254,40,51,502,33,55,21,50,861,14,99,19,22,1471,23,347,2297,2694,29137,2037,6960
1998-11-06,1998-08-10,1999-03-31,0.59887549477,0.279376872504,0.635002296603,0.382318602497,0.871636313465,0.507554841384,0.86091512141,0.501709158408,51,502,33,55,36,50,861,14,99,27,22,1471,23,347,27,2694,29137,2037,6960,3026
1999-03-31,1998-11-06,1999-05-18,0.798678298842,0.349858289557,0.6293152213,0.363847782232,0.905351434154,0.549564196848,0.742371546886,0.582074171769,502,33,55,36,323,861,14,99,27,481,1471,23,347,27,911,29137,2037,6960,3026,21612
1999-05-18,1999-03-31,1999-08-16,0.300115293562,0.879557358853,0.279262769469,0.622887184947,0.455174577263,0.954454229249,0.438615462089,0.743280521172,33,55,36,323,75,14,99,27,481,167,23,347,27,911,466,2037,6960,3026,21612,7815
1999-08-16,1999-05-18,1999-11-12,0.31038462581,0.543851789758,0.352983858234,0.360645538658,0.465683326926,0.843386819823,0.56405213633,0.459280038013,55,36,323,75,47,99,27,481,167,62,347,27,911,466,27,6960,3026,21612,7815,3423
1999-11-12,1999-08-16,2000-03-30,0.324338760051,0.625123873217,0.940893186444,0.465636046026,0.507810720682,0.754228701606,0.976592007307,0.544155214319,36,323,75,47,78,27,481,167,62,170,27,911,466,27,467,3026,21612,7815,3423,8328
2000-03-30,1999-11-12,2000-05-12,0.581615029713,0.336741255066,0.307727210419,0.35057615744,0.775478237563,0.495614625681,0.499984135041,0.514780042821,323,75,47,78,474,481,167,62,170,622,911,466,27,467,1100,21612,7815,3423,8328,28527
2000-05-12,2000-03-30,2000-08-15,0.960620415298,0.318361082703,0.933199454614,0.327563262134,0.990792917005,0.43356460647,0.971616927594,0.477297962782,75,47,78,474,68,167,62,170,622,158,466,27,467,1100,468,7815,3423,8328,28527,7576
2000-08-15,2000-05-12,2000-11-14,0.736269587732,0.381869307513,0.284881808655,0.333249018899,0.936856033087,0.518261199463,0.470442350451,0.430972326904,47,78,474,68,55,62,170,622,158,66,27,467,1100,468,28,3423,8328,28527,7576,3354
2000-11-14,2000-08-15,2001-03-29,0.927558286283,0.341443953264,0.936558353677,0.448693130522,0.982927939275,0.507481651949,0.971719050258,0.54894886415,78,474,68,55,90,170,622,158,66,182,467,1100,468,28,468,8328,28527,7576,3354,8477
2001-03-29,2000-11-14,2001-05-14,0.54079471175,0.726254233361,0.448030205161,0.740293751032,0.721602468345,0.786855529059,0.648013256507,0.820921255137,474,68,55,90,165,622,158,66,182,332,1100,468,28,468,619,28527,7576,3354,8477,17708
2001-05-14,2001-03-29,2001-08-14,0.279283503543,0.522790503967,0.323540571351,0.443925876033,0.438141487793,0.807763580678,0.505304473532,0.674410709724,68,55,90,165,29,158,66,182,332,43,468,28,468,619,26,7576,3354,8477,17708,2820
2001-08-14,2001-05-14,2001-11-13,0.547262213902,0.310508741709,0.397295042452,0.685591700106,0.841095613755,0.497557456253,0.637782213413,0.876667659963,55,90,165,29,39,66,182,332,43,70,28,468,619,26,25,3354,8477,17708,2820,3452
