filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2009-05-06,2009-02-27,2009-08-06,0.783353659826,0.596764006858,0.590447060975,0.664656153435,0.90949189519,0.75951767818,0.776166355575,0.773366200005,74,94,169,563,100,271,255,584,1294,311,131,186,667,1166,175,8762,10974,19653,44894,10833
2009-08-06,2009-05-06,2009-11-09,0.774833275464,0.566842580333,0.617180168273,0.682592358781,0.851077463115,0.77438015204,0.752754374085,0.79414217624,94,169,563,100,175,255,584,1294,311,391,186,667,1166,175,548,10974,19653,44894,10833,19035
2009-11-09,2009-08-06,2010-03-01,0.768621315873,0.560799357751,0.687112632043,0.628904355394,0.883532852727,0.728414280247,0.830232603405,0.79218169524,169,563,100,175,142,584,1294,311,391,331,667,1166,175,548,278,19653,44894,10833,19035,14487
2010-03-01,2009-11-09,2010-05-04,0.890792361397,0.65904200303,0.602674203732,0.575201053208,0.959972746058,0.765173407022,0.730073039804,0.730896367252,563,100,175,142,606,1294,311,391,331,1300,1166,175,548,278,1354,44894,10833,19035,14487,46790
2010-05-04,2010-03-01,2010-06-07,0.620689225986,0.659456164187,0.47153333955,0.54430686751,0.732361703735,0.8051061506,0.635450764924,0.661203106397,100,175,142,606,135,311,391,331,1300,392,175,548,278,1354,549,10833,19035,14487,46790,17126
2010-06-07,2010-05-04,2010-08-04,0.219409389579,0.174040337873,0.446016247554,0.228496331674,0.309973904074,0.262350766159,0.510369887387,0.315434103555,175,142,606,135,13,391,331,1300,392,39,548,278,1354,549,58,19035,14487,46790,17126,4020
2010-08-04,2010-06-07,2010-11-03,0.128711404546,0.147461246419,0.147168004327,0.0514956080716,0.201541555656,0.205982197828,0.205105521437,0.0838823294335,142,606,135,13,539,331,1300,392,39,7195,278,1354,549,58,2030,14487,46790,17126,4020,63059
2010-11-03,2010-08-04,2011-02-28,0.113456799933,0.112676321381,0.0386447827471,0.972809616388,0.159473688967,0.160217715815,0.0626508180643,0.98545471026,606,135,13,539,253,1300,392,39,7195,7135,1354,549,58,2030,800,46790,17126,4020,63059,44356
2011-02-28,2010-11-03,2011-05-04,0.43245506293,0.275015890469,0.295788708906,0.270401114272,0.610891533789,0.379210701049,0.297366591005,0.258636002511,135,13,539,253,890,392,39,7195,7135,1889,549,58,2030,800,1584,17126,4020,63059,44356,78178
2011-05-04,2011-02-28,2011-08-03,0.136484525167,0.31332740754,0.28678557105,0.853238626142,0.239705441308,0.313473029131,0.275275786127,0.854568435263,13,539,253,890,336,39,7195,7135,1889,757,58,2030,800,1584,739,4020,63059,44356,78178,35028
2011-08-03,2011-05-04,2011-11-02,0.138850318975,0.124294426732,0.350715217028,0.364119684472,0.193632431147,0.170788419104,0.487594149498,0.546574137803,539,253,890,336,844,7195,7135,1889,757,1206,2030,800,1584,739,2728,63059,44356,78178,35028,68660
2011-11-02,2011-08-03,2012-02-28,0.120787334232,0.330164458312,0.338829879938,0.98094562852,0.164952206666,0.464790835707,0.516053734399,0.984354148852,253,890,336,844,833,7135,1889,757,1206,1218,800,1584,739,2728,2632,44356,78178,35028,68660,65998
2012-02-28,2011-11-02,2012-05-02,0.4303131702,0.373535902261,0.973851888964,0.959285228818,0.591678984198,0.569340716952,0.97023609552,0.957582349788,890,336,844,833,2427,1889,757,1206,1218,3095,1584,739,2728,2632,5412,78178,35028,68660,65998,154823
2012-05-02,2012-02-28,2012-08-02,0.386930489756,0.990079896785,0.974949888743,0.974744132586,0.577023751277,0.991429378846,0.978564394212,0.971829535887,336,844,833,2427,897,757,1206,1218,3095,1411,739,2728,2632,5412,2743,35028,68660,65998,154823,71299
2012-08-02,2012-05-02,2012-11-07,0.989198531383,0.970127492784,0.968574104566,0.985607541462,0.992496646681,0.976773576604,0.967014435184,0.988274486759,844,833,2427,897,823,1206,1218,3095,1411,1286,2728,2632,5412,2743,2587,68660,65998,154823,71299,69021
2012-11-07,2012-08-02,2013-03-01,0.975560469889,0.967179727881,0.982926324115,0.989328258508,0.981562718749,0.966281903934,0.98613795794,0.992579969008,833,2427,897,823,849,1218,3095,1411,1286,1331,2632,5412,2743,2587,2542,65998,154823,71299,69021,69705
