filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-15,1995-03-31,0.272064641872,0.330129421802,0.104125525792,0.350875995067,0.587807318585,0.536295585466,0.324259488982,0.607199314689,258,36,33,77,206,778,70,44,243,259,880,15,87,526,415,28807,3790,6224,9250,12046
1995-03-31,1994-11-14,1995-05-08,0.457753913236,0.258544751009,0.367391048052,0.304148890535,0.685199919265,0.49976417954,0.600413930194,0.554146420731,36,33,77,206,223,70,44,243,259,396,15,87,526,415,434,3790,6224,9250,12046,22403
1995-05-08,1995-03-31,1995-05-15,0.0834454201152,0.116499108779,0.110890157312,0.174458065769,0.243008099819,0.260780418443,0.266501316466,0.34500580337,33,77,206,223,2,44,243,259,396,0,87,526,415,434,9,6224,9250,12046,22403,262
1995-05-15,1995-05-08,1995-08-14,0.338862578845,0.612547867231,0.451416874807,0.170562216069,0.618376985358,0.754491103963,0.682706665203,0.343495869227,77,206,223,2,66,243,259,396,0,100,526,415,434,9,162,9250,12046,22403,262,5382
1995-08-14,1995-05-15,1995-11-14,0.237422889894,0.42356855656,0.190952228748,0.470503282754,0.448608367305,0.637373259718,0.330740173497,0.661022088647,206,223,2,66,11,259,396,0,100,49,415,434,9,162,11,12046,22403,262,5382,3085
1995-11-14,1995-08-14,1996-03-29,0.434021899853,0.221011194591,0.430089897701,0.694027021088,0.699737848155,0.399582449007,0.67223794791,0.858925085349,223,2,66,11,21,396,0,100,49,65,434,9,162,11,32,22403,262,5382,3085,3725
1996-03-29,1995-11-14,1996-05-15,0.190704865031,0.356964925324,0.432801281859,0.438849951569,0.373046219395,0.613037606757,0.644664807316,0.700579993322,2,66,11,21,194,0,100,49,65,271,9,162,11,32,283,262,5382,3085,3725,20341
1996-05-15,1996-03-29,1996-08-14,0.369829501895,0.281639230409,0.26860373471,0.263580253907,0.676568966595,0.492344217587,0.503006740295,0.496250733704,66,11,21,194,60,100,49,65,271,133,162,11,32,283,319,5382,3085,3725,20341,7450
1996-08-14,1996-05-15,1996-11-14,0.690868809975,0.523871041347,0.422215751129,0.297305479606,0.895097095044,0.800646218452,0.665143384645,0.494586674555,11,21,194,60,10,49,65,271,133,43,11,32,283,319,17,3085,3725,20341,7450,2694
1996-11-14,1996-08-14,1997-03-28,0.384183517017,0.28082447526,0.28577595025,0.387068355969,0.617078707808,0.493982112096,0.520457118342,0.574940438336,21,194,60,10,29,65,271,133,43,100,32,283,319,17,332,3725,20341,7450,2694,6042
1997-03-28,1996-11-14,1997-05-15,0.864615901241,0.252624413,0.421984173347,0.281622565525,0.963977751432,0.474095152782,0.66109914506,0.488352355906,194,60,10,29,202,271,133,43,100,283,283,319,17,332,272,20341,7450,2694,6042,20537
1997-05-15,1997-03-28,1997-08-14,0.29660563928,0.56629526654,0.34178839827,0.454054429203,0.516707960215,0.83560539018,0.570224552665,0.697831158392,60,10,29,202,16,133,43,100,283,66,319,17,332,272,45,7450,2694,6042,20537,2892
1997-08-14,1997-05-15,1997-11-14,0.541421305262,0.318480290822,0.375050238334,0.531703028311,0.835144236979,0.582369622889,0.660851861901,0.8039866909,10,29,202,16,30,43,100,283,66,58,17,332,272,45,40,2694,6042,20537,2892,4131
1997-11-14,1997-08-14,1998-03-31,0.419159276313,0.425957484763,0.648557722096,0.562109716853,0.606460252398,0.655294841663,0.865141987319,0.801871846868,29,202,16,30,30,100,283,66,58,42,332,272,45,40,12,6042,20537,2892,4131,2926
1998-03-31,1997-11-14,1998-05-14,0.801906422688,0.443374841391,0.387240033844,0.412493649297,0.914141200963,0.671161651962,0.664685730459,0.617048636165,202,16,30,30,285,283,66,58,42,335,272,45,40,12,618,20537,2892,4131,2926,25719
1998-05-14,1998-03-31,1998-06-30,0.675054408854,0.476829159557,0.626146721391,0.439515518877,0.909091539089,0.776137138731,0.848406407359,0.659738796696,16,30,30,285,25,66,58,42,335,49,45,40,12,618,17,2892,4131,2926,25719,3114
1998-06-30,1998-05-14,1998-08-14,0.170408904483,0.216567310057,0.178426546532,0.189998480079,0.418270694507,0.438234593696,0.395816935461,0.418894357639,30,30,285,25,3,58,42,335,49,19,40,12,618,17,13,4131,2926,25719,3114,806
1998-08-14,1998-06-30,1998-11-16,0.633592529331,0.421469699036,0.709820519988,0.210655773322,0.845545410635,0.62908129433,0.869996767848,0.442938632345,30,285,25,3,28,42,335,49,19,52,12,618,17,13,20,2926,25719,3114,806,3593
1998-11-16,1998-08-14,1999-03-30,0.445758728446,0.623446204709,0.200458885416,0.717586619178,0.678819718643,0.852349958856,0.443671154796,0.873977402764,285,25,3,28,41,335,49,19,52,102,618,17,13,20,44,25719,3114,806,3593,4651
1999-03-30,1998-11-16,1999-05-17,0.486587020599,0.178790529531,0.474288928703,0.525656652999,0.699799509937,0.392876561061,0.668967045411,0.725269196487,25,3,28,41,295,49,19,52,102,334,17,13,20,44,298,3114,806,3593,4651,23305
1999-05-17,1999-03-30,1999-08-16,0.185395024088,0.60601850036,0.63377747844,0.495298281844,0.421920227995,0.840486401533,0.862679726767,0.718815794129,3,28,41,295,29,19,52,102,334,75,13,20,44,298,23,806,3593,4651,23305,3818
1999-08-16,1999-05-17,1999-11-15,0.544634450807,0.475212548914,0.390032260093,0.559934440297,0.850612799661,0.793705831583,0.682753451015,0.814211857874,28,41,295,29,50,52,102,334,75,164,20,44,298,23,54,3593,4651,23305,3818,5681
1999-11-15,1999-08-16,2000-03-29,0.465822644726,0.390788319194,0.452170333509,0.392743310137,0.689589291787,0.626022763671,0.650542312908,0.661227124113,41,295,29,50,122,102,334,75,164,172,44,298,23,54,236,4651,23305,3818,5681,8525
2000-03-29,1999-11-15,2000-05-15,0.934003227514,0.483233321548,0.385477255581,0.386320360941,0.988699370629,0.716353284391,0.680606454539,0.621997639404,295,29,50,122,319,334,75,164,172,333,298,23,54,236,338,23305,3818,5681,8525,23989
2000-05-15,2000-03-29,2000-08-11,0.159878614496,0.152061726057,0.439822514583,0.194177318258,0.340034643291,0.380113758046,0.646945701033,0.390198752075,29,50,122,319,378,75,164,172,333,386,23,54,236,338,1308,3818,5681,8525,23989,24919
2000-08-11,2000-05-15,2000-11-13,0.565993468562,0.407782785865,0.490208466529,0.162315838714,0.86103097705,0.619352946584,0.681794987244,0.312529264719,50,122,319,378,40,164,172,333,386,70,54,236,338,1308,39,5681,8525,23989,24919,4046
2000-11-13,2000-08-11,2001-03-30,0.464402283897,0.50353585652,0.157899559811,0.761781711994,0.673281505088,0.697656469093,0.319246840437,0.883559794429,122,319,378,40,40,172,333,386,70,102,236,338,1308,39,75,8525,23989,24919,4046,4427
2001-03-30,2000-11-13,2001-05-15,0.934596900669,0.193289415606,0.484428021222,0.503568099867,0.988595159826,0.388400271068,0.675089161898,0.692197439105,319,378,40,40,345,333,386,70,102,396,338,1308,39,75,388,23989,24919,4046,4427,25472
2001-05-15,2001-03-30,2001-08-14,0.165002877293,0.617181734779,0.616196112804,0.513375633609,0.344220499922,0.831246233174,0.835724040107,0.73275694646,378,40,40,345,43,386,70,102,396,109,1308,39,75,388,48,24919,4046,4427,25472,4675
2001-08-14,2001-05-15,2001-11-14,0.756648634196,0.639661658282,0.488784533656,0.696420254421,0.928518967091,0.845638825496,0.695944985075,0.865081551322,40,40,345,43,46,70,102,396,109,139,39,75,388,48,68,4046,4427,25472,4675,5378
2001-11-14,2001-08-14,2002-04-01,0.693144762933,0.465524423196,0.596415479849,0.696271866193,0.88575966431,0.67284088055,0.804139911198,0.857287549672,40,345,43,46,50,102,396,109,139,238,75,388,48,68,72,4427,25472,4675,5378,6705
2002-04-01,2001-11-14,2002-05-14,0.908229409245,0.528317171534,0.510464001901,0.521858018488,0.978285709992,0.742005505813,0.712056444578,0.711762976625,345,43,46,50,437,396,109,139,238,650,388,48,68,72,449,25472,4675,5378,6705,31152
2002-05-14,2002-04-01,2002-08-13,0.439274794453,0.399860177288,0.386671051149,0.396144220065,0.678636739628,0.631195476104,0.612242493886,0.62923920619,43,46,50,437,97,109,139,238,650,203,48,68,72,449,295,4675,5378,6705,31152,9153
2002-08-13,2002-05-14,2002-11-13,0.676510862203,0.586669948103,0.503187340585,0.453384773037,0.90558920156,0.828215252614,0.711379650127,0.655540291757,46,50,437,97,83,139,238,650,203,242,68,72,449,295,68,5378,6705,31152,9153,7901
2002-11-13,2002-08-13,2003-03-27,0.655646146554,0.500630115231,0.420022796681,0.739259274842,0.892337500784,0.70580937996,0.640891135445,0.887090688156,50,437,97,83,89,238,650,203,242,266,72,449,295,68,87,6705,31152,9153,7901,9146
2003-03-27,2002-11-13,2003-05-15,0.853116933804,0.401087183091,0.532886289276,0.55878656778,0.957367064825,0.63712048681,0.738357006281,0.746201025474,437,97,83,89,570,650,203,242,266,873,449,295,68,87,559,31152,9153,7901,9146,40868
2003-05-15,2003-03-27,2003-08-14,0.4485538438,0.578418790043,0.62182737468,0.629294368998,0.714143701511,0.820948193959,0.833603526593,0.818858845633,97,83,89,570,96,203,242,266,873,294,295,68,87,559,165,9153,7901,9146,40868,9998
2003-08-14,2003-05-15,2003-11-14,0.67125999201,0.604985672129,0.564822420504,0.729505917523,0.900499599426,0.84613846491,0.75032190096,0.877578685717,83,89,570,96,178,242,266,873,294,411,68,87,559,165,190,7901,9146,40868,9998,12754
2003-11-14,2003-08-14,2004-03-12,0.671972567281,0.565823795379,0.705770400694,0.814886146635,0.902314391934,0.749136901289,0.868209314522,0.923722277535,89,570,96,178,171,266,873,294,411,336,87,559,165,190,167,9146,40868,9998,12754,12353
2004-03-12,2003-11-14,2004-05-10,0.89785320134,0.625168570173,0.59528856877,0.608294639663,0.976482512031,0.82418827786,0.767040048976,0.769012170082,570,96,178,171,755,873,294,411,336,971,559,165,190,167,722,40868,9998,12754,12353,50420
2004-05-10,2004-03-12,2004-07-30,0.732596443691,0.690663820482,0.710987458951,0.654425348868,0.929499562134,0.877977305043,0.880091248174,0.825090662021,96,178,171,755,143,294,411,336,971,243,165,190,167,722,193,9998,12754,12353,50420,10436
2004-07-30,2004-05-10,2004-11-08,0.763345077977,0.70613203831,0.602189243746,0.823077806649,0.942858597856,0.888752937004,0.76915904722,0.908252166284,178,171,755,143,230,411,336,971,243,333,190,167,722,193,234,12754,12353,50420,10436,13276
2004-11-08,2004-07-30,2005-03-10,0.687285220943,0.571413994992,0.691171378163,0.718959878188,0.876135918133,0.774076557816,0.849071159901,0.846696980883,171,755,143,230,309,336,971,243,333,429,167,722,193,234,463,12353,50420,10436,13276,19067
2005-03-10,2004-11-08,2005-05-03,0.874057249966,0.641748619034,0.600486526459,0.577937054192,0.971459972834,0.818370263091,0.762445982878,0.764376589587,755,143,230,309,965,971,243,333,429,1277,722,193,234,463,954,50420,10436,13276,19067,64801
