filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-04-10,1997-04-01,1997-06-23,0.0619588303835,0.066524157273,0.19106783585,0.994741340331,0.145585272742,0.136835462729,0.337931859731,0.994827442671,10,148,48,141,133,2,57,94,520,514,10,51,211,1272,1266,1296,7784,3911,17543,16429
1997-06-23,1997-04-10,1997-11-06,0.254228942301,0.312988369088,0.198089251729,0.161205463875,0.549656359091,0.640964424732,0.389871414556,0.329975129789,148,48,141,133,28,57,94,520,514,105,51,211,1272,1266,139,7784,3911,17543,16429,2550
1997-11-06,1997-06-23,1998-01-06,0.287100487687,0.216152436175,0.201094155813,0.325188665187,0.560607224822,0.368937925469,0.337288514518,0.573994028851,48,141,133,28,230,94,520,514,105,500,211,1272,1266,139,624,3911,17543,16429,2550,14882
1998-01-06,1997-11-06,1998-03-31,0.262498056414,0.243536630691,0.455693218902,0.336138240979,0.409457746527,0.38070873302,0.580954201008,0.556693872195,141,133,28,230,54,520,514,105,500,156,1272,1266,139,624,356,17543,16429,2550,14882,5880
1998-03-31,1998-01-06,1998-05-07,0.300503918438,0.2925590278,0.191334696084,0.230131052062,0.437226519533,0.638867381286,0.4331487779,0.430787780714,133,28,230,54,32,514,105,500,156,18,1266,139,624,356,113,16429,2550,14882,5880,2227
1998-05-07,1998-03-31,1998-06-23,0.140976845753,0.077118956931,0.13999393066,0.287328574522,0.327981689855,0.198990887737,0.284393658379,0.492205131455,28,230,54,32,5,105,500,156,18,2,139,624,356,113,15,2550,14882,5880,2227,411
1998-06-23,1998-05-07,1998-07-02,0.237987762237,0.279738775592,0.358595911982,0.130562156444,0.415449847245,0.453557587987,0.54408623281,0.233908194511,230,54,32,5,107,500,156,18,2,426,624,356,113,15,1013,14882,5880,2227,411,12138
1998-07-02,1998-06-23,1998-11-25,0.165947786714,0.262850172427,0.548685062169,0.143414430555,0.312765760673,0.46085340821,0.832563867115,0.253109572002,54,32,5,107,5,156,18,2,426,7,356,113,15,1013,14,5880,2227,411,12138,479
1998-11-25,1998-07-02,1999-01-05,0.172166145898,0.172913224374,0.226231419605,0.167505162516,0.351442979985,0.381509775151,0.370207184447,0.38226201799,32,5,107,5,83,18,2,426,7,158,113,15,1013,14,417,2227,411,12138,479,7410
1999-01-05,1998-11-25,1999-03-30,0.112720479019,0.924498895815,0.10381830751,0.213214279999,0.192207845929,0.972239422002,0.19462926671,0.334080295606,5,107,5,83,184,2,426,7,158,662,15,1013,14,417,1813,411,12138,479,7410,20306
1999-03-30,1999-01-05,1999-06-22,0.158731393537,0.159775860382,0.189622486866,0.150005933008,0.331340809341,0.36779090862,0.385718685797,0.265784150644,107,5,83,184,10,426,7,158,662,30,1013,14,417,1813,43,12138,479,7410,20306,2154
1999-06-22,1999-03-30,1999-11-24,0.168985583193,0.123200311335,0.127514259772,0.702297279798,0.362637258348,0.282652808809,0.219883412514,0.873422042657,5,83,184,10,12,7,158,662,30,33,14,417,1813,43,33,479,7410,20306,2154,1898
1999-11-24,1999-06-22,1999-12-29,0.468981565753,0.305382800452,0.153209527898,0.182106424308,0.676041927687,0.41419519281,0.351913623255,0.365805457592,83,184,10,12,89,158,662,30,33,106,417,1813,43,33,263,7410,20306,2154,1898,5928
1999-12-29,1999-11-24,2000-03-23,0.276939249308,0.190648263704,0.166667725744,0.177082850139,0.426540095209,0.360546174294,0.302779944132,0.330971220165,184,10,12,89,99,662,30,33,106,433,1813,43,33,263,671,20306,2154,1898,5928,10065
2000-03-23,1999-12-29,2000-06-20,0.24341638833,0.222350129652,0.137162823279,0.341556646125,0.514872274821,0.465669584342,0.288185642123,0.581875671901,10,12,89,99,98,30,33,106,433,210,43,33,263,671,423,2154,1898,5928,10065,6733
2000-06-20,2000-03-23,2000-10-27,0.117872016232,0.286352895651,0.283166237383,0.247025235157,0.228749714148,0.39450069635,0.441107532335,0.427068131448,12,89,99,98,269,33,106,433,210,1074,33,263,671,423,2610,1898,5928,10065,6733,33754
2000-10-27,2000-06-20,2000-12-14,0.54671713006,0.206552941609,0.205939376352,0.183746128752,0.784668309805,0.364357965115,0.386158883009,0.290951829932,89,99,98,269,57,106,433,210,1074,175,263,671,423,2610,215,5928,10065,6733,33754,6415
2000-12-14,2000-10-27,2001-03-27,0.721980443089,0.280157290076,0.266427931718,0.210989005591,0.877574299736,0.518769587317,0.427972905651,0.381189946875,99,98,269,57,57,433,210,1074,175,215,671,423,2610,215,359,10065,6733,33754,6415,5129
2001-03-27,2000-12-14,2001-06-01,0.369210863967,0.318028596182,0.236266274054,0.615821701841,0.672729195599,0.479569843201,0.421484959149,0.816109132274,98,269,57,57,113,210,1074,175,215,266,423,2610,215,359,477,6733,33754,6415,5129,8052
2001-06-01,2001-03-27,2001-11-16,0.138530090505,0.18640826758,0.355811802171,0.325180085669,0.259407593156,0.354549910565,0.486261556583,0.515119703569,269,57,57,113,17,1074,175,215,266,103,2610,215,359,477,124,33754,6415,5129,8052,2521
