filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-09,1994-11-07,1995-05-12,0.636870738096,0.416001079735,0.419123128685,0.250630889538,0.789187051511,0.662402027235,0.65705678911,0.464536117089,227,27,39,359,227,422,66,66,558,261,905,68,72,1499,336,19197,2202,2267,24245,11910
1995-05-12,1995-03-09,1995-08-10,0.657701970839,0.591679290538,0.164215953089,0.410354365214,0.918843299193,0.848052982639,0.351046855789,0.677362077311,27,39,359,227,42,66,66,558,261,60,68,72,1499,336,72,2202,2267,24245,11910,2254
1995-08-10,1995-05-12,1995-11-08,0.604895688738,0.151520840229,0.385889457408,0.627261826893,0.886897868474,0.335540886181,0.665275320661,0.856638196999,39,359,227,42,32,66,558,261,60,64,72,1499,336,72,73,2267,24245,11910,2254,2323
1995-11-08,1995-08-10,1996-03-13,0.323959286624,0.225121131994,0.265602132972,0.332935440888,0.573632850427,0.478481978435,0.487863343184,0.512856844416,359,227,42,32,57,558,261,60,64,96,1499,336,72,73,360,24245,11910,2254,2323,4649
1996-03-13,1995-11-08,1996-05-13,0.736139356185,0.395108065366,0.407939917119,0.254611228552,0.911380903713,0.660555082732,0.660588431052,0.487602444084,227,42,32,57,227,261,60,64,96,334,336,72,73,360,485,11910,2254,2323,4649,15416
1996-05-13,1996-03-13,1996-08-09,0.380026642915,0.329970415084,0.208328651488,0.402326638235,0.578368220596,0.543955518674,0.405156203314,0.639801353225,42,32,57,227,78,60,64,96,334,99,72,73,360,485,212,2254,2323,4649,15416,4508
1996-08-09,1996-05-13,1996-11-14,0.512446842011,0.206586543592,0.336951414747,0.292241491787,0.848296188646,0.456203790367,0.651574857131,0.529808327643,32,57,227,78,29,64,96,334,99,35,73,360,485,212,57,2323,4649,15416,4508,2443
1996-11-14,1996-08-09,1997-03-10,0.218329249598,0.315231387663,0.261646151346,0.559845075623,0.484168356456,0.619651449619,0.49794128219,0.817231244778,57,227,78,29,36,96,334,99,35,10,360,485,212,57,43,4649,15416,4508,2443,2878
1997-03-10,1996-11-14,1997-05-14,0.512397124698,0.377622617968,0.282085916899,0.314119228153,0.737764116094,0.609041730722,0.569712203332,0.59897292296,227,78,29,36,450,334,99,35,10,753,485,212,57,43,1392,15416,4508,2443,2878,30024
1997-05-14,1997-03-10,1997-08-14,0.460514064574,0.339689737682,0.392485006127,0.401321101154,0.742046692747,0.679923645276,0.707685651469,0.693615889832,78,29,36,450,35,99,35,10,753,40,212,57,43,1392,115,4508,2443,2878,30024,3818
1997-08-14,1997-05-14,1997-11-14,0.278001176237,0.292033392214,0.404361362179,0.385612552267,0.57601120991,0.583488731369,0.699259842566,0.691051917806,29,36,450,35,100,35,10,753,40,126,57,43,1392,115,371,2443,2878,30024,3818,7541
1997-11-14,1997-08-14,1998-03-04,0.354551846446,0.377284292244,0.41197078371,0.361189274771,0.64098240289,0.643251026022,0.723161704851,0.631932232411,36,450,35,100,133,10,753,40,126,238,43,1392,115,371,233,2878,30024,3818,7541,6939
1998-03-04,1997-11-14,1998-05-12,0.346216340806,0.222551865249,0.257358501544,0.239042382436,0.567122026486,0.442498833008,0.490013998736,0.436028640719,450,35,100,133,726,753,40,126,238,1069,1392,115,371,233,2326,30024,3818,7541,6939,46018
1998-05-12,1998-03-04,1998-08-12,0.508460021894,0.367415729604,0.533982883199,0.254787791248,0.816596335583,0.658104018788,0.783875319891,0.441612850078,35,100,133,726,54,40,126,238,1069,149,115,371,233,2326,261,3818,7541,6939,46018,7069
1998-08-12,1998-05-12,1998-11-06,0.357950433629,0.442803650658,0.224069051428,0.678432926324,0.677597174315,0.718871043533,0.424944742211,0.835171045919,100,133,726,54,39,126,238,1069,149,115,371,233,2326,261,158,7541,6939,46018,7069,5007
1998-11-06,1998-08-12,1999-03-05,0.3105259042,0.351318927724,0.31869918433,0.417544838841,0.635044952644,0.585811650472,0.598396654157,0.709859504832,133,726,54,39,44,238,1069,149,115,189,233,2326,261,158,210,6939,46018,7069,5007,5474
1999-03-05,1998-11-06,1999-05-14,0.329328064816,0.416033310543,0.47180957681,0.407158293551,0.516832275638,0.667902183908,0.731343172316,0.72371674915,726,54,39,44,277,1069,149,115,189,589,2326,261,158,210,549,46018,7069,5007,5474,20489
1999-05-14,1999-03-05,1999-08-12,0.361542683453,0.433861754153,0.383340483011,0.549128226986,0.642104039041,0.732563622746,0.726515539427,0.789047121387,54,39,44,277,36,149,115,189,589,219,261,158,210,549,199,7069,5007,5474,20489,4988
1999-08-12,1999-05-14,1999-11-12,0.481037470323,0.361784253605,0.551948383897,0.551273506712,0.760341342855,0.697577107684,0.795998668695,0.805899761562,39,44,277,36,89,115,189,589,219,313,158,210,549,199,232,5007,5474,20489,4988,5944
1999-11-12,1999-08-12,2000-03-08,0.40685774781,0.490864353518,0.57977248851,0.63669365017,0.762836853968,0.783717750582,0.856960374219,0.831428248264,44,277,36,89,61,189,589,219,313,250,210,549,199,232,221,5474,20489,4988,5944,5392
2000-03-08,1999-11-12,2000-05-12,0.829763870908,0.448506659565,0.47411655408,0.53995433694,0.960927675867,0.765795915735,0.752273549636,0.800277565822,277,36,89,61,274,589,219,313,250,515,549,199,232,221,433,20489,4988,5944,5392,19386
2000-05-12,2000-03-08,2000-08-02,0.558225920873,0.459263070531,0.57704826891,0.547098911855,0.867222179855,0.764687212677,0.858333968117,0.791602761419,36,89,61,274,52,219,313,250,515,240,199,232,221,433,205,4988,5944,5392,19386,5003
2000-08-02,2000-05-12,2000-11-06,0.355123056981,0.348448262698,0.357435617662,0.423294769565,0.586413600865,0.551199536986,0.540154422396,0.583548198576,89,61,274,52,94,313,250,515,240,314,232,221,433,205,673,5944,5392,19386,5003,10016
2000-11-06,2000-08-02,2001-03-09,0.130837173796,0.143299754073,0.135718453788,0.242081434852,0.291148827593,0.291291391035,0.289162149939,0.416384414524,61,274,52,94,552,250,515,240,314,867,221,433,205,673,1790,5392,19386,5003,10016,30472
2001-03-09,2000-11-06,2001-05-08,0.836949357861,0.515251442605,0.355890892634,0.148263707076,0.965238700532,0.787071086274,0.539126979425,0.295102589186,274,52,94,552,320,515,240,314,867,551,433,205,673,1790,519,19386,5003,10016,30472,22065
2001-05-08,2001-03-09,2001-08-09,0.770543138746,0.391638113755,0.140993048056,0.534494057535,0.928639725206,0.561088698316,0.299214239088,0.78175769775,52,94,552,320,55,240,314,867,551,243,205,673,1790,519,228,5003,10016,30472,22065,5806
2001-08-09,2001-05-08,2001-10-25,0.86457758128,0.236113128151,0.393315077655,0.491781062737,0.946068001039,0.423878050511,0.606773635547,0.656626049174,94,552,320,55,145,314,867,551,243,457,673,1790,519,228,767,10016,30472,22065,5806,12853
2001-10-25,2001-08-09,2002-03-08,0.138023316269,0.508504012201,0.602863963135,0.470181581848,0.296166966464,0.768202812263,0.838982865912,0.639310537893,552,320,55,145,76,867,551,243,457,304,1790,519,228,767,295,30472,22065,5806,12853,7968
2002-03-08,2001-10-25,2002-05-07,0.556462411051,0.339531207867,0.362553676979,0.396300973211,0.793421983899,0.653177057198,0.624052046742,0.675052107627,320,55,145,76,587,551,243,457,304,939,519,228,767,295,1353,22065,5806,12853,7968,37047
2002-05-07,2002-03-08,2002-08-12,0.491798617825,0.752926042439,0.440548647374,0.392759817537,0.695017767563,0.896769683859,0.649814352968,0.640245078098,55,145,76,587,125,243,457,304,939,388,228,767,295,1353,723,5806,12853,7968,37047,12799
2002-08-12,2002-05-07,2002-11-06,0.408441592996,0.581726988287,0.40618110456,0.548405922391,0.658498965866,0.835867057948,0.674870780727,0.692208443756,145,76,587,125,105,457,304,939,388,341,767,295,1353,723,303,12853,7968,37047,12799,9858
2002-11-06,2002-08-12,2003-02-27,0.625547010047,0.414282444503,0.488832962607,0.766340481454,0.890713037633,0.691301482578,0.672164569013,0.885754612517,76,587,125,105,124,304,939,388,341,434,295,1353,723,303,336,7968,37047,12799,9858,11485
2003-02-27,2002-11-06,2003-05-05,0.555694961822,0.411980375405,0.568060942077,0.605613743794,0.798322262849,0.637606644161,0.803707170009,0.832693346224,587,125,105,124,379,939,388,341,434,775,1353,723,303,336,619,37047,12799,9858,11485,30580
2003-05-05,2003-02-27,2003-08-04,0.462217361578,0.539940517352,0.542396801489,0.590809126676,0.680294813687,0.792323975893,0.80410593505,0.819323388342,125,105,124,379,105,388,341,434,775,368,723,303,336,619,243,12799,9858,11485,30580,11521
