filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-14,1995-05-15,0.762145987744,0.256120699155,0.331312683568,0.277147858086,0.896799098297,0.394002337321,0.440107265501,0.41029303005,1253,49,79,61,938,1465,63,131,86,997,3451,22,328,32,2158,78008,5135,10849,7422,49708
1995-05-15,1995-03-30,1995-08-14,0.546211645606,0.541027844283,0.557487838624,0.481439856025,0.772147524449,0.70771844316,0.762205010489,0.627577015059,49,79,61,938,109,63,131,86,997,223,22,328,32,2158,325,5135,10849,7422,49708,11718
1995-08-14,1995-05-15,1995-11-13,0.569397045999,0.710001572383,0.27712480853,0.629613477913,0.698493078869,0.895911697595,0.413286194502,0.789827979316,79,61,938,109,47,131,86,997,223,74,328,32,2158,325,49,10849,7422,49708,11718,7687
1995-11-13,1995-08-14,1996-03-29,0.749964342557,0.273273748688,0.619351080447,0.864874781626,0.930966498065,0.40695773847,0.785224060353,0.944639493566,61,938,109,47,52,86,997,223,74,70,32,2158,325,49,48,7422,49708,11718,7687,7429
1996-03-29,1995-11-13,1996-05-10,0.628176272103,0.466250132089,0.291730296504,0.28919972249,0.783601722364,0.631309465792,0.433494546285,0.427952308741,938,109,47,52,916,997,223,74,70,1078,2158,325,49,48,3094,49708,11718,7687,7429,65385
1996-05-10,1996-03-29,1996-08-14,0.613925330585,0.73297006988,0.749867339767,0.30049434108,0.806673653486,0.884771923577,0.888256301313,0.438016689851,109,47,52,916,55,223,74,70,1078,80,325,49,48,3094,65,11718,7687,7429,65385,7849
1996-08-14,1996-05-10,1996-11-13,0.789711297575,0.746829631654,0.303802767751,0.831515883183,0.935091010521,0.890847496682,0.443962513188,0.907379058999,47,52,916,55,55,74,70,1078,80,89,49,48,3094,65,66,7687,7429,65385,7849,8355
1996-11-13,1996-08-14,1997-03-28,0.80034862097,0.29325196983,0.823936793302,0.880076486457,0.941161054277,0.43002547974,0.907728881006,0.93854136227,52,916,55,55,60,70,1078,80,89,85,48,3094,65,66,71,7429,65385,7849,8355,8135
1997-03-28,1996-11-13,1997-05-15,0.736603637349,0.329388091164,0.336533615352,0.330169684118,0.876935442361,0.472301880186,0.478337202304,0.466248128871,916,55,55,60,616,1078,80,89,85,971,3094,65,66,71,2303,65385,7849,8355,8135,53563
1997-05-15,1997-03-28,1997-08-14,0.586168753887,0.563055059716,0.567256728462,0.432573484521,0.748055850258,0.726876941049,0.720741247346,0.602434928256,55,55,60,616,98,80,89,85,971,151,65,66,71,2303,388,7849,8355,8135,53563,12228
1997-08-14,1997-05-15,1997-11-14,0.814900622495,0.761669204309,0.329554827485,0.610918910883,0.953507448864,0.907243445343,0.474996777842,0.738057657346,55,60,616,98,71,89,85,971,151,110,66,71,2303,388,107,8355,8135,53563,12228,8908
1997-11-14,1997-08-14,1998-03-13,0.823371772977,0.325319165208,0.604039776894,0.864220180395,0.951325331569,0.46676110868,0.733024729748,0.934665978766,60,616,98,71,67,85,971,151,110,82,71,2303,388,107,73,8135,53563,12228,8908,8662
