filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-14,1995-05-04,0.787097630632,0.534278403562,0.479052145258,0.45235829385,0.94566297134,0.77292404339,0.744831328331,0.654773942221,234,23,43,73,211,721,229,280,341,704,493,206,247,523,558,17714,4093,6000,9162,17362
1995-05-04,1995-03-24,1995-08-14,0.724773272628,0.54295329624,0.443144048437,0.557599629126,0.919575803663,0.789617552813,0.625158486269,0.779505789233,23,43,73,211,32,229,280,341,704,276,206,247,523,558,244,4093,6000,9162,17362,4279
1995-08-14,1995-05-04,1995-11-13,0.553049251447,0.418695978684,0.529598266286,0.778361598807,0.81851209635,0.617968318861,0.759323320181,0.904581025158,43,73,211,32,38,280,341,704,276,275,247,523,558,244,248,6000,9162,17362,4279,4894
1995-11-13,1995-08-14,1996-03-22,0.43008696,0.533860827969,0.707889731166,0.761453903267,0.632814070266,0.770284905836,0.880292837001,0.893802923321,73,211,32,38,41,341,704,276,275,336,523,558,244,248,281,9162,17362,4279,4894,5806
1996-03-22,1995-11-13,1996-05-15,0.723280165798,0.46015352487,0.462239560806,0.477328513869,0.925565514837,0.742198571134,0.729018570898,0.742550826317,211,32,38,41,222,704,276,275,336,669,558,244,248,281,523,17362,4279,4894,5806,17789
1996-05-15,1996-03-22,1996-08-14,0.650471891758,0.623369275005,0.639512772616,0.585830206507,0.890826763319,0.846856937394,0.856742967023,0.80826822657,32,38,41,222,45,276,275,336,669,311,244,248,281,523,352,4279,4894,5806,17789,5875
1996-08-14,1996-05-15,1996-11-14,0.459827419479,0.430182269167,0.364969310264,0.544819923556,0.768539462824,0.734932962523,0.660391036862,0.797097807665,38,41,222,45,69,275,336,669,311,655,248,281,523,352,868,4894,5806,17789,5875,9583
1996-11-14,1996-08-14,1997-03-19,0.651736682107,0.498947949397,0.746529964583,0.557317631809,0.894491137844,0.75940556942,0.909484417592,0.804260878078,41,222,45,69,48,336,669,311,655,338,281,523,352,868,395,5806,17789,5875,9583,6240
1997-03-19,1996-11-14,1997-05-14,0.479527501194,0.221438172676,0.161555465733,0.21583116736,0.742113897298,0.516094137333,0.443831432044,0.501292400404,222,45,69,48,73,669,311,655,338,159,523,352,868,395,221,17789,5875,9583,6240,8068
1997-05-14,1997-03-19,1997-08-13,0.637247572848,0.414988361984,0.606679012795,0.243920838252,0.895024984909,0.731268275796,0.856263491436,0.525805674933,45,69,48,73,35,311,655,338,159,258,352,868,395,221,260,5875,9583,6240,8068,5475
