filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-14,1995-05-15,0.554254676787,0.61090623952,0.631419498494,0.639127181168,0.767915037007,0.858152305668,0.858153893807,0.845351300546,587,37,39,49,191,691,95,130,149,371,1059,37,69,70,201,35650,4089,4730,5383,17559
1995-05-15,1995-03-30,1995-08-14,0.514770310088,0.508381708124,0.550307145895,0.559225532411,0.849493956467,0.826801209045,0.835940823099,0.818668473995,37,39,49,191,31,95,130,149,371,106,37,69,70,201,18,4089,4730,5383,17559,3660
1995-08-14,1995-05-15,1995-11-14,0.551469172493,0.545681767087,0.555647026445,0.70215395641,0.856636712673,0.838754757336,0.794564615263,0.900245007824,39,49,191,31,39,130,149,371,106,87,69,70,201,18,22,4730,5383,17559,3660,3754
1995-11-14,1995-08-14,1996-03-18,0.590845688582,0.546706624114,0.64103705201,0.785997757962,0.867158892687,0.77768752802,0.879016484272,0.925884670946,49,191,31,39,49,149,371,106,87,84,70,201,18,22,25,5383,17559,3660,3754,4237
1996-03-18,1995-11-14,1996-05-14,0.826042258033,0.562867913173,0.583123429084,0.595024496922,0.965278431657,0.814892923091,0.797403549512,0.789438868822,191,31,39,49,219,371,106,87,84,333,201,18,22,25,222,17559,3660,3754,4237,18765
1996-05-14,1996-03-18,1996-08-14,0.618176807457,0.635901258424,0.655648803441,0.589820412566,0.89968500089,0.879588327192,0.883377838014,0.817444143461,31,39,49,219,42,106,87,84,333,79,18,22,25,222,32,3660,3754,4237,18765,3824
1996-08-14,1996-05-14,1996-11-14,0.120496183366,0.117515346342,0.145747344807,0.126081388812,0.254930249698,0.247115220387,0.287157024224,0.246006842095,39,49,219,42,234,87,84,333,79,951,22,25,222,32,2127,3754,4237,18765,3824,33234
1996-11-14,1996-08-14,1997-03-17,0.224682285804,0.253043608171,0.242725939418,0.269311628349,0.421254054252,0.467490387361,0.460239030859,0.432193444787,49,219,42,234,313,84,333,79,951,707,25,222,32,2127,1465,4237,18765,3824,33234,22585
1997-03-17,1996-11-14,1997-05-14,0.531894255497,0.37201033238,0.334432360785,0.601103324868,0.715594901493,0.603807539453,0.457362514048,0.783123707713,219,42,234,313,650,333,79,951,707,1116,222,32,2127,1465,2030,18765,3824,33234,22585,46689
1997-05-14,1997-03-17,1997-08-13,0.659322848126,0.110761742885,0.24414585408,0.401367887443,0.907157141761,0.226311746357,0.456022113494,0.625854206304,42,234,313,650,75,79,951,707,1116,67,32,2127,1465,2030,32,3824,33234,22585,46689,4903
1997-08-13,1997-05-14,1997-11-14,0.112289036071,0.220766325636,0.318221400878,0.722202624394,0.228404609265,0.416098017145,0.497011346737,0.813484229607,234,313,650,75,82,951,707,1116,67,62,2127,1465,2030,32,29,33234,22585,46689,4903,5165
1997-11-14,1997-08-13,1998-03-18,0.224443492548,0.310063510693,0.628506472254,0.773197332933,0.425411802867,0.495153436263,0.786010435884,0.922388986301,313,650,75,82,92,707,1116,67,62,86,1465,2030,32,29,30,22585,46689,4903,5165,5935
1998-03-18,1997-11-14,1998-05-14,0.612690223335,0.459464363208,0.507916804716,0.502607393446,0.752681412659,0.677129748336,0.735466854492,0.740932536272,650,75,82,92,274,1116,67,62,86,428,2030,32,29,30,649,46689,4903,5165,5935,25261
1998-05-14,1998-03-18,1998-08-13,0.609492901279,0.6703766337,0.704192159261,0.517842785544,0.801482681723,0.886128003491,0.907608981235,0.751728688655,75,82,92,274,78,67,62,86,428,95,32,29,30,649,25,4903,5165,5935,25261,5241
1998-08-13,1998-05-14,1998-11-13,0.70221932026,0.637024958041,0.489898213708,0.735853397399,0.923315172865,0.886861646622,0.718819106688,0.90227442014,82,92,274,78,80,62,86,428,95,109,29,30,649,25,31,5165,5935,25261,5241,6597
1998-11-13,1998-08-13,1999-03-19,0.694742529405,0.473933520804,0.692425434596,0.783926791782,0.923930123151,0.708084000092,0.895249463492,0.921656306012,92,274,78,80,95,86,428,95,109,120,30,649,25,31,30,5935,25261,5241,6597,6890
1999-03-19,1998-11-13,1999-05-14,0.745024053005,0.602711073,0.600264667667,0.620012531649,0.907723181231,0.826193291584,0.795520297786,0.795761442021,274,78,80,95,236,428,95,109,120,360,649,25,31,30,186,25261,5241,6597,6890,20982
1999-05-14,1999-03-19,1999-08-12,0.684398544745,0.670134075824,0.735907057715,0.655493194617,0.9164488539,0.874587780399,0.896856919339,0.830229368754,78,80,95,236,83,95,109,120,360,130,25,31,30,186,33,5241,6597,6890,20982,6802
1999-08-12,1999-05-14,1999-11-12,0.748905899763,0.680191224361,0.623545199889,0.823709818727,0.932180092053,0.877728060921,0.80394024156,0.9208538227,80,95,236,83,84,109,120,360,130,134,31,30,186,33,36,6597,6890,20982,6802,7574
1999-11-12,1999-08-12,2000-03-14,0.778575962604,0.630422158531,0.813981603477,0.831870119499,0.941827266351,0.809524789289,0.926131668639,0.921328300306,95,236,83,84,91,120,360,130,134,139,30,186,33,36,36,6890,20982,6802,7574,7588
2000-03-14,1999-11-12,2000-05-12,0.856608661134,0.603615653931,0.602071677508,0.611354542363,0.963751005549,0.818333986331,0.802117085984,0.808659379685,236,83,84,91,255,360,130,134,139,365,186,33,36,36,209,20982,6802,7574,7588,23409
2000-05-12,2000-03-14,2000-06-05,0.703952150828,0.663536779929,0.700322215395,0.640742103555,0.914129743489,0.869535534133,0.89499456023,0.814232503681,83,84,91,255,81,130,134,139,365,93,33,36,36,209,30,6802,7574,7588,23409,6092
2000-06-05,2000-05-12,2000-08-11,0.660393876552,0.696537543928,0.639741709411,0.995453418209,0.869373476038,0.894090401654,0.813293265409,0.999367558409,84,91,255,81,81,134,139,365,93,94,36,36,209,30,33,7574,7588,23409,6092,6104
2000-08-11,2000-06-05,2000-11-14,0.647017482687,0.584358069185,0.730148242074,0.730454941745,0.858079866592,0.751555020839,0.880311254484,0.881185768588,91,255,81,81,76,139,365,93,94,112,36,209,30,33,31,7588,23409,6092,6104,6714
2000-11-14,2000-08-11,2001-03-16,0.592062853299,0.730989653435,0.730822636076,0.812468111282,0.771459395124,0.901562094159,0.901740201781,0.922489445384,255,81,81,76,81,365,93,94,112,119,209,30,33,31,31,23409,6092,6104,6714,6965
2001-03-16,2000-11-14,2001-05-11,0.20929591816,0.209300739268,0.202972886045,0.20768172116,0.362461418698,0.362518416375,0.338216890268,0.347692260373,81,81,76,81,1372,93,94,112,119,1362,30,33,31,31,2696,6092,6104,6714,6965,65079
2001-05-11,2001-03-16,2001-08-13,0.607593943171,0.577024165351,0.605464110695,0.408124539826,0.84024205211,0.788516218346,0.816119854789,0.538854063424,81,76,81,1372,102,94,112,119,1362,120,33,31,31,2696,187,6104,6714,6965,65079,7900
2001-08-13,2001-05-11,2001-11-14,0.82009860275,0.709892522842,0.218424333376,0.654836025393,0.949582197767,0.884016193737,0.365129874172,0.832026081871,76,81,1372,102,91,112,119,1362,120,107,31,31,2696,187,58,6714,6965,65079,7900,7900
2001-11-14,2001-08-13,2002-03-15,0.814198652154,0.217306746815,0.652219050868,0.813087991859,0.950274854188,0.36361743,0.847560719625,0.92100065864,81,1372,102,91,87,119,1362,120,107,116,31,2696,187,58,54,6965,65079,7900,7900,8059
2002-03-15,2001-11-14,2002-05-13,0.663797483238,0.437411408007,0.29355677185,0.290607646437,0.822728215924,0.635883209516,0.488970453813,0.486557121486,1372,102,91,87,621,1362,120,107,116,1019,2696,187,58,54,2046,65079,7900,7900,8059,48990
