filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-01-09,1994-09-30,1995-05-24,0.468984917996,0.157833057982,0.462462473476,0.179249998151,0.839355815475,0.358757986419,0.797885724732,0.345300498383,38,414,27,224,38,2,740,5,446,3,11,1968,7,876,8,1682,32856,1425,14778,1892
1995-05-24,1995-01-09,1995-05-30,0.624301245716,0.142686970469,0.408407759025,0.187677743605,0.780322682379,0.3240729841,0.588450394654,0.380049169259,414,27,224,38,1016,740,5,446,3,1233,1968,7,876,8,2954,32856,1425,14778,1892,51191
1995-05-30,1995-05-24,1995-07-07,0.356501386167,0.215545246342,0.381429308727,0.300485777024,0.672282691382,0.414712457575,0.701322972917,0.484893769866,27,224,38,1016,83,5,446,3,1233,27,7,876,8,2954,49,1425,14778,1892,51191,4393
1995-07-07,1995-05-30,1995-10-10,0.148458668661,0.41308509199,0.143877305898,0.342655416202,0.306118004391,0.785990388392,0.321853609809,0.675727373066,224,38,1016,83,26,446,3,1233,27,5,876,8,2954,49,8,14778,1892,51191,4393,1397
1995-10-10,1995-07-07,1996-01-05,0.151830927452,0.394834890483,0.195598449344,0.145163603079,0.323790952275,0.580861098867,0.393086551884,0.295872498092,38,1016,83,26,234,3,1233,27,5,474,8,2954,49,8,959,1892,51191,4393,1397,15809
1996-01-05,1995-10-10,1996-05-31,0.141446610978,0.334138793572,0.46764269679,0.150385250533,0.310878323975,0.655226349914,0.828106923815,0.308553141053,1016,83,26,234,24,1233,27,5,474,5,2954,49,8,959,11,51191,4393,1397,15809,1616
1996-05-31,1996-01-05,1996-07-15,0.593841069956,0.28955966235,0.344384454408,0.296111402329,0.817184930721,0.557541071027,0.554272236278,0.553949797089,83,26,234,24,254,27,5,474,5,168,49,8,959,11,267,4393,1397,15809,1616,11744
1996-07-15,1996-05-31,1996-10-11,0.478836138147,0.144321579173,0.436113162186,0.314999234102,0.858385593809,0.308697525833,0.798661416218,0.586903274565,26,234,24,254,24,5,474,5,168,5,8,959,11,267,12,1397,15809,1616,11744,1511
1996-10-11,1996-07-15,1997-01-14,0.163596738314,0.428516083753,0.306243150615,0.618424206279,0.312343670113,0.772261881747,0.560727964097,0.853986834448,234,24,254,24,25,474,5,168,5,6,959,11,267,12,10,15809,1616,11744,1511,1676
1997-01-14,1996-10-11,1997-05-28,0.490314746851,0.288454443538,0.459706467066,0.486245098828,0.853177986276,0.572816581786,0.802498151183,0.797246294445,24,254,24,25,29,5,168,5,6,35,11,267,12,10,11,1616,11744,1511,1676,1963
1997-05-28,1997-01-14,1997-07-11,0.724729391851,0.307018270774,0.303663301192,0.305864321416,0.914440538328,0.601976616003,0.574784046838,0.602761300472,254,24,25,29,234,168,5,6,35,161,267,12,10,11,188,11744,1511,1676,1963,10767
1997-07-11,1997-05-28,1997-10-10,0.158127814091,0.150480963033,0.16008281729,0.412073043531,0.331110558805,0.313842092606,0.348199154565,0.609304462608,24,25,29,234,263,5,6,35,161,548,12,10,11,188,1079,1511,1676,1963,10767,17453
1997-10-10,1997-07-11,1998-01-07,0.595484053767,0.393345212403,0.29202748472,0.167889636372,0.893168040398,0.755952267447,0.570763602945,0.330898836711,25,29,234,263,35,6,35,161,548,20,10,11,188,1079,10,1676,1963,10767,17453,1794
