filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-13,1994-09-13,1995-03-16,0.521838441594,0.432680802139,0.299671529634,0.60097677286,0.843427774518,0.760366478935,0.585365255443,0.83568910837,29,8,149,16,44,59,13,223,59,52,45,16,411,56,59,2198,1042,13050,1457,1930
1995-03-16,1994-12-13,1995-07-18,0.486780554041,0.285538710927,0.51233278104,0.657306797009,0.799514367263,0.588680108985,0.829710310502,0.907321946067,8,149,16,44,33,13,223,59,52,52,16,411,56,59,63,1042,13050,1457,1930,1933
1995-07-18,1995-03-16,1995-09-06,0.354824343447,0.171532043323,0.192153335044,0.200356683021,0.594899168964,0.474054589964,0.494374473574,0.506586896453,149,16,44,33,251,223,59,52,52,422,411,56,59,63,930,13050,1457,1930,1933,20573
1995-09-06,1995-07-18,1995-12-14,0.471276230118,0.382775329777,0.394989067564,0.180107096876,0.803900227683,0.708048792223,0.729458404894,0.445090371014,16,44,33,251,11,59,52,52,422,15,56,59,63,930,13,1457,1930,1933,20573,1132
1995-12-14,1995-09-06,1996-03-13,0.439979555889,0.412728616477,0.180589246197,0.660683078351,0.770948162675,0.763678020628,0.460189387464,0.888424902824,44,33,251,11,12,52,52,422,15,26,59,63,930,13,14,1930,1933,20573,1132,1284
1996-03-13,1995-12-14,1996-07-03,0.448785906515,0.175219530999,0.595255526088,0.627502635384,0.794969830498,0.455143921143,0.868876244776,0.896254771867,33,251,11,12,19,52,422,15,26,22,63,930,13,14,14,1933,20573,1132,1284,1336
1996-07-03,1996-03-13,1996-09-10,0.431182978456,0.320537798007,0.31793799335,0.326600708194,0.677916306606,0.638696967143,0.640427519384,0.651227619334,251,11,12,19,111,422,15,26,22,121,930,13,14,14,150,20573,1132,1284,1336,8590
1996-09-10,1996-07-03,1996-12-13,0.709398751143,0.564558832245,0.541772792209,0.35882956985,0.932084240808,0.852937393952,0.846110544298,0.664381327038,11,12,19,111,11,15,26,22,121,32,13,14,14,150,29,1132,1284,1336,8590,1279
1996-12-13,1996-09-10,1997-03-14,0.599474665019,0.501600257312,0.326037827769,0.63022931223,0.889123640874,0.839542323311,0.66260767314,0.870725411438,12,19,111,11,21,26,22,121,32,50,14,14,150,29,34,1284,1336,8590,1279,1658
1997-03-14,1996-12-13,1997-07-22,0.530783950385,0.300472441738,0.480017512006,0.511848810587,0.838277605255,0.607122334459,0.797374530795,0.830020603423,19,111,11,21,24,22,121,32,50,37,14,150,29,34,25,1336,8590,1279,1658,1536
1997-07-22,1997-03-14,1997-09-05,0.746090700898,0.343526932831,0.339704368577,0.361268924664,0.920428887004,0.657096166649,0.668182360664,0.655672856786,111,11,21,24,134,121,32,50,37,114,150,29,34,25,75,8590,1279,1658,1536,7936
1997-09-05,1997-07-22,1997-12-05,0.519415151169,0.443981744814,0.595384757316,0.363814892666,0.815683143349,0.788644423772,0.854657183805,0.661677239131,11,21,24,134,21,32,50,37,114,39,29,34,25,75,29,1279,1658,1536,7936,1585
1997-12-05,1997-09-05,1997-12-15,0.419348724704,0.513425631833,0.323253637882,0.681552302975,0.789423868449,0.834504560641,0.649251101968,0.898472683675,21,24,134,21,38,50,37,114,39,39,34,25,75,29,50,1658,1536,7936,1585,1931
1997-12-15,1997-12-05,1998-03-06,0.0536082766427,0.0855994926377,0.0557313848782,0.0849929121693,0.1600142156,0.231770485157,0.161656184565,0.183715248997,24,134,21,38,148,37,114,39,39,297,25,75,29,50,810,1536,7936,1585,1931,11266
1998-03-06,1997-12-15,1998-07-17,0.358067992494,0.67802165182,0.650672262465,0.0517405468875,0.663284390813,0.885885255802,0.880670700906,0.153309122601,134,21,38,148,38,114,39,39,297,41,75,29,50,810,32,7936,1585,1931,11266,1882
