filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-12-18,1996-11-22,1997-03-31,0.686750568313,0.152818817203,0.0419437280829,0.82442804614,0.889107223426,0.33922373583,0.187917395975,0.946279677456,10,85,170,6,7,7,118,559,5,8,22,85,735,16,37,846,4081,12395,640,866
1997-03-31,1996-12-18,1997-05-15,0.645029742006,0.118565055569,0.319602855076,0.27757392147,0.856763663033,0.338484915055,0.473848648982,0.461538588013,85,170,6,7,246,118,559,5,8,297,85,735,16,37,188,4081,12395,640,866,13725
1997-05-15,1997-03-31,1997-08-14,0.128484960314,0.161994576362,0.141659199485,0.651428272713,0.351305192085,0.333191805843,0.321321425534,0.846667207499,170,6,7,246,76,559,5,8,297,108,735,16,37,188,68,12395,640,866,13725,3544
1997-08-14,1997-05-15,1997-08-18,0.135861998719,0.135233740338,0.27573995959,0.32159863086,0.362766500622,0.388865353984,0.57065220078,0.588282694608,6,7,246,76,139,5,8,297,108,547,16,37,188,68,714,640,866,13725,3544,10462
1997-08-18,1997-08-14,1997-11-14,0.15549029612,0.640193108993,0.833926830453,0.375141163879,0.342440245897,0.844458539579,0.941843579109,0.61955140702,7,246,76,139,80,8,297,108,547,116,37,188,68,714,97,866,13725,3544,10462,4098
1997-11-14,1997-08-18,1998-02-27,0.292848088082,0.314547988522,0.348894086138,0.323986146978,0.515971436479,0.509690149046,0.643310198501,0.516983680114,246,76,139,80,215,297,108,547,116,803,188,68,714,97,964,13725,3544,10462,4098,17327
1998-02-27,1997-11-14,1998-03-03,0.616854061694,0.270686941413,0.621198608248,0.314899224893,0.83653791082,0.569502783897,0.846883722095,0.531810064557,76,139,80,215,342,108,547,116,803,382,68,714,97,964,241,3544,10462,4098,17327,18775
1998-03-03,1998-02-27,1998-05-15,0.270614648525,0.619469497756,0.31431451994,0.994719764451,0.569885301914,0.845743154324,0.531403297537,0.999027951818,139,80,215,342,343,547,116,803,382,382,714,97,964,241,257,10462,4098,17327,18775,18906
1998-05-15,1998-03-03,1998-08-14,0.688670646047,0.31384640698,0.730729948345,0.731693951162,0.897976957682,0.524134441032,0.889656349592,0.890293286937,80,215,342,343,113,116,803,382,382,157,97,964,241,257,100,4098,17327,18775,18906,5656
1998-08-14,1998-05-15,1998-11-16,0.296371450882,0.667628893343,0.667635400492,0.857567402582,0.514976806092,0.863750202315,0.863617593076,0.952153781785,215,342,343,113,97,803,382,382,157,122,964,241,257,100,100,17327,18775,18906,5656,4968
1998-11-16,1998-08-14,1999-03-31,0.639546499569,0.639537416018,0.806204363038,0.841945511219,0.853901909199,0.853936689463,0.944354841441,0.955996317782,342,343,113,97,111,382,382,157,122,153,241,257,100,100,96,18775,18906,5656,4968,5207
1999-03-31,1998-11-16,1999-05-17,0.45289429068,0.369545273572,0.359888707727,0.351508675297,0.668295170799,0.618265865795,0.610547090999,0.598903563146,343,113,97,111,571,382,157,122,153,1449,257,100,100,96,2460,18906,5656,4968,5207,49946
1999-05-17,1999-03-31,1999-08-16,0.583744694633,0.574667593995,0.590584929466,0.382971809249,0.819882422995,0.818866527263,0.827594633575,0.599744112893,113,97,111,571,112,157,122,153,1449,173,100,100,96,2460,97,5656,4968,5207,49946,5801
1999-08-16,1999-05-17,1999-11-15,0.313972468925,0.304791395992,0.295124697609,0.396392880157,0.556475197947,0.5575253994,0.557796736453,0.622580058363,97,111,571,112,387,122,153,1449,173,602,100,96,2460,97,775,4968,5207,49946,5801,15261
1999-11-15,1999-08-16,2000-03-30,0.592212678052,0.336047597802,0.789600913088,0.392284013481,0.826787322899,0.563722036117,0.935525851767,0.620717112745,111,571,112,387,109,153,1449,173,602,213,96,2460,97,775,105,5207,49946,5801,15261,6152
2000-03-30,1999-11-15,2000-05-15,0.372363872372,0.465600010617,0.46742859461,0.474291798087,0.530573607561,0.679661907973,0.681107601095,0.693147629188,571,112,387,109,362,1449,173,602,213,619,2460,97,775,105,592,49946,5801,15261,6152,20620
2000-05-15,2000-03-30,2000-08-14,0.68167460627,0.334789984807,0.6649044704,0.577959362711,0.825017032593,0.560772246895,0.825242715819,0.767071085381,112,387,109,362,120,173,602,213,619,183,97,775,105,592,108,5801,15261,6152,20620,5948
2000-08-14,2000-05-15,2000-11-03,0.306652078687,0.153474375759,0.286053441768,0.201424090923,0.525407216335,0.302578839433,0.468977234087,0.349643354101,387,109,362,120,310,602,213,619,183,684,775,105,592,108,1062,15261,6152,20620,5948,17755
2000-11-03,2000-08-14,2001-04-02,0.254614253008,0.290745747935,0.305725402345,0.18031085146,0.451477509257,0.538225609585,0.49032544128,0.357155231765,109,362,120,310,282,213,619,183,684,514,105,592,108,1062,711,6152,20620,5948,17755,14111
