filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-08-14,2007-08-10,2007-11-08,0.700494552807,0.663001207381,0.986200018734,0.743379882883,0.825116473811,0.775533081299,0.994519696291,0.834212860287,109,284,67,85,72,272,557,140,154,161,232,436,127,124,137,14350,30210,10099,12258,10585
2007-11-08,2007-08-14,2008-02-28,0.541512066758,0.706028943299,0.717230806332,0.6990794336,0.672476422461,0.815862444166,0.843883959072,0.812472051043,284,67,85,72,86,557,140,154,161,220,436,127,124,137,135,30210,10099,12258,10585,13445
2008-02-28,2007-11-08,2008-05-09,0.46584185216,0.394275811157,0.463338850265,0.409362250556,0.644820515375,0.55985958069,0.643067631936,0.575451214315,67,85,72,86,433,140,154,161,220,1098,127,124,137,135,1710,10099,12258,10585,13445,48137
2008-05-09,2008-02-28,2008-08-08,0.652520638633,0.819050542245,0.64285863716,0.469195051027,0.768393987392,0.912930887763,0.760761340868,0.639562982094,85,72,86,433,68,154,161,220,1098,125,124,137,135,1710,81,12258,10585,13445,48137,9603
2008-08-08,2008-05-09,2008-11-07,0.655790565057,0.652500754814,0.42144021308,0.758299296742,0.797449230728,0.799805909435,0.600522108718,0.849225127444,72,86,433,68,88,161,220,1098,125,143,137,135,1710,81,97,10585,13445,48137,9603,12473
2008-11-07,2008-08-08,2009-03-02,0.8598519525,0.423954836722,0.712359926628,0.702134864084,0.925962877086,0.608337531052,0.827073024653,0.836891985245,86,433,68,88,106,220,1098,125,143,246,135,1710,81,97,142,13445,48137,9603,12473,14680
2009-03-02,2008-11-07,2009-05-08,0.666529801962,0.631806126897,0.584696076045,0.596269186723,0.845900706262,0.75825534766,0.721050585127,0.734691454408,433,68,88,106,384,1098,125,143,246,1215,1710,81,97,142,1011,48137,9603,12473,14680,46089
2009-05-08,2009-03-02,2009-08-07,0.717104073522,0.591676561591,0.599983968524,0.623061696239,0.836431416726,0.733486869926,0.747702758495,0.770738172736,68,88,106,384,192,125,143,246,1215,393,81,97,142,1011,536,9603,12473,14680,46089,21407
2009-08-07,2009-05-08,2009-11-06,0.208666439282,0.163975411963,0.168622810745,0.182386550029,0.286468145979,0.250376404238,0.255306296354,0.26740722403,88,106,384,192,287,143,246,1215,393,5579,97,142,1011,536,598,12473,14680,46089,21407,44429
2009-11-06,2009-08-07,2010-03-10,0.198207117797,0.169708164768,0.165386426546,0.982798825135,0.273774613626,0.255211207812,0.250879846734,0.985988193911,106,384,192,287,273,246,1215,393,5579,5634,142,1011,536,598,304,14680,46089,21407,44429,43618
2010-03-10,2009-11-06,2010-05-10,0.219742348196,0.172742112521,0.906011855795,0.922076230251,0.300534713773,0.253956752158,0.946943762372,0.955587907375,384,192,287,273,924,1215,393,5579,5634,14394,1011,536,598,304,2130,46089,21407,44429,43618,127368
2010-05-10,2010-03-10,2010-08-06,0.142523361577,0.925292335398,0.938261889856,0.980917767454,0.208588227341,0.954154971296,0.961440481646,0.986049099026,192,287,273,924,289,393,5579,5634,14394,8185,536,598,304,2130,527,21407,44429,43618,127368,55652
2010-08-06,2010-05-10,2010-11-08,0.887033795635,0.903484954181,0.962602868287,0.973575255535,0.922876325857,0.930853287827,0.960089607718,0.975439341666,287,273,924,289,568,5579,5634,14394,8185,57481,598,304,2130,527,1147,44429,43618,127368,55652,168536
2010-11-08,2010-08-06,2011-02-28,0.901566576898,0.966783481721,0.979301618537,0.989998501245,0.933900413368,0.967385994315,0.982277189173,0.994908317439,273,924,289,568,644,5634,14394,8185,57481,41937,304,2130,527,1147,1215,43618,127368,55652,168536,161586
2011-02-28,2010-11-08,2011-05-09,0.261478471901,0.26899685646,0.107854154926,0.164498826046,0.311529423207,0.282061084502,0.108924334642,0.163814534031,924,289,568,644,1461,14394,8185,57481,41937,3302,2130,527,1147,1215,3100,127368,55652,168536,161586,209186
