filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-15,1995-05-12,0.688522102454,0.41116767622,0.287390053991,0.327021054433,0.907657336545,0.676982904385,0.475771755706,0.542679420794,273,20,205,161,213,563,51,584,264,447,514,38,965,390,314,20231,1887,15172,7024,15155
1995-05-12,1995-03-29,1995-05-16,0.0995515771814,0.0632016248796,0.070076247519,0.237125076832,0.206930690153,0.152612589061,0.163681586145,0.323385174651,20,205,161,213,3,51,584,264,447,3,38,965,390,314,14,1887,15172,7024,15155,623
1995-05-16,1995-05-12,1995-08-15,0.118220398526,0.218298316362,0.39594956972,0.111277198278,0.27337476164,0.411285098201,0.686823586611,0.225267057371,205,161,213,3,29,584,264,447,3,27,965,390,314,14,16,15172,7024,15155,623,1831
1995-08-15,1995-05-16,1995-08-16,0.208506128391,0.389277779206,0.0983338696891,0.605762969638,0.422690421962,0.698320020463,0.212733330929,0.845084022394,161,213,3,29,26,264,447,3,27,31,390,314,14,16,22,7024,15155,623,1831,2361
1995-08-16,1995-08-15,1995-11-15,0.112588874264,0.166365583954,0.119159743078,0.283788771317,0.273813374607,0.381147393419,0.305995649016,0.407871197294,213,3,29,26,0,447,3,27,31,0,314,14,16,22,9,15155,623,1831,2361,302
1995-11-15,1995-08-16,1996-04-01,0.0989321509084,0.477112918509,0.596821944523,0.114031925656,0.206594178208,0.782566207041,0.829769577239,0.300230537065,3,29,26,0,17,3,27,31,0,72,14,16,22,9,27,623,1831,2361,302,2755
1996-04-01,1995-11-15,1996-05-01,0.395955418025,0.407331932593,0.127229720748,0.500760502605,0.70534266741,0.724553220971,0.287270519932,0.795259717572,29,26,0,17,162,27,31,0,72,420,16,22,9,27,251,1831,2361,302,2755,14768
1996-05-01,1996-04-01,1996-05-15,0.118627656949,0.137460486444,0.111844785159,0.242066743908,0.280533690845,0.373376523671,0.253965924179,0.370361953474,26,0,17,162,75,31,0,72,420,171,22,9,27,251,300,2361,302,2755,14768,4652
1996-05-15,1996-05-01,1996-08-14,0.104469365716,0.252497501946,0.288502122856,0.456078149989,0.285464197958,0.503752673304,0.520746054224,0.635087880937,0,17,162,75,69,0,72,420,171,184,9,27,251,300,204,302,2755,14768,4652,3656
1996-08-14,1996-05-15,1996-11-13,0.424750950624,0.411898312848,0.101875430238,0.269138358757,0.774964081069,0.719450261596,0.232712645201,0.502385135997,17,162,75,69,19,72,420,171,184,65,27,251,300,204,36,2755,14768,4652,3656,2693
1996-11-13,1996-08-14,1997-03-31,0.351893939527,0.134897882469,0.22972139893,0.486195834453,0.742166602544,0.326670831148,0.53314239959,0.776931342738,162,75,69,19,47,420,171,184,65,134,251,300,204,36,126,14768,4652,3656,2693,4887
1997-03-31,1996-11-13,1997-05-14,0.286999441146,0.310583477199,0.370023921586,0.336624897915,0.440573918271,0.549405183899,0.685935796192,0.725905207179,75,69,19,47,175,171,184,65,134,504,300,204,36,126,514,4652,3656,2693,4887,18224
1997-05-14,1997-03-31,1997-08-13,0.267057106982,0.130046863418,0.173586528647,0.216109449193,0.400626869621,0.26139718755,0.37769377259,0.331400113425,69,19,47,175,100,184,65,134,504,395,204,36,126,514,1007,3656,2693,4887,18224,17422
1997-08-13,1997-05-14,1997-11-10,0.498328394584,0.338378316009,0.43586347121,0.174516131007,0.825453642863,0.734670445977,0.74482856025,0.287913649075,19,47,175,100,36,65,134,504,395,80,36,126,514,1007,42,2693,4887,18224,17422,3229
1997-11-10,1997-08-13,1998-03-31,0.352825619421,0.424911532238,0.167190973165,0.794915052678,0.753655467535,0.745829834693,0.284333486102,0.933585480912,47,175,100,36,39,134,504,395,80,82,126,514,1007,42,40,4887,18224,17422,3229,3442
1998-03-31,1997-11-10,1998-04-09,0.746789218796,0.175958240503,0.517316729543,0.516547430907,0.929476768495,0.301144980216,0.801357515484,0.808070142956,175,100,36,39,151,504,395,80,82,389,514,1007,42,40,276,18224,17422,3229,3442,15400
1998-04-09,1998-03-31,1998-05-13,0.0982078159153,0.108026564216,0.113588598067,0.318947038727,0.199454690325,0.218389416469,0.225062891242,0.379890118201,100,36,39,151,6,395,80,82,389,7,1007,42,40,276,35,17422,3229,3442,15400,1104
1998-05-13,1998-04-09,1998-08-12,0.088949504438,0.0878521824813,0.117715954617,0.0436229502543,0.264707569503,0.264163378388,0.306609430621,0.141297131283,36,39,151,6,291,80,82,389,7,1254,42,40,276,35,1611,3229,3442,15400,1104,27017
1998-08-12,1998-05-13,1998-11-05,0.480355032122,0.484940802165,0.10509856036,0.110065688165,0.815852233987,0.784063067908,0.228127554653,0.295961175045,39,151,6,291,52,82,389,7,1254,60,40,276,35,1611,46,3442,15400,1104,27017,3602
1998-11-05,1998-08-12,1999-03-29,0.463915014502,0.112824682043,0.144286278324,0.52301570033,0.733824399785,0.230867662288,0.331130436945,0.767781078498,151,6,291,52,62,389,7,1254,60,150,276,35,1611,46,185,15400,1104,27017,3602,6664
1999-03-29,1998-11-05,1999-05-14,0.307267912671,0.147996884408,0.457184829491,0.626263520778,0.386152018069,0.345864502124,0.754929680109,0.83247145851,6,291,52,62,228,7,1254,60,150,520,35,1611,46,185,428,1104,27017,3602,6664,21404
1999-05-14,1999-03-29,1999-08-18,0.0960512618835,0.460444285202,0.540949143023,0.577065951379,0.27718674418,0.769863784369,0.803822007924,0.808742188964,291,52,62,228,50,1254,60,150,520,156,1611,46,185,428,97,27017,3602,6664,21404,5356
1999-08-18,1999-05-14,1999-11-17,0.486822037174,0.534713286804,0.578107831864,0.838863037315,0.80289040617,0.810762364757,0.819381754076,0.950626136524,52,62,228,50,52,60,150,520,156,164,46,185,428,97,84,3602,6664,21404,5356,5644
1999-11-17,1999-08-18,2000-03-30,0.537063679283,0.580423138149,0.727018028005,0.730730311572,0.804793377221,0.812332618796,0.922363706354,0.923057253017,62,228,50,52,61,150,520,156,164,196,185,428,97,84,107,6664,21404,5356,5644,6176
2000-03-30,1999-11-17,2000-05-17,0.786494838116,0.568274431419,0.579588606497,0.611160665453,0.92932136973,0.815061548739,0.827767499969,0.831711998805,228,50,52,61,175,520,156,164,196,544,428,97,84,107,443,21404,5356,5644,6176,18969
2000-05-17,2000-03-30,2000-08-16,0.62959225785,0.601242752542,0.590874844798,0.544927560629,0.876818406316,0.84733070229,0.84348445562,0.789321429909,50,52,61,175,45,156,164,196,544,128,97,84,107,443,69,5356,5644,6176,18969,4482
2000-08-16,2000-05-17,2000-11-15,0.591238143676,0.552635979719,0.548008424983,0.700211139373,0.866464866713,0.840825052437,0.802401908305,0.884603905128,52,61,175,45,56,164,196,544,128,184,84,107,443,69,142,5644,6176,18969,4482,5616
2000-11-15,2000-08-16,2001-03-30,0.580240914994,0.515287703158,0.679921153739,0.750624090333,0.861066250083,0.765929234782,0.877051132317,0.900655905428,61,175,45,56,49,196,544,128,184,141,107,443,69,142,86,6176,18969,4482,5616,5012
2001-03-30,2000-11-15,2001-05-16,0.734089956607,0.480183327921,0.520550850451,0.500236545327,0.906254436772,0.737073781417,0.757353980797,0.73170076161,175,45,56,49,184,544,128,184,141,452,443,69,142,86,517,18969,4482,5616,5012,19365
2001-05-16,2001-03-30,2001-08-15,0.503303601882,0.447184134683,0.486022704953,0.561127835087,0.733275778733,0.682729886076,0.705504229666,0.744611532583,45,56,49,184,82,128,184,141,452,198,69,142,86,517,155,4482,5616,5012,19365,6580
2001-08-15,2001-05-16,2001-11-14,0.694419829774,0.658577941961,0.487221719628,0.540191107048,0.911081655701,0.880320557866,0.726701872405,0.736791584771,56,49,184,82,64,184,141,452,198,141,142,86,517,155,67,5616,5012,19365,6580,5216
2001-11-14,2001-08-15,2002-03-28,0.683593493578,0.497143677394,0.532953811651,0.798112129858,0.90048065977,0.735139074547,0.743212987728,0.932702265177,49,184,82,64,58,141,452,198,141,151,86,517,155,67,94,5012,19365,6580,5216,5225
2002-03-28,2001-11-14,2002-05-15,0.756552576582,0.44828765793,0.607993826033,0.627664971967,0.916195647767,0.680646318914,0.807427799228,0.82117631057,184,82,64,58,179,452,198,141,151,428,517,155,67,94,383,19365,6580,5216,5225,16113
2002-05-15,2002-03-28,2002-08-14,0.487957892013,0.594533492772,0.624367938423,0.574389804292,0.719857868875,0.802345740111,0.818068347418,0.768496652508,82,64,58,179,61,198,141,151,428,137,155,67,94,383,170,6580,5216,5225,16113,6085
2002-08-14,2002-05-15,2002-11-14,0.708614617238,0.700526172261,0.633742274955,0.665078901252,0.916669309785,0.906189189567,0.823001365393,0.821505062231,64,58,179,61,52,141,151,428,137,159,67,94,383,170,71,5216,5225,16113,6085,5436
2002-11-14,2002-08-14,2002-11-19,0.279927160802,0.28163563153,0.320505286951,0.311780802056,0.579604310159,0.573167467925,0.581238446701,0.582521557161,58,179,61,52,122,151,428,137,159,765,94,383,170,71,1051,5225,16113,6085,5436,16676
2002-11-19,2002-11-14,2003-03-27,0.281826417135,0.320366054996,0.311715914646,0.99973572714,0.573489521933,0.581103964341,0.582386116122,0.999909987389,179,61,52,122,122,428,137,159,765,766,383,170,71,1051,1052,16113,6085,5436,16676,16704
2003-03-27,2002-11-19,2003-05-13,0.517734203596,0.577878440986,0.310630475969,0.310858519599,0.731550476422,0.785195395887,0.592600437079,0.592951596516,61,52,122,122,236,137,159,765,766,596,170,71,1051,1052,559,6085,5436,16676,16704,23413
2003-05-13,2003-03-27,2003-08-12,0.544298140653,0.283497858762,0.283554973166,0.594385378905,0.794784655667,0.582611925489,0.582829853169,0.804638375041,52,122,122,236,69,159,765,766,596,213,71,1051,1052,559,153,5436,16676,16704,23413,7862
2003-08-12,2003-05-13,2003-11-10,0.264183779332,0.264218420862,0.595929773738,0.684487004375,0.565296844371,0.565387187915,0.811584340568,0.856877886971,122,122,236,69,59,765,766,596,213,170,1051,1052,559,153,117,16676,16704,23413,7862,7836
2003-11-10,2003-08-12,2004-03-12,0.28058256371,0.600077188288,0.657828715609,0.816513881978,0.580353292252,0.818349122094,0.853293605932,0.934670873094,122,236,69,59,63,766,596,213,170,184,1052,559,153,117,125,16704,23413,7862,7836,8218
2004-03-12,2003-11-10,2004-05-12,0.725421707137,0.559985602991,0.557644145222,0.569787801957,0.912898051683,0.790306284543,0.787304515792,0.790969491569,236,69,59,63,345,596,213,170,184,639,559,153,117,125,1066,23413,7862,7836,8218,30231
2004-05-12,2004-03-12,2004-08-11,0.511758955638,0.568354713929,0.57854377351,0.716482928996,0.770509632578,0.804471405338,0.808734053111,0.864975114298,69,59,63,345,102,213,170,184,639,196,153,117,125,1066,378,7862,7836,8218,30231,10055
2004-08-11,2004-05-12,2004-11-10,0.606322342385,0.591877125802,0.578662963843,0.566044520023,0.830848477927,0.815966519023,0.798288262918,0.782155503429,59,63,345,102,112,170,184,639,196,251,117,125,1066,378,227,7836,8218,30231,10055,10623
2004-11-10,2004-08-11,2005-02-23,0.711059843845,0.557051747384,0.607019240524,0.66805105154,0.916147199374,0.791905752614,0.822843373523,0.848460375756,63,345,102,112,87,184,639,196,251,172,125,1066,378,227,151,8218,30231,10055,10623,8592
2005-02-23,2004-11-10,2005-05-13,0.606316684405,0.439218556421,0.483873360401,0.490075954628,0.783711597872,0.64421174777,0.711034896199,0.675405379369,345,102,112,87,327,639,196,251,172,591,1066,378,227,151,1163,30231,10055,10623,8592,32913
2005-05-13,2005-02-23,2005-08-09,0.604655857237,0.608457911662,0.737053105389,0.496490684416,0.829513231546,0.826751664115,0.908506167311,0.684129060875,102,112,87,327,78,196,251,172,591,153,378,227,151,1163,136,10055,10623,8592,32913,8632
2005-08-09,2005-05-13,2005-11-09,0.342865257846,0.302171342492,0.716445712872,0.336147274592,0.588911770143,0.509783142819,0.844937229368,0.533737746373,112,87,327,78,262,251,172,591,153,415,227,151,1163,136,1408,10623,8592,32913,8632,26001
2005-11-09,2005-08-09,2006-02-22,0.74991308083,0.459558306961,0.7588448415,0.315928510034,0.934951643758,0.657779814639,0.921105579922,0.512167817205,87,327,78,262,93,172,591,153,415,189,151,1163,136,1408,143,8592,32913,8632,26001,9744
2006-02-22,2005-11-09,2006-05-10,0.642213134578,0.649660741564,0.370257984564,0.662112574258,0.794923721073,0.842765359991,0.578149717186,0.844109035481,327,78,262,93,392,591,153,415,189,739,1163,136,1408,143,619,32913,8632,26001,9744,30139
