filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-08-13,1996-07-01,1996-11-14,0.589904044963,0.405032360153,0.186602921205,0.14275676135,0.797016562092,0.71374205616,0.453582245678,0.321192104167,19,204,34,10,37,43,118,28,9,59,37,83,50,79,90,2239,11834,3496,1500,3357
1996-11-14,1996-08-13,1997-03-21,0.279475776111,0.135969847096,0.280024300993,0.391997086585,0.586132023318,0.387909946976,0.458619975797,0.692390907996,204,34,10,37,54,118,28,9,59,97,83,50,79,90,184,11834,3496,1500,3357,4963
1997-03-21,1996-11-14,1997-05-12,0.305806555798,0.383650781962,0.473215774649,0.386068224181,0.558982059677,0.484832743568,0.758771275728,0.659094584713,34,10,37,54,166,28,9,59,97,149,50,79,90,184,162,3496,1500,3357,4963,11358
1997-05-12,1997-03-21,1997-06-26,0.112658887116,0.266788351688,0.209668685694,0.296371668404,0.237715855821,0.427538208743,0.380353735629,0.449873558386,10,37,54,166,65,9,59,97,149,144,79,90,184,162,339,1500,3357,4963,11358,7682
1997-06-26,1997-05-12,1997-08-11,0.212930693926,0.157579113783,0.360645741431,0.153150144388,0.489943913143,0.417806559804,0.607832760932,0.310808579167,37,54,166,65,28,59,97,149,144,32,90,184,162,339,46,3357,4963,11358,7682,3381
1997-08-11,1997-06-26,1997-11-12,0.358659591579,0.507363194293,0.349858019186,0.236198842624,0.641290403629,0.757194720679,0.437875288677,0.51652912192,54,166,65,28,31,97,149,144,32,31,184,162,339,46,57,4963,11358,7682,3381,2713
1997-11-12,1997-08-11,1998-03-20,0.344789410317,0.34621854707,0.171723625191,0.403649869873,0.606786254203,0.487883232138,0.384663362135,0.590548564061,166,65,28,31,141,149,144,32,31,175,162,339,46,57,331,11358,7682,3381,2713,6324
1998-03-20,1997-11-12,1998-05-15,0.350963044487,0.3396479177,0.445434512901,0.412725982316,0.525528471006,0.591655324205,0.724034242585,0.672846771821,65,28,31,141,208,144,32,31,175,295,339,46,57,331,381,7682,3381,2713,6324,14248
1998-05-15,1998-03-20,1998-06-26,0.237787873979,0.535247930252,0.345859373911,0.470537754303,0.562636548172,0.814497473549,0.57237352255,0.72004288589,28,31,141,208,28,32,31,175,295,50,46,57,331,381,82,3381,2713,6324,14248,2780
1998-06-26,1998-05-15,1998-08-14,0.241313288978,0.180438324416,0.357592612247,0.244570888054,0.512006321886,0.386855419522,0.59827368466,0.560300717404,31,141,208,28,33,31,175,295,50,33,57,331,381,82,58,2713,6324,14248,2780,3420
