filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-01-31,1994-11-03,1995-05-26,0.275484264002,0.259898044642,0.654316497818,0.761065085433,0.477335414454,0.5203092508,0.851054137196,0.885206310941,49,154,11,12,13,135,196,16,6,6,333,485,9,8,7,5737,10792,1593,1620,1567
1995-05-26,1995-01-31,1995-08-09,0.607764262128,0.401849917301,0.405809184163,0.409385596914,0.827844444445,0.63783612809,0.632994269319,0.630671471066,154,11,12,13,88,196,16,6,6,75,485,9,8,7,114,10792,1593,1620,1567,7830
1995-08-09,1995-05-26,1995-11-02,0.118701074931,0.111153662129,0.113928898168,0.132600198967,0.258774954344,0.23931904704,0.239870183439,0.279598633964,11,12,13,88,126,16,6,6,75,381,9,8,7,114,1074,1593,1620,1567,7830,15772
1995-11-02,1995-08-09,1996-02-02,0.729037936938,0.586870490216,0.402352054438,0.111923209664,0.918181516924,0.817614373421,0.654711238513,0.243875810481,12,13,88,126,16,6,6,75,381,17,8,7,114,1074,9,1620,1567,7830,15772,1968
1996-02-02,1995-11-02,1996-05-24,0.718108198446,0.418890046119,0.112868942336,0.749141322766,0.925383627808,0.667579821699,0.244101783838,0.879901600324,13,88,126,16,15,6,75,381,17,8,7,114,1074,9,7,1567,7830,15772,1968,1869
1996-05-24,1996-02-02,1996-08-01,0.372783585406,0.150564130542,0.180162082221,0.189437294425,0.71687454548,0.399632186066,0.442916041895,0.454230741289,88,126,16,15,223,75,381,17,8,393,114,1074,9,7,871,7830,15772,1968,1869,23640
1996-08-01,1996-05-24,1996-11-01,0.958395459148,0.0812023127793,0.0849259926261,0.143970919555,0.963475392357,0.198678959903,0.201824384524,0.383880953631,126,16,15,223,238,381,17,8,393,802,1074,9,7,871,2265,15772,1968,1869,23640,28956
1996-11-01,1996-08-01,1997-02-05,0.23667153059,0.206377254986,0.138188502531,0.139643126323,0.428813274526,0.401213141762,0.343007926117,0.311139678319,16,15,223,238,63,17,8,393,802,142,9,7,871,2265,544,1968,1869,23640,28956,7724
1997-02-05,1996-11-01,1997-05-28,0.69292357904,0.183583973097,0.0802362971476,0.230045566922,0.926049842927,0.452048895364,0.188598379641,0.411460983397,15,223,238,63,22,8,393,802,142,18,7,871,2265,544,9,1869,23640,28956,7724,1981
1997-05-28,1997-02-05,1997-07-31,0.363336539593,0.101504377298,0.197728692107,0.45423613827,0.685021679018,0.221215475309,0.370117268664,0.684968208599,223,238,63,22,109,393,802,142,18,98,871,2265,544,9,91,23640,28956,7724,1981,8807
1997-07-31,1997-05-28,1997-11-06,0.976756959877,0.13462169597,0.0723516448498,0.0915999827079,0.989391291273,0.304516760179,0.17468788327,0.200624201958,238,63,22,109,234,802,142,18,98,815,2265,544,9,91,2293,28956,7724,1981,8807,29521
1997-11-06,1997-07-31,1998-02-05,0.308565489734,0.347688877841,0.329778368834,0.153539360042,0.609086049655,0.579255092737,0.566912413318,0.334004536848,63,22,109,234,44,142,18,98,815,58,544,9,91,2293,219,7724,1981,8807,29521,4371
1998-02-05,1997-11-06,1998-05-22,0.653943729023,0.38869012093,0.0701703121328,0.345535844496,0.889785793258,0.620512682761,0.173855272521,0.547353494091,22,109,234,44,24,18,98,815,58,25,9,91,2293,219,8,1981,8807,29521,4371,2120
1998-05-22,1998-02-05,1998-08-06,0.375273227728,0.173612599406,0.258041589095,0.18633692934,0.574242496914,0.36631757004,0.505859316094,0.358709981608,109,234,44,24,257,98,815,58,25,669,91,2293,219,8,1243,8807,29521,4371,2120,26225
1998-08-06,1998-05-22,1998-11-09,0.0692093143501,0.284336384343,0.615906863764,0.181383700775,0.185872514539,0.556854189853,0.829590181316,0.386251241432,234,44,24,257,22,815,58,25,669,36,2293,219,8,1243,16,29521,4371,2120,26225,1910
1998-11-09,1998-08-06,1999-02-04,0.303996250422,0.517956904145,0.189485446709,0.621156784288,0.568144191384,0.771435711352,0.40301474619,0.826432108337,44,24,257,22,31,58,25,669,36,62,219,8,1243,16,34,4371,2120,26225,1910,3092
1999-02-04,1998-11-09,1999-05-28,0.236812919767,0.230987266063,0.254423495844,0.329693318455,0.406013827389,0.415461516862,0.422012499206,0.459489685875,24,257,22,31,76,25,669,36,62,187,8,1243,16,34,615,2120,26225,1910,3092,9328
1999-05-28,1999-02-04,1999-08-06,0.38469472795,0.393891116879,0.447376539563,0.229767654068,0.588448898191,0.64619907722,0.695520769141,0.384873791753,257,22,31,76,127,669,36,62,187,145,1243,16,34,615,131,26225,1910,3092,9328,10649
1999-08-06,1999-05-28,1999-11-03,0.309252694821,0.314907984368,0.181058453726,0.426669203527,0.654841587411,0.646619091316,0.39604338573,0.757787442222,22,31,76,127,54,36,62,187,145,67,16,34,615,131,109,1910,3092,9328,10649,4567
1999-11-03,1999-08-06,2000-02-11,0.575922881407,0.217181999679,0.563904191744,0.522973435757,0.844474180689,0.372526356724,0.78660521846,0.790473232523,31,76,127,54,35,62,187,145,67,76,34,615,131,109,46,3092,9328,10649,4567,4054
2000-02-11,1999-11-03,2000-06-09,0.220482979163,0.542888609018,0.481300626241,0.786294600885,0.378975260785,0.781789674283,0.767291635878,0.918909791635,76,127,54,35,35,187,145,67,76,65,615,131,109,46,49,9328,10649,4567,4054,4104
