filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-01-06,1994-10-12,1995-04-10,0.708221714241,0.225539428982,0.307146716178,0.750643418731,0.909307580688,0.366402283873,0.561660370158,0.923113449181,15,122,509,16,13,22,233,383,19,26,14,428,658,14,14,2012,6856,24748,1830,1949
1995-04-10,1995-01-06,1995-08-24,0.23343597797,0.310529528437,0.706913513536,0.773209690764,0.383021102464,0.578803968242,0.910809771566,0.916181889842,122,509,16,13,14,233,383,19,26,28,428,658,14,14,15,6856,24748,1830,1949,2024
1995-08-24,1995-04-10,1995-10-10,0.536714050241,0.240928669896,0.245180889181,0.260546437396,0.748870401222,0.485222605106,0.482862875901,0.523846602879,509,16,13,14,470,383,19,26,28,416,658,14,14,15,1214,24748,1830,1949,2024,30450
1995-10-10,1995-08-24,1996-01-10,0.378015338817,0.362337658704,0.380764959023,0.410809387202,0.597255382641,0.575258372423,0.616663788532,0.660572278679,16,13,14,470,34,19,26,28,416,62,14,14,15,1214,113,1830,1949,2024,30450,3472
1996-01-10,1995-10-10,1996-04-04,0.471355039014,0.464193632644,0.250270800855,0.408524838182,0.734768923828,0.754042409329,0.485489100649,0.634419037118,13,14,470,34,13,26,28,416,62,24,14,15,1214,113,25,1949,2024,30450,3472,2305
1996-04-04,1996-01-10,1996-08-26,0.561396133239,0.270531352458,0.442694070629,0.770606580282,0.849892000162,0.511311930393,0.661018830324,0.916710850624,14,470,34,13,14,28,416,62,24,24,15,1214,113,25,23,2024,30450,3472,2305,2131
1996-08-26,1996-04-04,1996-10-09,0.485260954514,0.346683743628,0.410077513182,0.348976190262,0.727501718823,0.637351697604,0.663580268322,0.590662633366,470,34,13,14,491,416,62,24,24,626,1214,113,25,23,2034,30450,3472,2305,2131,40382
1996-10-09,1996-08-26,1997-01-08,0.278985040696,0.291142434058,0.342263298146,0.211334754782,0.564905864837,0.602764241859,0.683271161585,0.476367444872,34,13,14,491,11,62,24,24,626,31,113,25,23,2034,79,3472,2305,2131,40382,2652
1997-01-08,1996-10-09,1997-04-08,0.469931382948,0.486176759655,0.200485177771,0.424275528106,0.708151395803,0.757125967112,0.402293052414,0.708979880263,13,14,491,11,8,24,24,626,31,13,25,23,2034,79,8,2305,2131,40382,2652,1862
1997-04-08,1997-01-08,1997-08-22,0.297272019592,0.302448028598,0.286001497688,0.363303592994,0.513329524387,0.524145529632,0.560803097173,0.532364307612,14,491,11,8,87,24,626,31,13,140,23,2034,79,8,274,2131,40382,2652,1862,4924
1997-08-22,1997-04-08,1997-10-08,0.44757354868,0.28720005839,0.298096980073,0.399086506504,0.670134034531,0.606800054182,0.543627139025,0.650502517347,491,11,8,87,425,626,31,13,140,407,2034,79,8,274,904,40382,2652,1862,4924,26496
