filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-08,1994-11-08,1995-05-11,0.290161468156,0.183760605641,0.281935799241,0.794013791964,0.516512399523,0.341525730804,0.503017364615,0.915242951472,152,228,410,13,11,290,776,759,35,41,472,1817,1895,41,48,11304,23889,33295,1702,1827
1995-05-11,1995-02-08,1995-09-21,0.185229334496,0.293428157576,0.732680126291,0.756164944672,0.338260917086,0.511577644515,0.887608537055,0.889489012518,228,410,13,11,10,776,759,35,41,54,1817,1895,41,48,51,23889,33295,1702,1827,1957
1995-09-21,1995-05-11,1995-11-06,0.524495533111,0.470067517552,0.443964315354,0.480415708743,0.709739870304,0.727757166528,0.704174178746,0.732962897651,410,13,11,10,88,759,35,41,54,166,1895,41,48,51,133,33295,1702,1827,1957,10380
1995-11-06,1995-09-21,1996-02-12,0.607417738655,0.51038553967,0.515876207138,0.44798406108,0.87876038039,0.808485854073,0.810990583168,0.72734565447,13,11,10,88,9,35,41,54,166,14,41,48,51,133,19,1702,1827,1957,10380,1440
1996-02-12,1995-11-06,1996-05-03,0.369024622393,0.341397351856,0.360256750346,0.326362238746,0.607000426521,0.572603553205,0.588216728862,0.574555922074,11,10,88,9,25,41,54,166,14,111,48,51,133,19,335,1827,1957,10380,1440,5704
1996-05-03,1996-02-12,1996-08-26,0.535445402112,0.427360383888,0.480481132327,0.438880752196,0.839841615714,0.727580474671,0.797939258368,0.60728671833,10,88,9,25,17,54,166,14,111,62,51,133,19,335,68,1957,10380,1440,5704,2311
1996-08-26,1996-05-03,1996-11-06,0.241171530097,0.138230472502,0.192131211675,0.174168673383,0.438583506896,0.328703186264,0.405189635438,0.369811276925,88,9,25,17,416,166,14,111,62,1484,133,19,335,68,2859,10380,1440,5704,2311,45591
1996-11-06,1996-08-26,1997-02-06,0.219374731307,0.227154241255,0.203085480576,0.282770326139,0.411208346259,0.413078758668,0.390187665918,0.575254172455,9,25,17,416,169,14,111,62,1484,306,19,335,68,2859,563,1440,5704,2311,45591,10725
1997-02-06,1996-11-06,1997-05-09,0.897787217898,0.308721973944,0.154054224387,0.184904882377,0.966322464214,0.549147434685,0.332860150163,0.335711130566,25,17,416,169,17,111,62,1484,306,91,335,68,2859,563,265,5704,2311,45591,10725,4841
1997-05-09,1997-02-06,1997-09-29,0.368992471104,0.233027022357,0.311335691533,0.295052154454,0.638109783976,0.501108624569,0.564180056767,0.489079129688,17,416,169,17,46,62,1484,306,91,128,68,2859,563,265,241,2311,45591,10725,4841,5028
1997-09-29,1997-05-09,1997-11-14,0.666751995443,0.217479162187,0.139584100992,0.216570660604,0.872712159702,0.494625820612,0.312867244105,0.481000638002,416,169,17,46,517,1484,306,91,128,1500,2859,563,265,241,3023,45591,10725,4841,5028,50681
1997-11-14,1997-09-29,1998-01-07,0.261935993783,0.225250633083,0.32643641456,0.167845840614,0.531282938513,0.434133134033,0.637433707015,0.42968840565,169,17,46,517,48,306,91,128,1500,114,563,265,241,3023,108,10725,4841,5028,50681,3791
1998-01-07,1997-11-14,1998-02-11,0.337907653676,0.496307927199,0.29551105493,0.388723725491,0.557978845194,0.748938114771,0.559597138782,0.687570874714,17,46,517,48,112,91,128,1500,114,356,265,241,3023,108,676,4841,5028,50681,3791,14767
1998-02-11,1998-01-07,1998-05-13,0.29924554397,0.14015492481,0.491300910267,0.388147861462,0.55575169773,0.341658382541,0.708244713746,0.630665498212,46,517,48,112,28,128,1500,114,356,62,241,3023,108,676,96,5028,50681,3791,14767,3047
1998-05-13,1998-02-11,1998-09-01,0.197058869337,0.320976006599,0.415100345661,0.401789678059,0.444360715414,0.585104637651,0.682881225245,0.593263649862,517,48,112,28,80,1500,114,356,62,246,3023,108,676,96,504,50681,3791,14767,3047,8190
1998-09-01,1998-05-13,1998-11-13,0.228602946256,0.367867590456,0.191803463019,0.307414422778,0.509721837985,0.61091591815,0.398028341121,0.54472069334,48,112,28,80,410,114,356,62,246,1202,108,676,96,504,2624,3791,14767,3047,8190,46071
1998-11-13,1998-09-01,1999-02-11,0.403326239792,0.514323309769,0.369773887585,0.257621102913,0.666058622303,0.788606579472,0.599223514072,0.488207419633,112,28,80,410,39,356,62,246,1202,106,676,96,504,2624,109,14767,3047,8190,46071,3676
1999-02-11,1998-11-13,1999-05-14,0.344820921301,0.369275715986,0.293298106197,0.45923660423,0.555629162206,0.625015838696,0.533971801066,0.606932140651,28,80,410,39,89,62,246,1202,106,264,96,504,2624,109,442,3047,8190,46071,3676,9374
1999-05-14,1999-02-11,1999-09-02,0.287940751219,0.312485827772,0.328699151147,0.338724485581,0.518181594827,0.595567284013,0.538738029372,0.553973553414,80,410,39,89,228,246,1202,106,264,742,504,2624,109,442,1311,8190,46071,3676,9374,22226
1999-09-02,1999-05-14,1999-11-12,0.370514696016,0.270517043314,0.401004102795,0.806987613201,0.662120868564,0.481131084681,0.611487995116,0.903582584558,410,39,89,228,981,1202,106,264,742,2697,2624,109,442,1311,5681,46071,3676,9374,22226,91598
1999-11-12,1999-09-02,2000-02-11,0.578380447642,0.346320827948,0.271982609548,0.277101485825,0.841992970061,0.525769788897,0.467492930897,0.43254160116,39,89,228,981,27,106,264,742,2697,105,109,442,1311,5681,83,3676,9374,22226,91598,3644
2000-02-11,1999-11-12,2000-05-12,0.419473938017,0.333724703408,0.356716857845,0.684102522413,0.628733023107,0.57695088411,0.562340548146,0.825431974367,89,228,981,27,68,264,742,2697,105,196,442,1311,5681,83,244,9374,22226,91598,3644,5977
2000-05-12,2000-02-11,2000-09-06,0.913035602173,0.769910616617,0.299962455617,0.343869624036,0.950353348819,0.864231053771,0.473153094869,0.551534764602,228,981,27,68,160,742,2697,105,196,531,1311,5681,83,244,982,22226,91598,3644,5977,16644
2000-09-06,2000-05-12,2000-11-13,0.463813378577,0.322071630402,0.463010468236,0.304211075552,0.720127176612,0.532315666595,0.708558941495,0.541232951225,981,27,68,160,383,2697,105,196,531,1188,5681,83,244,982,1761,91598,3644,5977,16644,37369
2000-11-13,2000-09-06,2001-02-14,0.640685138132,0.521701419018,0.269480500047,0.325631867104,0.872287105716,0.731048882969,0.438490523583,0.494568142204,27,68,160,383,28,105,196,531,1188,76,83,244,982,1761,55,3644,5977,16644,37369,3350
2001-02-14,2000-11-13,2001-05-10,0.527288763423,0.271527769915,0.623567863879,0.594564745601,0.828191292977,0.523512264113,0.775041046026,0.762848256872,68,160,383,28,58,196,531,1188,76,180,244,982,1761,55,208,5977,16644,37369,3350,6556
2001-05-10,2001-02-14,2001-08-24,0.956377233248,0.33232842386,0.304851064812,0.313075289242,0.98156461621,0.579282958054,0.467859415942,0.563787351707,160,383,28,58,185,531,1188,76,180,554,982,1761,55,208,1038,16644,37369,3350,6556,18112
2001-08-24,2001-05-10,2001-11-14,0.534451712559,0.550207718302,0.485146784101,0.329850210562,0.698683880858,0.731696470925,0.738772528761,0.519582562649,383,28,58,185,140,1188,76,180,554,269,1761,55,208,1038,326,37369,3350,6556,18112,18033
2001-11-14,2001-08-24,2002-02-13,0.484985441225,0.375497230953,0.300619207677,0.426867383913,0.655120094059,0.627570857142,0.538905023182,0.627732933462,28,58,185,140,62,76,180,554,269,193,55,208,1038,326,327,3350,6556,18112,18033,6789
2002-02-13,2001-11-14,2002-05-08,0.422313455762,0.310614698048,0.368615112549,0.344733825103,0.638286502578,0.530412597557,0.51181992137,0.51375608368,58,185,140,62,252,180,554,269,193,820,208,1038,326,327,1362,6556,18112,18033,6789,22386
2002-05-08,2002-02-13,2002-09-30,0.957174718404,0.29955888029,0.318968858362,0.299956841198,0.9826450706,0.489953980487,0.537822186919,0.506047230525,185,140,62,252,177,554,269,193,820,530,1038,326,327,1362,962,18112,18033,6789,22386,16970
2002-09-30,2002-05-08,2002-11-14,0.766275122983,0.427001227559,0.655309336584,0.323860325232,0.881760646933,0.635694669776,0.760883433722,0.530699491302,140,62,252,177,270,269,193,820,530,772,326,327,1362,962,989,18033,6789,22386,16970,30380
2002-11-14,2002-09-30,2003-02-14,0.347268849179,0.687594586566,0.285470939015,0.527771907179,0.546396560676,0.838402413303,0.506201570113,0.682772229046,62,252,177,270,133,193,820,530,772,624,327,1362,962,989,751,6789,22386,16970,30380,14389
2003-02-14,2002-11-14,2003-05-15,0.62476974825,0.281572213689,0.499925613752,0.782676864381,0.792844015309,0.509305400978,0.67140049149,0.90098420505,252,177,270,133,239,820,530,772,624,952,1362,962,989,751,968,22386,16970,30380,14389,20844
2003-05-15,2003-02-14,2003-09-29,0.850912845204,0.315549179747,0.304133946074,0.339733195846,0.916397611609,0.518037721352,0.533188646894,0.578662021667,177,270,133,239,509,530,772,624,952,1698,962,989,751,968,3234,16970,30380,14389,20844,54412
2003-09-29,2003-05-15,2003-11-14,0.492697579851,0.340472766215,0.351082617787,0.286656496981,0.654477979865,0.528375621287,0.543135344171,0.481744657213,270,133,239,509,790,772,624,952,1698,1644,989,751,968,3234,2298,30380,14389,20844,54412,59705
2003-11-14,2003-09-29,2004-02-17,0.38978334711,0.404256498032,0.236634774631,0.344491112732,0.562697721476,0.565355899701,0.400976597191,0.504132694036,133,239,509,790,57,624,952,1698,1644,505,751,968,3234,2298,317,14389,20844,54412,59705,8409
2004-02-17,2003-11-14,2004-05-14,0.746145040228,0.308910393958,0.373517677468,0.492986000654,0.886165152784,0.538641932126,0.564566379584,0.648399351782,239,509,790,57,159,952,1698,1644,505,734,968,3234,2298,317,773,20844,54412,59705,8409,16408
2004-05-14,2004-02-17,2004-10-26,0.255379936652,0.315832291668,0.651711278878,0.520839194481,0.411466706438,0.462314603988,0.81098738641,0.659526868262,509,790,57,159,98,1698,1644,505,734,398,3234,2298,317,773,223,54412,59705,8409,16408,9430
2004-10-26,2004-05-14,2004-11-09,0.552429281469,0.506624410889,0.582511635104,0.498556653105,0.720114555165,0.692236865219,0.765391254018,0.650012657373,790,57,159,98,708,1644,505,734,398,2386,2298,317,773,223,2773,59705,8409,16408,9430,70994
2004-11-09,2004-10-26,2005-02-09,0.240314597562,0.291501787806,0.22039329593,0.37386520892,0.407857369604,0.508765504554,0.369182481429,0.577426785891,57,159,98,708,385,505,734,398,2386,1750,317,773,223,2773,3008,8409,16408,9430,70994,45418
2005-02-09,2004-11-09,2005-05-09,0.493563976948,0.242394647966,0.496173821581,0.254582272433,0.635318591931,0.37328230094,0.654309155658,0.441562336089,159,98,708,385,776,734,398,2386,1750,2050,773,223,2773,3008,3092,16408,9430,70994,45418,62325
2005-05-09,2005-02-09,2005-09-12,0.516274404213,0.633412769191,0.316522666928,0.561153137219,0.687385991114,0.806958955528,0.524990711858,0.702710423823,98,708,385,776,258,398,2386,1750,2050,1278,223,2773,3008,3092,1296,9430,70994,45418,62325,29454
2005-09-12,2005-05-09,2005-11-08,0.803568654585,0.359121454332,0.511812040684,0.77256138421,0.926490588657,0.548126158923,0.643151174624,0.87878314973,708,385,776,258,675,2386,1750,2050,1278,2578,2773,3008,3092,1296,2487,70994,45418,62325,29454,66320
2005-11-08,2005-09-12,2006-02-07,0.356381257709,0.462337186265,0.565383583627,0.650712760406,0.537511005434,0.659786505213,0.76806610505,0.810162268256,385,776,258,675,175,1750,2050,1278,2578,931,3008,3092,1296,2487,1162,45418,62325,29454,66320,22186
2006-02-07,2005-11-08,2006-05-08,0.367391692503,0.572490103073,0.598985106725,0.501981590171,0.574938848773,0.804875215205,0.810394128936,0.731920217724,776,258,675,175,212,2050,1278,2578,931,1031,3092,1296,2487,1162,961,62325,29454,66320,22186,23749
2006-05-08,2006-02-07,2006-09-01,0.578773836151,0.595556818561,0.590816981195,0.5413703296,0.744273809493,0.758022208435,0.714725538823,0.741611989816,258,675,175,212,135,1278,2578,931,1031,755,1296,2487,1162,961,453,29454,66320,22186,23749,15447
2006-09-01,2006-05-08,2006-11-07,0.709297887564,0.535984525962,0.523559220198,0.495033567539,0.874919990128,0.747713934717,0.748745562903,0.67868634576,675,175,212,135,654,2578,931,1031,755,2799,2487,1162,961,453,3853,66320,22186,23749,15447,86235
2006-11-07,2006-09-01,2007-02-08,0.600771025182,0.487611814964,0.69034493937,0.524176204502,0.755999683015,0.722972968708,0.842514433277,0.725444525485,175,212,135,654,124,931,1031,755,2799,675,1162,961,453,3853,437,22186,23749,15447,86235,13250
2007-02-08,2006-11-07,2007-05-08,0.352378142789,0.275677900766,0.451612474046,0.32658475009,0.5667871894,0.427929787783,0.656115235119,0.469266073832,212,135,654,124,910,1031,755,2799,675,2578,961,453,3853,437,4483,23749,15447,86235,13250,79603
2007-05-08,2007-02-08,2007-08-24,0.738814457156,0.490351455531,0.733973465047,0.339821075145,0.903977363373,0.705526057416,0.874607900501,0.489979612659,135,654,124,910,232,755,2799,675,2578,784,453,3853,437,4483,557,15447,86235,13250,79603,17540
2007-08-24,2007-05-08,2007-11-07,0.666864640563,0.65364797273,0.389423189155,0.662237717124,0.850932345824,0.8262158301,0.548506828209,0.827808553073,654,124,910,232,485,2799,675,2578,784,2068,3853,437,4483,557,2383,86235,13250,79603,17540,56226
2007-11-07,2007-08-24,2008-02-06,0.721097864164,0.285237823456,0.665456748034,0.671362043436,0.892510158022,0.434746363743,0.836179691838,0.80226191689,124,910,232,485,122,675,2578,784,2068,700,437,4483,557,2383,600,13250,79603,17540,56226,14118
2008-02-06,2007-11-07,2008-05-08,0.412473438651,0.513453107484,0.657117230913,0.578216574259,0.616099419482,0.716191620291,0.808920187295,0.72200235643,910,232,485,122,321,2578,784,2068,700,1250,4483,557,2383,600,1569,79603,17540,56226,14118,31370
2008-05-08,2008-02-06,2008-08-27,0.701291708834,0.828400879283,0.731025217481,0.535243623602,0.838076921335,0.892271253527,0.834569842359,0.685475879463,232,485,122,321,230,784,2068,700,1250,1008,557,2383,600,1569,684,17540,56226,14118,31370,27427
2008-08-27,2008-05-08,2008-11-07,0.740201349718,0.577447554133,0.516760941008,0.686057571641,0.921219237558,0.777023385455,0.748234552757,0.86696224154,485,122,321,230,528,2068,700,1250,1008,1800,2383,600,1569,684,2076,56226,14118,31370,27427,58212
2008-11-07,2008-08-27,2009-02-09,0.549128474361,0.611308365032,0.494757681229,0.50149722426,0.717666229166,0.801339998367,0.65623716696,0.729369688669,122,321,230,528,267,700,1250,1008,1800,957,600,1569,684,2076,1483,14118,31370,27427,58212,28495
2009-02-09,2008-11-07,2009-05-07,0.706802436384,0.64312095115,0.561683863811,0.614897970822,0.823996920282,0.810029269941,0.785754671701,0.728329635511,321,230,528,267,168,1250,1008,1800,957,651,1569,684,2076,1483,471,31370,27427,58212,28495,16121
2009-05-07,2009-02-09,2009-08-27,0.552632415335,0.483215811305,0.508439768689,0.703971917804,0.764280509705,0.745466450069,0.686615418525,0.852580537356,230,528,267,168,192,1008,1800,957,651,573,684,2076,1483,471,560,27427,58212,28495,16121,19664
2009-08-27,2009-05-07,2009-11-09,0.735066105098,0.571976755485,0.680274370081,0.591790895617,0.914628091056,0.743738362491,0.820404630405,0.775367016088,528,267,168,192,412,1800,957,651,573,1606,2076,1483,471,560,1419,58212,28495,16121,19664,48395
2009-11-09,2009-08-27,2010-02-05,0.233296501191,0.246929669717,0.190169302802,0.255737131622,0.422734271683,0.430008298567,0.393172016301,0.444895497607,267,168,192,412,303,957,651,573,1606,3927,1483,471,560,1419,1053,28495,16121,19664,48395,43318
2010-02-05,2009-11-09,2010-05-06,0.227395627838,0.173668446187,0.205738185993,0.970344676024,0.419427556009,0.362392723737,0.375047674574,0.969372444336,168,192,412,303,218,651,573,1606,3927,3380,471,560,1419,1053,499,16121,19664,48395,43318,33918
2010-05-06,2010-02-05,2010-08-26,0.170989223252,0.156211386843,0.909443660905,0.919106899931,0.315123361077,0.286350975402,0.931822593371,0.942112959874,192,412,303,218,384,573,1606,3927,3380,5239,560,1419,1053,499,1089,19664,48395,43318,33918,47916
2010-08-26,2010-05-06,2010-09-02,0.578646897187,0.232326990732,0.134832486633,0.109908510723,0.743208173082,0.372127251834,0.280880368153,0.225557292972,412,303,218,384,491,1606,3927,3380,5239,1477,1419,1053,499,1089,1640,48395,43318,33918,47916,46157
2010-09-02,2010-08-26,2010-11-08,0.858312226343,0.869386846656,0.961202578826,0.0246529523038,0.843950894811,0.865032956626,0.942839931923,0.051826565884,303,218,384,491,638,3927,3380,5239,1477,35406,1053,499,1089,1640,1559,43318,33918,47916,46157,126023
2010-11-08,2010-09-02,2011-02-08,0.881173699171,0.968071123234,0.0387451384392,0.993019822271,0.883651780488,0.955493597347,0.0843772656891,0.994205738556,218,384,491,638,425,3380,5239,1477,35406,12580,499,1089,1640,1559,856,33918,47916,46157,126023,59787
2011-02-08,2010-11-08,2011-05-06,0.284558717943,0.176946442256,0.164825529047,0.23184900606,0.339275231532,0.368328755388,0.16818437143,0.243590006699,384,491,638,425,437,5239,1477,35406,12580,1370,1089,1640,1559,856,900,47916,46157,126023,59787,51375
2011-05-06,2011-02-08,2011-08-26,0.163652016217,0.164083654043,0.230888018871,0.981886565913,0.364714470903,0.167548589887,0.242876071717,0.980509419164,491,638,425,437,516,1477,35406,12580,1370,1524,1640,1559,856,900,1146,46157,126023,59787,51375,54479
2011-08-26,2011-05-06,2011-11-04,0.103034282042,0.13957656022,0.484206767178,0.484778985969,0.130712134816,0.182321110988,0.658652480895,0.658054914623,638,425,437,516,773,35406,12580,1370,1524,2529,1559,856,900,1146,1831,126023,59787,51375,54479,100924
2011-11-04,2011-08-26,2012-02-07,0.0928839060061,0.33050936294,0.332280777535,0.485682784586,0.148391132401,0.539651466066,0.54016634974,0.642348237661,425,437,516,773,668,12580,1370,1524,2529,968,856,900,1146,1831,1799,59787,51375,54479,100924,48877
2012-02-07,2011-11-04,2012-05-08,0.356759804084,0.35269057528,0.531247981168,0.97926680404,0.578255701069,0.569776733836,0.678494393023,0.980168243686,437,516,773,668,709,1370,1524,2529,968,1134,900,1146,1831,1799,1931,51375,54479,100924,48877,55054
2012-05-08,2012-02-07,2012-08-22,0.357565867403,0.529531795641,0.977109367364,0.991375781239,0.576383472977,0.675594082989,0.978516338488,0.991087746459,516,773,668,709,740,1524,2529,968,1134,1068,1146,1831,1799,1931,1909,54479,100924,48877,55054,54443
2012-08-22,2012-05-08,2012-11-09,0.549608356676,0.962429669574,0.974210493933,0.972854728598,0.710048380642,0.961650990887,0.971005391753,0.969493832624,773,668,709,740,1246,2529,968,1134,1068,2429,1831,1799,1931,1909,4173,100924,48877,55054,54443,116635
2012-11-09,2012-08-22,2013-02-06,0.969038199192,0.979627149477,0.978801690499,0.980180923799,0.976442682327,0.981759466455,0.981220451754,0.974331262123,668,709,740,1246,479,968,1134,1068,2429,1029,1799,1931,1909,4173,1747,48877,55054,54443,116635,45186
2013-02-06,2012-11-09,2013-05-08,0.968309942333,0.96294225547,0.965817250293,0.977833060745,0.971801966332,0.963612868754,0.96146125378,0.974038476609,709,740,1246,479,553,1134,1068,2429,1029,1477,1931,1909,4173,1747,2741,55054,54443,116635,45186,59576
2013-05-08,2013-02-06,2013-08-20,0.979298638152,0.976348791642,0.986446845775,0.975702823003,0.983977039054,0.971410586156,0.984917952382,0.972730458947,740,1246,479,553,530,1068,2429,1029,1477,1290,1909,4173,1747,2741,2000,54443,116635,45186,59576,55011
2013-08-20,2013-05-08,2013-11-07,0.946423461484,0.935655696593,0.918741751689,0.930017173735,0.951621910864,0.938385059555,0.915756585653,0.92933916334,1246,479,553,530,2402,2429,1029,1477,1290,3805,4173,1747,2741,2000,9091,116635,45186,59576,55011,205837
2013-11-07,2013-08-20,2014-02-06,0.681196174336,0.705101834326,0.672819664878,0.562628039853,0.765303410729,0.813247223493,0.762519111206,0.649033884505,479,553,530,2402,489,1029,1477,1290,3805,1992,1747,2741,2000,9091,3339,45186,59576,55011,205837,66689
2014-02-06,2013-11-07,2014-05-06,0.743845389063,0.744176190658,0.619474053356,0.882539682584,0.850532668272,0.84920869912,0.714546818454,0.873000313546,553,530,2402,489,222,1477,1290,3805,1992,1096,2741,2000,9091,3339,1277,59576,55011,205837,66689,39327
2014-05-06,2014-02-06,2014-08-13,0.751005199601,0.617502746948,0.880043903917,0.978914105703,0.859234633378,0.714597332982,0.876844666016,0.981598810519,530,2402,489,222,275,1290,3805,1992,1096,1225,2000,9091,3339,1277,1418,55011,205837,66689,39327,42155
2014-08-13,2014-05-06,2014-11-05,0.642864595593,0.86682081674,0.955287294038,0.953955217968,0.744845303446,0.86342841453,0.9514527206,0.952758901128,2402,489,222,275,775,3805,1992,1096,1225,2713,9091,3339,1277,1418,2908,205837,66689,39327,42155,103275
2014-11-05,2014-08-13,2015-02-03,0.908386835514,0.958949149116,0.957524854275,0.952999207087,0.918133382873,0.958843391783,0.961400981355,0.952844981871,489,222,275,775,369,1992,1096,1225,2713,1408,3339,1277,1418,2908,1909,66689,39327,42155,103275,47956
2015-02-03,2014-11-05,2015-05-05,0.969548925775,0.956156911723,0.948024002165,0.959935108973,0.974950309437,0.96272662712,0.948089479292,0.959880582078,222,275,775,369,349,1096,1225,2713,1408,1312,1277,1418,2908,1909,1423,39327,42155,103275,47956,45118
2015-05-05,2015-02-03,2015-08-13,0.963918813395,0.941778042857,0.952302481266,0.982377995589,0.972155776725,0.941636991723,0.954003915259,0.983733792775,275,775,369,349,309,1225,2713,1408,1312,1312,1418,2908,1909,1423,1420,42155,103275,47956,45118,45899
2015-08-13,2015-05-05,2015-11-03,0.946776579188,0.912195775855,0.937728142075,0.938527219338,0.966177189929,0.92525054931,0.945210645733,0.944564274185,775,369,349,309,845,2713,1408,1312,1312,2917,2908,1909,1423,1420,2879,103275,47956,45118,45899,109547
2015-11-03,2015-08-13,2016-02-02,0.921576819797,0.940786464305,0.942842737226,0.958570594087,0.943326662521,0.952601342548,0.955370809026,0.959871686795,369,349,309,845,281,1408,1312,1312,2917,1099,1909,1423,1420,2879,1307,47956,45118,45899,109547,45808
2016-02-02,2015-11-03,2016-05-03,0.945620330181,0.937615958085,0.952836521323,0.979622693333,0.959032585726,0.949976887002,0.953909302501,0.981534441217,349,309,845,281,366,1312,1312,2917,1099,1266,1423,1420,2879,1307,1578,45118,45899,109547,45808,52888
2016-05-03,2016-02-02,2016-08-12,0.951427420438,0.953529758568,0.979848364465,0.978264126756,0.966434648588,0.955065686343,0.983203708653,0.97938837554,309,845,281,366,322,1312,2917,1099,1266,1076,1420,2879,1307,1578,1279,45899,109547,45808,52888,47117
2016-08-12,2016-05-03,2016-11-02,0.983372598715,0.959366321814,0.955752811349,0.962911761558,0.989954844971,0.961857071992,0.955745624779,0.962370233033,845,281,366,322,802,2917,1099,1266,1076,2548,2879,1307,1578,1279,2949,109547,45808,52888,47117,108183
2016-11-02,2016-08-12,2017-02-07,0.982150558318,0.970684641701,0.977242592688,0.968212435599,0.989436767664,0.973826465067,0.981149970006,0.967797064429,281,366,322,802,244,1099,1266,1076,2548,1069,1307,1578,1279,2949,1263,45808,52888,47117,108183,40840
