filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-15,1997-02-11,1997-08-13,0.37207831943,0.482464880597,0.387178414188,0.724910206781,0.52156338589,0.729531747214,0.571456202443,0.879479608806,164,84,442,50,72,465,307,1510,193,267,748,363,2504,183,222,14856,7047,46924,4601,6763
1997-08-13,1997-05-15,1997-12-24,0.540185310622,0.38563394688,0.77614509629,0.826273805447,0.776451734519,0.569610535254,0.892023112966,0.911783556917,84,442,50,72,70,307,1510,193,267,255,363,2504,183,222,223,7047,46924,4601,6763,6335
1997-12-24,1997-08-13,1998-02-13,0.811769358219,0.248730242088,0.25246048487,0.255360372649,0.904758686235,0.419608009222,0.408516527366,0.411007307233,442,50,72,70,723,1510,193,267,255,3115,2504,183,222,223,6117,46924,4601,6763,6335,95180
1998-02-13,1997-12-24,1998-05-15,0.462193924202,0.439285089138,0.437294839508,0.335203763401,0.713591924249,0.697397429605,0.686112184344,0.550463317958,50,72,70,723,71,193,267,255,3115,277,183,222,223,6117,393,4601,6763,6335,95180,7749
1998-05-15,1998-02-13,1998-08-12,0.652703768643,0.595158773732,0.267565684874,0.537371290101,0.878874662453,0.834584988254,0.424257504704,0.705468619909,72,70,723,71,60,267,255,3115,277,275,222,223,6117,393,191,6763,6335,95180,7749,6156
1998-08-12,1998-05-15,1998-12-18,0.636051874806,0.274464389132,0.512796842828,0.793513233322,0.881498820312,0.439329530936,0.715352157237,0.922030608305,70,723,71,60,61,255,3115,277,275,269,223,6117,393,191,201,6335,95180,7749,6156,6887
1998-12-18,1998-08-12,1999-02-11,0.511605586864,0.464111685878,0.435400016427,0.464892394272,0.692514686847,0.739523950382,0.643011552854,0.675470621485,723,71,60,61,464,3115,277,275,269,1673,6117,393,191,201,2342,95180,7749,6156,6887,51468
1999-02-11,1998-12-18,1999-02-16,0.13828488068,0.140597453208,0.156610151696,0.188925929493,0.372739895769,0.349038701531,0.383630089477,0.411511500704,71,60,61,464,30,277,275,269,1673,22,393,191,201,2342,13,7749,6156,6887,51468,1179
1999-02-16,1999-02-11,1999-05-17,0.53714218973,0.547337115751,0.553668628435,0.15681846539,0.759540807275,0.770399833786,0.769237578301,0.384517468908,60,61,464,30,80,275,269,1673,22,263,191,201,2342,13,237,6156,6887,51468,1179,8099
1999-05-17,1999-02-16,1999-08-16,0.590401309565,0.413589416733,0.125907266556,0.665609457578,0.834244361186,0.60948247836,0.313866021053,0.773537865733,61,464,30,80,57,269,1673,22,263,226,201,2342,13,237,80,6887,51468,1179,8099,6499
