filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-08-13,2002-05-14,2002-11-14,0.372103943528,0.621942500875,0.585598694949,0.977072046551,0.594736553746,0.781294328972,0.719729560533,0.994127463407,42,62,255,42,42,121,160,451,162,169,154,122,285,114,114,5160,9244,23953,5546,5666
2002-11-14,2002-08-13,2003-03-25,0.699704581122,0.534594352723,0.635264591122,0.642000591929,0.848789629058,0.689869419276,0.806293997002,0.811658697515,62,255,42,42,62,160,451,162,169,160,122,285,114,114,58,9244,23953,5546,5666,7508
2003-03-25,2002-11-14,2003-05-14,0.607425089389,0.363445018149,0.366904535129,0.378049922425,0.75693574453,0.542519043295,0.54785272287,0.532726804129,255,42,42,62,556,451,162,169,160,1122,285,114,114,58,1540,23953,5546,5666,7508,50454
2003-05-14,2003-03-25,2003-08-14,0.661634104781,0.66102127532,0.573208548229,0.410630834178,0.879194602001,0.879930723281,0.788496993425,0.584110892587,42,42,62,556,49,162,169,160,1122,115,114,114,58,1540,51,5546,5666,7508,50454,6526
2003-08-14,2003-05-14,2003-11-14,0.517908658081,0.503775624129,0.375284042675,0.689656458256,0.756363728308,0.750063687956,0.561160302082,0.841526063863,42,62,556,49,61,169,160,1122,115,134,114,58,1540,51,85,5666,7508,50454,6526,8745
2003-11-14,2003-08-14,2004-03-30,0.299331549928,0.342848253217,0.338184606329,0.364587690857,0.492724249178,0.527821790498,0.52672386512,0.532623275522,62,556,49,61,264,160,1122,115,134,820,58,1540,51,85,1833,7508,50454,6526,8745,35219
2004-03-30,2003-11-14,2004-05-17,0.491076465986,0.493379932001,0.517995649126,0.340839158276,0.619535039029,0.653066895013,0.66699117478,0.502828022191,556,49,61,264,327,1122,115,134,820,594,1540,51,85,1833,327,50454,6526,8745,35219,29905
2004-05-17,2004-03-30,2004-06-28,0.631771381429,0.560008351016,0.352658173194,0.675183070963,0.794869989679,0.734365910559,0.537660404895,0.801071633651,49,61,264,327,93,115,134,820,594,248,51,85,1833,327,117,6526,8745,35219,29905,11740
2004-06-28,2004-05-17,2004-08-09,0.50539426739,0.371072132721,0.939757666893,0.670489338613,0.659514087023,0.533118357097,0.978785500141,0.789097938473,61,264,327,93,412,134,820,594,248,735,85,1833,327,117,451,8745,35219,29905,11740,36456
2004-08-09,2004-06-28,2004-11-09,0.322592623414,0.585257513451,0.71727213461,0.607972853124,0.508417284861,0.74117998433,0.836964857041,0.755971422098,264,327,93,412,123,820,594,248,735,268,1833,327,117,451,126,35219,29905,11740,36456,14387
2004-11-09,2004-08-09,2005-03-15,0.620648643422,0.733099374279,0.620188815517,0.741625681257,0.771756778319,0.861429626368,0.765435733122,0.864068318611,327,93,412,123,115,594,248,735,268,307,327,117,451,126,116,29905,11740,36456,14387,14424
2005-03-15,2004-11-09,2005-05-10,0.658500567033,0.797480968794,0.60724083326,0.662301534765,0.793915082642,0.915709187859,0.748187034848,0.779308609873,93,412,123,115,422,248,735,268,307,980,117,451,126,116,792,11740,36456,14387,14424,37385
2005-05-10,2005-03-15,2005-08-09,0.579849687169,0.515835315686,0.559443866827,0.596091570817,0.781654807247,0.701110029492,0.725608302133,0.772976075084,412,123,115,422,149,735,268,307,980,376,451,126,116,792,420,36456,14387,14424,37385,17416
