filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2011-05-10,2011-03-16,2011-08-09,0.64093035274,0.593262092107,0.609944500955,0.610669631345,0.778076480682,0.783377237768,0.798204204722,0.737157419224,250,121,83,353,26,740,372,273,710,102,665,465,362,844,109,17374,12350,11842,29783,6372
2011-08-09,2011-05-10,2011-11-08,0.330517325081,0.271257360409,0.269892995083,0.302354901331,0.415824505501,0.399423220207,0.36887491221,0.407545640728,121,83,353,26,278,372,273,710,102,346,465,362,844,109,962,12350,11842,29783,6372,28948
2011-11-08,2011-08-09,2012-02-28,0.333259153021,0.251167806851,0.275405409622,0.937423610999,0.429647222515,0.357179212822,0.390919563204,0.964742019542,83,353,26,278,289,273,710,102,346,410,362,844,109,962,1161,11842,29783,6372,28948,30044
2012-02-28,2011-11-08,2012-05-08,0.361897828932,0.275659361145,0.952039779021,0.924704610389,0.453877556745,0.385616759348,0.963661837897,0.947967917017,353,26,278,289,942,710,102,346,410,1284,844,109,962,1161,2941,29783,6372,28948,30044,79238
2012-05-08,2012-02-28,2012-08-07,0.239751537202,0.963322564553,0.93805169737,0.961251227368,0.323469171836,0.972065738728,0.95816413406,0.964941366181,26,278,289,942,359,102,346,410,1284,415,109,962,1161,2941,1404,6372,28948,30044,79238,35770
2012-08-07,2012-05-08,2012-11-06,0.979873847299,0.936133918817,0.959006782406,0.985910398249,0.984276776489,0.959215172583,0.965554820153,0.990973895858,278,289,942,359,364,346,410,1284,415,459,962,1161,2941,1404,1456,28948,30044,79238,35770,37319
2012-11-06,2012-08-07,2013-02-28,0.9541395837,0.957877194703,0.983000939064,0.982050638376,0.970599436513,0.965371974888,0.989191332864,0.989993785169,289,942,359,364,386,410,1284,415,459,509,1161,2941,1404,1456,1482,30044,79238,35770,37319,38472
2013-02-28,2012-11-06,2013-05-02,0.988175227529,0.96498282625,0.962524526031,0.962679830576,0.99359818338,0.968126639446,0.968013941643,0.968950884865,942,359,364,386,930,1284,415,459,509,1166,2941,1404,1456,1482,2688,79238,35770,37319,38472,73976
2013-05-02,2013-02-28,2013-05-07,0.999781523235,0.985792935126,0.982893426734,0.964936374931,0.999929818678,0.990974964783,0.98921754384,0.968230563558,359,364,386,930,358,415,459,509,1166,417,1404,1456,1482,2688,1395,35770,37319,38472,73976,35723
2013-05-07,2013-05-02,2013-08-06,0.974565299564,0.973363721231,0.963618464026,0.984605895823,0.986108081006,0.985334206923,0.971139550727,0.992953977114,364,386,930,358,395,459,509,1166,417,600,1456,1482,2688,1395,1622,37319,38472,73976,35723,38344
2013-08-06,2013-05-07,2013-11-05,0.944897006949,0.933648455726,0.950736761872,0.943689705711,0.958865926197,0.944005298961,0.963343813093,0.958970841935,386,930,358,395,664,509,1166,417,600,644,1482,2688,1395,1622,2697,38472,73976,35723,38344,57853
2013-11-05,2013-08-06,2014-02-21,0.962904093109,0.977806712252,0.975333816113,0.944201552631,0.967711527465,0.985548245219,0.986179459477,0.956513373714,930,358,395,664,366,1166,417,600,644,398,2688,1395,1622,2697,1340,73976,35723,38344,57853,35777
2014-02-21,2013-11-05,2014-05-06,0.665611621071,0.684395477904,0.599446762581,0.691583323468,0.795298304359,0.813860753584,0.729901126634,0.814903586341,358,395,664,366,634,417,600,644,398,1277,1395,1622,2697,1340,2307,35723,38344,57853,35777,65425
2014-05-06,2014-02-21,2014-08-06,0.718130539794,0.615876482266,0.722258671657,0.909600055041,0.840552023244,0.742526456044,0.842190701846,0.937212439234,395,664,366,634,184,600,644,398,1277,502,1622,2697,1340,2307,929,38344,57853,35777,65425,29279
2014-08-06,2014-05-06,2014-11-04,0.61886070191,0.713970317023,0.903208290323,0.966768897918,0.742209420463,0.838629003119,0.938023311107,0.98339777357,664,366,634,184,188,644,398,1277,502,558,2697,1340,2307,929,1004,57853,35777,65425,29279,30043
2014-11-04,2014-08-06,2015-02-20,0.743095045067,0.906957263584,0.963941298879,0.957208713912,0.856730357403,0.939271274699,0.98309617094,0.98252083772,366,634,184,188,187,398,1277,502,558,449,1340,2307,929,1004,901,35777,65425,29279,30043,29809
2015-02-20,2014-11-04,2015-05-06,0.969956557459,0.922508835829,0.916732606792,0.923911237223,0.985582861997,0.946293857621,0.94689185757,0.949497742341,634,184,188,187,602,1277,502,558,449,1204,2307,929,1004,901,1995,65425,29279,30043,29809,61729
2015-05-06,2015-02-20,2015-08-06,0.94238709836,0.917357599813,0.920664231262,0.90312134438,0.967149621144,0.954322141935,0.954964524124,0.935817104693,184,188,187,602,343,502,558,449,1204,823,929,1004,901,1995,1446,29279,30043,29809,61729,36536
2015-08-06,2015-05-06,2015-11-03,0.939291361724,0.911890378748,0.893829632248,0.918422354519,0.967057520117,0.953410481843,0.930781389563,0.953230266668,188,187,602,343,216,558,449,1204,823,498,1004,901,1995,1446,970,30043,29809,61729,36536,30465
2015-11-03,2015-08-06,2016-02-19,0.938543823528,0.89312989653,0.907782429659,0.959349769549,0.966206613814,0.931956181299,0.94835020818,0.982100004673,187,602,343,216,204,449,1204,823,498,433,901,1995,1446,970,895,29809,61729,36536,30465,32538
2016-02-19,2015-11-03,2016-05-03,0.935026527045,0.866039655221,0.896204802459,0.902475290459,0.96577684347,0.917022632171,0.933503176131,0.937736460596,602,343,216,204,739,1204,823,498,433,1596,1995,1446,970,895,2782,61729,36536,30465,32538,76116
2016-05-03,2016-02-19,2016-08-02,0.896063093748,0.92989432442,0.939138660772,0.897823064733,0.933860500661,0.956606929616,0.964241699128,0.931662135591,343,216,204,739,217,823,498,433,1596,560,1446,970,895,2782,1239,36536,30465,32538,76116,35347
2016-08-02,2016-05-03,2016-11-08,0.945260793503,0.935750751573,0.89209049829,0.968456740072,0.96607796583,0.964252138341,0.928504945513,0.984189376699,216,204,739,217,223,498,433,1596,560,478,970,895,2782,1239,1205,30465,32538,76116,35347,38776
2016-11-08,2016-08-02,2017-02-21,0.923190889895,0.873408381795,0.928514611808,0.936121009165,0.965513344028,0.930751726679,0.968485194358,0.973952434637,204,739,217,223,378,433,1596,560,478,1107,895,2782,1239,1205,1781,32538,76116,35347,38776,50805
