filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-21,1994-08-15,1995-03-31,0.404016851168,0.38157328767,0.326707718239,0.362477088193,0.691560781291,0.645863978664,0.531504847346,0.539723447561,783,253,46,53,135,1688,441,55,102,321,2949,660,20,37,465,81356,28470,3948,5459,11340
1995-03-31,1994-11-21,1995-05-15,0.408617042937,0.219618313486,0.213765585124,0.379493432502,0.675382314686,0.438794317516,0.415998465688,0.670395754865,253,46,53,135,406,441,55,102,321,1616,660,20,37,465,2541,28470,3948,5459,11340,46529
1995-05-15,1995-03-31,1995-08-14,0.487219127824,0.41166788043,0.307517888252,0.251654587927,0.766262595278,0.687050190033,0.509899708856,0.448157097377,46,53,135,406,29,55,102,321,1616,58,20,37,465,2541,7,3948,5459,11340,46529,3384
1995-08-14,1995-05-15,1995-11-14,0.418543211386,0.253376619462,0.215102946723,0.484704363037,0.689236239769,0.456651588715,0.416023879226,0.681620539704,53,135,406,29,54,102,321,1616,58,86,37,465,2541,7,163,5459,11340,46529,3384,6948
1995-11-14,1995-08-14,1996-04-01,0.351075120967,0.232162859938,0.706562812699,0.511267959868,0.525369525983,0.405202399937,0.847903765265,0.697701169966,135,406,29,54,52,321,1616,58,86,60,465,2541,7,163,12,11340,46529,3384,6948,4820
1996-04-01,1995-11-14,1996-05-15,0.355914071614,0.219302252688,0.633720357203,0.213885629168,0.603339849168,0.39055368076,0.704025154515,0.364442199303,406,29,54,52,367,1616,58,86,60,633,2541,7,163,12,1819,46529,3384,6948,4820,44671
1996-05-15,1996-04-01,1996-08-14,0.538288786452,0.332988969085,0.476863152329,0.264850249014,0.754103315491,0.569648207703,0.678482379886,0.483100339195,29,54,52,367,46,58,86,60,633,96,7,163,12,1819,140,3384,6948,4820,44671,5190
1996-08-14,1996-05-15,1996-11-14,0.412626228514,0.209063193204,0.494114204004,0.290290282304,0.603518780324,0.369653295908,0.678398417064,0.50596483577,54,52,367,46,137,86,60,633,96,460,163,12,1819,140,1027,6948,4820,44671,5190,18651
1996-11-14,1996-08-14,1997-03-31,0.659323140154,0.213855885705,0.511534856423,0.267403635743,0.858064663374,0.378719879597,0.737952243844,0.423590594543,52,367,46,137,55,60,633,96,460,69,12,1819,140,1027,16,4820,44671,5190,18651,4514
1997-03-31,1996-11-14,1997-05-15,0.472730535827,0.319502415519,0.717623531939,0.246277964955,0.692852316949,0.560597449778,0.833141263583,0.413228503616,367,46,137,55,463,633,96,460,69,1671,1819,140,1027,16,3276,44671,5190,18651,4514,62517
1997-05-15,1997-03-31,1997-08-14,0.501401900883,0.410302071254,0.545036860984,0.384995556509,0.772867406918,0.599541488481,0.793464580388,0.574331219122,46,137,55,463,38,96,460,69,1671,120,140,1027,16,3276,108,5190,18651,4514,62517,5284
1997-08-14,1997-05-15,1997-11-14,0.412736022026,0.561672358267,0.350841157264,0.71502772438,0.583223490927,0.80134246385,0.52298277891,0.881512639914,137,55,463,38,63,460,69,1671,120,139,1027,16,3276,108,135,18651,4514,62517,5284,6066
1997-11-14,1997-08-14,1998-03-31,0.719991029335,0.249444469362,0.600668310317,0.684642870908,0.925940733239,0.423439821257,0.819465556109,0.854779509343,55,463,38,63,69,69,1671,120,139,114,16,3276,108,135,25,4514,62517,5284,6066,5293
1998-03-31,1997-11-14,1998-05-15,0.408439506264,0.395800892814,0.394721701504,0.392224597636,0.633868124554,0.655695435234,0.632968094089,0.616471013379,463,38,63,69,272,1671,120,139,114,595,3276,108,135,25,857,62517,5284,6066,5293,31093
1998-05-15,1998-03-31,1998-08-14,0.729904439488,0.637279063187,0.569643293951,0.407945935153,0.918297016074,0.857755960037,0.82497309128,0.655577204529,38,63,69,272,41,120,139,114,595,108,108,135,25,857,88,5284,6066,5293,31093,4528
1998-08-14,1998-05-15,1998-11-16,0.231781552009,0.199803791376,0.194617102201,0.220127246009,0.472589632697,0.417954038534,0.442538914791,0.456179593403,63,69,272,41,180,139,114,595,108,810,135,25,857,88,1074,6066,5293,31093,4528,20140
1998-11-16,1998-08-14,1999-03-31,0.648058896503,0.377667363811,0.528962360465,0.239050976102,0.895087997318,0.635889627657,0.804593239794,0.474749847087,69,272,41,180,82,114,595,108,810,162,25,857,88,1074,128,5293,31093,4528,20140,6659
1999-03-31,1998-11-16,1999-05-17,0.60223265397,0.443508281126,0.430493809973,0.472027336883,0.862026462511,0.714828129532,0.598391519481,0.723794113868,272,41,180,82,326,595,108,810,162,733,857,88,1074,128,934,31093,4528,20140,6659,32644
1999-05-17,1999-03-31,1999-08-03,0.589458448953,0.177141571058,0.488655479816,0.479367505248,0.871801984118,0.417935216292,0.791496311939,0.719327934656,41,180,82,326,40,108,810,162,733,118,88,1074,128,934,18,4528,20140,6659,32644,5013
1999-08-03,1999-05-17,1999-11-15,0.204899526874,0.462407372447,0.432816984902,0.64351280599,0.462539606211,0.776628687844,0.69930270001,0.841969164919,180,82,326,40,67,810,162,733,118,186,1074,128,934,18,165,20140,6659,32644,5013,7553
1999-11-15,1999-08-03,2000-03-24,0.5527289062,0.461314029377,0.57810718082,0.641126588687,0.845328892815,0.737649866164,0.796198316192,0.834397239546,82,326,40,67,99,162,733,118,186,291,128,934,18,165,279,6659,32644,5013,7553,9703
2000-03-24,1999-11-15,2000-04-28,0.727028653112,0.466022760348,0.459761578006,0.508469514742,0.912658591021,0.699374138441,0.690973846481,0.721468096727,326,40,67,99,328,733,118,186,291,608,934,18,165,279,708,32644,5013,7553,9703,30424
2000-04-28,2000-03-24,2000-05-12,0.142752473298,0.147024956846,0.199091899587,0.279099938228,0.311437785785,0.325941521558,0.372609457069,0.508856544292,40,67,99,328,60,118,186,291,608,42,18,165,279,708,71,5013,7553,9703,30424,4468
2000-05-12,2000-04-28,2000-08-14,0.600696158553,0.530408869604,0.427812259787,0.14535735511,0.831010608646,0.792222940574,0.676628553089,0.329325840847,67,99,328,60,69,186,291,608,42,149,165,279,708,71,251,7553,9703,30424,4468,7270
2000-08-14,2000-05-12,2000-11-14,0.239982111423,0.189187973931,0.0704642953514,0.325329139695,0.425568675423,0.325446847423,0.172591696518,0.502450798148,99,328,60,69,312,291,608,42,149,1222,279,708,71,251,3140,9703,30424,4468,7270,43706
2000-11-14,2000-08-14,2001-03-28,0.443100587858,0.198256843179,0.4324536489,0.318197700962,0.682634835632,0.392148641881,0.732261723657,0.470803876271,328,60,69,312,96,608,42,149,1222,281,708,71,251,3140,330,30424,4468,7270,43706,10419
2001-03-28,2000-11-14,2001-05-14,0.129385005386,0.328721028459,0.88987383765,0.318547111074,0.295112150686,0.539013226119,0.928541425639,0.51282241361,60,69,312,96,760,42,149,1222,281,2478,71,251,3140,330,5881,4468,7270,43706,10419,99156
2001-05-14,2001-03-28,2001-08-14,0.364672872358,0.277774632224,0.458775825781,0.328650265168,0.621395111825,0.433538470635,0.659670102609,0.529540775773,69,312,96,760,111,149,1222,281,2478,316,251,3140,330,5881,498,7270,43706,10419,99156,11668
2001-08-14,2001-05-14,2001-11-14,0.196019141496,0.530664087814,0.197434872887,0.533434543122,0.31044001292,0.771496498675,0.348838997412,0.645020395965,312,96,760,111,67,1222,281,2478,316,200,3140,330,5881,498,136,43706,10419,99156,11668,7320
2001-11-14,2001-08-14,2002-03-29,0.593620612131,0.197384356543,0.498177492845,0.779120389028,0.83358927685,0.353159204879,0.62729512225,0.894152699817,96,760,111,67,68,281,2478,316,200,218,330,5881,498,136,141,10419,99156,11668,7320,8207
2002-03-29,2001-11-14,2002-05-14,0.801447267356,0.555092404053,0.3690402383,0.382965340725,0.864859468881,0.716840117995,0.545276738096,0.55601249941,760,111,67,68,560,2478,316,200,218,1612,5881,498,136,141,3025,99156,11668,7320,8207,61937
2002-05-14,2002-03-29,2002-08-14,0.449349231932,0.564602906487,0.563455335387,0.380422821731,0.620429653495,0.814866202524,0.82110163498,0.557514623167,111,67,68,560,75,316,200,218,1612,296,498,136,141,3025,204,11668,7320,8207,61937,7159
2002-08-14,2002-05-14,2002-11-14,0.650781010473,0.532311682377,0.377386150252,0.692879999437,0.889872925932,0.801710462785,0.552096996724,0.853453451285,67,68,560,75,96,200,218,1612,296,307,136,141,3025,204,263,7320,8207,61937,7159,8879
2002-11-14,2002-08-14,2003-03-27,0.520834471627,0.388141637326,0.499126756761,0.52440468186,0.788548335796,0.593254242281,0.725776629234,0.741513576558,68,560,75,96,126,218,1612,296,307,520,141,3025,204,263,463,8207,61937,7159,8879,15509
2003-03-27,2002-11-14,2003-05-15,0.872214886333,0.3874936121,0.391413041732,0.471266565009,0.947288537824,0.587710099056,0.579583824132,0.654985354752,560,75,96,126,588,1612,296,307,520,1674,3025,204,263,463,3016,61937,7159,8879,15509,70001
2003-05-15,2003-03-27,2003-08-14,0.636279440013,0.540607507287,0.516009421712,0.421596248737,0.862361429523,0.779972521822,0.749572827204,0.625795805432,75,96,126,588,79,296,307,520,1674,395,204,263,463,3016,375,7159,8879,15509,70001,10982
2003-08-14,2003-05-15,2003-11-07,0.450274313767,0.348274236811,0.456557157443,0.414250013582,0.602509232095,0.549030441513,0.662844874168,0.572786045,96,126,588,79,206,307,520,1674,395,857,263,463,3016,375,1567,8879,15509,70001,10982,25307
2003-11-07,2003-08-14,2004-03-15,0.631107186958,0.36790502337,0.624033550188,0.420480638298,0.837653854064,0.548957220338,0.81224295678,0.548367585682,126,588,79,206,101,520,1674,395,857,383,463,3016,375,1567,285,15509,70001,10982,25307,12055
2004-03-15,2003-11-07,2004-05-07,0.83428252911,0.373988391753,0.389270645215,0.338055977708,0.921981403017,0.595355635799,0.591136751084,0.518578914201,588,79,206,101,560,1674,395,857,383,1737,3016,375,1567,285,3113,70001,10982,25307,12055,70063
2004-05-07,2004-03-15,2004-08-09,0.759582418201,0.392319797929,0.630606853319,0.365303167152,0.933132401411,0.557986658941,0.813070057243,0.556772038214,79,206,101,560,77,395,857,383,1737,337,375,1567,285,3113,290,10982,25307,12055,70063,10172
2004-08-09,2004-05-07,2004-11-09,0.704472147316,0.552030764235,0.367742309743,0.632645339284,0.806375735788,0.755885975697,0.570890118256,0.788573722171,206,101,560,77,103,857,383,1737,337,468,1567,285,3113,290,608,25307,12055,70063,10172,14911
2004-11-09,2004-08-09,2005-03-16,0.671071474299,0.35308026403,0.523057141476,0.497627772276,0.855714478113,0.582032424946,0.76047995928,0.734630015051,101,560,77,103,117,383,1737,337,468,521,285,3113,290,608,491,12055,70063,10172,14911,15165
2005-03-16,2004-11-09,2005-05-10,0.561059112014,0.504523406514,0.460591358664,0.557521783336,0.740808113881,0.707228274192,0.657640918669,0.730810009995,560,77,103,117,318,1737,337,468,521,934,3113,290,608,491,1077,70063,10172,14911,15165,39290
2005-05-10,2005-03-16,2005-08-05,0.801424932741,0.541219265622,0.562143958528,0.57182829901,0.936687261922,0.747709493029,0.793146555517,0.742413493192,77,103,117,318,50,337,468,521,934,251,290,608,491,1077,205,10172,14911,15165,39290,9092
2005-08-05,2005-05-10,2005-11-07,0.684942590492,0.528261510215,0.538791283932,0.613059263722,0.832370123628,0.776447607063,0.722292446696,0.763987470851,103,117,318,50,103,468,521,934,251,420,608,491,1077,205,530,14911,15165,39290,9092,15599
2005-11-07,2005-08-05,2006-03-16,0.708956608083,0.485701911458,0.657340747321,0.569722348942,0.887765402915,0.665717761757,0.826971481365,0.727180614462,117,318,50,103,65,521,934,251,420,335,491,1077,205,530,205,15165,39290,9092,15599,10925
2006-03-16,2005-11-07,2006-05-09,0.664917975769,0.434025936101,0.573996057733,0.377986703054,0.81200606733,0.602812441359,0.739077481661,0.538531266342,318,50,103,65,737,934,251,420,335,1881,1077,205,530,205,2630,39290,9092,15599,10925,65762
2006-05-09,2006-03-16,2006-08-08,0.77588880112,0.529081741281,0.564090332794,0.485736484313,0.926744167378,0.734826715375,0.785033147236,0.65310542951,50,103,65,737,40,251,420,335,1881,327,205,530,205,2630,226,9092,15599,10925,65762,10076
2006-08-08,2006-05-09,2006-11-07,0.738677448548,0.480086976279,0.641432321125,0.629241236905,0.892434638694,0.693035097807,0.782869387887,0.781668210835,103,65,737,40,97,420,335,1881,327,585,530,205,2630,226,641,15599,10925,65762,10076,17694
2006-11-07,2006-08-08,2007-03-01,0.776596670562,0.490326056182,0.687094993633,0.663663872553,0.918869777606,0.657573966676,0.850111687791,0.810032877193,65,737,40,97,98,335,1881,327,585,532,205,2630,226,641,350,10925,65762,10076,17694,14133
2007-03-01,2006-11-07,2007-05-04,0.696590354611,0.640302417504,0.569359295418,0.624063475398,0.807590775954,0.795620856995,0.717266962701,0.766432488521,737,40,97,98,354,1881,327,585,532,1250,2630,226,641,350,824,65762,10076,17694,14133,39349
2007-05-04,2007-03-01,2007-08-02,0.804506959491,0.5734013723,0.66114928972,0.662279397941,0.947065912466,0.748211380264,0.841453935718,0.810200559541,40,97,98,354,51,327,585,532,1250,431,226,641,350,824,325,10076,17694,14133,39349,10960
2007-08-02,2007-05-04,2007-11-05,0.780179444135,0.646311848657,0.613334943186,0.720016630649,0.894292742422,0.841043958512,0.762186164215,0.853801417738,97,98,354,51,74,585,532,1250,431,490,641,350,824,325,428,17694,14133,39349,10960,13920
2007-11-05,2007-08-02,2008-02-28,0.753518672543,0.549385000033,0.622632689278,0.671878415243,0.889163205645,0.712952625344,0.79045798595,0.823404596403,98,354,51,74,132,532,1250,431,490,634,350,824,325,428,854,14133,39349,10960,13920,18650
2008-02-28,2007-11-05,2008-05-02,0.92304096085,0.629286929403,0.620965541957,0.572530362034,0.980376247171,0.795263101743,0.769247547543,0.732135678864,354,51,74,132,379,1250,431,490,634,1194,824,325,428,854,973,39349,10960,13920,18650,40640
2008-05-02,2008-02-28,2008-08-01,0.713469872521,0.596007712416,0.545725712078,0.617329956906,0.890188364937,0.805062543062,0.762681145145,0.789312029395,51,74,132,379,88,431,490,634,1194,369,325,428,854,973,325,10960,13920,18650,40640,12123
2008-08-01,2008-05-02,2008-11-04,0.827024414265,0.516730446584,0.535161016045,0.623380094558,0.920358772438,0.719279903299,0.688320101761,0.793866409555,74,132,379,88,77,490,634,1194,369,306,428,854,973,325,214,13920,18650,40640,12123,10940
2008-11-04,2008-08-01,2009-02-25,0.719611516569,0.539159145671,0.589265977818,0.643902174503,0.843112581044,0.692108047574,0.77360099069,0.807630291977,132,379,88,77,85,634,1194,369,306,458,854,973,325,214,214,18650,40640,12123,10940,11929
2009-02-25,2008-11-04,2009-05-07,0.660725303628,0.47266214711,0.369024041264,0.38068901384,0.800724178791,0.670714483839,0.538850587088,0.546473879066,379,88,77,85,1114,1194,369,306,458,1726,973,325,214,214,2305,40640,12123,10940,11929,63508
2009-05-07,2009-02-25,2009-08-06,0.724709870157,0.581902235466,0.574288251074,0.47749528012,0.901979343683,0.782641776268,0.773982552539,0.66920749124,88,77,85,1114,108,369,306,458,1726,582,325,214,214,2305,551,12123,10940,11929,63508,13688
2009-08-06,2009-05-07,2009-11-05,0.805894658182,0.559329822778,0.37063484794,0.620612904885,0.925050718424,0.775334058419,0.554101856506,0.788446751016,77,85,1114,108,132,306,458,1726,582,830,214,214,2305,551,475,10940,11929,63508,13688,19603
2009-11-05,2009-08-06,2010-02-25,0.204663477482,0.155473209406,0.188540940356,0.387920521632,0.365154645776,0.327783114874,0.368914208121,0.465068399714,85,1114,108,132,386,458,1726,582,830,4956,214,2305,551,475,2687,11929,63508,13688,19603,55710
2010-02-25,2009-11-05,2010-05-05,0.250140457069,0.228577540855,0.415872984737,0.917134616478,0.484527439386,0.453783100331,0.54106502527,0.898817642033,1114,108,132,386,866,1726,582,830,4956,6829,2305,551,475,2687,2692,63508,13688,19603,55710,88557
2010-05-05,2010-02-25,2010-08-03,0.14102421585,0.344851288255,0.898417010214,0.907476709128,0.26095071834,0.37784577419,0.899553631096,0.888401671228,108,132,386,866,268,582,830,4956,6829,5479,551,475,2687,2692,1296,13688,19603,55710,88557,41507
2010-08-03,2010-05-05,2010-11-04,0.258556022839,0.850075512159,0.850029554396,0.970446430459,0.203032776859,0.829258502425,0.788986393922,0.96070953754,132,386,866,268,717,830,4956,6829,5479,45514,475,2687,2692,1296,1928,19603,55710,88557,41507,132634
2010-11-04,2010-08-03,2011-02-25,0.850024596172,0.848735390774,0.969983903073,0.999841024787,0.828793048334,0.786789173293,0.959851544165,0.99979065919,386,866,268,717,460,4956,6829,5479,45514,46957,2687,2692,1296,1928,1583,55710,88557,41507,132634,130661
2011-02-25,2010-11-04,2011-05-03,0.27678228096,0.235243054612,0.0935245809452,0.0924112870646,0.39828623404,0.293294725655,0.106421907515,0.10408835691,866,268,717,460,1736,6829,5479,45514,46957,4281,2692,1296,1928,1583,3518,88557,41507,132634,130661,173985
2011-05-03,2011-02-25,2011-08-02,0.251955450054,0.0965877113204,0.0952153965535,0.930352772131,0.310300817712,0.110120229767,0.107804387403,0.943581548926,268,717,460,1736,457,5479,45514,46957,4281,1771,1296,1928,1583,3518,1794,41507,132634,130661,173985,68396
2011-08-02,2011-05-03,2011-11-03,0.0489487320227,0.0473849564268,0.382280785017,0.40649158057,0.0735992369169,0.0707825624712,0.559754417888,0.586735212832,717,460,1736,457,741,45514,46957,4281,1771,1530,1928,1583,3518,1794,2990,132634,130661,173985,68396,71401
2011-11-03,2011-08-02,2012-02-23,0.0452449283436,0.355214401034,0.376213914336,0.974595646453,0.0685432487954,0.527959437269,0.552534906177,0.975434598447,460,1736,457,741,718,46957,4281,1771,1530,1475,1583,3518,1794,2990,2744,130661,173985,68396,71401,65435
2012-02-23,2011-11-03,2012-05-01,0.402405405648,0.395084442127,0.979439790185,0.962300850662,0.594774332098,0.578428945352,0.972356044828,0.957131454243,1736,457,741,718,2411,4281,1771,1530,1475,4028,3518,1794,2990,2744,6963,173985,68396,71401,65435,177917
2012-05-01,2012-02-23,2012-08-02,0.404635787153,0.988612021358,0.974899922128,0.981468630981,0.583230648887,0.985619078023,0.976425776461,0.975026682315,457,741,718,2411,734,1771,1530,1475,4028,1520,1794,2990,2744,6963,2854,68396,71401,65435,177917,65812
2012-08-02,2012-05-01,2012-11-07,0.988205106105,0.96883778464,0.974350075541,0.98890338024,0.989789937793,0.972067470569,0.966966499908,0.987602829013,741,718,2411,734,675,1530,1475,4028,1520,1580,2990,2744,6963,2854,2841,71401,65435,177917,65812,64656
2012-11-07,2012-08-02,2013-02-15,0.970819333903,0.97282497908,0.983272661262,0.98624095535,0.975296027549,0.965702627172,0.979531902766,0.982344583697,718,2411,734,675,776,1475,4028,1520,1580,1762,2744,6963,2854,2841,3257,65435,177917,65812,64656,71183
2013-02-15,2012-11-07,2013-05-01,0.987419782746,0.975597961954,0.974978066395,0.974374153508,0.989031013428,0.967504963148,0.963568006351,0.963053799985,2411,734,675,776,2750,4028,1520,1580,1762,3717,6963,2854,2841,3257,6483,177917,65812,64656,71183,168335
2013-05-01,2013-02-15,2013-07-31,0.991208984237,0.988934196574,0.985799140456,0.979908337374,0.991082295554,0.984909002988,0.978286088451,0.968498024922,734,675,776,2750,754,1520,1580,1762,3717,1551,2854,2841,3257,6483,2802,65812,64656,71183,168335,65925
2013-07-31,2013-05-01,2013-11-06,0.929772088353,0.927412375632,0.922727455305,0.938799118594,0.9301767105,0.925752773117,0.916728500445,0.943341192028,675,776,2750,754,2254,1580,1762,3717,1551,3478,2841,3257,6483,2802,9138,64656,71183,168335,65925,164209
2013-11-06,2013-07-31,2014-02-14,0.751119168966,0.727954277566,0.741722759742,0.607789246928,0.844967032453,0.816748539885,0.836139923475,0.697126449377,776,2750,754,2254,379,1762,3717,1551,3478,1774,3257,6483,2802,9138,1962,71183,168335,65925,164209,57420
2014-02-14,2013-11-06,2014-05-08,0.749227018262,0.727776033479,0.596003224048,0.964562498499,0.853016674128,0.816078675359,0.681167219404,0.953083770119,2750,754,2254,379,1391,3717,1551,3478,1774,3604,6483,2802,9138,1962,4138,168335,65925,164209,57420,136155
2014-05-08,2014-02-14,2014-08-07,0.741943971179,0.604475757028,0.975968331691,0.963262978808,0.838968727573,0.695045252828,0.975761676762,0.958292284278,754,2254,379,1391,311,1551,3478,1774,3604,1426,2802,9138,1962,4138,1686,65925,164209,57420,136155,53084
2014-08-07,2014-05-08,2014-11-05,0.607462548113,0.978115542846,0.959707055556,0.978442931918,0.69372134886,0.977009363354,0.947720401423,0.977944239813,2254,379,1391,311,318,3478,1774,3604,1426,1637,9138,1962,4138,1686,1785,164209,57420,136155,53084,56322
2014-11-05,2014-08-07,2015-02-13,0.984456740986,0.958918964192,0.973563586589,0.978395651435,0.988525833617,0.950973916154,0.976076577359,0.978561766061,379,1391,311,318,404,1774,3604,1426,1637,1899,1962,4138,1686,1785,1924,57420,136155,53084,56322,60405
2015-02-13,2014-11-05,2015-05-07,0.960427499779,0.933066343871,0.933217721998,0.94090788855,0.965041895024,0.926877378567,0.918949210444,0.927247469504,1391,311,318,404,2015,3604,1426,1637,1899,5079,4138,1686,1785,1924,7148,136155,53084,56322,60405,182007
2015-05-07,2015-02-13,2015-08-05,0.973382527703,0.970080523975,0.977803557372,0.946306391836,0.980662812068,0.970773907078,0.978259661557,0.933560765812,311,318,404,2015,341,1426,1637,1899,5079,1290,1686,1785,1924,7148,1608,53084,56322,60405,182007,49953
2015-08-05,2015-05-07,2015-11-03,0.951750772102,0.950699438917,0.918947957027,0.964882934561,0.967103902332,0.962477361777,0.916661553299,0.972213556704,318,404,2015,341,373,1637,1899,5079,1290,1564,1785,1924,7148,1608,1824,56322,60405,182007,49953,53841
2015-11-03,2015-08-05,2016-02-16,0.959815665878,0.915888463905,0.963537154222,0.98801330197,0.974336523776,0.910587798869,0.97034395871,0.985842094412,404,2015,341,373,407,1899,5079,1290,1564,1636,1924,7148,1608,1824,1810,60405,182007,49953,53841,54429
2016-02-16,2015-11-03,2016-05-04,0.952035836773,0.940349099762,0.962075761262,0.960411459713,0.965187046542,0.941832725859,0.953142513025,0.949726547259,2015,341,373,407,1768,5079,1290,1564,1636,4033,7148,1608,1824,1810,4500,182007,49953,53841,54429,145467
2016-05-04,2016-02-16,2016-07-28,0.961298307132,0.976522145487,0.976127782001,0.959654578687,0.971092447567,0.974711066243,0.972996501144,0.954212296725,341,373,407,1768,334,1290,1564,1636,4033,1039,1608,1824,1810,4500,1555,49953,53841,54429,145467,44820
2016-07-28,2016-05-04,2016-11-03,0.986014304348,0.975027102689,0.954426914228,0.984785017189,0.986796953813,0.971912148993,0.943732397192,0.982791555007,373,407,1768,334,322,1564,1636,4033,1039,1108,1824,1810,4500,1555,1522,53841,54429,145467,44820,46119
2016-11-03,2016-07-28,2017-02-17,0.980995432249,0.957882865418,0.977427370689,0.976939017365,0.98321249359,0.951453878079,0.976455380897,0.974582086321,407,1768,334,322,479,1636,4033,1039,1108,1560,1810,4500,1555,1522,2132,54429,145467,44820,46119,57300
2017-02-17,2016-11-03,2017-05-04,0.987481716802,0.96872185107,0.964655807212,0.96167484736,0.990197703787,0.962190844915,0.95347082631,0.953257312114,1768,334,322,479,1572,4033,1039,1108,1560,3793,4500,1555,1522,2132,4029,145467,44820,46119,57300,138317
2017-05-04,2017-02-17,2017-08-07,0.872478423008,0.862558534605,0.869259547076,0.859735299311,0.883864295072,0.868712207213,0.887474900617,0.868155454739,334,322,479,1572,823,1039,1108,1560,3793,2955,1555,1522,2132,4029,4802,44820,46119,57300,138317,102582
2017-08-07,2017-05-04,2017-11-06,0.970201866326,0.960238044905,0.955447102605,0.866110456392,0.969149592786,0.96395943951,0.950876601073,0.88892749853,322,479,1572,823,623,1108,1560,3793,2955,2224,1522,2132,4029,4802,2705,46119,57300,138317,102582,73591
