filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-10-13,1995-07-14,1996-01-26,0.289752244611,0.0462829946897,0.38184320144,0.607162224235,0.524095285536,0.143289141961,0.607519944005,0.863534537593,148,202,15,12,12,413,1883,50,27,70,954,2698,143,45,48,20747,34355,3558,2731,2648
1996-01-26,1995-10-13,1996-04-12,0.130772654519,0.17117851538,0.146505953813,0.145644896707,0.336819563947,0.372371238782,0.337004679305,0.313050705298,202,15,12,12,428,1883,50,27,70,961,2698,143,45,48,2440,34355,3558,2731,2648,40310
1996-04-12,1996-01-26,1996-07-02,0.177580382752,0.145627502946,0.133994227741,0.448317798719,0.376855356004,0.331342185603,0.296412135975,0.672944870445,15,12,12,428,261,50,27,70,961,847,143,45,48,2440,1777,3558,2731,2648,40310,29513
1996-07-02,1996-04-12,1996-10-11,0.621860151425,0.491955050403,0.143176058724,0.170343411146,0.882796852156,0.815192225661,0.334197137261,0.369934533755,12,12,428,261,28,27,70,961,847,81,45,48,2440,1777,67,2731,2648,40310,29513,3051
1996-10-11,1996-07-02,1997-02-28,0.643700630555,0.148696548704,0.160549030579,0.679739466543,0.897334696254,0.332147600525,0.341335144294,0.898404094384,12,428,261,28,29,70,961,847,81,96,48,2440,1777,67,74,2648,40310,29513,3051,3367
1997-02-28,1996-10-11,1997-04-14,0.910305294011,0.453109609507,0.261612530183,0.282632268013,0.932532378199,0.690635703487,0.518599742838,0.512437078949,428,261,28,29,328,961,847,81,96,712,2440,1777,67,74,1534,40310,29513,3051,3367,31046
1997-04-14,1997-02-28,1997-07-15,0.171772126771,0.527904433657,0.561823769599,0.277106915758,0.384546089486,0.836762752509,0.821198142648,0.526880868417,261,28,29,328,30,847,81,96,712,106,1777,67,74,1534,87,29513,3051,3367,31046,2987
1997-07-15,1997-04-14,1997-10-15,0.505747686345,0.50117312704,0.291955842731,0.588857464987,0.817570189745,0.784320309189,0.566210371103,0.818635930663,28,29,328,30,30,81,96,712,106,111,67,74,1534,87,121,3051,3367,31046,2987,4467
1997-10-15,1997-07-15,1998-02-27,0.635734413952,0.280309755639,0.602501757494,0.748867583435,0.887680250118,0.534352626567,0.843012785296,0.906477662235,29,328,30,30,26,96,712,106,111,120,74,1534,87,121,89,3367,31046,2987,4467,3872
1998-02-27,1997-10-15,1998-04-14,0.513392657395,0.36964066472,0.460253935179,0.45640881853,0.735714365141,0.63978019716,0.707450768234,0.67931402079,328,30,30,26,223,712,106,111,120,459,1534,87,121,89,797,31046,2987,4467,3872,21266
1998-04-14,1998-02-27,1998-07-15,0.480547189414,0.428038886082,0.491536133486,0.344727813792,0.81109053705,0.75589274795,0.789324592802,0.617047325914,30,30,26,223,26,106,111,120,459,301,87,121,89,797,218,2987,4467,3872,21266,4178
1998-07-15,1998-04-14,1998-10-15,0.468967477547,0.495871798743,0.382790751751,0.525362192329,0.799191041398,0.827260577718,0.654640295487,0.814128817212,30,26,223,26,25,111,120,459,301,117,121,89,797,218,102,4467,3872,21266,4178,3495
1998-10-15,1998-07-15,1999-02-25,0.482286957199,0.343577070646,0.417159217419,0.608867701163,0.826578737378,0.641110909217,0.763161211346,0.88181222599,26,223,26,25,22,120,459,301,117,169,89,797,218,102,108,3872,21266,4178,3495,4394
1999-02-25,1998-10-15,1999-04-13,0.753256603626,0.351489736108,0.418262259342,0.408199892599,0.904489727605,0.642038038398,0.69163066254,0.676571996632,223,26,25,22,249,459,301,117,169,516,797,218,102,108,823,21266,4178,3495,4394,22770
1999-04-13,1999-02-25,1999-07-14,0.255474572241,0.326935337551,0.334102269135,0.511550520243,0.553458322363,0.615494552283,0.599725207002,0.755170617258,26,25,22,249,69,301,117,169,516,229,218,102,108,823,357,4178,3495,4394,22770,7680
1999-07-14,1999-04-13,1999-10-14,0.260053532579,0.247843053891,0.420884081747,0.396204672717,0.503728653913,0.495293068435,0.715193812074,0.741706792979,25,22,249,69,84,117,169,516,229,455,102,108,823,357,943,3495,4394,22770,7680,15475
1999-10-14,1999-07-14,2000-02-28,0.620423893604,0.424170710892,0.395206559149,0.295312924714,0.896373401875,0.666006766915,0.613996555486,0.496287563993,22,249,69,84,20,169,516,229,455,110,108,823,357,943,80,4394,22770,7680,15475,3621
2000-02-28,1999-10-14,2000-04-14,0.714464053131,0.402414071522,0.363697953726,0.412686157663,0.912716116929,0.70318427037,0.655535248361,0.698095177925,249,69,84,20,170,516,229,455,110,432,823,357,943,80,810,22770,7680,15475,3621,20524
2000-04-14,2000-02-28,2000-07-17,0.346860834756,0.250071911478,0.548329559979,0.42808689182,0.617240247097,0.486119176421,0.836344390599,0.725208302801,69,84,20,170,20,229,455,110,432,126,357,943,80,810,122,7680,15475,3621,20524,3104
2000-07-17,2000-04-14,2000-10-13,0.280486215093,0.29271152509,0.286411009289,0.371582068439,0.625651130257,0.580930388327,0.590971013845,0.616138517981,84,20,170,20,96,455,110,432,126,222,943,80,810,122,293,15475,3621,20524,3104,5748
2000-10-13,2000-07-17,2001-02-28,0.579366121755,0.406685959282,0.590250554609,0.353352289637,0.872805320678,0.718727410158,0.845359897444,0.606788817706,20,170,20,96,32,110,432,126,222,161,80,810,122,293,161,3621,20524,3104,5748,4298
2001-02-28,2000-10-13,2001-04-16,0.718926571567,0.454213064488,0.285318249912,0.474938215375,0.917025212802,0.741147810441,0.563247827235,0.743486060896,170,20,96,32,196,432,126,222,161,394,810,122,293,161,579,20524,3104,5748,4298,19258
2001-04-16,2001-02-28,2001-07-13,0.570555537329,0.278402578339,0.529541543322,0.499967868439,0.884525819982,0.570414154925,0.829848882438,0.762608286047,20,96,32,196,24,126,222,161,394,124,122,293,161,579,131,3104,5748,4298,19258,3736
2001-07-13,2001-04-16,2001-09-28,0.28368032339,0.173535209112,0.247971282319,0.178047275306,0.479424872351,0.331730939468,0.411802184181,0.337483861547,96,32,196,24,553,222,161,394,124,1585,293,161,579,131,4268,5748,4298,19258,3736,59566
2001-09-28,2001-07-13,2002-02-28,0.518142561534,0.378326101153,0.58379304407,0.129340033429,0.777247479213,0.598441564158,0.781512265851,0.216818397343,32,196,24,553,29,161,394,124,1585,145,161,579,131,4268,111,4298,19258,3736,59566,4140
