filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-10,1994-11-14,1995-03-31,0.538549560864,0.72852595645,0.413157821085,0.254543498989,0.741557722116,0.862546672613,0.687606173735,0.46918136865,11,214,48,229,89,66,485,113,504,208,62,676,184,1021,110,2270,20432,4595,14281,11035
1995-03-31,1995-03-10,1995-05-16,0.66664859117,0.446145874355,0.28995621228,0.752173626128,0.877820452459,0.707851192788,0.510300958024,0.893077935916,214,48,229,89,144,485,113,504,208,293,676,184,1021,110,383,20432,4595,14281,11035,16182
1995-05-16,1995-03-31,1995-08-15,0.503161229474,0.296312206221,0.48705076119,0.56199553049,0.777850088583,0.554911528845,0.725186218712,0.76181008367,48,229,89,144,28,113,504,208,293,72,184,1021,110,383,132,4595,14281,11035,16182,4090
1995-08-15,1995-05-16,1995-11-14,0.228023470106,0.243294479335,0.289926078715,0.392946884923,0.562317067915,0.540813276185,0.577194760973,0.705110466468,229,89,144,28,64,504,208,293,72,259,1021,110,383,132,502,14281,11035,16182,4090,7601
1995-11-14,1995-08-15,1996-03-28,0.340608285275,0.387835699235,0.550043996961,0.385849668819,0.586555992521,0.605284733619,0.738263014093,0.656336290369,89,144,28,64,25,208,293,72,259,17,110,383,132,502,21,11035,16182,4090,7601,3032
1996-03-28,1995-11-14,1996-05-14,0.789893222795,0.571497365958,0.316782323993,0.39059507541,0.931983326261,0.796572069103,0.613020300441,0.589813034085,144,28,64,25,186,293,72,259,17,310,383,132,502,21,493,16182,4090,7601,3032,17614
1996-05-14,1996-03-28,1996-08-12,0.198590937665,0.189383365817,0.101783369885,0.320108121206,0.364179451501,0.406213682719,0.208260175484,0.503572833543,28,64,25,186,768,72,259,17,310,2024,132,502,21,493,4355,4090,7601,3032,17614,58701
1996-08-12,1996-05-14,1996-11-12,0.171030855367,0.0988549312857,0.261902335986,0.653978703991,0.400745036563,0.219339788825,0.454333656734,0.804843853067,64,25,186,768,295,259,17,310,2024,1553,502,21,493,4355,3131,7601,3032,17614,58701,36382
1996-11-12,1996-08-12,1997-03-21,0.571385035726,0.402883717278,0.123932932159,0.127288074779,0.817381566323,0.655906050382,0.256971135599,0.268052526891,25,186,768,295,46,17,310,2024,1553,106,21,493,4355,3131,60,3032,17614,58701,36382,3742
1997-03-21,1996-11-12,1997-05-06,0.756953150885,0.26583146505,0.243539971354,0.444876704058,0.913253745851,0.430919686883,0.420323100967,0.68926518309,186,768,295,46,133,310,2024,1553,106,292,493,4355,3131,60,488,17614,58701,36382,3742,17741
1997-05-06,1997-03-21,1997-07-29,0.124293987063,0.111051351549,0.590755680327,0.456207304138,0.253092121343,0.250255527197,0.838999316385,0.685544738901,768,295,46,133,27,2024,1553,106,292,106,4355,3131,60,488,65,58701,36382,3742,17741,3227
1997-07-29,1997-05-06,1997-08-08,0.0694851068221,0.134955502848,0.223101528402,0.14878544153,0.175568976718,0.268942035002,0.376470037079,0.282903470595,295,46,133,27,3,1553,106,292,106,1,3131,60,488,65,7,36382,3742,17741,3227,325
1997-08-08,1997-07-29,1997-11-07,0.209718468241,0.280142676769,0.240330721344,0.0894142294754,0.398358950902,0.490905266444,0.401364962404,0.213368697545,46,133,27,3,114,106,292,106,1,563,60,488,65,7,840,3742,17741,3227,325,13525
1997-11-07,1997-08-08,1998-04-01,0.405685821543,0.605324337845,0.132012679185,0.247296014328,0.647117669748,0.820274407029,0.261460079148,0.401017978256,133,27,3,114,23,292,106,1,563,101,488,65,7,840,105,17741,3227,325,13525,3791
1998-04-01,1997-11-07,1998-05-19,0.461336423388,0.199214563777,0.323841477679,0.450080433808,0.724464310688,0.340453105277,0.553598352837,0.689643829788,27,3,114,23,223,106,1,563,101,559,65,7,840,105,761,3227,325,13525,3791,19394
1998-05-19,1998-04-01,1998-08-18,0.135765588301,0.225755254233,0.503881876187,0.558221187299,0.258549045257,0.421795526744,0.75562382242,0.78289591047,3,114,23,223,61,1,563,101,559,164,7,840,105,761,95,325,13525,3791,19394,4922
1998-08-18,1998-05-19,1998-11-16,0.224310200106,0.382439456679,0.434566274089,0.567971464074,0.426675617359,0.658783583342,0.689828516837,0.752757080382,114,23,223,61,93,563,101,559,164,242,840,105,761,95,266,13525,3791,19394,4922,8439
