filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2000-11-14,2000-08-14,2001-03-06,0.296231617838,0.374285692747,0.300726214563,0.30530845247,0.459722336743,0.537765039723,0.437648722244,0.423136243435,99,762,51,52,348,251,1557,120,143,850,147,2420,54,57,1820,13109,81021,6379,6979,32647
2001-03-06,2000-11-14,2001-05-15,0.285616619432,0.185692051914,0.158651610001,0.182657516164,0.569904013686,0.411629928093,0.363459400991,0.402640722948,762,51,52,348,1079,1557,120,143,850,6272,2420,54,57,1820,5658,81021,6379,6979,32647,130304
2001-05-15,2001-03-06,2001-08-14,0.323124342347,0.269072297425,0.38143019789,0.171657512219,0.506353081169,0.451205593897,0.606813967199,0.41307083008,51,52,348,1079,158,120,143,850,6272,339,54,57,1820,5658,598,6379,6979,32647,130304,14021
2001-08-14,2001-05-15,2001-11-14,0.664211419519,0.238040855663,0.142742778036,0.310583362,0.85725454973,0.39575744575,0.334645762186,0.463214617991,52,348,1079,158,49,143,850,6272,339,139,57,1820,5658,598,44,6979,32647,130304,14021,6396
2001-11-14,2001-08-14,2002-03-29,0.448766282468,0.258635447841,0.404948486058,0.228359795829,0.663123754008,0.523762476549,0.634178348721,0.360177925205,348,1079,158,49,584,850,6272,339,139,2235,1820,5658,598,44,4288,32647,130304,14021,6396,70870
2002-03-29,2001-11-14,2002-05-14,0.270475069171,0.357836910112,0.484169118317,0.36022622646,0.512605297566,0.519528220744,0.642042065399,0.506063547416,1079,158,49,584,456,6272,339,139,2235,984,5658,598,44,4288,681,130304,14021,6396,70870,52177
2002-05-14,2002-03-29,2002-08-06,0.32348977961,0.525972361435,0.248028405677,0.621907018528,0.500363255644,0.754886604264,0.39929462606,0.754182624981,158,49,584,456,39,339,139,2235,984,196,598,44,4288,681,78,14021,6396,70870,52177,8035
2002-08-06,2002-05-14,2002-11-19,0.40223094707,0.284975885996,0.357141725792,0.38586974414,0.649187572837,0.529735620417,0.57557290128,0.620471413775,49,584,456,39,103,139,2235,984,196,567,44,4288,681,78,733,6396,70870,52177,8035,21013
2002-11-19,2002-08-06,2003-04-15,0.286025549277,0.549582487824,0.582784557938,0.363472460382,0.447747766917,0.711364661578,0.785426141219,0.61661809862,584,456,39,103,104,2235,984,196,567,524,4288,681,78,733,225,70870,52177,8035,21013,17499
2003-04-15,2002-11-19,2003-05-14,0.824889252948,0.570851024906,0.385303099605,0.584229038268,0.922525134299,0.737898128351,0.626252962683,0.746609998662,456,39,103,104,596,984,196,567,524,1838,681,78,733,225,1585,52177,8035,21013,17499,68342
2003-05-14,2003-04-15,2003-06-03,0.606961023043,0.303811017087,0.587937917327,0.615649019369,0.820576487971,0.574596144556,0.797373158561,0.760454378512,39,103,104,596,82,196,567,524,1838,518,78,733,225,1585,226,8035,21013,17499,68342,13212
2003-06-03,2003-05-14,2003-08-05,0.0684472947352,0.167679723318,0.141486652448,0.194325151375,0.174998157193,0.262128596953,0.238148548196,0.298050655756,103,104,596,82,6,567,524,1838,518,21,733,225,1585,226,15,21013,17499,68342,13212,938
2003-08-05,2003-06-03,2003-11-03,0.309080503962,0.480638798246,0.369447389149,0.0930987543328,0.514475121674,0.653559331725,0.550198880354,0.20439301554,104,596,82,6,468,524,1838,518,21,1798,225,1585,226,15,2876,17499,68342,13212,938,53064
2003-11-03,2003-08-05,2004-03-15,0.607570125235,0.671223594288,0.155917107372,0.398541593213,0.758661408325,0.823907488004,0.281438888197,0.570992177052,596,82,6,468,148,1838,518,21,1798,679,1585,226,15,2876,488,68342,13212,938,53064,18823
2004-03-15,2003-11-03,2004-05-10,0.577400612172,0.123490237338,0.378389927148,0.608560160028,0.739560657817,0.219643428954,0.548471312267,0.75462842803,82,6,468,148,452,518,21,1798,679,1516,226,15,2876,488,869,13212,938,53064,18823,59025
2004-05-10,2004-03-15,2004-08-09,0.148195956947,0.357358104683,0.651803871937,0.693464989577,0.275251277834,0.535722311383,0.814060205781,0.831974478365,6,468,148,452,100,21,1798,679,1516,669,15,2876,488,869,435,938,53064,18823,59025,15240
2004-08-09,2004-05-10,2004-11-04,0.403392243025,0.630339408981,0.642153290323,0.794739268737,0.560802643429,0.816286286193,0.789779928821,0.891929298829,468,148,452,100,147,1798,679,1516,669,768,2876,488,869,435,511,53064,18823,59025,15240,18498
2004-11-04,2004-08-09,2005-03-03,0.81046733179,0.640980849938,0.738260503691,0.742416282055,0.926709355749,0.794883379645,0.872745268486,0.874246491641,148,452,100,147,189,679,1516,669,768,847,488,869,435,511,623,18823,59025,15240,18498,21801
2005-03-03,2004-11-04,2005-05-03,0.650689889574,0.533104279421,0.506629500575,0.516620555885,0.839383554602,0.754646631992,0.723502709152,0.738813454144,452,100,147,189,810,1516,669,768,847,4369,869,435,511,623,6482,59025,15240,18498,21801,99306
2005-05-03,2005-03-03,2005-08-02,0.817554076768,0.723565707303,0.71886423158,0.569698609188,0.929826874042,0.860285167505,0.86808406064,0.796643873477,100,147,189,810,175,669,768,847,4369,855,435,511,623,6482,701,15240,18498,21801,99306,20293
2005-08-02,2005-05-03,2005-11-02,0.877549069352,0.668726054448,0.484422225314,0.727194135197,0.961148602533,0.849775551277,0.701146051702,0.861658539323,147,189,810,175,155,768,847,4369,855,607,511,623,6482,701,376,18498,21801,99306,20293,18075
2005-11-02,2005-08-02,2006-02-28,0.64694760478,0.522797413458,0.605568597915,0.55441701154,0.788032165424,0.750189792816,0.779651027745,0.709884622517,189,810,175,155,503,847,4369,855,607,1506,623,6482,701,376,2259,21801,99306,20293,18075,46258
2006-02-28,2005-11-02,2006-05-02,0.653231264278,0.665530225531,0.621628588112,0.602096400895,0.84080871225,0.825463594748,0.76992815518,0.738716461387,810,175,155,503,590,4369,855,607,1506,1500,6482,701,376,2259,891,99306,20293,18075,46258,64544
2006-05-02,2006-02-28,2006-08-08,0.328688600342,0.266073520876,0.366825458208,0.304057070303,0.59815119123,0.508236962532,0.653852733278,0.531766896766,175,155,503,590,227,855,607,1506,1500,1422,701,376,2259,891,1803,20293,18075,46258,64544,33942
