filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-14,1995-04-25,0.773947842461,0.517089042633,0.422385544824,0.539647782625,0.823529571113,0.74489075228,0.661061176902,0.744230103672,455,53,151,74,332,1485,256,353,381,1115,1968,142,324,232,1157,43647,4903,7834,6408,29957
1995-04-25,1995-03-29,1995-05-15,0.0907968809138,0.0768993748252,0.0769136989052,0.145496565823,0.19084179173,0.169088380815,0.162652114985,0.281371868041,53,151,74,332,3,256,353,381,1115,1,142,324,232,1157,12,4903,7834,6408,29957,433
1995-05-15,1995-04-25,1995-08-10,0.562706858741,0.632334417589,0.492587103476,0.0955907834899,0.779466357571,0.812923446589,0.728112015578,0.206163273493,151,74,332,3,83,353,381,1115,1,330,324,232,1157,12,296,7834,6408,29957,433,7054
1995-08-10,1995-05-15,1995-11-14,0.720753298479,0.49121337892,0.0720831883496,0.651087828937,0.898670813785,0.712609843896,0.15822135963,0.807851757893,74,332,3,83,65,381,1115,1,330,302,232,1157,12,296,160,6408,29957,433,7054,6002
1995-11-14,1995-08-10,1996-03-29,0.476583316017,0.0714723705014,0.593974075349,0.741450993019,0.717119894021,0.156641275647,0.797954847822,0.899807444368,332,3,83,65,83,1115,1,330,302,360,1157,12,296,160,230,29957,433,7054,6002,7359
1996-03-29,1995-11-14,1996-05-02,0.155906540014,0.506856773698,0.449054026359,0.490863096982,0.297044212447,0.72824021692,0.642871617426,0.674872791722,3,83,65,83,425,1,330,302,360,1164,12,296,160,230,1761,433,7054,6002,7359,37524
1996-05-02,1996-03-29,1996-05-13,0.113087722348,0.104973872767,0.107808380933,0.177094368896,0.221208791496,0.180621567942,0.179368107678,0.30830298578,83,65,83,425,3,330,302,360,1164,3,296,160,230,1761,15,7054,6002,7359,37524,420
1996-05-13,1996-05-02,1996-08-09,0.627830594297,0.634483254761,0.493110409985,0.115118635309,0.843087286791,0.851335059815,0.689200223014,0.21083064587,65,83,425,3,59,302,360,1164,3,220,160,230,1761,15,94,6002,7359,37524,420,4755
1996-08-09,1996-05-13,1996-11-06,0.551487016242,0.576405731701,0.10329326399,0.652382553063,0.779860807602,0.750485466137,0.202806646368,0.794605468454,83,425,3,59,103,360,1164,3,220,322,230,1761,15,94,251,7359,37524,420,4755,7423
1996-11-06,1996-08-09,1996-11-12,0.472736379795,0.107437252863,0.774060196196,0.676651529015,0.659649549555,0.194262064955,0.906479866641,0.813268545897,425,3,59,103,72,1164,3,220,322,256,1761,15,94,251,111,37524,420,4755,7423,5227
1996-11-12,1996-11-06,1996-11-21,0.234544603264,0.0646979636362,0.110074328286,0.0616787383109,0.3518286645,0.13938514345,0.217731368117,0.131042799768,3,59,103,72,23,3,220,322,256,55,15,94,251,111,120,420,4755,7423,5227,1775
1996-11-21,1996-11-12,1997-03-27,0.0598876321419,0.112291900735,0.0568622853638,0.61243870624,0.155426306257,0.267070087918,0.145444069282,0.770613596886,59,103,72,23,37,220,322,256,55,93,94,251,111,120,140,4755,7423,5227,1775,3091
