filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-09-27,1995-02-13,0.460438134635,0.455884983278,0.229141718549,0.107905052613,0.833030547573,0.836365631949,0.477786524722,0.338727809585,25,26,170,12,22,17,20,230,5,20,10,9,427,12,7,1491,1523,12302,726,1219
1995-02-13,1994-11-14,1995-05-15,0.404905389815,0.217413883448,0.0890897874657,0.617644718231,0.803634241231,0.497823367556,0.313500778885,0.880231917404,26,170,12,22,27,20,230,5,20,17,9,427,12,7,7,1523,12302,726,1219,1497
1995-05-15,1995-02-13,1995-09-28,0.21882287362,0.0948479707299,0.530307139791,0.547531071183,0.468448192934,0.316374979852,0.850373369794,0.862269716543,170,12,22,27,25,230,5,20,17,16,427,12,7,7,7,12302,726,1219,1497,1574
1995-09-28,1995-05-15,1995-10-11,0.169729887682,0.288773116335,0.258602794019,0.267942880129,0.395587016245,0.591513851754,0.579853118831,0.557071815055,12,22,27,25,73,5,20,17,16,68,12,7,7,7,62,726,1219,1497,1574,6243
1995-10-11,1995-09-28,1995-11-14,0.290768755347,0.260137404872,0.26932319394,0.994819490733,0.594008567975,0.581640333237,0.558440690324,0.998355000204,22,27,25,73,73,20,17,16,68,71,7,7,7,62,73,1219,1497,1574,6243,6361
1995-11-14,1995-10-11,1996-02-14,0.395826589482,0.441062685302,0.280127808874,0.283124994647,0.767767094661,0.796273417375,0.542683640814,0.547250532778,27,25,73,73,7,17,16,68,71,0,7,7,62,73,5,1497,1574,6243,6361,1001
1996-02-14,1995-11-14,1996-05-15,0.431693170455,0.256802964453,0.259242264545,0.73774274676,0.792400565723,0.528688978835,0.532287489707,0.89603233491,25,73,73,7,9,16,68,71,0,1,7,62,73,5,5,1574,6243,6361,1001,1211
1996-05-15,1996-02-14,1996-09-26,0.256058503335,0.258331910061,0.699088283468,0.834939562467,0.534309298059,0.537523827603,0.895464507665,0.929456787509,73,73,7,9,10,68,71,0,1,1,62,73,5,5,5,6243,6361,1001,1211,1232
1996-09-26,1996-05-15,1996-11-14,0.507001215744,0.187611998376,0.178913556626,0.179010487938,0.666841355782,0.364362242095,0.367347743664,0.371130487013,73,7,9,10,296,71,0,1,1,517,73,5,5,5,796,6361,1001,1211,1232,18861
1996-11-14,1996-09-26,1997-02-14,0.629848309767,0.522841035784,0.504832823213,0.169911123746,0.91634935064,0.843834808065,0.840938785441,0.348680073168,7,9,10,296,10,0,1,1,517,0,5,5,5,796,5,1001,1211,1232,18861,984
1997-02-14,1996-11-14,1997-05-14,0.655725672074,0.572267148956,0.179203704866,0.5332898973,0.897710136484,0.853507903505,0.369963639875,0.848903466778,9,10,296,10,11,1,1,517,0,2,5,5,796,5,6,1211,1232,18861,984,1377
1997-05-14,1997-02-14,1997-09-25,0.61729195202,0.188453731739,0.512313859062,0.827126877448,0.894573031783,0.390878372088,0.841376503634,0.938480436001,10,296,10,11,12,1,517,0,2,2,5,796,5,6,6,1232,18861,984,1377,1527
1997-09-25,1997-05-14,1997-11-13,0.600333442369,0.223246291894,0.245423995203,0.263136526656,0.785410461952,0.467495476239,0.495132623246,0.523883398751,296,10,11,12,149,517,0,2,2,181,796,5,6,6,252,18861,984,1377,1527,11044
1997-11-13,1997-09-25,1998-02-12,0.526012377341,0.452557311034,0.496491336423,0.27808126961,0.870983722146,0.796885312495,0.825059699907,0.54329526095,10,11,12,149,11,0,2,2,181,4,5,6,6,252,7,984,1377,1527,11044,1200
1998-02-12,1997-11-13,1998-05-08,0.526586783164,0.519492411868,0.269063995018,0.61883773008,0.842084341352,0.841020480738,0.539811181266,0.864739716077,11,12,149,11,11,2,2,181,4,8,6,6,252,7,8,1377,1527,11044,1200,1563
1998-05-08,1998-02-12,1998-09-28,0.533179651596,0.273951657706,0.579180723782,0.77691845479,0.858849349879,0.553165017133,0.859284160648,0.925952290825,12,149,11,11,11,2,181,4,8,5,6,252,7,8,8,1527,11044,1200,1563,1578
1998-09-28,1998-05-08,1998-11-12,0.622293830858,0.254520270769,0.25577993431,0.269207694005,0.841514870126,0.514350655938,0.508542334395,0.52798669835,149,11,11,11,130,181,4,8,5,161,252,7,8,8,345,11044,1200,1563,1578,12119
1998-11-12,1998-09-28,1999-02-12,0.249783792258,0.220063738077,0.232336290045,0.256108256589,0.502089021584,0.474380764792,0.494905275195,0.534652794607,11,11,11,130,95,4,8,5,161,148,7,8,8,345,87,1200,1563,1578,12119,5502
1999-02-12,1998-11-12,1999-05-14,0.328467541238,0.319275052066,0.303135736465,0.316402742381,0.682577885516,0.682867858366,0.604969468617,0.58581277096,11,11,130,95,68,8,5,161,148,106,8,8,345,87,41,1563,1578,12119,5502,8634
1999-05-14,1999-02-12,1999-09-28,0.350462958734,0.238872584508,0.284499226815,0.439392239588,0.70911399991,0.5242904212,0.543152368491,0.769551271669,11,130,95,68,21,5,161,148,106,78,8,345,87,41,13,1578,12119,5502,8634,3071
1999-09-28,1999-05-14,1999-11-12,0.540192790208,0.208280042965,0.245684193212,0.207046874607,0.744308975129,0.45654854984,0.49489264432,0.473846742683,130,95,68,21,51,161,148,106,78,65,345,87,41,13,70,12119,5502,8634,3071,4865
1999-11-12,1999-09-28,1999-11-15,0.281862394248,0.384456834079,0.462206028681,0.2473477778,0.562456193976,0.751421299865,0.797345363563,0.522670668679,95,68,21,51,13,148,106,78,65,52,87,41,13,70,14,5502,8634,3071,4865,1923
1999-11-15,1999-11-12,2000-02-14,0.381192501369,0.456848744788,0.258695671371,0.983382566156,0.741626718641,0.788968477965,0.539157196623,0.991512263098,68,21,51,13,13,106,78,65,52,55,41,13,70,14,26,8634,3071,4865,1923,2045
2000-02-14,1999-11-15,2000-05-15,0.187581965608,0.140765182014,0.289596959411,0.287756293873,0.462402026869,0.351801441909,0.523492251037,0.523049412968,21,51,13,13,97,78,65,52,55,163,13,70,14,26,292,3071,4865,1923,2045,5826
2000-05-15,2000-02-14,2000-09-26,0.196075860209,0.415031762175,0.411721727418,0.245349186927,0.448286664365,0.672077839093,0.669948691796,0.489981370879,51,13,13,97,68,65,52,55,163,67,70,14,26,292,55,4865,1923,2045,5826,3295
2000-09-26,2000-05-15,2000-11-14,0.394817008051,0.397138497298,0.214357976891,0.327703423791,0.698454199871,0.698823679954,0.468552601557,0.607222607663,13,13,97,68,155,52,55,163,67,241,14,26,292,55,161,1923,2045,5826,3295,12556
2000-11-14,2000-09-26,2001-02-14,0.432301203806,0.185770356477,0.299007947751,0.385374540776,0.771476494893,0.445547499462,0.590454707284,0.646756188013,13,97,68,155,16,55,163,67,241,19,26,292,55,161,16,2045,5826,3295,12556,1715
2001-02-14,2000-11-14,2001-05-15,0.18041715377,0.272132882768,0.357546292295,0.571122042166,0.454650211508,0.588008587914,0.660177443475,0.845632395356,97,68,155,16,15,163,67,241,19,32,292,55,161,16,25,5826,3295,12556,1715,2431
2001-05-15,2001-02-14,2001-09-28,0.306637787161,0.34593619173,0.48506958631,0.63512213411,0.621610864797,0.640787847178,0.778595850981,0.858543491978,68,155,16,15,15,67,241,19,32,56,55,161,16,25,25,3295,12556,1715,2431,2809
2001-09-28,2001-05-15,2001-11-14,0.718245152024,0.367420452658,0.358159172362,0.362361258519,0.872037788876,0.59099057447,0.617303502364,0.605940044612,155,16,15,15,216,241,19,32,56,377,161,16,25,25,411,12556,1715,2431,2809,17919
2001-11-14,2001-09-28,2002-02-14,0.546423965083,0.468451400022,0.471933943521,0.390989595101,0.849678363297,0.801593132842,0.783193854425,0.6168631397,16,15,15,216,20,19,32,56,377,44,16,25,25,411,23,1715,2431,2809,17919,2418
2002-02-14,2001-11-14,2002-05-14,0.347523734973,0.329061926921,0.466397785536,0.434620944822,0.622761549724,0.600140386782,0.718136038003,0.62180346093,15,15,216,20,94,32,56,377,44,340,25,25,411,23,294,2431,2809,17919,2418,8160
2002-05-14,2002-02-14,2002-09-26,0.517440046184,0.396996924909,0.561610286199,0.450573932145,0.823757869036,0.648264301549,0.817017483671,0.666421541975,15,216,20,94,59,56,377,44,340,185,25,411,23,294,43,2809,17919,2418,8160,5711
2002-09-26,2002-05-14,2002-11-13,0.720646638738,0.348100891969,0.605721242904,0.411628380335,0.882194272126,0.547734717698,0.831859191232,0.615166703285,216,20,94,59,550,377,44,340,185,1087,411,23,294,43,1222,17919,2418,8160,5711,35210
2002-11-13,2002-09-26,2003-02-12,0.499645913967,0.371378019342,0.461272904217,0.40598105905,0.775297088061,0.631040077149,0.734071401871,0.622246857166,20,94,59,550,28,44,340,185,1087,101,23,294,43,1222,34,2418,8160,5711,35210,3871
2003-02-12,2002-11-13,2003-05-12,0.43060413617,0.489017116292,0.422333904064,0.714003521725,0.697397963836,0.778426320024,0.654200053429,0.890946323277,94,59,550,28,35,340,185,1087,101,110,294,43,1222,34,41,8160,5711,35210,3871,4946
2003-05-12,2003-02-12,2003-09-19,0.579375204789,0.428774775326,0.657113901103,0.768792117157,0.852857698932,0.664726086579,0.860383407847,0.911807555427,59,550,28,35,45,185,1087,101,110,137,43,1222,34,41,45,5711,35210,3871,4946,5828
2003-09-19,2003-05-12,2003-11-07,0.742518644871,0.45389134735,0.487478308052,0.507323320044,0.897785295444,0.707594316489,0.746026977695,0.754886458573,550,28,35,45,321,1087,101,110,137,691,1222,34,41,45,691,35210,3871,4946,5828,28402
2003-11-07,2003-09-19,2004-02-10,0.610984400245,0.556385391871,0.550410441916,0.450184946021,0.87820849402,0.828222383829,0.811460598,0.666122103802,28,35,45,321,22,101,110,137,691,70,34,41,45,691,33,3871,4946,5828,28402,3540
2004-02-10,2003-11-07,2004-05-06,0.614537050809,0.543143799234,0.460702372034,0.676826993289,0.89043802214,0.835302662389,0.710292779071,0.874981920867,35,45,321,22,39,110,137,691,70,93,41,45,691,33,43,4946,5828,28402,3540,4755
2004-05-06,2004-02-10,2004-08-27,0.610176625486,0.442266663566,0.648872222363,0.772830203799,0.880000196536,0.685351824944,0.859025095724,0.920177035418,45,321,22,39,57,137,691,70,93,95,45,691,33,43,49,5828,28402,3540,4755,4886
2004-08-27,2004-05-06,2004-11-04,0.732116114531,0.36351235014,0.4075974558,0.408672100093,0.885233323185,0.555121544265,0.620796728968,0.610612342478,321,22,39,57,633,691,70,93,95,1156,691,33,43,49,1303,28402,3540,4755,4886,38649
2004-11-04,2004-08-27,2005-02-09,0.231689408058,0.232459017668,0.233113113739,0.422161564174,0.426470039196,0.438955639207,0.432755986815,0.62699119452,22,39,57,633,274,70,93,95,1156,1312,33,43,49,1303,1668,3540,4755,4886,38649,27697
2005-02-09,2004-11-04,2005-04-26,0.256131191097,0.236958329988,0.269167013499,0.329157369794,0.467092077102,0.445612444196,0.481448363012,0.615542779105,39,57,633,274,213,93,95,1156,1312,874,43,49,1303,1668,774,4755,4886,38649,27697,24482
2005-04-26,2005-02-09,2005-05-05,0.0763148979225,0.173784606008,0.26005405585,0.853462574133,0.189304386771,0.325158431667,0.547407580291,0.897793616758,57,633,274,213,295,95,1156,1312,874,1009,49,1303,1668,774,1292,4886,38649,27697,24482,27891
2005-05-05,2005-04-26,2005-08-31,0.41508229952,0.269302610939,0.324275500832,0.102552189586,0.654530315663,0.487762769709,0.523471985255,0.239544958509,633,274,213,295,67,1156,1312,874,1009,144,1303,1668,774,1292,66,38649,27697,24482,27891,7163
2005-08-31,2005-05-05,2005-11-04,0.277984336915,0.280297703068,0.127507561042,0.584385043599,0.479657253416,0.4822751188,0.256072767679,0.782182259801,274,213,295,67,350,1312,874,1009,144,614,1668,774,1292,66,333,27697,24482,27891,7163,25603
2005-11-04,2005-08-31,2006-02-03,0.237790859657,0.0948738488768,0.538707466738,0.55428182707,0.459870290013,0.227040214221,0.783677403705,0.773282561695,213,295,67,350,48,874,1009,144,614,103,774,1292,66,333,59,24482,27891,7163,25603,6168
2006-02-03,2005-11-04,2006-05-04,0.131705600841,0.476472408059,0.510331551123,0.683388242447,0.291987655567,0.728900509743,0.734720845861,0.846208614429,295,67,350,48,97,1009,144,614,103,157,1292,66,333,59,262,27891,7163,25603,6168,9859
2006-05-04,2006-02-03,2006-08-25,0.386040360334,0.452060018615,0.474207069224,0.601380808229,0.601926595614,0.659251462816,0.659778073693,0.787848949208,67,350,48,97,351,144,614,103,157,693,66,333,59,262,947,7163,25603,6168,9859,21136
2006-08-25,2006-05-04,2006-11-03,0.875807599027,0.6194642299,0.563989606679,0.487779604703,0.970342121121,0.805755814898,0.758716127273,0.671788656534,350,48,97,351,315,614,103,157,693,621,333,59,262,947,357,25603,6168,9859,21136,24999
2006-11-03,2006-08-25,2007-02-05,0.397766247996,0.447308999513,0.732915837208,0.448147441588,0.576939864193,0.643252909493,0.868207936426,0.618855605632,48,97,351,315,290,103,157,693,621,608,59,262,947,357,839,6168,9859,21136,24999,16002
2007-02-05,2006-11-03,2007-05-04,0.581280118727,0.54269089964,0.568985118935,0.551435638935,0.823808706852,0.772754128597,0.799192949889,0.741266097915,97,351,315,290,120,157,693,621,608,191,262,947,357,839,248,9859,21136,24999,16002,7890
2007-05-04,2007-02-05,2007-08-24,0.433354294778,0.582092684527,0.414878936763,0.728507025464,0.645008649755,0.805224136592,0.582498546337,0.886340734557,351,315,290,120,80,693,621,608,191,156,947,357,839,248,102,21136,24999,16002,7890,6919
2007-08-24,2007-05-04,2007-11-01,0.930228598361,0.456232979673,0.596139091923,0.626442100064,0.987712384889,0.623492193598,0.809462287544,0.818748993264,315,290,120,80,335,621,608,191,156,689,357,839,248,102,403,24999,16002,7890,6919,26380
2007-11-01,2007-08-24,2008-02-04,0.311170137424,0.284577448789,0.256701469596,0.293284599471,0.606465274645,0.609614484358,0.558156082817,0.578693136331,290,120,80,335,189,608,191,156,689,906,839,248,102,403,1006,16002,7890,6919,26380,19521
2008-02-04,2007-11-01,2008-05-02,0.615947839109,0.627463362069,0.59387133697,0.302873112818,0.863625847106,0.868425656799,0.808702643257,0.591644102704,120,80,335,189,83,191,156,689,906,274,248,102,403,1006,213,7890,6919,26380,19521,7700
2008-05-02,2008-02-04,2008-08-19,0.343672870179,0.408700372382,0.313215923846,0.362973438752,0.523972005165,0.57061581821,0.600327465837,0.531458924102,80,335,189,83,575,156,689,906,274,1506,102,403,1006,213,2254,6919,26380,19521,7700,37343
2008-08-19,2008-05-02,2008-11-03,0.829796352572,0.30613428187,0.580208390392,0.535232433076,0.945125208534,0.601134402336,0.793687277912,0.668005478415,335,189,83,575,470,689,906,274,1506,820,403,1006,213,2254,714,26380,19521,7700,37343,32195
2008-11-03,2008-08-19,2009-02-05,0.293986359469,0.652363865942,0.352789369234,0.596137317451,0.593810380591,0.867658703452,0.519965116684,0.795031740119,189,83,575,470,63,906,274,1506,820,160,1006,213,2254,714,101,19521,7700,37343,32195,6424
2009-02-05,2008-11-03,2009-05-04,0.621556057217,0.45518980607,0.607350459571,0.715847845951,0.869784187082,0.651387079273,0.812678384261,0.870548265684,83,575,470,63,112,274,1506,820,160,254,213,2254,714,101,257,7700,37343,32195,6424,8403
2009-05-04,2009-02-05,2009-08-25,0.335406384156,0.543662647377,0.703652132163,0.724077526881,0.497941000863,0.757274428494,0.879093769667,0.877820972653,575,470,63,112,68,1506,820,160,254,220,2254,714,101,257,108,37343,32195,6424,8403,7187
2009-08-25,2009-05-04,2009-11-03,0.817498304151,0.605620903948,0.585255492015,0.603531297094,0.94369248408,0.820876998028,0.801283874782,0.795367408559,470,63,112,68,393,820,160,254,220,782,714,101,257,108,471,32195,6424,8403,7187,27568
2009-11-03,2009-08-25,2010-02-05,0.181757348642,0.202101676913,0.17284751121,0.200931244965,0.393737100748,0.424371705752,0.372381184958,0.408232683684,63,112,68,393,417,160,254,220,782,2998,101,257,108,471,1486,6424,8403,7187,27568,35863
2010-02-05,2009-11-03,2010-05-04,0.132784404196,0.133934350716,0.127310605323,0.942800120583,0.288099631179,0.289240787535,0.269322079419,0.911033523819,112,68,393,417,164,254,220,782,2998,2499,257,108,471,1486,173,8403,7187,27568,35863,20376
2010-05-04,2010-02-05,2010-08-26,0.121700863842,0.108464873559,0.896643428005,0.945184988151,0.249340635896,0.229200990374,0.885850647713,0.962624093203,68,393,417,164,253,220,782,2998,2499,3667,108,471,1486,173,778,7187,27568,35863,20376,28299
2010-08-26,2010-05-04,2010-11-03,0.0399342864286,0.854813296523,0.907623521753,0.971755283337,0.079795236645,0.817839235984,0.916416837304,0.967079109352,393,417,164,253,1488,782,2998,2499,3667,43200,471,1486,173,778,1739,27568,35863,20376,28299,160764
2010-11-03,2010-08-26,2011-02-07,0.870773636564,0.923160169023,0.980424308018,0.99449224346,0.832728312959,0.932119816631,0.977727540761,0.994425118414,417,164,253,1488,360,2998,2499,3667,43200,9069,1486,173,778,1739,518,35863,20376,28299,160764,40161
2011-02-07,2010-11-03,2011-05-04,0.334773406584,0.278209978788,0.138685707702,0.2111248607,0.366899383109,0.329771952098,0.149546530931,0.223818710285,164,253,1488,360,507,2499,3667,43200,9069,1139,173,778,1739,518,987,20376,28299,160764,40161,39130
2011-05-04,2011-02-07,2011-08-26,0.281240045282,0.138650720762,0.2117450472,0.976932190204,0.333931313475,0.149033999073,0.225843409991,0.978056859693,253,1488,360,507,437,3667,43200,9069,1139,950,778,1739,518,987,783,28299,160764,40161,39130,35995
2011-08-26,2011-05-04,2011-11-03,0.0600008571842,0.0809101144873,0.337700965866,0.3449860437,0.0970349511151,0.130874713654,0.558819899481,0.560049659543,1488,360,507,437,2145,43200,9069,1139,950,2644,1739,518,987,783,4327,160764,40161,39130,35995,131872
2011-11-03,2011-08-26,2012-02-06,0.0793269348366,0.310142163747,0.318408990753,0.964624438733,0.128171338824,0.516637453133,0.524560899186,0.956153290683,360,507,437,2145,546,9069,1139,950,2644,578,518,987,783,4327,1429,40161,39130,35995,131872,34057
2012-02-06,2011-11-03,2012-05-03,0.335303918327,0.341553791551,0.976902811945,0.98220846788,0.548538988582,0.553185897114,0.96527391269,0.983859655842,507,437,2145,546,588,1139,950,2644,578,648,987,783,4327,1429,1536,39130,35995,131872,34057,38702
2012-05-03,2012-02-06,2012-08-24,0.343654708047,0.977164690693,0.981873086558,0.995978215641,0.554565079375,0.965436460231,0.983404870827,0.996211484481,437,2145,546,588,608,950,2644,578,648,693,783,4327,1429,1536,1549,35995,131872,34057,38702,38642
2012-08-24,2012-05-03,2012-11-02,0.989955235614,0.960438254456,0.974339632439,0.975178486146,0.993287057214,0.953888070941,0.964434187199,0.964987865614,2145,546,588,608,2104,2644,578,648,693,2524,4327,1429,1536,1549,4035,131872,34057,38702,38642,126045
2012-11-02,2012-08-24,2013-02-05,0.974083095956,0.985511417629,0.985802799703,0.974739706947,0.976955372408,0.984744404087,0.984738513272,0.964705893239,546,588,608,2104,486,578,648,693,2524,555,1429,1536,1549,4035,1399,34057,38702,38642,126045,32412
2013-02-05,2012-11-02,2013-05-02,0.978831705817,0.976610272087,0.967513160977,0.985397108459,0.975810844845,0.972369251558,0.959555583778,0.981614163454,588,608,2104,486,603,648,693,2524,555,708,1536,1549,4035,1399,1790,38702,38642,126045,32412,39628
2013-05-02,2013-02-05,2013-08-23,0.988697229606,0.97343079974,0.990282143504,0.983323426563,0.991481716387,0.964539145122,0.989629694096,0.979623397542,608,2104,486,603,591,693,2524,555,708,697,1549,4035,1399,1790,1556,38642,126045,32412,39628,37961
2013-08-23,2013-05-02,2013-11-01,0.712696865374,0.680898403564,0.677435239147,0.681296257132,0.8483593501,0.806952335435,0.810039390922,0.809380267503,2104,486,603,591,2426,2524,555,708,697,3685,4035,1399,1790,1556,6250,126045,32412,39628,37961,168602
2013-11-01,2013-08-23,2014-02-05,0.731936448646,0.72186387276,0.722588301858,0.880469389057,0.845024353692,0.8372128904,0.838039873196,0.898966262147,486,603,591,2426,347,555,708,697,3685,672,1399,1790,1556,6250,1009,32412,39628,37961,168602,28233
2014-02-05,2013-11-01,2014-05-02,0.719507779519,0.716427966028,0.871588782083,0.979178260301,0.838237285877,0.832899756177,0.892587584563,0.983359756605,603,591,2426,347,411,708,697,3685,672,763,1790,1556,6250,1009,1150,39628,37961,168602,28233,33545
2014-05-02,2014-02-05,2014-08-25,0.717849936387,0.866293410579,0.974018404723,0.977135104687,0.834836464719,0.888224706197,0.979024847274,0.986305011455,591,2426,347,411,400,697,3685,672,763,821,1556,6250,1009,1150,1154,37961,168602,28233,33545,34582
2014-08-25,2014-05-02,2014-11-03,0.897064393168,0.949965017402,0.945718299779,0.946582554519,0.922929215089,0.941762874395,0.943607202753,0.943779985424,2426,347,411,400,1558,3685,672,763,821,2562,6250,1009,1150,1154,3236,168602,28233,33545,34582,110085
2014-11-03,2014-08-25,2015-02-05,0.973871659356,0.963396785188,0.963589116735,0.944675035281,0.977912427592,0.970612175016,0.971001151196,0.939619363519,347,411,400,1558,423,672,763,821,2562,1243,1009,1150,1154,3236,1275,28233,33545,34582,110085,36503
2015-02-05,2014-11-03,2015-05-04,0.952468154289,0.945568897555,0.933054857931,0.964184439002,0.962946245512,0.95670159234,0.937891316005,0.968240490706,411,400,1558,423,572,763,821,2562,1243,1728,1150,1154,3236,1275,2059,33545,34582,110085,36503,48057
2015-05-04,2015-02-05,2015-08-21,0.963141657294,0.937837149836,0.975269235397,0.973845250871,0.975358952888,0.933291179325,0.983313911334,0.973911214297,400,1558,423,572,518,821,2562,1243,1728,1341,1154,3236,1275,2059,1354,34582,110085,36503,48057,41417
2015-08-21,2015-05-04,2015-11-02,0.956093571589,0.916269929833,0.921098631003,0.929293100653,0.973170540543,0.928454734901,0.932182133972,0.933884698513,1558,423,572,518,1675,2562,1243,1728,1341,2979,3236,1275,2059,1354,3135,110085,36503,48057,41417,114663
2015-11-02,2015-08-21,2016-02-04,0.941592705675,0.935852401616,0.949591586111,0.953230850893,0.964068131575,0.951679809453,0.965730735185,0.952063001187,423,572,518,1675,485,1243,1728,1341,2979,1042,1275,2059,1354,3135,1215,36503,48057,41417,114663,34443
