filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-14,1995-05-12,0.548632255395,0.4532734227,0.447386836447,0.472373024722,0.762479659408,0.738726077156,0.717180639061,0.75209576435,189,18,25,33,217,555,38,39,45,345,999,30,30,35,396,25805,2395,2947,3240,19107
1995-05-12,1995-03-29,1995-08-11,0.586765705085,0.560000103918,0.584315122296,0.507184932132,0.876993478364,0.84622079631,0.873043415361,0.782789253199,18,25,33,217,24,38,39,45,345,55,30,30,35,396,37,2395,2947,3240,19107,3274
1995-08-11,1995-05-12,1995-11-01,0.61461070911,0.573199029775,0.49543651303,0.711592115435,0.885462645844,0.856812959928,0.752826068309,0.90543053107,25,33,217,24,24,39,45,345,55,50,30,35,396,37,49,2947,3240,19107,3274,3517
1995-11-01,1995-08-11,1996-03-29,0.328059495196,0.36812059116,0.340757560294,0.377978301896,0.569214621192,0.612640191351,0.560686893629,0.577129113048,33,217,24,24,52,45,345,55,50,140,35,396,37,49,403,3240,19107,3274,3517,7525
1996-03-29,1995-11-01,1996-05-15,0.528339397762,0.299658496514,0.299302683036,0.569553319329,0.727544125751,0.501508096829,0.487444845964,0.715105504074,217,24,24,52,504,345,55,50,140,1072,396,37,49,403,1814,19107,3274,3517,7525,37060
1996-05-15,1996-03-29,1996-08-09,0.701703463543,0.685393624067,0.360678750809,0.309182574569,0.935399010413,0.901791280761,0.570095227,0.497617005599,24,24,52,504,27,55,50,140,1072,43,37,49,403,1814,51,3274,3517,7525,37060,3164
1996-08-09,1996-05-15,1996-11-14,0.776690936549,0.367731827679,0.310634477353,0.788235792705,0.956594928478,0.568157718566,0.48648036736,0.919042577349,24,52,504,27,31,50,140,1072,43,48,49,403,1814,51,49,3517,7525,37060,3164,3421
1996-11-14,1996-08-09,1997-03-31,0.407544601836,0.308828897942,0.768996527231,0.835986427456,0.596386080033,0.486838394065,0.917795086621,0.934064576066,52,504,27,31,26,140,1072,43,48,50,403,1814,51,49,51,7525,37060,3164,3421,3418
1997-03-31,1996-11-14,1997-05-15,0.721025712447,0.231357075635,0.255897111274,0.255164521626,0.844360418793,0.406898503256,0.419832380132,0.422598427253,504,27,31,26,578,1072,43,48,50,1381,1814,51,49,51,2629,37060,3164,3421,3418,49978
1997-05-15,1997-03-31,1997-05-23,0.823427162984,0.766904219297,0.794518785312,0.249950488528,0.956668341598,0.9037637099,0.91920153253,0.419687804753,27,31,26,578,16,43,48,50,1381,47,51,49,51,2629,45,3164,3421,3418,49978,2964
1997-05-23,1997-05-15,1997-08-08,0.754145589012,0.781198054929,0.249660535704,0.983875428809,0.899557602039,0.914910184596,0.423046059016,0.996440579895,31,26,578,16,16,48,50,1381,47,50,49,51,2629,45,48,3421,3418,49978,2964,3031
1997-08-08,1997-05-23,1997-11-13,0.790302655269,0.245497251004,0.842605494499,0.828155087583,0.920770726342,0.408749999968,0.920688978156,0.916133830763,26,578,16,16,19,50,1381,47,50,48,51,2629,45,48,44,3418,49978,2964,3031,3350
1997-11-13,1997-08-08,1998-03-31,0.239040331594,0.819949788354,0.805881260973,0.854359012811,0.404898064027,0.920325944019,0.915697765371,0.933963655752,578,16,16,19,21,1381,47,50,48,50,2629,45,48,44,46,49978,2964,3031,3350,3416
1998-03-31,1997-11-13,1998-05-15,0.541597383367,0.535062253723,0.536121717504,0.529474708395,0.752948596979,0.751996814115,0.739257079378,0.74043633834,16,16,19,21,338,47,50,48,50,476,45,48,44,46,470,2964,3031,3350,3416,20587
1998-05-15,1998-03-31,1998-05-18,0.822967289652,0.753982414756,0.751791458796,0.57006317224,0.943516143389,0.887333872917,0.890076288011,0.759312918206,16,19,21,338,26,50,48,50,476,53,48,44,46,470,44,3031,3350,3416,20587,3282
1998-05-18,1998-05-15,1998-08-06,0.732484412578,0.730353622456,0.572675594744,0.965160992768,0.879602420983,0.882224240304,0.770712202848,0.988052683263,19,21,338,26,26,48,50,476,53,55,44,46,470,44,49,3350,3416,20587,3282,3443
1998-08-06,1998-05-18,1998-11-13,0.413438186848,0.683414123146,0.45017156203,0.44137238794,0.579668350371,0.785085833261,0.594198607898,0.594987942414,21,338,26,26,146,50,476,53,55,196,46,470,44,49,325,3416,20587,3282,3443,7344
1998-11-13,1998-08-06,1999-03-29,0.532000344745,0.71020965319,0.694491945065,0.448375481941,0.784750515627,0.887979871679,0.886907028612,0.638095432867,338,26,26,146,38,476,53,55,196,94,470,44,49,325,88,20587,3282,3443,7344,4670
1999-03-29,1998-11-13,1999-05-13,0.553308014583,0.555731649555,0.415683272332,0.562282758609,0.748373072732,0.759867274559,0.600187527153,0.785982227013,26,26,146,38,255,53,55,196,94,497,44,49,325,88,587,3282,3443,7344,4670,22371
1999-05-13,1999-03-29,1999-08-13,0.761635516042,0.398843413276,0.772635132687,0.6009612665,0.932215157755,0.58721893169,0.913736671843,0.797467587516,26,146,38,255,39,55,196,94,497,101,49,325,88,587,47,3443,7344,4670,22371,4517
