filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2004-03-12,2003-10-31,2004-05-05,0.802688502275,0.38475199959,0.378538495049,0.39272066174,0.878733488315,0.557496787768,0.527764925204,0.524804866643,1075,84,65,81,518,2725,403,313,380,1614,5056,322,149,158,2281,97357,10360,9801,10035,55701
2004-05-05,2004-03-12,2004-07-30,0.242703786917,0.216983070155,0.228069061228,0.317599200018,0.446747499635,0.395130235178,0.398401363486,0.505250000354,84,65,81,518,239,403,313,380,1614,902,322,149,158,2281,1428,10360,9801,10035,55701,26963
2004-07-30,2004-05-05,2004-10-29,0.412336571502,0.38268460531,0.609675876209,0.309486089335,0.563066545797,0.527978412707,0.750732290063,0.501601833123,65,81,518,239,199,313,380,1614,902,687,149,158,2281,1428,1221,9801,10035,55701,26963,21968
2004-10-29,2004-07-30,2005-02-23,0.773158474095,0.376762013303,0.241694707174,0.428820453915,0.896803491208,0.508979030193,0.399182165877,0.546446874828,81,518,239,199,56,380,1614,902,687,286,158,2281,1428,1221,142,10035,55701,26963,21968,8043
2005-02-23,2004-10-29,2005-05-05,0.877130954088,0.310289316541,0.597416013447,0.390851298588,0.944151623515,0.503723797388,0.73754345457,0.51684226065,518,239,199,56,498,1614,902,687,286,1580,2281,1428,1221,142,2122,55701,26963,21968,8043,54103
2005-05-05,2005-02-23,2005-08-02,0.254438404303,0.40658745096,0.686028557782,0.410205074292,0.4198407261,0.55166904357,0.8397386049,0.535946154181,239,199,56,498,40,902,687,286,1580,241,1428,1221,142,2122,171,26963,21968,8043,54103,7378
2005-08-02,2005-05-05,2005-11-03,0.450480248931,0.672593135959,0.385187426492,0.798007180218,0.580087200755,0.831725937832,0.514118473601,0.882706454175,199,56,498,40,47,687,286,1580,241,263,1221,142,2122,171,186,21968,8043,54103,7378,8476
2005-11-03,2005-08-02,2006-02-22,0.809450154081,0.391719312638,0.792277026545,0.807370614813,0.939099835598,0.529461465047,0.899150062434,0.892904907555,56,498,40,47,51,286,1580,241,263,273,142,2122,171,186,196,8043,54103,7378,8476,8371
2006-02-22,2005-11-03,2006-04-28,0.830636492246,0.443794546266,0.418779511195,0.436407435873,0.920420559354,0.592476795345,0.56349853398,0.586132880481,498,40,47,51,561,1580,241,263,273,1392,2122,171,186,196,1889,54103,7378,8476,8371,54101
2006-04-28,2006-02-22,2006-07-28,0.78887371938,0.668937178592,0.68026103237,0.426900016202,0.913781550824,0.808791660689,0.825791106177,0.554539090226,40,47,51,561,40,241,263,273,1392,241,171,186,196,1889,191,7378,8476,8371,54101,7546
2006-07-28,2006-04-28,2006-10-31,0.756145932442,0.632080350009,0.447727774482,0.745518711758,0.899837151488,0.806367730575,0.596863047367,0.837736715574,47,51,561,40,59,263,273,1392,241,291,186,196,1889,191,264,8476,8371,54101,7546,9243
2006-10-31,2006-07-28,2007-02-26,0.684605107648,0.401333698094,0.666152466751,0.679746904464,0.862104470925,0.56223744579,0.803645274024,0.828877812874,51,561,40,59,77,273,1392,241,291,277,196,1889,191,264,153,8371,54101,7546,9243,9581
2007-02-26,2006-10-31,2007-04-27,0.77417091174,0.473424079326,0.486128650664,0.49912548674,0.888449506157,0.636880089558,0.671038522712,0.674036946205,561,40,59,77,395,1392,241,291,277,919,1889,191,264,153,1003,54101,7546,9243,9581,43379
