filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-02-23,2006-11-01,2007-05-02,0.478407914455,0.419506083216,0.378003477012,0.436962374388,0.688356996329,0.657404346974,0.59803609775,0.644339473419,475,54,107,81,345,1080,148,375,193,685,1550,63,304,84,650,36235,5487,11090,6983,24367
2007-05-02,2007-02-23,2007-08-01,0.599161122241,0.371354790911,0.549436095106,0.402128453679,0.831867144384,0.591522961907,0.776115691905,0.617803655752,54,107,81,345,63,148,375,193,685,110,63,304,84,650,38,5487,11090,6983,24367,4638
2007-08-01,2007-05-02,2007-10-31,0.400053453207,0.507050081027,0.396276560663,0.733004756989,0.620116371674,0.757738134344,0.624771845376,0.908877196658,107,81,345,63,62,375,193,685,110,138,304,84,650,38,83,11090,6983,24367,4638,5238
2007-10-31,2007-08-01,2008-02-26,0.580994571013,0.426114070849,0.705955739119,0.811117185631,0.820748602878,0.655636129477,0.894527396925,0.9233806957,81,345,63,62,67,193,685,110,138,151,84,650,38,83,87,6983,24367,4638,5238,5707
2008-02-26,2007-10-31,2008-04-24,0.722309675465,0.538494396631,0.544521032537,0.587989043386,0.871770926348,0.73184941303,0.734005701174,0.765689570818,345,63,62,67,310,685,110,138,151,625,650,38,83,87,428,24367,4638,5238,5707,20932
2008-04-24,2008-02-26,2008-07-24,0.734884988305,0.670168285878,0.678194819033,0.567038430036,0.915969973351,0.871417853475,0.874123566444,0.732711983815,63,62,67,310,60,110,138,151,625,93,38,83,87,428,36,4638,5238,5707,20932,4487
2008-07-24,2008-04-24,2008-10-23,0.696112907495,0.643979354385,0.544390053739,0.809608546172,0.893781077816,0.861621400864,0.735171133033,0.937498061732,62,67,310,60,52,138,151,625,93,123,83,87,428,36,40,5238,5707,20932,4487,4918
2008-10-23,2008-07-24,2009-02-19,0.720625584375,0.535773322968,0.789106428773,0.818543462713,0.907470569785,0.726924549629,0.929242532198,0.933483980765,67,310,60,52,58,151,625,93,123,137,87,428,36,40,38,5707,20932,4487,4918,5137
2009-02-19,2008-10-23,2009-04-23,0.379800483912,0.237873424048,0.232663356706,0.234587023575,0.664836688317,0.496909803814,0.500006360215,0.499748593716,310,60,52,58,450,625,93,123,137,1233,428,36,40,38,1817,20932,4487,4918,5137,39701
2009-04-23,2009-02-19,2009-07-24,0.748245485845,0.66428970255,0.664531700256,0.256265310523,0.915178015197,0.871935831439,0.872578807303,0.517963681191,60,52,58,450,31,93,123,137,1233,113,36,40,38,1817,48,4487,4918,5137,39701,4433
2009-07-24,2009-04-23,2009-10-27,0.671450633856,0.585246061836,0.274687346115,0.729495765175,0.854220902838,0.811110919272,0.561999474257,0.878394447448,52,58,450,31,44,123,137,1233,113,150,40,38,1817,48,137,4918,5137,39701,4433,5900
2009-10-27,2009-07-24,2010-02-19,0.72038796509,0.236009644815,0.798806619035,0.7312312325,0.915592575401,0.502471685538,0.921194338208,0.873245879836,58,450,31,44,44,137,1233,113,150,124,38,1817,48,137,49,5137,39701,4433,5900,5051
2010-02-19,2009-10-27,2010-04-23,0.331273182171,0.632426172527,0.564487168093,0.624619030328,0.6023186087,0.794178593869,0.761324383677,0.792159263382,450,31,44,44,238,1233,113,150,124,544,1817,48,137,49,183,39701,4433,5900,5051,16422
2010-04-23,2010-02-19,2010-07-27,0.839919925703,0.658866171907,0.730793951267,0.637313162483,0.958102585994,0.85162976213,0.893710064632,0.796708259792,31,44,44,238,36,113,150,124,544,103,48,137,49,183,50,4433,5900,5051,16422,4348
2010-07-27,2010-04-23,2010-10-22,0.0746162121436,0.0675722512101,0.0667095956177,0.0803494491248,0.122732811712,0.115796360387,0.114784215202,0.124784464628,44,44,238,36,95,150,124,544,103,3656,137,49,183,50,210,5900,5051,16422,4348,18847
2010-10-22,2010-07-27,2011-02-17,0.0742668845658,0.0699461311412,0.0770578427351,0.997539309028,0.120879036238,0.117277711559,0.121234998176,0.998281479584,44,238,36,95,129,124,544,103,3656,4056,49,183,50,210,371,5051,16422,4348,18847,20534
2011-02-17,2010-10-22,2011-04-21,0.451425745942,0.337780161927,0.273415557795,0.262801591318,0.662220234207,0.551392002643,0.234057217825,0.226558682657,238,36,95,129,486,544,103,3656,4056,1154,183,50,210,371,1102,16422,4348,18847,20534,42699
2011-04-21,2011-02-17,2011-07-21,0.240551891692,0.305402714463,0.292139567289,0.867553804338,0.470084739143,0.264811045038,0.25532007663,0.862724618259,36,95,129,486,88,103,3656,4056,1154,319,50,210,371,1102,332,4348,18847,20534,42699,13551
2011-07-21,2011-04-21,2011-10-21,0.101000566123,0.0964865310766,0.321989193609,0.276980460463,0.14679209557,0.140578058128,0.507277688394,0.503089608737,95,129,486,88,314,3656,4056,1154,319,464,210,371,1102,332,1236,18847,20534,42699,13551,26898
2011-10-21,2011-07-21,2012-02-10,0.0924485031612,0.298030720736,0.260938914077,0.984686673496,0.134666914921,0.476163576354,0.476745473912,0.986066635042,129,486,88,314,307,4056,1154,319,464,450,371,1102,332,1236,1156,20534,42699,13551,26898,25176
2012-02-10,2011-10-21,2012-04-20,0.360948155177,0.273538669326,0.978243130878,0.968545029511,0.562688038522,0.504071944825,0.977188704995,0.966229763942,486,88,314,307,972,1154,319,464,450,1304,1102,332,1236,1156,2657,42699,13551,26898,25176,72626
2012-04-20,2012-02-10,2012-07-20,0.28420617554,0.985348527957,0.974517390411,0.976401849312,0.521153968713,0.988050982726,0.975607508696,0.97723070676,88,314,307,972,336,319,464,450,1304,506,332,1236,1156,2657,1300,13551,26898,25176,72626,28728
2012-07-20,2012-04-20,2012-10-19,0.966035700676,0.954301588025,0.951841121775,0.962548168416,0.989325982181,0.976867512548,0.97115595598,0.985149484377,314,307,972,336,321,464,450,1304,506,464,1236,1156,2657,1300,1164,26898,25176,72626,28728,26212
2012-10-19,2012-07-20,2013-02-08,0.97534904976,0.970954818023,0.981331369766,0.967387200681,0.979299422099,0.972036022838,0.985785258199,0.989309026619,307,972,336,321,322,450,1304,506,464,644,1156,2657,1300,1164,1223,25176,72626,28728,26212,27052
2013-02-08,2012-10-19,2013-04-19,0.992439073916,0.972039980203,0.954164880559,0.975965483858,0.995828741881,0.973721856825,0.973257032372,0.975744395404,972,336,321,322,969,1304,506,464,644,1380,2657,1300,1164,1223,2507,72626,28728,26212,27052,70907
2013-04-19,2013-02-08,2013-07-19,0.984349793606,0.966410516797,0.990160447443,0.980823037725,0.987981748017,0.988964626499,0.992394239775,0.980654565086,336,321,322,969,299,506,464,644,1380,484,1300,1164,1223,2507,1128,28728,26212,27052,70907,25751
2013-07-19,2013-04-19,2013-10-18,0.629102103969,0.661330643339,0.651509952292,0.67407041333,0.817927232308,0.829610414552,0.818635929774,0.840683827333,321,322,969,299,180,464,644,1380,484,586,1164,1223,2507,1128,1321,26212,27052,70907,25751,30302
2013-10-18,2013-07-19,2014-02-05,0.690295004018,0.674874841993,0.696057644923,0.919652527487,0.839268370232,0.822746229635,0.841588896545,0.950766293429,322,969,299,180,118,644,1380,484,586,303,1223,2507,1128,1321,612,27052,70907,25751,30302,18663
2014-02-05,2013-10-18,2014-04-17,0.6982209807,0.667909255221,0.879041597195,0.94855571205,0.844895501221,0.814011061095,0.914275279673,0.95898041298,969,299,180,118,587,1380,484,586,303,1212,2507,1128,1321,612,1463,70907,25751,30302,18663,56283
2014-04-17,2014-02-05,2014-07-22,0.692515128447,0.913652765714,0.984337019603,0.945141297634,0.837569971885,0.947847814278,0.991469375017,0.956745893925,299,180,118,587,101,484,586,303,1212,294,1128,1321,612,1463,593,25751,30302,18663,56283,18102
2014-07-22,2014-04-17,2014-10-21,0.917225507729,0.980380184104,0.941982000288,0.983397659843,0.950639254346,0.989141741984,0.955160352184,0.991129499107,180,118,587,101,115,586,303,1212,294,319,1321,612,1463,593,700,30302,18663,56283,18102,19438
2014-10-21,2014-07-22,2015-02-04,0.990088932173,0.942689580757,0.983560980953,0.983625808317,0.995735454163,0.954116991153,0.990653208459,0.990609294077,118,587,101,115,115,303,1212,294,319,284,612,1463,593,700,595,18663,56283,18102,19438,18215
