filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-10,1994-11-10,1995-05-11,0.77634500321,0.369823921093,0.295324940811,0.341087130991,0.928156432879,0.644823014934,0.619438767209,0.558159328556,118,53,52,280,105,197,65,32,574,229,272,138,146,1812,430,10246,3822,3507,24562,12332
1995-05-11,1995-03-10,1995-08-01,0.50394002969,0.392074257185,0.452233417509,0.371386264561,0.745023979792,0.682542976381,0.616288679013,0.663731347176,53,52,280,105,86,65,32,574,229,90,138,146,1812,430,275,3822,3507,24562,12332,6181
1995-08-01,1995-05-11,1995-11-13,0.41449938261,0.113958624908,0.260264386688,0.206156596218,0.66143037334,0.25355813738,0.520753809512,0.403273527229,52,280,105,86,12,32,574,229,90,8,146,1812,430,275,14,3507,24562,12332,6181,1426
1995-11-13,1995-08-01,1996-03-05,0.137400479927,0.281432684047,0.215997179738,0.534622179053,0.281726435643,0.559118452422,0.426285369091,0.774903005035,280,105,86,12,15,574,229,90,8,16,1812,430,275,14,9,24562,12332,6181,1426,1592
1996-03-05,1995-11-13,1996-04-30,0.827095221616,0.417980776844,0.264561763485,0.292873299528,0.948025999811,0.706412394909,0.50443574261,0.543828249899,105,86,12,15,153,229,90,8,16,311,430,275,14,9,518,12332,6181,1426,1592,13736
1996-04-30,1996-03-05,1996-07-25,0.239734175142,0.460688980034,0.524685681767,0.273328490083,0.442747278293,0.756472463106,0.821603080961,0.513530150857,86,12,15,153,20,90,8,16,311,8,275,14,9,518,16,6181,1426,1592,13736,1456
1996-07-25,1996-04-30,1996-11-04,0.128654248864,0.113054695927,0.28244078636,0.116946843474,0.26248409355,0.256710749306,0.48688066364,0.25384098179,12,15,153,20,227,8,16,311,8,726,14,9,518,16,2012,1426,1592,13736,1456,24146
1996-11-04,1996-07-25,1997-03-04,0.609625548945,0.270380453577,0.54041853227,0.128601195407,0.897161846811,0.528441072344,0.837310245765,0.271371223373,15,153,20,227,15,16,311,8,726,18,9,518,16,2012,18,1592,13736,1456,24146,1615
1997-03-04,1996-11-04,1997-04-25,0.804825995629,0.277440926827,0.259794864,0.285635058097,0.931107636443,0.532887655261,0.471963536308,0.545594548762,153,20,227,15,153,311,8,726,18,159,518,16,2012,18,360,13736,1456,24146,1615,12416
1997-04-25,1997-03-04,1997-07-30,0.288226170347,0.269667805075,0.239176167729,0.380822411333,0.535407482996,0.458331715322,0.507562527775,0.700963061599,20,227,15,153,66,8,726,18,159,55,16,2012,18,360,186,1456,24146,1615,12416,4660
1997-07-30,1997-04-25,1997-11-07,0.132732238667,0.460291003493,0.279582855531,0.281304468584,0.268876950765,0.762705531996,0.526932431264,0.524112248593,227,15,153,66,23,726,18,159,55,10,2012,18,360,186,10,24146,1615,12416,4660,1723
1997-11-07,1997-07-30,1998-03-04,0.572209459117,0.315423433822,0.317538461303,0.62600274027,0.870134139243,0.596156047179,0.594093205282,0.822564954643,15,153,66,23,23,18,159,55,10,9,18,360,186,10,10,1615,12416,4660,1723,1656
1998-03-04,1997-11-07,1998-05-01,0.784466130284,0.264982952484,0.288546855931,0.331847623773,0.911876457933,0.594231991459,0.54467155483,0.613063904846,153,66,23,23,102,159,55,10,9,123,360,186,10,10,238,12416,4660,1723,1656,9725
1998-05-01,1998-03-04,1998-07-21,0.288201792006,0.106831863951,0.131627839025,0.2068395677,0.488213731135,0.243300226812,0.294156741235,0.434022835941,66,23,23,102,334,55,10,9,123,863,186,10,10,238,2712,4660,1723,1656,9725,34264
1998-07-21,1998-05-01,1998-11-02,0.560928601327,0.408035498038,0.32229931128,0.127401794025,0.855328236156,0.733630960424,0.58260145597,0.274905020629,23,23,102,334,26,10,9,123,863,27,10,10,238,2712,15,1723,1656,9725,34264,2041
1998-11-02,1998-07-21,1999-03-09,0.470810006423,0.315685385745,0.146516863597,0.535332021549,0.804130488995,0.652229759073,0.338085074936,0.800599006448,23,102,334,26,31,9,123,863,27,59,10,238,2712,15,13,1656,9725,34264,2041,2427
1999-03-09,1998-11-02,1999-05-04,0.80672580425,0.242914636072,0.302544099928,0.400902728693,0.941995970644,0.461776267441,0.582894518123,0.693278638155,102,334,26,31,132,123,863,27,59,238,238,2712,15,13,310,9725,34264,2041,2427,12692
1999-05-04,1999-03-09,1999-06-30,0.153741503646,0.468878490425,0.541768883471,0.352294687139,0.340294466564,0.775317110525,0.85874065832,0.657740617516,334,26,31,132,24,863,27,59,238,29,2712,15,13,310,9,34264,2041,2427,12692,2205
1999-06-30,1999-05-04,1999-08-10,0.0982516118898,0.111394080402,0.132301983852,0.110566130005,0.316553617414,0.354941737407,0.376274150733,0.341659263011,26,31,132,24,53,27,59,238,29,53,15,13,310,9,40,2041,2427,12692,2205,2748
1999-08-10,1999-06-30,1999-10-29,0.483872931096,0.32963295517,0.701071826181,0.108266866123,0.787574159213,0.613397308688,0.86217005514,0.331182827533,31,132,24,53,28,59,238,29,53,43,13,310,9,40,8,2427,12692,2205,2748,2497
1999-10-29,1999-08-10,1999-11-03,0.356143903697,0.705250060502,0.11130795545,0.731300843616,0.664367678377,0.918577031933,0.347833017476,0.865562912115,132,24,53,28,30,238,29,53,43,59,310,9,40,8,8,12692,2205,2748,2497,2615
1999-11-03,1999-10-29,2000-03-17,0.410198430502,0.172048815873,0.402107784715,0.439047781037,0.692262034575,0.474118854206,0.665967491842,0.722884824682,24,53,28,30,85,29,53,43,59,179,9,40,8,8,65,2205,2748,2497,2615,6287
2000-03-17,1999-11-03,2000-04-27,0.400685731739,0.356743235597,0.389117069276,0.604017429014,0.55005076929,0.641924504038,0.695166457085,0.850686314096,53,28,30,85,167,53,43,59,179,251,40,8,8,65,258,2748,2497,2615,6287,13157
2000-04-27,2000-03-17,2000-07-31,0.528354156016,0.572988408557,0.397314687888,0.369640635244,0.787686261995,0.851816863392,0.652261600205,0.625305766307,28,30,85,167,15,43,59,179,251,30,8,8,65,258,10,2497,2615,6287,13157,1763
2000-07-31,2000-04-27,2000-11-02,0.489921377379,0.361377953919,0.330305177872,0.626552331611,0.747298863912,0.595631517787,0.560086578413,0.81193918353,30,85,167,15,21,59,179,251,30,31,8,65,258,10,9,2615,6287,13157,1763,1931
2000-11-02,2000-07-31,2001-03-13,0.402678705089,0.365920578424,0.736419314105,0.658359918275,0.657133404763,0.616275349046,0.926714629576,0.824647696079,85,167,15,21,12,179,251,30,31,29,65,258,10,9,9,6287,13157,1763,1931,1764
2001-03-13,2000-11-02,2001-04-26,0.744849081607,0.329548777058,0.287109146792,0.326230909846,0.878330776325,0.56828623665,0.501288720397,0.554570784729,167,15,21,12,138,251,30,31,29,312,258,10,9,9,461,13157,1763,1931,1764,14437
2001-04-26,2001-03-13,2001-08-07,0.692844167772,0.496590924643,0.611355325412,0.320722205221,0.923207831425,0.76957489254,0.890477352199,0.562021684914,15,21,12,138,20,30,31,29,312,48,10,9,9,461,15,1763,1931,1764,14437,1929
2001-08-07,2001-04-26,2001-11-05,0.0826945900144,0.0777996301129,0.236524183298,0.0868881747703,0.178124389653,0.177712086121,0.366221865162,0.191435017663,21,12,138,20,411,31,29,312,48,1450,9,9,461,15,2905,1931,1764,14437,1929,46223
2001-11-05,2001-08-07,2002-02-28,0.533869952549,0.329647450939,0.536061043532,0.162270155105,0.833819190901,0.602101400953,0.825000709873,0.294202502783,12,138,20,411,27,29,312,48,1450,102,9,461,15,2905,24,1764,14437,1929,46223,2794
2002-02-28,2001-11-05,2002-05-15,0.658158874218,0.348408907487,0.15991957776,0.403420133812,0.850089264499,0.617697416924,0.304216061151,0.70668591586,138,20,411,27,167,312,48,1450,102,322,461,15,2905,24,246,14437,1929,46223,2794,15154
