filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-02-25,2002-10-28,2003-04-30,0.362502256951,0.460567424922,0.253862243334,0.286777851925,0.493936483204,0.680373854594,0.371576242927,0.447635979211,251,527,90,244,1243,439,1332,237,983,3614,376,1748,173,1278,5852,13226,42449,5434,19368,110849
2003-04-30,2003-02-25,2003-07-28,0.24554805822,0.558495387203,0.319411103784,0.295920400479,0.437037119712,0.798507675892,0.535720862008,0.42379974336,527,90,244,1243,115,1332,237,983,3614,226,1748,173,1278,5852,189,42449,5434,19368,110849,6826
2003-07-28,2003-04-30,2003-10-27,0.241336672044,0.239174168677,0.225078186641,0.306040436122,0.519694077903,0.565976958911,0.445638510497,0.567396423518,90,244,1243,115,228,237,983,3614,226,680,173,1278,5852,189,971,5434,19368,110849,6826,17033
2003-10-27,2003-07-28,2004-02-25,0.336226143388,0.290534753413,0.695829245312,0.339961543762,0.577480061766,0.428292038846,0.872718528992,0.609102065102,244,1243,115,228,155,983,3614,226,680,258,1278,5852,189,971,340,19368,110849,6826,17033,9225
2004-02-25,2003-10-27,2004-04-26,0.666268285436,0.304030727661,0.39920261767,0.321971676444,0.840494038636,0.500502110975,0.607694955434,0.522652445426,1243,115,228,155,1533,3614,226,680,258,4678,5852,189,971,340,7860,110849,6826,17033,9225,134847
2004-04-26,2004-02-25,2004-07-26,0.437167031424,0.201499724493,0.415082943562,0.357364703764,0.730617072856,0.525182302726,0.720118342481,0.638775663744,115,228,155,1533,188,226,680,258,4678,330,189,971,340,7860,600,6826,17033,9225,134847,11094
2004-07-26,2004-04-26,2004-10-25,0.178802983119,0.296636400109,0.648277885194,0.437215298413,0.409101553768,0.479532558673,0.823292119301,0.648237302758,228,155,1533,188,1032,680,258,4678,330,2630,971,340,7860,600,2853,17033,9225,134847,11094,83064
2004-10-25,2004-07-26,2004-12-17,0.29520471014,0.461960306439,0.234054830203,0.232179691882,0.490022707246,0.620777114637,0.457742144287,0.394309693791,155,1533,188,1032,433,258,4678,330,2630,1607,340,7860,600,2853,2630,9225,134847,11094,83064,39902
2004-12-17,2004-10-25,2005-02-24,0.42934595953,0.477178599319,0.38972095105,0.278905290556,0.602193826297,0.744172437388,0.571590075402,0.441915284227,1533,188,1032,433,254,4678,330,2630,1607,478,7860,600,2853,2630,506,134847,11094,83064,39902,18034
2005-02-24,2004-12-17,2005-04-25,0.365060592271,0.491498171361,0.321717463908,0.496580527147,0.616725958518,0.704968590682,0.485740172914,0.63258355189,188,1032,433,254,605,330,2630,1607,478,1978,600,2853,2630,506,3240,11094,83064,39902,18034,55094
