filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-03-10,2002-11-14,2003-05-12,0.504868059583,0.215516400081,0.22254499914,0.620989677826,0.640861011948,0.370253174929,0.378269195573,0.753420489155,315,5,7,444,2015,646,12,22,2151,4178,1998,16,26,2721,8945,27278,903,1216,65912,147228
2003-05-12,2003-03-10,2003-08-13,0.240494698953,0.242401691609,0.67806456581,0.604386119024,0.427453723083,0.430646180821,0.869021711949,0.784666387079,5,7,444,2015,607,12,22,2151,4178,1857,16,26,2721,8945,2575,903,1216,65912,147228,52599
2003-08-13,2003-05-12,2003-11-12,0.147190492483,0.332520174317,0.419818368141,0.355774440917,0.330226383763,0.56737262445,0.637286580113,0.610370892737,7,444,2015,607,762,22,2151,4178,1857,2567,26,2721,8945,2575,4905,1216,65912,147228,52599,78828
2003-11-12,2003-08-13,2004-03-15,0.766539097551,0.765373608081,0.703088969678,0.383719282661,0.876395333447,0.892795853913,0.871166319228,0.609219770655,444,2015,607,762,775,2151,4178,1857,2567,2676,2721,8945,2575,4905,4408,65912,147228,52599,78828,75885
2004-03-15,2003-11-12,2004-05-10,0.640825612765,0.558613976159,0.360954039315,0.610964725586,0.814671305143,0.754071498978,0.64608182865,0.782824930818,2015,607,762,775,1167,4178,1857,2567,2676,2918,8945,2575,4905,4408,7052,147228,52599,78828,75885,117431
2004-05-10,2004-03-15,2004-08-06,0.603312636615,0.331302869187,0.555155526927,0.450948523145,0.779296966441,0.560739133187,0.687368256607,0.596916956778,607,762,775,1167,219,1857,2567,2676,2918,1153,2575,4905,4408,7052,1026,52599,78828,75885,117431,25743
2004-08-06,2004-05-10,2004-11-09,0.350681074032,0.594405922447,0.477532276745,0.890843056004,0.59112575676,0.737682851741,0.633994662752,0.949894974532,762,775,1167,219,314,2567,2676,2918,1153,1358,4905,4408,7052,1026,1283,78828,75885,117431,25743,31577
2004-11-09,2004-08-06,2005-03-16,0.614052464446,0.502800910396,0.848225505248,0.83826739808,0.757721615207,0.654192399071,0.930014049012,0.926742518992,775,1167,219,314,305,2676,2918,1153,1358,1455,4408,7052,1026,1283,1449,75885,117431,25743,31577,31978
2005-03-16,2004-11-09,2005-05-09,0.657129353778,0.629175278224,0.645957544683,0.703262949321,0.795773333286,0.795102541608,0.817193626679,0.855464665852,1167,219,314,305,753,2918,1153,1358,1455,2158,7052,1026,1283,1449,3315,117431,25743,31577,31978,66425
2005-05-09,2005-03-16,2005-08-08,0.823573741415,0.779354153751,0.779430105721,0.694822080413,0.941157242725,0.911772559947,0.909545871263,0.828398863085,219,314,305,753,244,1153,1358,1455,2158,1249,1026,1283,1449,3315,1204,25743,31577,31978,66425,27059
2005-08-08,2005-05-09,2005-08-29,0.758110143355,0.712422338039,0.645629734177,0.837957031995,0.90257290131,0.866992779186,0.803346542121,0.922891587409,314,305,753,244,244,1358,1455,2158,1249,1281,1283,1449,3315,1204,1355,31577,31978,66425,27059,29613
2005-08-29,2005-08-08,2005-11-03,0.263575705202,0.421814201299,0.283406059119,0.268161451052,0.388995258666,0.515994467081,0.402255577769,0.394087703582,305,753,244,244,163,1455,2158,1249,1281,82,1449,3315,1204,1355,171,31978,66425,27059,29613,5590
2005-11-03,2005-08-29,2006-01-10,0.582599850183,0.637952907866,0.655424217256,0.227806424118,0.768510634492,0.773763572153,0.790854536557,0.361457127675,753,244,244,163,412,2158,1249,1281,82,1590,3315,1204,1355,171,2080,66425,27059,29613,5590,42237
2006-01-10,2005-11-03,2006-03-16,0.766617846924,0.702873794748,0.550410196343,0.564155227153,0.863113467858,0.82844903474,0.654124872968,0.723519461403,244,244,163,412,407,1249,1281,82,1590,1133,1204,1355,171,2080,767,27059,29613,5590,42237,30435
2006-03-16,2006-01-10,2006-05-04,0.554150053675,0.385912385678,0.509626824221,0.595538522575,0.739110995898,0.496939981025,0.706691323625,0.76688784409,244,163,412,407,712,1281,82,1590,1133,1412,1355,171,2080,767,2786,29613,5590,42237,30435,67392
2006-05-04,2006-03-16,2006-08-03,0.272471743051,0.554835815356,0.671743374498,0.548277413473,0.390160384959,0.731205289987,0.813104312643,0.71852247361,163,412,407,712,108,82,1590,1133,1412,543,171,2080,767,2786,528,5590,42237,30435,67392,15684
2006-08-03,2006-05-04,2006-11-02,0.611538247864,0.61833764333,0.612228379874,0.754121691133,0.786849763089,0.788347834113,0.813168767708,0.883595725114,412,407,712,108,183,1590,1133,1412,543,678,2080,767,2786,528,958,42237,30435,67392,15684,22897
2006-11-02,2006-08-03,2007-02-28,0.66087356669,0.524547045772,0.837083192542,0.763473243476,0.798314073095,0.693854826048,0.929254712729,0.881259779196,407,712,108,183,128,1133,1412,543,678,591,767,2786,528,958,557,30435,67392,15684,22897,17813
2007-02-28,2006-11-02,2007-05-04,0.683878383909,0.716775688318,0.78085974217,0.73602075266,0.855313012939,0.853282311872,0.890800477718,0.849011443572,712,108,183,128,540,1412,543,678,591,1221,2786,528,958,557,1783,67392,15684,22897,17813,49494
2007-05-04,2007-02-28,2007-08-02,0.816605585232,0.692317442453,0.791781209788,0.763307217114,0.943912517888,0.858383641966,0.910813140946,0.870174091994,108,183,128,540,126,543,678,591,1221,553,528,958,557,1783,560,15684,22897,17813,49494,15871
2007-08-02,2007-05-04,2007-11-02,0.381453744912,0.28492215443,0.36110959077,0.3058364895,0.507149592604,0.387563929634,0.465310232973,0.403096418512,183,128,540,126,740,678,591,1221,553,2161,958,557,1783,560,4517,22897,17813,49494,15871,75586
2007-11-02,2007-08-02,2008-02-28,0.686499138758,0.800976958472,0.685345896433,0.406837880966,0.837158794962,0.881794229322,0.822311358888,0.533055852966,128,540,126,740,210,591,1221,553,2161,784,557,1783,560,4517,1332,17813,49494,15871,75586,27552
2008-02-28,2007-11-02,2008-04-30,0.810940678342,0.705375412965,0.341674840772,0.643698514752,0.929761790329,0.848407142697,0.448655287214,0.815852337104,540,126,740,210,604,1221,553,2161,784,1381,1783,560,4517,1332,2020,49494,15871,75586,27552,49366
2008-04-30,2008-02-28,2008-08-06,0.842962358206,0.29231435206,0.644347385051,0.715492276585,0.956748292336,0.399373481446,0.810595659234,0.844669607872,126,740,210,604,114,553,2161,784,1381,554,560,4517,1332,2020,641,15871,75586,27552,49366,15673
2008-08-06,2008-04-30,2008-11-05,0.399474812518,0.870015472963,0.613303616068,0.665968522652,0.528803242818,0.935926284354,0.788787510772,0.810749543933,740,210,604,114,184,2161,784,1381,554,733,4517,1332,2020,641,1238,75586,27552,49366,15673,23933
2008-11-05,2008-08-06,2009-02-25,0.642537956764,0.65229212421,0.701496716681,0.616138626108,0.823025603562,0.82291923205,0.844277434693,0.786771213288,210,604,114,184,258,784,1381,554,733,764,1332,2020,641,1238,1085,27552,49366,15673,23933,22478
2009-02-25,2008-11-05,2009-04-29,0.873786435936,0.624949346459,0.615600346662,0.652933052023,0.950304144816,0.774339028238,0.789444199152,0.814027312177,604,114,184,258,759,1381,554,733,764,1567,2020,641,1238,1085,2664,49366,15673,23933,22478,57442
2009-04-29,2009-02-25,2009-08-05,0.842069634094,0.620137670665,0.705491727782,0.64063632557,0.942702819927,0.771218552955,0.84604380142,0.769928069939,114,184,258,759,132,554,733,764,1567,559,641,1238,1085,2664,693,15673,23933,22478,57442,17190
2009-08-05,2009-04-29,2009-10-28,0.263477150209,0.275004776034,0.243189701007,0.345940604898,0.408218826946,0.430711553478,0.377635472637,0.482262339065,184,258,759,132,482,733,764,1567,559,4040,1238,1085,2664,693,1777,23933,22478,57442,17190,53393
2009-10-28,2009-08-05,2010-02-26,0.256227083571,0.199309195589,0.28518462723,0.790121917539,0.389827202839,0.315818164003,0.40991032635,0.884598963195,258,759,132,482,397,764,1567,559,4040,4237,1085,2664,693,1777,1444,22478,57442,17190,53393,44418
2010-02-26,2009-10-28,2010-05-05,0.282252550221,0.31374080367,0.803205726477,0.963193501983,0.42253965425,0.457385853578,0.886663117026,0.967804585018,759,132,482,397,870,1567,559,4040,4237,6262,2664,693,1777,1444,2180,57442,17190,53393,44418,83183
2010-05-05,2010-02-26,2010-08-04,0.165035086718,0.828867468222,0.917747704093,0.904632410841,0.24440509447,0.87928742485,0.942238488549,0.917867761419,132,482,397,870,325,559,4040,4237,6262,5386,693,1777,1444,2180,1202,17190,53393,44418,83183,42371
2010-08-04,2010-05-05,2010-10-28,0.834781474926,0.911928694674,0.903875178023,0.988949105222,0.890078594481,0.94678032948,0.924235347372,0.994383147063,482,397,870,325,383,4040,4237,6262,5386,5987,1777,1444,2180,1202,1407,53393,44418,83183,42371,49328
2010-10-28,2010-08-04,2011-03-01,0.915451164686,0.901319315405,0.988356180872,0.994607072286,0.949154533649,0.919830673327,0.99466597327,0.995303320486,397,870,325,383,356,4237,6262,5386,5987,5928,1444,2180,1202,1407,1243,44418,83183,42371,49328,46593
2011-03-01,2010-10-28,2011-03-30,0.332972701512,0.14601500898,0.161718540126,0.151101621035,0.480896100615,0.223442238524,0.244702349134,0.228280522864,870,325,383,356,568,6262,5386,5987,5928,1098,2180,1202,1407,1243,2316,83183,42371,49328,46593,54593
2011-03-30,2011-03-01,2011-05-05,0.222041549247,0.21142743752,0.212703546736,0.188448058103,0.250209680019,0.243914455421,0.242080489035,0.331526986043,325,383,356,568,1673,5386,5987,5928,1098,1800,1202,1407,1243,2316,3406,42371,49328,46593,54593,152294
2011-05-05,2011-03-30,2011-08-04,0.28974881505,0.287624760414,0.359174424857,0.761834424161,0.331600042042,0.322896924127,0.564166866941,0.818736255942,383,356,568,1673,760,5987,5928,1098,1800,1250,1407,1243,2316,3406,1891,49328,46593,54593,152294,61224
2011-08-04,2011-05-05,2011-11-02,0.183053500765,0.410026234166,0.401520357672,0.489009712509,0.259352616237,0.573575454421,0.506374245013,0.660846113072,356,568,1673,760,660,5928,1098,1800,1250,1162,1243,2316,3406,1891,1532,46593,54593,152294,61224,56324
2011-11-02,2011-08-04,2012-02-29,0.216872108626,0.314856850881,0.327815428093,0.529748409166,0.384492725078,0.484109416653,0.536061851422,0.690063314592,568,1673,760,660,1018,1098,1800,1250,1162,1267,2316,3406,1891,1532,2859,54593,152294,61224,56324,68615
2012-02-29,2011-11-02,2012-05-03,0.359984952278,0.333490760103,0.551348863894,0.955748433142,0.55064301651,0.548683288462,0.694758948977,0.954907683345,1673,760,660,1018,2392,1800,1250,1162,1267,2277,3406,1891,1532,2859,5703,152294,61224,56324,68615,162885
2012-05-03,2012-02-29,2012-08-02,0.334548360133,0.526351905367,0.967810169211,0.974838347446,0.54315596857,0.670421604213,0.966518980324,0.970557896329,760,660,1018,2392,738,1250,1162,1267,2277,936,1891,1532,2859,5703,2185,61224,56324,68615,162885,55993
2012-08-02,2012-05-03,2012-11-07,0.551639769827,0.965499294837,0.972211226042,0.991120334871,0.701977601343,0.96524475119,0.966174817501,0.989157596008,660,1018,2392,738,810,1162,1267,2277,936,977,1532,2859,5703,2185,2245,56324,68615,162885,55993,58482
2012-11-07,2012-08-02,2013-02-27,0.972119368598,0.968028005871,0.988027173196,0.986589156164,0.973759554848,0.962245123335,0.986923859151,0.985380345802,1018,2392,738,810,855,1267,2277,936,977,1110,2859,5703,2185,2245,2538,68615,162885,55993,58482,62270
2013-02-27,2012-11-07,2013-05-02,0.992999952882,0.977060512466,0.974624847808,0.97725141313,0.994800673283,0.973757462473,0.968974698465,0.970926090438,2392,738,810,855,2222,2277,936,977,1110,2233,5703,2185,2245,2538,5861,162885,55993,58482,62270,156295
2013-05-02,2013-02-27,2013-08-01,0.989194139375,0.981542193519,0.984558916971,0.972814195508,0.991710879911,0.981083831295,0.982556497206,0.96885265517,738,810,855,2222,727,936,977,1110,2233,1001,2185,2245,2538,5861,2288,55993,58482,62270,156295,57020
2013-08-01,2013-05-02,2013-11-06,0.939055187614,0.947422134244,0.924480150896,0.947319923875,0.941226139671,0.951130673392,0.924752474974,0.948733865363,810,855,2222,727,1552,977,1110,2233,1001,1474,2245,2538,5861,2288,4997,58482,62270,156295,57020,109620
2013-11-06,2013-08-01,2014-02-26,0.693568499137,0.708139840128,0.709889410168,0.58385742581,0.818090038117,0.819314990297,0.830371765235,0.713854977378,855,2222,727,1552,1008,1110,2233,1001,1474,1348,2538,5861,2288,4997,2686,62270,156295,57020,109620,68028
2014-02-26,2013-11-06,2014-05-01,0.74800553812,0.705609396354,0.569399501119,0.936050043607,0.860934606741,0.82344395712,0.695304055107,0.941213853649,2222,727,1552,1008,2742,2233,1001,1474,1348,2535,5861,2288,4997,2686,4323,156295,57020,109620,68028,151761
2014-05-01,2014-02-26,2014-08-06,0.727392374261,0.593158111061,0.953098958551,0.947577907942,0.850258867805,0.723293778007,0.961252696245,0.953183394307,727,1552,1008,2742,807,1001,1474,1348,2535,966,2288,4997,2686,4323,1990,57020,109620,68028,151761,57088
2014-08-06,2014-05-01,2014-11-05,0.598834336572,0.950558740983,0.941216939913,0.97016778471,0.728683463598,0.958468172045,0.944659655004,0.972314938969,1552,1008,2742,807,913,1474,1348,2535,966,966,4997,2686,4323,1990,1674,109620,68028,151761,57088,55035
2014-11-05,2014-08-06,2015-02-26,0.966260127839,0.939288287158,0.964831318486,0.971778886927,0.977815670832,0.94258546833,0.968023667997,0.974048256678,1008,2742,807,913,974,1348,2535,966,966,973,2686,4323,1990,1674,1797,68028,151761,57088,55035,57661
2015-02-26,2014-11-05,2015-05-11,0.97979029077,0.946283295734,0.941122528018,0.94115708502,0.98854858549,0.952986671961,0.943809516796,0.9431326616,2742,807,913,974,2958,2535,966,966,973,2686,4323,1990,1674,1797,4376,151761,57088,55035,57661,153326
2015-05-11,2015-02-26,2015-08-10,0.978529139615,0.964820911171,0.964821667635,0.952591502292,0.985741045185,0.96979802205,0.969156176077,0.956075669482,807,913,974,2958,669,966,966,973,2686,892,1990,1674,1797,4376,1790,57088,55035,57661,153326,53435
2015-08-10,2015-05-11,2015-11-05,0.945727723333,0.927917555542,0.911157588998,0.957182714063,0.967446665304,0.948343298719,0.932888149881,0.969468080883,913,974,2958,669,777,966,973,2686,892,966,1674,1797,4376,1790,1812,55035,57661,153326,53435,56512
2015-11-05,2015-08-10,2016-02-26,0.940503999291,0.906403128323,0.948352218801,0.97415578478,0.964539371568,0.929480189407,0.962780083427,0.97772838573,974,2958,669,777,846,973,2686,892,966,1272,1797,4376,1790,1812,1773,57661,153326,53435,56512,59214
