filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-14,1997-05-14,1997-11-14,0.139597535248,0.608650329016,0.258326190174,0.765955331236,0.254024023374,0.825779200324,0.387912189555,0.886072288973,298,32,761,44,49,1248,110,2193,125,142,3539,59,5443,88,93,53853,4683,84948,5916,6172
1997-11-14,1997-08-14,1998-03-18,0.733565689304,0.261680013923,0.728386584634,0.768430525375,0.913133586198,0.400563182674,0.874936801679,0.890569306074,32,761,44,49,52,110,2193,125,142,127,59,5443,88,93,68,4683,84948,5916,6172,6178
1998-03-18,1997-11-14,1998-05-15,0.479937460175,0.341240757247,0.332649166476,0.352533239204,0.686307227279,0.535196298915,0.514254398204,0.539909810912,761,44,49,52,676,2193,125,142,127,1394,5443,88,93,68,2410,84948,5916,6172,6178,48147
1998-05-15,1998-03-18,1998-08-14,0.744747839254,0.647362263715,0.656867298537,0.356875302214,0.933361068549,0.857509282809,0.865669642227,0.537480253396,44,49,52,676,42,125,142,127,1394,116,88,93,68,2410,56,5916,6172,6178,48147,5025
1998-08-14,1998-05-15,1998-11-13,0.755589079785,0.654501356149,0.348225006138,0.814595571879,0.929346757936,0.864999700044,0.524512124315,0.91470537088,49,52,676,42,48,142,127,1394,116,119,93,68,2410,56,55,6172,6178,48147,5025,5765
1998-11-13,1998-08-14,1999-03-26,0.743300765937,0.34625847064,0.755407681383,0.792863937585,0.929681189364,0.53929170897,0.90178619432,0.909361738716,52,676,42,48,52,127,1394,116,119,138,68,2410,56,55,57,6178,48147,5025,5765,6363
1999-03-26,1998-11-13,1999-05-17,0.457446004665,0.243985854175,0.243986096192,0.24946116542,0.744933310096,0.445436072628,0.439011646787,0.453622526589,676,42,48,52,556,1394,116,119,138,1989,2410,56,55,57,3474,48147,5025,5765,6363,60865
1999-05-17,1999-03-26,1999-08-10,0.790484989863,0.696959064725,0.730394936858,0.27873866234,0.933823261388,0.87028653326,0.896051584516,0.488981720755,42,48,52,556,48,116,119,138,1989,146,56,55,57,3474,65,5025,5765,6363,60865,6373
1999-08-10,1999-05-17,1999-11-15,0.792109637776,0.706635053266,0.261572315009,0.792913464467,0.938931248271,0.892537028141,0.472818998491,0.917648538765,48,52,556,48,56,119,138,1989,146,161,55,57,3474,65,71,5765,6363,60865,6373,7036
1999-11-15,1999-08-10,2000-03-21,0.81938858326,0.25590648505,0.765919097918,0.839104031287,0.956048306852,0.469475244096,0.909671667301,0.928157889116,52,556,48,56,53,138,1989,146,161,168,57,3474,65,71,74,6363,60865,6373,7036,6989
2000-03-21,1999-11-15,2000-03-22,0.559385555591,0.205556660571,0.195469114833,0.192702975051,0.774285668533,0.332130123165,0.319533194359,0.318618113282,556,48,56,53,1471,1989,146,161,168,5082,3474,65,71,74,11692,60865,6373,7036,6989,155414
2000-03-22,2000-03-21,2000-03-23,0.205281276216,0.195200429556,0.19244106684,0.999965689736,0.331710639757,0.319106552699,0.318194493692,0.99999336574,48,56,53,1471,1470,146,161,168,5082,5078,65,71,74,11692,11692,6373,7036,6989,155414,155270
2000-03-23,2000-03-22,2000-05-15,0.195201355868,0.192441748207,0.999963696426,0.9999980074,0.319105774646,0.318193768655,0.999993120952,0.999999758271,56,53,1471,1470,1470,161,168,5082,5078,5078,71,74,11692,11692,11692,7036,6989,155414,155270,155277
2000-05-15,2000-03-23,2000-08-14,0.743667282305,0.210734130513,0.210474700431,0.21047487585,0.897543441124,0.331187312062,0.330778711668,0.330776929885,53,1471,1470,1470,42,168,5082,5078,5078,145,74,11692,11692,11692,79,6989,155414,155270,155277,5671
2000-08-14,2000-05-15,2000-11-08,0.277087437756,0.276989116748,0.276989226129,0.291694442169,0.45366503965,0.453475328201,0.453474160978,0.445393191141,1471,1470,1470,42,95,5082,5078,5078,145,395,11692,11692,11692,79,776,155414,155270,155277,5671,17556
