filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-08-05,2002-05-07,2002-12-19,0.270802174975,0.398445253321,0.281361401123,0.294683588917,0.498499347068,0.61785529017,0.476337688512,0.464115189369,34,439,48,82,309,214,1128,267,284,956,196,1651,166,168,2134,4267,42261,4983,6782,29923
2002-12-19,2002-08-05,2003-02-14,0.489865218652,0.443632190149,0.463385414591,0.607502359083,0.701044731395,0.685733021874,0.694694190145,0.726022536204,439,48,82,309,363,1128,267,284,956,1036,1651,166,168,2134,1362,42261,4983,6782,29923,29895
2003-02-14,2002-12-19,2003-05-13,0.573795142875,0.51395969004,0.259043755704,0.498407803594,0.809954184884,0.758479412164,0.459307098345,0.707369165434,48,82,309,363,75,267,284,956,1036,280,166,168,2134,1362,206,4983,6782,29923,29895,7116
2003-05-13,2003-02-14,2003-08-12,0.686870027873,0.2487559353,0.470253291353,0.704212189344,0.884803931428,0.445671536679,0.692830283245,0.849520253878,82,309,363,75,102,284,956,1036,280,295,168,2134,1362,206,189,6782,29923,29895,7116,7986
2003-08-12,2003-05-13,2003-11-13,0.376470882214,0.447677339668,0.542745650086,0.57580440241,0.561863922073,0.681385235029,0.767809162453,0.786758504436,309,363,75,102,119,956,1036,280,295,219,2134,1362,206,189,261,29923,29895,7116,7986,7905
2003-11-13,2003-08-12,2004-01-27,0.694750989266,0.559303118264,0.563443654055,0.518092701283,0.864020702449,0.771980944829,0.766796852802,0.726577309277,363,75,102,119,290,1036,280,295,219,519,1362,206,189,261,382,29895,7116,7986,7905,20685
2004-01-27,2003-11-13,2004-04-27,0.510134450026,0.430791983138,0.436785558602,0.497661311496,0.770780707529,0.692240469762,0.695605272719,0.728719365513,75,102,119,290,114,280,295,219,519,226,206,189,261,382,252,7116,7986,7905,20685,8643
2004-04-27,2004-01-27,2004-08-03,0.729368829103,0.482590083937,0.527249994111,0.527707656949,0.903091380441,0.74615408888,0.732728933335,0.74208687603,102,119,290,114,61,295,219,519,226,104,189,261,382,252,93,7986,7905,20685,8643,6280
2004-08-03,2004-04-27,2004-12-08,0.528121399364,0.343191350802,0.387181235578,0.368161155158,0.716984991676,0.556017220652,0.607844550244,0.583443654939,119,290,114,61,156,219,519,226,104,307,261,382,252,93,1033,7905,20685,8643,6280,13579
2004-12-08,2004-08-03,2005-01-26,0.798858606414,0.702591026191,0.50418530891,0.385540904429,0.931060329718,0.835506898549,0.717689288449,0.591572360931,290,114,61,156,374,519,226,104,307,558,382,252,93,1033,553,20685,8643,6280,13579,24261
2005-01-26,2004-12-08,2005-04-27,0.595290349018,0.608465881838,0.348140907992,0.534681543683,0.795372854812,0.808027961039,0.56053428096,0.712923665512,114,61,156,374,56,226,104,307,558,82,252,93,1033,553,91,8643,6280,13579,24261,5755
2005-04-27,2005-01-26,2005-07-28,0.812340070877,0.328178878936,0.50071705784,0.674054159206,0.939225118525,0.557571016126,0.699744087004,0.828045302017,61,156,374,56,62,104,307,558,82,87,93,1033,553,91,90,6280,13579,24261,5755,6659
2005-07-28,2005-04-27,2005-11-21,0.444256458735,0.534366502913,0.690519351587,0.705468387878,0.645830085565,0.727180568259,0.833070100476,0.856232350154,156,374,56,62,67,307,558,82,87,98,1033,553,91,90,97,13579,24261,5755,6659,6977
2005-11-21,2005-07-28,2006-01-26,0.861669756,0.503477376656,0.482034980296,0.51931406884,0.955288629988,0.679135018554,0.66911987641,0.695360636501,374,56,62,67,428,558,82,87,98,634,553,91,90,97,739,24261,5755,6659,6977,29748
2006-01-26,2005-11-21,2006-04-26,0.845456613359,0.632007254341,0.661008649509,0.566393471198,0.944810181846,0.814348371874,0.824613552786,0.74788707445,56,62,67,428,61,82,87,98,634,95,91,90,97,739,98,5755,6659,6977,29748,6847
2006-04-26,2006-01-26,2006-07-27,0.848100925799,0.639705295602,0.522815713448,0.722853045865,0.948689123696,0.832624099697,0.724593219766,0.860695678397,62,67,428,61,78,87,98,634,95,108,90,97,739,98,95,6659,6977,29748,6847,7802
2006-07-27,2006-04-26,2006-11-13,0.846497189749,0.537480533578,0.72240972715,0.726014196369,0.951983412564,0.728839470513,0.85381820518,0.863806202121,67,428,61,78,84,98,634,95,108,117,97,739,98,95,101,6977,29748,6847,7802,8248
