filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-23,1994-11-17,1995-01-24,0.528016601793,0.0870435034078,0.46515365302,0.496683516659,0.821915291539,0.248772522417,0.734418178031,0.72598139469,22,192,20,177,22,94,782,77,723,153,58,1698,58,1199,90,3187,26676,3360,21361,4138
1995-01-24,1994-12-23,1995-03-29,0.0434670784739,0.18500901772,0.107682509511,0.189708678477,0.141701364812,0.303004751337,0.229760198809,0.318123089941,192,20,177,22,2,782,77,723,153,1,1698,58,1199,90,3,26676,3360,21361,4138,239
1995-03-29,1995-01-24,1995-06-21,0.466960650973,0.379736575385,0.627291626327,0.149524575661,0.759042346644,0.630019708565,0.838282110482,0.271241988532,20,177,22,2,16,77,723,153,1,156,58,1199,90,3,93,3360,21361,4138,239,4148
1995-06-21,1995-03-29,1995-11-30,0.404539496342,0.665342010402,0.183564819966,0.800159391057,0.650910274881,0.865996152464,0.307066462475,0.901480830707,177,22,2,16,15,723,153,1,156,145,1199,90,3,93,94,21361,4138,239,4148,3899
1995-11-30,1995-06-21,1996-01-09,0.490903240008,0.116791270124,0.463519494236,0.495733890678,0.762522230565,0.246571905028,0.7052396544,0.727394361515,22,2,16,15,106,153,1,156,145,573,90,3,93,94,633,4138,239,4148,3899,16243
1996-01-09,1995-11-30,1996-03-15,0.279191010936,0.530716012834,0.579079366736,0.361992422288,0.421931136713,0.768676473578,0.803370599657,0.604127963862,2,16,15,106,13,1,156,145,573,56,3,93,94,633,61,239,4148,3899,16243,2248
1996-03-15,1996-01-09,1996-04-02,0.101666427803,0.112701698618,0.148102524091,0.121141157451,0.302767875416,0.318139580288,0.401191745771,0.32152684229,16,15,106,13,6,156,145,573,56,1,93,94,633,61,8,4148,3899,16243,2248,698
1996-04-02,1996-03-15,1996-06-05,0.522319355232,0.32815724553,0.689348113505,0.108652899653,0.776327674901,0.570980955557,0.856143980417,0.303222183532,15,106,13,6,21,145,573,56,1,74,94,633,61,8,63,3899,16243,2248,698,2959
1996-06-05,1996-04-02,1996-11-08,0.202839018464,0.128487825265,0.0363346614286,0.11940813357,0.442163353403,0.327037768606,0.166573696454,0.301418406713,106,13,6,21,128,573,56,1,74,685,633,61,8,63,1463,16243,2248,698,2959,20326
1996-11-08,1996-06-05,1996-12-20,0.281933413813,0.101222778374,0.259062230429,0.736189242214,0.571058881171,0.336613752142,0.536743048037,0.778557896393,13,6,21,128,123,56,1,74,685,597,61,8,63,1463,848,2248,698,2959,20326,19172
1996-12-20,1996-11-08,1997-04-02,0.118489723739,0.538878137307,0.122423914406,0.285939062513,0.336197790035,0.804493244921,0.331870228068,0.591135882139,6,21,128,123,18,1,74,685,597,66,8,63,1463,848,69,698,2959,20326,19172,3085
1997-04-02,1996-12-20,1997-06-05,0.445977913437,0.134617719475,0.244826405751,0.427224315632,0.746039400534,0.361631842781,0.557742262421,0.721549579273,21,128,123,18,62,74,685,597,66,127,63,1463,848,69,244,2959,20326,19172,3085,5363
1997-06-05,1997-04-02,1997-11-10,0.126544713154,0.275285651453,0.698511929566,0.518707497642,0.325985549718,0.565308615956,0.899631843722,0.752449092539,128,123,18,62,28,685,597,66,127,79,1463,848,69,244,78,20326,19172,3085,5363,3395
1997-11-10,1997-06-05,1997-12-22,0.346359495107,0.212868487835,0.234916119435,0.215292245734,0.632006279653,0.453183662433,0.468446856145,0.414579000977,123,18,62,28,330,597,66,127,79,957,848,69,244,78,1888,19172,3085,5363,3395,36293
1997-12-22,1997-11-10,1998-03-18,0.68020768029,0.397722544194,0.690516066961,0.208290261374,0.905677658981,0.698524247862,0.899214670584,0.411070165408,18,62,28,330,16,66,127,79,957,52,69,244,78,1888,53,3085,5363,3395,36293,2860
1998-03-18,1997-12-22,1998-03-20,0.0787783940095,0.111620668349,0.103875515427,0.129538596253,0.28927968074,0.321653136139,0.351454854846,0.345919295615,62,28,330,16,5,127,79,957,52,1,244,78,1888,53,11,5363,3395,36293,2860,367
1998-03-20,1998-03-18,1998-06-12,0.604442000794,0.184476936889,0.722822075593,0.11919577354,0.852420525631,0.378882448679,0.873796080491,0.328904279173,28,330,16,5,21,79,957,52,1,55,78,1888,53,11,53,3395,36293,2860,367,3254
1998-06-12,1998-03-20,1998-11-25,0.190294837141,0.745962675587,0.121767304326,0.697558029443,0.390334372578,0.914691256331,0.328821247068,0.878855529132,330,16,5,21,27,957,52,1,55,62,1888,53,11,53,53,36293,2860,367,3254,3331
1998-11-25,1998-06-12,1998-12-23,0.532799783843,0.154637675933,0.499151296442,0.548546563099,0.774662309027,0.379362651468,0.746787444417,0.783678647803,16,5,21,27,60,52,1,55,62,173,53,11,53,53,138,2860,367,3254,3331,8881
1998-12-23,1998-11-25,1999-03-11,0.121236126286,0.565938537801,0.645034647165,0.541282286942,0.324125498568,0.813016708516,0.87082789481,0.767410141593,5,21,27,60,17,1,55,62,173,44,11,53,53,138,25,367,3254,3331,8881,2954
