filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2014-08-28,2014-05-14,2014-11-06,0.25713986135,0.80842639541,0.851267781445,0.904199051468,0.29715164356,0.884505201433,0.895567698722,0.945511116064,450,247,265,649,1720,715,888,628,1975,2773,236,1101,888,2464,3048,17873,40975,33720,82174,116427
2014-11-06,2014-08-28,2015-02-05,0.84597823187,0.867652600396,0.91536161641,0.956887031951,0.916941011999,0.910343984102,0.95740526005,0.966495989466,247,265,649,1720,395,888,628,1975,2773,1355,1101,888,2464,3048,1644,40975,33720,82174,116427,54157
2015-02-05,2014-11-06,2015-05-07,0.897051398272,0.907953974854,0.943785641116,0.967309584625,0.929450728469,0.952436857011,0.956304302491,0.976409878777,265,649,1720,395,459,628,1975,2773,1355,1436,888,2464,3048,1644,1665,33720,82174,116427,54157,59320
2015-05-07,2015-02-05,2015-08-17,0.937311438571,0.937510033282,0.959316522187,0.96490524757,0.972723623269,0.952743062373,0.971661061227,0.978621191852,649,1720,395,459,546,1975,2773,1355,1436,1662,2464,3048,1644,1665,1860,82174,116427,54157,59320,68527
2015-08-17,2015-05-07,2015-11-05,0.921963600861,0.890358404529,0.894602382862,0.893121432709,0.957989566158,0.929190566946,0.936310275464,0.935416616639,1720,395,459,546,1858,2773,1355,1436,1662,3126,3048,1644,1665,1860,3361,116427,54157,59320,68527,131958
2015-11-05,2015-08-17,2016-02-04,0.912539563509,0.901698159971,0.902626650109,0.953394327311,0.951967897787,0.947350098607,0.94906324849,0.969280542299,395,459,546,1858,515,1355,1436,1662,3126,1528,1644,1665,1860,3361,2074,54157,59320,68527,131958,67607
2016-02-04,2015-11-05,2016-05-03,0.871170381784,0.849221777084,0.894886997089,0.915277685266,0.943079816996,0.930566402374,0.947746820212,0.966613671743,459,546,1858,515,805,1436,1662,3126,1528,2239,1665,1860,3361,2074,2908,59320,68527,131958,67607,88245
2016-05-03,2016-02-04,2016-08-18,0.908239320449,0.937776822807,0.94608007067,0.905016334502,0.948095211203,0.957307384646,0.967000441657,0.959271082721,546,1858,515,805,625,1662,3126,1528,2239,1802,1860,3361,2074,2908,2119,68527,131958,67607,88245,74736
2016-08-18,2016-05-03,2016-11-09,0.986043718871,0.950894700777,0.898943336076,0.947761030067,0.992728261011,0.968712414939,0.952298883794,0.965056833402,1858,515,805,625,2022,3126,1528,2239,1802,3384,3361,2074,2908,2119,3662,131958,67607,88245,74736,152510
2016-11-09,2016-08-18,2017-02-09,0.961012493766,0.899253507194,0.961336398321,0.953362617037,0.976430368634,0.952547450635,0.97832077449,0.967610727538,515,805,625,2022,562,1528,2239,1802,3384,1396,2074,2908,2119,3662,1957,67607,88245,74736,152510,67314
2017-02-09,2016-11-09,2017-05-10,0.90580769118,0.935788489894,0.938319406316,0.949736274586,0.956085094212,0.962249519503,0.95899066342,0.968748914325,805,625,2022,562,942,2239,1802,3384,1396,1519,2908,2119,3662,1957,1984,88245,74736,152510,67314,78955
2017-05-10,2017-02-09,2017-08-23,0.964131645836,0.941870599152,0.948852268025,0.96276567803,0.979346856873,0.96362554947,0.969159890938,0.980660156822,625,2022,562,942,961,1802,3384,1396,1519,1820,2119,3662,1957,1984,2202,74736,152510,67314,78955,89333
2017-08-23,2017-05-10,2017-11-09,0.97993350272,0.944264085866,0.9452886941,0.952241803894,0.988962745857,0.96065551735,0.964234063701,0.970587211709,2022,562,942,961,1822,3384,1396,1519,1820,3157,3662,1957,1984,2202,3370,152510,67314,78955,89333,144405
