filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-14,1994-11-07,1995-03-14,0.433246331895,0.454038648747,0.312347814942,0.121923257531,0.814233769247,0.837597807776,0.636283655907,0.295939985806,32,27,126,15,19,34,19,121,3,23,9,9,238,41,12,1559,1385,8006,868,1317
1995-03-14,1994-12-14,1995-06-14,0.414483236812,0.282135485516,0.103430488558,0.510040707028,0.815451299965,0.624612693639,0.269679404137,0.847542042449,27,126,15,19,41,19,121,3,23,23,9,238,41,12,11,1385,8006,868,1317,1636
1995-06-14,1995-03-14,1995-10-06,0.285292753942,0.10621597786,0.522102765133,0.636220487025,0.614889211034,0.270973276343,0.865878799032,0.893818745402,126,15,19,41,40,121,3,23,23,20,238,41,12,11,11,8006,868,1317,1636,1589
1995-10-06,1995-06-14,1995-12-12,0.224973134465,0.230722991208,0.221648970622,0.224504807323,0.368774190995,0.480538858564,0.476560081086,0.463136469276,15,19,41,40,328,3,23,23,20,404,41,12,11,11,768,868,1317,1636,1589,17212
1995-12-12,1995-10-06,1996-03-11,0.304590484417,0.236959264644,0.254035951533,0.468682787708,0.511620872158,0.473697044037,0.474930655157,0.653369822236,19,41,40,328,38,23,23,20,404,40,12,11,11,768,156,1317,1636,1589,17212,2691
1996-03-11,1995-12-12,1996-06-12,0.303728148851,0.279313680179,0.461325431752,0.870318353011,0.540604598425,0.515245694093,0.646146150776,0.96003466283,41,40,328,38,46,23,20,404,40,38,11,11,768,156,153,1636,1589,17212,2691,2853
1996-06-12,1996-03-11,1996-10-15,0.514004060972,0.203988444517,0.274937761624,0.402935830118,0.868527617084,0.446104748665,0.485733412594,0.559501198383,40,328,38,46,28,20,404,40,38,24,11,768,156,153,8,1589,17212,2691,2853,1470
1996-10-15,1996-06-12,1996-12-11,0.875323349306,0.411153558712,0.407970043289,0.181482517298,0.942612637091,0.592088339166,0.585632391903,0.395075282163,328,38,46,28,313,404,40,38,24,455,768,156,153,8,918,17212,2691,2853,1470,20112
1996-12-11,1996-10-15,1997-03-11,0.841769518823,0.801022872582,0.240291486769,0.404603768252,0.946852855882,0.927503072046,0.504760182422,0.601453663668,38,46,28,313,37,40,38,24,455,63,156,153,8,918,158,2691,2853,1470,20112,3031
1997-03-11,1996-12-11,1997-06-12,0.325535159167,0.304578723319,0.238715622247,0.399053465894,0.621761443437,0.679988187991,0.514512467406,0.656334620192,46,28,313,37,36,38,24,455,63,71,153,8,918,158,81,2853,1470,20112,3031,3065
1997-06-12,1997-03-11,1997-10-23,0.460186346428,0.189502782288,0.41876896072,0.507982706527,0.826598945812,0.419933109313,0.576889365966,0.766027331632,28,313,37,36,41,24,455,63,71,49,8,918,158,81,16,1470,20112,3031,3065,1939
1997-10-23,1997-06-12,1997-12-17,0.467819590429,0.581862146285,0.323253685707,0.353176410453,0.647600579469,0.737970838414,0.639115273621,0.640168085681,313,37,36,41,129,455,63,71,49,146,918,158,81,16,276,20112,3031,3065,1939,9023
1997-12-17,1997-10-23,1998-02-25,0.287248983976,0.286724269788,0.450377452427,0.415904662593,0.512202512049,0.631902572477,0.792149078149,0.687635889793,37,36,41,129,24,63,71,49,146,58,158,81,16,276,23,3031,3065,1939,9023,2179
1998-02-25,1997-12-17,1998-06-17,0.25960422004,0.347910506045,0.331527862802,0.592736523441,0.609367989466,0.727925257588,0.637536038754,0.857064344046,36,41,129,24,37,71,49,146,58,39,81,16,276,23,16,3065,1939,9023,2179,2980
1998-06-17,1998-02-25,1998-10-09,0.384285827789,0.352128900078,0.522321089549,0.584452434686,0.757050754321,0.65283665468,0.836474810117,0.843740473532,41,129,24,37,48,49,146,58,39,185,16,276,23,16,43,1939,9023,2179,2980,3999
1998-10-09,1998-06-17,1998-12-16,0.467773373449,0.249231472557,0.233158329016,0.305894856145,0.688320325443,0.502159589749,0.475569846553,0.513894278597,129,24,37,48,329,146,58,39,185,712,276,23,16,43,896,9023,2179,2980,3999,22487
1998-12-16,1998-10-09,1999-03-17,0.419422910553,0.355639422389,0.517912914996,0.326282595763,0.778358298028,0.720711864002,0.81556053065,0.565858587487,24,37,48,329,33,58,39,185,712,133,23,16,43,896,62,2179,2980,3999,22487,3360
1999-03-17,1998-12-16,1999-06-16,0.405537274269,0.524418384553,0.310425549708,0.798723036233,0.773139458201,0.82906461116,0.541058819444,0.931662632497,37,48,329,33,42,39,185,712,133,163,16,43,896,62,61,2980,3999,22487,3360,4059
1999-06-16,1999-03-17,1999-10-12,0.547416910031,0.305279587381,0.706377075823,0.801400668214,0.85422230857,0.524571762672,0.895282761648,0.942941061488,48,329,33,42,42,185,712,133,163,161,43,896,62,61,39,3999,22487,3360,4059,3861
1999-10-12,1999-06-16,1999-12-14,0.515301514838,0.497484672167,0.499424329827,0.522827787476,0.696539074743,0.773301448501,0.761820735849,0.763598071345,329,33,42,42,131,712,133,163,161,281,896,62,61,39,287,22487,3360,4059,3861,10858
1999-12-14,1999-10-12,2000-03-15,0.648785007684,0.619877409921,0.64396232864,0.558620185857,0.898729122641,0.875875511786,0.877338414497,0.780871196603,33,42,42,131,28,133,163,161,281,90,62,61,39,287,21,3360,4059,3861,10858,2682
2000-03-15,1999-12-14,2000-06-13,0.537239104431,0.544030201992,0.464430085943,0.627105628344,0.853627884561,0.853051667017,0.728534225938,0.866424410344,42,42,131,28,32,163,161,281,90,61,61,39,287,21,33,4059,3861,10858,2682,2668
2000-06-13,2000-03-15,2000-10-19,0.333808332676,0.519811979485,0.351801407017,0.397989572807,0.587525789532,0.72301746256,0.60939720103,0.618398842001,42,131,28,32,77,161,281,90,61,236,39,287,21,33,400,3861,10858,2682,2668,7386
2000-10-19,2000-06-13,2000-10-27,0.72103944151,0.428086077135,0.423261043612,0.426516375226,0.89007615339,0.728959006515,0.709588361207,0.673203732187,131,28,32,77,152,281,90,61,236,296,287,21,33,400,335,10858,2682,2668,7386,11455
2000-10-27,2000-10-19,2000-12-13,0.428060249589,0.423211209632,0.426494766179,0.999953209,0.728941835906,0.709550396911,0.673197002657,0.99998990517,28,32,77,152,152,90,61,236,296,296,21,33,400,335,336,2682,2668,7386,11455,11456
2000-12-13,2000-10-27,2001-03-14,0.485377842973,0.382468196017,0.442640274887,0.442613569249,0.812973392026,0.633700747227,0.74839382666,0.748376198264,32,77,152,152,33,61,236,296,296,64,33,400,335,336,61,2668,7386,11455,11456,3008
2001-03-14,2000-12-13,2001-06-13,0.544123257338,0.392514882329,0.392486703655,0.333592131862,0.76368420895,0.608562222282,0.608544537153,0.538932279125,77,152,152,33,207,236,296,296,64,484,400,335,336,61,711,7386,11455,11456,3008,12324
2001-06-13,2001-03-14,2001-10-10,0.401755992298,0.401731753314,0.605761553956,0.313459829854,0.693010990867,0.692994667012,0.874617552143,0.48703962588,152,152,33,207,55,296,296,64,484,70,335,336,61,711,47,11455,11456,3008,12324,3548
2001-10-10,2001-06-13,2001-12-12,0.658882823179,0.400885859892,0.500471471872,0.394912228292,0.87975023283,0.708118245611,0.717552301789,0.662889464608,152,33,207,55,262,296,64,484,70,453,336,61,711,47,467,11456,3008,12324,3548,15678
